date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,2.41,-0.03992901508429459,-0.8349,1.1677,0.0465,2875563800,-2.6874,0.1362,1.7544,2.185,0.1862,1.0678,,-0.1115,-6.853115204746978,0.0611,-0.0104,-0.037,-0.8272
2003-06-30,0.40248962655601644,0.25355896512209974,3.38,-0.04610226320201174,0.067,1.2497,0.0517,4032948400,-3.6267,0.1978,2.8745,2.7048,0.227,1.0858,,-0.1127,-6.3527715851757485,0.0818,-0.0108,-0.0389,-0.7923
2003-09-30,0.6390532544378699,0.6170214733161408,5.54,-0.2372170997485331,0.1886,1.0637,0.0444,6610217200,-5.3008,0.3233,3.5964,5.2089,0.3719,1.1103,,-0.1254,-6.649457751554669,0.0694,-0.0621,-0.0434,-0.9036
2003-12-31,-0.08303249097472923,-0.1994517371898839,5.08,-0.3339026473099915,0.4739,2.7344,0.1053,10517174800,-13.588,0.5115,-129.8416,3.2845,0.5618,1.2192,,-0.0727,-3.1145094212943953,0.0233,-0.059,-0.0262,-0.3462
2004-03-31,0.17716535433070874,0.16431378548814696,5.98,0.0004928536224741252,-0.0492,1.6264,0.1167,12380453800,-17.0061,0.5961,16.29,3.7516,0.6901,1.3406,0.13432936647741944,-0.0669,-2.5967125696151783,0.0876,0.0002,-0.0248,-0.2239
2004-06-30,-0.07190635451505026,-0.08489683177084892,5.55,0.04386397240019714,0.1059,1.6091,0.1318,11490220500,-19.675,0.5493,12.8382,3.5192,0.6339,1.3841,1.2605027702182217,-0.0585,-2.5339200409600493,0.0898,0.017,-0.022,-0.1779
2004-09-30,0.10270270270270276,0.12572083894650357,6.12,0.048323471400394474,0.5675,1.6582,0.1412,12670297200,-62.4152,0.5929,6.9578,3.7675,0.6381,1.3718,1.3427302618966392,-0.022,-2.394327419565186,0.0797,0.0195,-0.0083,-0.0612
2004-12-31,-0.07516339869281045,-0.16249682628752754,5.66,-0.10771307747854796,0.3361,1.506,0.1263,11717954600,-334.7987,0.5811,5.9724,3.7581,0.6067,1.1676,,-0.0039,-2.8227656727736425,0.0923,-0.0411,-0.0014,-0.0108
2005-03-31,0.09540636042402827,0.12125796530631683,6.2,0.09329582747304266,-0.1308,1.5466,0.14,12835922000,78.7479,0.6193,7.199,3.8908,0.6693,1.2091,1.8478759996436913,0.0186,-2.7309919770469158,0.0945,0.0391,0.0067,0.0508
2005-06-30,0.043548387096774124,0.03445124876313387,6.47,0.05898876404494382,0.0402,1.5603,0.1446,13394905700,66.9745,0.6314,8.0984,4.0188,0.6735,1.2195,1.4768847651280905,0.0231,-2.5049388738884515,0.0916,0.0221,0.0085,0.0603
2005-09-30,0.13755795981452867,0.10609723615138426,7.36,0.08793264733395698,0.1178,1.6796,0.1553,15237481600,52.543,0.6985,20.182,4.2432,0.7148,1.2098,1.8717125025782384,0.0342,-2.205949833599799,0.1088,0.0335,0.0125,0.0837
2005-12-30,0.3206521739130435,0.30479945498995553,9.72,0.10659409305472262,0.3125,1.8361,0.1716,20187856800,27.4664,0.9599,28.4336,5.2792,0.9763,1.209,2.098485601761414,0.0883,-2.0607239496567065,0.1398,0.0478,0.0323,0.1982
2006-03-31,0.2911522633744856,0.2538372527623122,12.55,0.09479553903345725,-0.0148,1.9563,0.1822,26065597000,35.2237,1.2364,27.2367,6.1913,1.2487,1.2608,2.100592755935792,0.0871,-1.873910657024276,0.1187,0.0396,0.0326,0.1842
2006-06-30,0.032669322709163354,0.051721462335798093,12.96,0.16362015158270174,0.1141,2.5483,0.2428,26956800000,27.4788,1.282,23.919,4.716,1.2593,1.3449,3.147547639682011,0.1087,-1.197596153846154,0.1287,0.065,0.042,0.1976
2006-09-29,0.01697530864197522,-0.03470948661682981,13.18,0.17321116928446773,0.1928,2.6605,0.2522,27822980000,23.3806,1.3183,21.126,4.5626,1.2804,1.3821,3.3070311135533825,0.1254,-0.9583135954523923,0.1377,0.0698,0.0498,0.2014
2006-12-29,0.3641881638846738,0.30246710631904195,17.98,0.19001767794795316,0.4007,2.9218,0.258,39335924800,28.2992,1.6846,25.2801,6.0619,1.6175,1.406,3.5343821464489964,0.1398,-0.5018832047390939,0.1277,0.0612,0.0563,0.2208
2007-03-30,-0.044493882091212494,-0.04629881506400105,17.18,0.23307291666666666,0.0859,3.3485,0.2938,37624200000,21.8364,1.542,21.0661,4.8767,1.4321,1.436,4.298149291121368,0.163,0.045205479452054796,0.1493,0.0867,0.067,0.2426
2007-06-29,0.31548311990686856,0.2574267377968716,22.6,0.3155844155844156,0.1012,3.4926,0.2998,51279400000,24.5944,1.9798,29.0699,6.3558,1.8731,1.4639,5.024723866432024,0.1888,0.3887174966945791,0.1628,0.102,0.0784,0.2642
2007-09-28,0.1606194690265486,0.1450542148980532,26.23,0.3198959687906372,0.3094,4.0463,0.3216,59778170000,24.6406,2.1811,29.3605,6.4036,2.0435,1.4957,5.429706027693379,0.2055,0.9157525230364195,0.1627,0.1026,0.0867,0.2788
2007-12-31,0.0979794128860084,0.13622405978198843,28.8,0.7616334844145372,0.55,5.0177,0.3725,66701376000,17.7538,2.2816,27.6539,5.7755,2.0773,1.5985,9.288334694621126,0.2756,1.5945458156665313,0.1542,0.2011,0.1251,0.3597
2008-03-31,-0.06527777777777774,0.03392135297544338,26.92,0.43457538994800693,0.1226,5.4605,0.3762,61781400000,14.6297,1.9928,24.7422,4.9021,1.7985,1.6066,7.32768153420075,0.2746,1.889760348583878,0.1889,0.126,0.1309,0.3497
2008-06-30,0.05200594353640411,0.08428836037178997,28.32,0.42391304347826086,0.3152,5.7634,0.3881,65781412800,14.7194,2.0004,22.0151,4.9623,1.8061,1.6411,7.436949542919933,0.2765,2.1680823492437975,0.179,0.108,0.1321,0.3456
2008-09-30,-0.31497175141242945,-0.22619048996833765,19.4,0.4040976460331299,0.3766,5.3517,0.3774,45062126000,9.6741,1.3067,14.3601,3.6704,1.1559,1.5652,6.989303573462318,0.2949,1.6467265658970462,0.1638,0.1054,0.1397,0.3648
2008-12-31,-0.22628865979381438,-0.0007065164967290649,15.01,0.0933800964489259,0.4423,5.16,0.3565,34865077900,11.1818,0.9986,12.1017,2.9621,0.8341,1.5239,3.29263256342403,0.2082,1.2898281807653726,0.0773,0.0233,0.0951,0.2593
2009-03-31,-0.07128580946035978,0.045381785206468336,13.94,0.28533916849015317,-0.1229,5.2415,0.3739,31825020000,11.5016,0.9315,13.7354,2.6571,0.7802,1.5742,5.803498763461855,0.1865,1.434077967586509,0.1373,0.0904,0.085,0.233
2009-06-30,0.13199426111908177,-0.02022353495080706,15.78,0.2952755905511811,0.3731,5.8097,0.3922,36025740000,14.603,1.0898,14.7344,2.7125,0.906,1.6325,6.216802107949768,0.1584,1.8287341217696014,0.1537,0.0852,0.0748,0.1953
2009-09-30,0.26996197718631176,0.12011214510070958,20.04,0.45172564438619484,0.4678,6.0847,0.4045,45751320000,17.7744,1.4219,17.2516,3.2848,1.2335,1.6886,7.874412436625111,0.1551,1.950065703022339,0.1445,0.1307,0.0753,0.1892
2009-12-31,-0.046906187624750385,-0.10179325572109064,19.1,0.23539668700959024,0.6333,6.309,0.4167,44490012000,15.336,1.3992,14.3701,3.074,1.1671,1.7305,5.78942350961452,0.1684,2.1353871516150638,0.1633,0.0616,0.0838,0.2042
2010-03-31,0.14345549738219887,0.09473333854935354,21.84,0.20217864923747278,0.1276,6.4043,0.4281,50016876000,18.436,1.5868,13.6285,3.4029,1.3535,1.7693,5.403415222789102,0.1543,2.353994279850665,0.1259,0.0669,0.0785,0.186
2010-06-30,-0.20879120879120874,-0.09016924219026601,17.28,0.27169646750981247,0.2298,6.3794,0.433,39469075200,14.8324,1.2659,11.8029,2.6981,1.0694,1.6997,6.251686468270178,0.152,1.9114833478540687,0.1501,0.0822,0.0781,0.1814
2010-09-30,0.2222222222222222,0.11502427670719398,21.12,0.3382867132867133,0.5314,6.3544,0.4118,48236601600,20.0902,1.5474,13.8253,3.3177,1.3696,1.6145,6.960668712968516,0.1382,1.5635330329738653,0.1691,0.0979,0.0695,0.1646
2010-12-31,0.06297348484848476,-0.039059522914083544,22.45,0.30594405594405594,0.5979,6.7561,0.4258,51263677000,20.017,1.6228,15.0598,3.3163,1.3863,1.5143,6.821112797693874,0.1438,1.9755108475734193,0.1293,0.0762,0.0715,0.1707
2011-03-31,0.0775055679287306,0.023285011480141525,24.19,0.28615115771079075,0.0449,7.2494,0.4373,55248266700,20.0756,1.6713,17.1898,3.3294,1.5708,1.3428,6.839350975061161,0.1458,0.7600933478696807,0.148,0.0779,0.0741,0.1717
2011-06-30,0.07275733774286887,0.07667182269061727,25.95,0.38961605584642234,0.3036,7.2054,0.4142,59429911500,19.6657,1.69,17.5672,3.5985,1.6206,1.3773,7.954594141958892,0.1502,0.5156822419296384,0.1631,0.0922,0.0776,0.1825
2011-09-30,-0.34181117533718697,-0.19853218287572008,17.08,0.3448275862068966,0.2557,7.137,0.4062,39118665600,12.8764,1.0688,14.2094,2.3924,0.981,1.3434,7.442946750573843,0.1439,0.3357609417024695,0.1554,0.0846,0.0758,0.1848
