date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2002-09-30,,,0.0,-0.0006918021445866483,-0.007,0.0468,0.989,0,0.0,0.0,0.0,0.0,0.0,43.6666,,-0.2043,0.022137668626772744,0.0,0.0,-0.2021,-0.2043
2002-12-31,,,0.0,-0.002594258042199931,-0.0055,0.0446,0.9347,0,0.0,0.0,0.0,0.0,0.0,3.4705,,-0.223,0.007263922518159807,0.0,0.0,-0.2145,-0.223
2003-03-31,,,0.0,-0.0015565548253199586,-0.0079,0.0463,0.7657,0,0.0,0.0,0.0,0.0,0.0,0.3658,,-0.2243,-0.008993427879626427,0.0,0.0,-0.1884,-0.2243
2003-06-30,,,0.0,-0.06208924247665168,-0.0083,-0.0112,-1.7105,0,0.0,0.0,0.0,0.0,0.0,0.1666,0.12508592688274817,-3.8128,-0.014700795572466275,0.0,0.0,-1.9948,-3.8128
2003-09-30,,,0.0,-0.003440564252537416,-0.0165,0.0476,0.8993,0,0.0,0.0,0.0,0.0,0.0,8.6774,,-3.8018,0.04094271460519525,0.0,0.0,-2.3294,-3.8018
2003-12-31,,,0.0,-0.007491055456171735,-0.0138,0.0567,0.9355,0,0.0,0.0,0.0,0.0,0.0,11.3428,,-1.1592,0.040474060822898034,0.0,0.0,-1.0693,-1.1592
2004-03-31,,,0.0,-0.04108424631658481,-0.0332,0.0795,0.9407,0,0.0,0.0,0.0,0.0,0.0,11.566,,-1.3051,0.05289006422364941,0.0,0.0,-1.2253,-1.3051
2004-06-30,,,0.0,-0.011649670840325288,-0.0308,0.1497,0.7438,0,0.0,0.0,0.0,0.0,0.0,3.2928,,-0.2457,0.07360913902155673,0.0,0.0,-0.186,-0.2457
2004-09-30,,,0.0,-0.012118116816788932,-0.07,0.4458,0.816,0,0.0,0.0,0.0,0.0,0.0,3.464,,-0.1572,0.22629770637942243,0.0,0.0,-0.1224,-0.1572
2004-12-31,,,0.0,-0.06288385736547805,-0.0966,0.4179,0.8452,0,0.0,0.0,0.0,0.0,-12.8797,3.7873,,-0.298,0.1847098725822715,-1.4316,-3.7486,-0.2473,-0.298
2005-03-31,,,0.0,-0.027671159510845308,-0.0238,0.4156,0.8456,0,0.0,0.0,0.0,0.0,-8.2542,3.6998,,-0.3228,0.17499776845487816,-2.5223,-2.7678,-0.2729,-0.3228
2005-06-30,,,0.0,-0.03323562376066903,-0.105,0.3861,0.8809,0,0.0,0.0,0.0,0.0,-3.7152,11.9656,,-0.331,0.09793947754116734,-4.424,-4.8797,-0.2855,-0.331
2005-09-30,,,0.0,-0.025278144848459014,-0.0525,0.4066,0.8752,0,0.0,0.0,0.0,0.0,-2.4194,7.2106,,-0.3628,0.07481137303380365,-2.1297,-2.4811,-0.3186,-0.3628
2005-12-30,,,0.0,-0.025629980615981048,-0.0524,0.6832,0.9235,0,0.0,0.0,0.0,0.0,-10.3448,18.5764,,-0.1888,0.3575274606935171,-1.4628,-1.7122,-0.1712,-0.1888
2006-03-31,,,0.0,-0.026516883286526027,-0.0936,0.6547,0.9187,0,0.0,0.0,0.0,0.0,-7.1172,13.9167,,-0.1478,0.3079485337339168,-1.1371,-1.4097,-0.1362,-0.1478
2006-06-30,,,0.0,-0.04793791144959339,-0.0694,0.8107,0.4968,0,0.0,0.0,0.0,0.0,-3.982,1.1788,,-0.141,-0.5009681166903317,-0.801,-1.1869,-0.0827,-0.1448
2006-09-29,,,0.0,-0.11446584248633207,-0.9254,1.695,0.5182,0,0.0,0.0,0.0,0.0,0.5367,0.6928,,-0.1262,-0.9235565041563694,0.0249,-1.124,-0.0781,-0.1535
2006-12-29,,,0.0,-0.04258043861053305,0.5561,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.222,0.0,-0.4052,-0.2735,-0.1549,-0.299
2007-03-30,,,0.0,-0.050698198628436074,-0.1234,1.7456,0.5557,0,0.0,0.0,0.0,0.0,-0.3477,0.7877,,-0.2655,-1.0363775930502508,0.0537,-0.3013,-0.1476,-0.2655
2007-06-29,,,0.0,-0.0214927487603922,-0.1577,2.3513,0.6759,0,0.0,0.0,0.0,0.0,-0.5476,1.3513,,-0.0948,-0.5899284565470578,0.0086,-0.1131,-0.0587,-0.0948
2007-09-28,,,0.0,-0.03543628267446208,-0.1119,2.0655,0.6575,0,0.0,0.0,0.0,0.0,-0.3191,0.9868,,-0.0626,-0.6401795661576775,0.1535,-0.2011,-0.0417,-0.0626
2007-12-31,,,0.0,-0.02129856718729831,-0.0589,2.0005,0.6636,0,0.0,0.0,0.0,0.0,-0.3147,1.0438,,-0.0584,-0.4854029438074327,0.1506,-0.1116,-0.0388,-0.0587
2008-03-31,,,0.0,0.012974802557352389,-0.0259,2.1759,0.7248,0,0.0,0.0,0.0,0.0,-1.141,2.3414,0.8894009773646756,-0.0225,0.018690195440622375,0.2465,0.0821,-0.0165,-0.0236
2008-06-30,,,0.0,-0.003957604835867827,-0.0608,2.4018,0.6996,0,0.0,0.0,0.0,0.0,-0.9868,1.7251,,-0.0145,-0.19877476891382723,0.0948,-0.0259,-0.0108,-0.0151
2008-09-30,,,0.0,-0.0038769028583944803,0.0227,1.8339,0.7016,0,0.0,0.0,0.0,0.0,-0.6043,1.4379,,-0.0051,-0.3249106272343191,0.0041,-0.0346,-0.0037,-0.0054
2008-12-31,inf,inf,1.81,-0.046939733463948245,-0.2296,1.3208,0.6814,133664880,-31.7418,3.5928,-4.9525,1.0326,3.208,0.9703,,-0.0259,-0.4424222727765139,-0.6175,-1.4589,-0.0196,-0.0283
2009-03-31,-0.07182320441988957,0.04484439024693855,1.68,0.00805299389531108,-0.0294,1.5421,0.709,138334560,-30.7273,3.8424,-5.0059,0.9709,3.1128,1.4122,0.5812825907093555,-0.0312,-0.2412377644458478,0.2264,0.0652,-0.023,-0.0331
2009-06-30,0.22619047619047628,0.07397268012058744,2.06,0.008981463787502388,-0.089,1.5682,0.7152,169624520,-51.1379,4.7138,-5.3019,1.0878,4.1619,1.0616,0.6185958578075749,-0.021,-0.36180806878628163,0.0497,0.0795,-0.0158,-0.0222
2009-09-30,0.2281553398058251,0.07830550772022293,2.53,0.016646860477474084,-0.0871,1.5996,0.7873,221883530,-178.9383,5.7473,-5.1487,1.3401,5.5494,1.3706,0.8574420445475629,-0.0073,-0.2731553802123123,0.2615,0.1341,-0.0057,-0.0077
2009-12-31,0.557312252964427,0.5024251848680867,3.94,0.026497857505207827,-0.0579,2.0504,0.791,365037060,62.775,6.7848,-14.0615,1.9215,6.6802,1.3168,1.1194320395098087,0.0323,-0.33586978812507423,0.33,0.1337,0.0258,0.0327
2010-03-31,-0.20558375634517767,-0.25430591517802303,3.13,0.004697580002338162,0.0276,2.1765,0.7879,290226120,52.6439,4.8247,-14.0579,1.4171,4.6864,1.4085,0.48318795183738916,0.0275,-0.342586601095725,-0.2452,0.0249,0.022,0.0279
2010-06-30,0.28753993610223655,0.4061619027031793,4.03,0.11546552231898692,0.073,2.1765,0.7863,374592530,24.0154,4.9036,-77.2355,1.8101,4.7067,1.7749,2.4068361202848587,0.0748,-0.2676248776236942,0.4706,0.3998,0.0596,0.0757
2010-09-30,0.6923076923076923,0.585109746792664,6.82,0.1036846880283723,0.0873,2.323,0.7937,639906960,26.7385,6.6542,50.6055,2.8399,6.3972,2.3498,2.375660100079839,0.109,-0.18970882892100438,0.4702,0.3083,0.0874,0.1107
2010-12-31,1.129032258064516,1.0269992503019476,14.52,0.12458938608657566,0.0844,1.9294,0.8207,1488488760,42.3696,12.6241,54.5813,7.0392,12.275,4.2926,2.4889170042200273,0.1584,0.13579741106006069,0.5189,0.3405,0.1297,0.1608
2011-03-31,0.46280991735537186,0.4085893609067828,21.24,0.22557598896218034,0.2338,2.415,0.8051,2180986920,37.2442,14.0321,44.137,8.5341,13.4812,4.7655,3.6037459108926577,0.2473,0.4437735555057799,0.5834,0.4319,0.2036,0.2507
2011-06-30,-0.1318267419962334,-0.127912257048485,18.44,0.2851696495152871,0.1792,2.7483,0.7929,1916100400,24.5107,9.7754,31.0536,6.4987,9.2398,3.8135,4.277405192090905,0.2774,0.5755268982773554,0.6527,0.4496,0.2268,0.284
2011-09-30,-0.17516268980477223,-0.031883697343305345,15.21,0.2577998087758872,0.0268,3.0268,0.7864,1596046140,16.6447,7.0996,28.4363,4.8947,6.6271,3.5642,4.252615837215598,0.2991,0.495349457754398,0.6706,0.4522,0.2438,0.3088
2011-12-30,0.10716633793556864,-0.004357169461940355,16.84,0.19728557824764476,0.2683,3.2413,0.7908,1777748280,17.164,7.0202,23.4225,5.0706,6.6409,4.9363,3.8457268831986506,0.2969,0.42492445555902886,0.5554,0.3114,0.2414,0.3061
2012-03-30,-0.015439429928741186,-0.13540603142847052,16.58,0.24111969994968668,0.2529,3.471,0.789,1750300860,16.5026,6.7408,22.2108,4.6128,6.4122,4.2182,4.418471866628914,0.2825,0.3839457406197012,0.5475,0.4272,0.2295,0.2905
2012-06-29,-0.12846803377563323,-0.09558842861066189,14.45,0.1423196968008026,0.0797,3.6897,0.7782,1530096050,16.8531,6.1241,22.4499,3.8521,5.8403,3.7571,3.467285169857792,0.2267,0.14807959278111985,0.4931,0.263,0.1831,0.2337
2012-09-28,0.6034602076124569,0.5458238008793047,23.17,0.21246657382805492,0.0339,4.833,0.7764,2689133370,30.5976,10.499,38.8406,4.7535,10.1864,2.559,4.842849594568978,0.1778,-0.21491284755430334,0.5162,0.3673,0.1418,0.1825
2012-12-31,-0.12861458782908936,-0.11856363785625007,20.19,0.1887286360872796,0.1698,5.0118,0.73,2357323830,26.5171,8.8958,39.077,3.9717,8.6143,3.0214,4.651507771050523,0.1445,-0.3990253261046447,0.4868,0.2888,0.1153,0.1533
2013-03-29,-0.1991084695393759,-0.29937561899002996,16.17,0.22500445477764294,0.2148,5.303,0.7365,1891679790,21.2412,6.8693,32.6185,3.0268,6.5952,2.6419,5.202550437382569,0.1339,-0.42153401660013506,0.43,0.3679,0.1071,0.1461
2013-06-28,-0.3450834879406309,-0.3687199432300309,10.59,0.0013637564671888718,0.0067,5.3389,0.7197,1237144980,16.7417,4.5445,24.6462,1.975,4.3982,2.2261,0.40544227099623753,0.1091,-0.8391826881922926,0.2665,0.0029,0.0859,0.1181
