date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,0.0,-0.010370105489004112,-0.2385,1.1896,0.7684,0,0.0,0.0,0.0,0.0,845.0,6.2325,,-0.0338,-0.2386912211693188,0.0,0.0,-0.0332,-0.0445
2003-06-30,,,0.0,-0.028249597711424997,-0.0591,1.2001,0.7716,0,0.0,0.0,0.0,0.0,921.0,4.9282,,-0.0265,-0.2569283032361881,0.0,0.0,-0.0261,-0.0339
2003-09-30,,,0.0,-0.0465760772394064,-0.1008,2.0474,0.9239,0,0.0,0.0,0.0,0.0,0.0,725.6363,,-0.0076,0.5450563204005007,0.0,0.0,-0.0076,-0.0088
2003-12-31,,,0.0,-0.0190967490753358,-0.0431,0.5,0.9037,0,0.0,0.0,0.0,0.0,0.0,3.3151,,-0.0734,0.12326260463305432,0.0,0.0,-0.0726,-0.0796
2004-03-31,,,0.0,-0.00889624294335215,-0.0463,0.5115,0.9185,0,0.0,0.0,0.0,0.0,0.0,3.4272,,-0.0807,0.11014210628771656,0.0,0.0,-0.0797,-0.0875
2004-06-30,,,0.0,-0.017714398499950657,-0.0804,0.579,0.9519,0,0.0,0.0,0.0,0.0,0.0,9.3498,,-0.093,0.2890013626630329,0.0,0.0,-0.0925,-0.0987
2004-09-30,,,0.0,-0.006279730599557279,-0.129,0.6547,0.953,0,0.0,0.0,0.0,0.0,0.0,8.3933,,-0.0725,0.2931660231660232,0.0,0.0,-0.0722,-0.0758
2004-12-31,,,0.0,-0.04231644897889313,-0.2363,1.2648,0.9867,0,0.0,0.0,0.0,0.0,0.0,31.7847,,-0.075,0.5594594594594594,0.0,0.0,-0.0742,-0.0762
2005-03-31,,,0.0,-0.020010142722596536,-0.1583,1.2271,0.7163,0,0.0,0.0,0.0,0.0,0.0,23.3339,,-0.0562,0.32882076817344846,0.0,0.0,-0.0552,-0.0672
2005-06-30,,,0.0,-0.0320199914544301,-0.2121,1.0821,0.7129,0,0.0,0.0,0.0,0.0,0.0,18.4479,,-0.0584,0.16781415814675812,0.0,0.0,-0.0571,-0.0799
2005-09-30,,,0.0,-0.025260433516661275,-0.278,1.0629,0.6913,0,0.0,0.0,0.0,0.0,37.0204,9.9226,,-0.072,-0.057837991571218036,-0.6258,-4.4263,-0.0701,-0.0999
2005-12-30,,,0.0,-0.05213711712411196,-0.2823,1.0047,0.6152,0,0.0,0.0,0.0,0.0,10.5674,2.3641,,-0.0845,-0.33647019337515816,-1.0223,-1.7632,-0.0802,-0.1231
2006-03-31,,,0.0,0.006650109094285316,-0.045,1.0285,0.6333,0,0.0,0.0,0.0,0.0,1.4324,3.0265,0.4077965013096425,-0.0632,-0.19691134035939414,0.3518,0.0458,-0.0592,-0.0948
2006-06-30,,,0.0,-0.0034458331832534906,-0.0916,1.5782,0.8847,0,0.0,0.0,0.0,0.0,-0.4129,5.3948,,-0.0416,0.2398860032570498,0.2979,-0.0195,-0.0394,-0.0517
2006-09-29,,,0.0,0.008952695458249347,-0.0428,1.4314,0.8687,0,0.0,0.0,0.0,0.0,-0.1991,4.6245,0.5369683289320774,-0.0202,0.2279477009589583,0.2463,0.0686,-0.0192,-0.0219
2006-12-29,,,0.0,-0.07817187761753194,-0.1101,2.0619,0.8612,0,0.0,0.0,0.0,0.0,-0.0907,4.145,,-0.0276,0.22986629104374087,0.2577,-0.3354,-0.0258,-0.0298
2007-03-30,,,0.0,0.012318307553640065,0.0047,1.4213,0.8494,0,0.0,0.0,0.0,0.0,-0.0705,4.3865,0.6369348660750542,-0.0231,0.22646883133506848,0.2956,0.0701,-0.0213,-0.0249
2007-06-29,,,0.0,0.019595835884874464,-0.0052,1.462,0.8325,0,0.0,0.0,0.0,0.0,-0.1181,3.9821,0.8133492805834956,-0.0081,0.24278562545837187,0.2843,0.0907,-0.0073,-0.0087
2007-09-28,,,0.0,0.0012067453973492858,0.0002,1.4643,0.8203,0,0.0,0.0,0.0,0.0,-0.1271,3.437,0.20163576496042512,-0.0125,0.22013452724494992,0.2192,0.0075,-0.0113,-0.0137
2007-12-31,,,0.0,-0.0027490536911332444,0.0629,1.4922,0.8026,0,0.0,0.0,0.0,0.0,-0.1034,4.7181,,0.0192,0.15914765753946422,0.2052,-0.0125,0.0168,0.0207
2008-03-31,,,0.0,0.05896765256226029,0.0985,1.5421,0.7958,0,0.0,0.0,0.0,0.0,-0.2188,3.7882,1.4453495377999317,0.049,0.23487360896160364,0.4522,0.1838,0.041,0.0513
2008-06-30,,,0.0,0.063554798176816,0.0826,1.6254,0.8546,0,0.0,0.0,0.0,0.0,-0.1961,5.4335,1.5420037139851457,0.0748,0.29636188360542365,0.4634,0.1914,0.063,0.0764
2008-09-30,,,0.0,0.08587921755862651,0.1544,1.7323,0.8467,0,0.0,0.0,0.0,0.0,-0.2904,4.705,1.8435472320408184,0.1217,0.40433412628855225,0.4521,0.2243,0.104,0.1223
2008-12-31,inf,inf,6.82,0.09339042285761001,0.0831,1.8364,0.8587,658314140,22.4068,4.9506,16.1624,3.6632,4.6179,5.7084,1.9829498489636617,0.1684,0.4852010318356522,0.4498,0.282,0.1439,0.1688
2009-03-31,0.04692082111436941,0.16358841578119754,7.14,0.08544094794094795,0.1153,2.4667,0.9012,689202780,21.2238,5.0136,16.0,2.7136,4.1416,12.6369,2.192482490151663,0.1497,1.2425331772457446,0.474,0.2476,0.1322,0.1497
2009-06-30,0.15966386554621845,0.007446069476329614,8.28,0.11743134218890067,0.1334,2.4846,0.9116,897444360,22.8642,6.1006,18.0354,3.2705,5.1434,17.4799,2.5957241441234493,0.1485,1.2924059158386154,0.5432,0.3089,0.1346,0.1485
2009-09-30,0.05797101449275368,-0.0918788175928485,8.76,0.12805160166562338,0.1258,2.6543,0.9111,953210640,21.173,6.305,19.6069,3.2579,5.2604,17.1911,2.7865817372988997,0.1588,1.4243387799364053,0.5656,0.3419,0.1447,0.1588
2009-12-31,0.3664383561643837,0.31155128806804344,11.97,0.1804482225656878,0.1666,2.8773,0.8887,1314904500,23.4963,7.6701,22.2755,4.1065,6.58,15.5377,3.449592260503151,0.1826,1.5498680018206645,0.6121,0.3814,0.1642,0.1826
2010-03-31,0.1203007518796992,0.07157859304685386,13.41,0.1337854606873255,-0.2264,3.3233,0.8563,1532588670,24.447,8.3949,73.4174,3.974,7.4953,9.46,3.1921428545649344,0.1776,1.112733731745518,0.5928,0.3327,0.1546,0.1776
2010-06-30,0.14466815809097686,0.2632901246919196,15.35,0.08116026453757325,0.0528,3.5353,0.8683,1777207650,30.0229,9.4493,144.4884,4.3064,8.5153,10.2474,2.5602847184136395,0.1482,1.2483956503338256,0.4998,0.1994,0.1279,0.1482
2010-09-30,0.11270358306188917,0.005505637546860939,17.08,0.17453634256102551,-0.038,3.6929,0.8653,1979264560,30.191,10.9273,-327.9643,4.568,9.9036,9.3513,3.8329124268027845,0.1549,1.3269877979323794,0.4515,0.5964,0.1343,0.1549
2010-12-31,0.11768149882903992,0.015648491066471606,19.09,0.5324920617540786,-0.0636,4.1345,0.8947,2220930600,21.3888,8.1423,-70.3806,4.9013,7.414,12.7934,7.111210216236207,0.2342,1.5425219185146983,0.5244,0.4044,0.2061,0.2342
2011-03-31,-0.16815086432687265,-0.22237142077546174,15.88,0.1511473383949959,0.1634,3.9693,0.8866,1852941920,17.4529,6.6061,132.0041,3.9512,5.8423,10.2175,3.6993878883374918,0.2302,1.628303794864763,0.5695,0.3283,0.205,0.2302
2011-06-30,0.045969773299748024,0.04988425824749643,16.61,0.13130953591647174,0.1047,4.1721,0.8943,1944781850,17.335,6.7094,96.105,3.9504,5.9512,12.3555,3.5281662397014126,0.2334,1.7404278942648503,0.5488,0.2724,0.2078,0.2334
2011-09-30,-0.09211318482841659,0.0511658076330503,15.08,0.04554900120659606,-0.2059,4.2613,0.8809,1783677480,18.3607,5.9354,14741.1361,3.5072,5.1949,9.7609,2.103507865267457,0.1941,1.783253438844785,0.7766,0.1208,0.1722,0.1941
2011-12-30,0.12864721485411137,0.017123707456602383,17.02,0.1783940015917564,0.0148,4.4699,0.8904,2014878660,33.536,8.8619,227.0797,3.7763,7.8364,11.864,4.254413587932011,0.1153,1.765185879729353,0.5989,0.2993,0.1021,0.1153
2012-03-30,0.0728554641598121,-0.04711113733991723,18.26,0.24485895891321507,0.165,4.6649,0.8744,2179312740,30.3974,8.9593,231.1532,3.8815,7.8751,9.7787,5.099628376701653,0.1309,1.9234597692481714,0.638,0.4194,0.1155,0.1309
2012-06-29,-0.15607886089813808,-0.12319925573316673,15.41,0.20454771454141668,0.2802,4.9102,0.8894,1846996370,22.8351,6.9106,59.8159,3.117,5.83,14.4847,4.7743876369471465,0.1401,2.1987451713291675,0.6567,0.3051,0.1236,0.1401
2012-09-28,0.2569759896171318,0.19933958288397957,19.37,0.21415870652938016,0.172,5.1017,0.8728,2336312550,23.0535,7.9585,30.6337,3.7873,6.862,9.4858,4.975696572051175,0.1675,2.392704058367533,0.637,0.3632,0.1476,0.1675
2012-12-31,-0.0918946824987094,-0.08184373252587013,17.59,0.31138127900768064,0.4298,5.4254,0.8761,2126120890,18.0248,6.455,16.7655,3.219,5.3463,10.3556,6.189102176674034,0.1846,2.686202645795931,0.665,0.3544,0.1615,0.1846
2013-03-29,-0.22057987492893685,-0.3208470243795909,13.71,0.20473774598622949,0.1484,6.1751,0.8903,1747586280,15.2662,5.0597,13.8924,2.2294,3.6407,12.1077,5.339032747132723,0.1585,3.4858395832679574,0.6334,0.3012,0.14,0.1585
2013-06-28,-0.11889132020423054,-0.14252777549363052,12.08,0.0691665230267797,-0.017,6.2253,0.9105,1538375920,15.5993,4.488,17.1301,1.9361,3.1259,18.8221,3.1139871604396894,0.1249,3.5787481644928505,0.5876,0.1127,0.1125,0.1249
2013-09-30,0.28559602649006616,0.23873618999929044,15.53,0.07239808378733796,0.0988,6.3967,0.9009,1983320770,24.1951,5.915,24.2964,2.4269,4.6114,11.7193,3.231880093195951,0.1017,3.2353397176393206,0.4787,0.1449,0.0921,0.1017
2013-12-31,-0.2189311010946554,-0.31813120319074684,12.13,-0.04128666598821052,-0.0188,6.3561,0.9041,1549110170,39.9337,5.4896,57.5984,1.9078,4.002,18.917,,0.0476,3.0691024125159543,0.3766,-0.0979,0.0429,0.0476
2014-03-31,-0.25638911788953017,-0.2693627705647632,9.02,0.021537423822931945,-0.0288,6.2634,0.8892,1148760140,73.88,4.8383,262.8741,1.4384,3.1061,13.2278,1.7422900723570711,0.0193,2.9658754524682585,0.4077,0.0661,0.0173,0.0193
2014-06-30,0.12416851441241697,0.07722724506343365,10.14,-0.06751014100830596,-0.1467,3.2183,0.899,1291399980,-128.4336,5.5027,-43.1588,1.6147,3.8245,18.0007,,-0.0125,2.9570498676947476,0.1484,-0.2221,-0.0112,-0.0125
2014-09-30,-0.2149901380670612,-0.22114250728593524,7.96,-0.12508963429208828,-0.3816,6.2526,0.8802,1013761720,-28.9613,4.1586,-11.2076,1.2917,2.6125,10.6693,,-0.0441,2.825215732154495,0.3017,-0.2153,-0.0393,-0.0441
2014-12-31,-0.1042713567839196,-0.14818470703458494,7.13,-0.8580287542723012,0.0325,12.9362,0.7149,908055410,-6.5834,3.4866,-10.8172,0.5566,4.3278,3.5384,,-0.101,-3.6629317587568804,-0.0723,-1.5347,-0.0869,-0.1141
2015-03-31,-0.17812061711079938,-0.18248702182243262,5.86,-0.2788904426694477,-0.0695,6.2132,0.8917,746312020,-4.2409,2.6322,-8.3792,0.9489,1.3921,13.5776,,-0.1288,2.688018719033897,0.3452,-0.5464,-0.1112,-0.1455
2015-06-30,-0.034129692832764534,-0.03181826166159572,5.66,-2.8386990604990725,-0.1466,8.688,0.5929,721061360,-1.3385,2.5825,-9.9869,0.6208,3.2258,1.6136,,-0.476,-3.2046846054821185,0.2443,-5.33,-0.3792,-0.5531
2015-09-30,-0.34805653710247353,-0.278704892897794,3.69,-0.13194644712463408,-0.2259,7.0457,0.706,943643700,-1.6959,3.0449,-11.5784,0.529,3.0169,4.9749,,-0.3109,-0.8888280608454229,0.1476,-0.3223,-0.2481,-0.3778
2015-12-31,-0.10840108401084009,-0.17293648721739902,3.29,-0.23583434683631146,-0.0682,6.721,0.7002,845760300,-1.6625,2.3817,-8.2033,0.4905,2.4532,4.8368,,-0.2453,-0.9911697203096433,-0.0034,-0.5229,-0.2039,-0.29
2016-03-31,0.60790273556231,0.6001725432469456,5.29,0.03687217519224848,-0.0361,6.6905,0.7066,1393491800,-3.0051,3.5296,-13.4247,0.7917,3.6091,4.2818,2.3589947860894616,-0.2248,-0.9520917166502164,0.2502,0.093,-0.1872,-0.2661
2016-06-30,0.6257088846880906,0.6067161393061609,8.6,-0.044618549216528525,-0.006,6.6984,0.7104,2290326200,-23.8575,5.1618,-26.6937,1.2928,5.222,4.5588,,-0.046,-0.9379799261782011,0.288,-0.0982,-0.0385,-0.0543
2016-09-30,-0.046511627906976785,-0.07958191775808761,8.2,0.017683009943009132,-0.0018,6.5563,0.7084,2189908400,-37.8876,4.7024,-75.2545,1.2304,4.7356,4.3027,1.6285866452708821,-0.0276,-0.949592229519737,0.3582,0.0382,-0.023,-0.0325
2016-12-30,-0.16585365853658532,-0.19839575797907272,6.84,-0.07713073659853452,0.0029,6.5875,0.7059,1826806680,-102.0562,3.7884,-169.1487,1.0383,3.861,4.5632,,-0.0086,-1.0420215892794962,0.2617,-0.1558,-0.0071,-0.0101
2017-03-31,0.17397660818713442,0.11863971871587911,8.03,0.00034548281223009154,-0.0466,6.9314,0.7299,2401226960,-87.3173,4.813,-162.245,1.1968,3.8262,1.7127,0.2340299279242495,-0.0125,-0.14513496883276705,0.2528,0.0008,-0.0104,-0.0146
2017-06-30,-0.10585305105853048,-0.13153952349656095,7.18,0.007927018582252726,-0.0224,6.6547,0.8313,2148995540,-161.5786,4.2128,-107.4497,1.0666,3.9225,3.9217,1.0959438647214819,-0.0061,-0.21015492661283047,0.3328,0.0182,-0.0051,-0.0066
2017-09-29,-0.050139275766016636,-0.08973232803218625,6.82,0.0947717580161112,0.0171,6.757,0.8338,2050460280,191.6318,3.9946,-143.3888,0.9985,3.6712,3.8464,3.8175066627360428,0.0052,-0.12772156698397494,0.3812,0.2236,0.0043,0.0052
2017-12-29,-0.045454545454545525,-0.10668040973079143,6.51,-0.013800555545767928,0.0472,7.8727,0.8075,2533054020,95.2275,4.6666,2533.054,0.9447,4.2307,4.0035,,0.0112,-0.47776675524669626,0.3518,-0.029,0.0091,0.0112
2018-03-30,-0.1996927803379416,-0.18744716900385455,5.21,0.001529001332779495,0.0186,6.8292,0.8053,2028669800,74.8586,3.4101,93.0582,0.7569,3.0012,3.9635,0.4866707646415144,0.0101,-0.49155067029636856,0.35,0.0034,0.0081,0.0101
2018-06-29,0.09213051823416515,0.06278412989965035,5.69,-0.02284382523703677,0.0233,6.8451,0.801,2217939240,140.3759,3.5066,58.8312,0.8316,3.1206,3.6951,,0.0059,-0.5677328653962586,0.3078,-0.0526,0.0047,0.0059
2018-09-28,-0.18980667838312829,-0.2617651883904533,4.61,0.01824882269748014,-0.025,6.7713,0.8014,1798171990,-310.0296,2.7647,79.5651,0.673,2.4104,3.333,1.677422784413301,-0.0021,-0.5960636724187879,0.2767,0.049,-0.0017,-0.0021
2018-12-31,-0.2190889370932755,-0.07937284928851027,3.6,-0.18307608795845837,-0.0361,6.6632,0.7952,1408500000,-19.4008,2.1609,-185.3289,0.5412,1.8329,2.934,,-0.0275,-0.7230670926517572,-0.0564,-0.4383,-0.0219,-0.0275
2019-03-29,0.4111111111111111,0.28044920795474015,5.08,0.04261839288069894,-0.0276,6.6291,0.8009,1975881240,-35.0333,3.1126,-76.5845,0.7561,2.812,3.2621,2.5356451748456195,-0.0216,-0.7350502502873097,0.3721,0.1076,-0.0172,-0.0216
2019-06-28,0.19094488188976372,0.15306733774608114,6.05,0.06005486368054884,0.003,6.708,0.7991,2358949450,-98.7008,3.7207,-69.9985,0.8948,3.4068,2.9054,3.0251528938366037,-0.0091,-0.7376080059706239,0.4134,0.1403,-0.0072,-0.0091
2019-09-30,-0.04132231404958678,-0.0532131482279795,5.8,0.044883417225596224,0.004,6.7385,0.7977,2268902000,-169.321,3.4366,-102.2027,0.8538,3.1299,3.0542,2.621182626109368,-0.005,-0.7571768194483499,0.4488,0.1023,-0.004,-0.005
2019-12-31,0.03793103448275858,-0.04741066143153525,6.02,0.09640779482391623,0.0124,6.8381,0.7935,2358623960,24.5434,3.4528,-737.0699,0.875,3.1518,3.0974,3.866479900826554,0.0359,-0.7833118086360829,0.4612,0.2043,0.0285,0.0359
2020-03-31,-0.1694352159468438,0.030575287877795232,5.0,-0.031430389353530555,-0.1571,6.7917,0.7585,1956260000,29.1979,2.7791,-36.3617,0.736,2.594,3.4428,,0.0245,-1.0691319149806262,0.4612,-0.0695,0.0194,0.025
2020-06-30,0.8760000000000001,0.6764712803055143,9.38,0.0296279789413442,-0.0126,6.8022,0.7664,3671247580,66.6288,5.5456,-61.1874,1.3667,5.347,3.8089,2.1398252415934205,0.0198,-1.0470348066255994,0.3716,0.0927,0.0157,0.0206
