date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,12.18,0.25500141884222477,0.4713,6.7593,0.4663,1030135680,13.2425,0.9739,8.5302,1.8019,1.1102,2.3232,6.28823544406537,0.1021,-2.7163497919031405,0.1694,0.0808,0.0641,0.1357
2003-06-30,0.1486042692939245,-0.00032639213999222094,13.99,0.2699991630898722,0.3131,7.1065,0.4758,1170137590,14.6856,1.089,10.5433,1.9686,1.2055,2.4303,6.63109860807393,0.1043,-2.522949271290396,0.1677,0.0838,0.0643,0.1366
2003-09-30,-0.018584703359542515,-0.04061648448127161,13.73,0.11500046672267339,0.133,7.0357,0.4546,1176715920,17.0087,1.0818,14.0369,1.9514,1.2707,2.2439,4.358493672824538,0.0865,-3.192663119574349,0.1329,0.0356,0.0537,0.1155
2003-12-31,0.0917698470502549,-0.024649399164899777,14.99,0.1985782046580949,0.3735,7.5255,0.4586,1267269590,17.9008,1.1438,11.622,1.9918,1.3182,2.2914,5.849807059428714,0.0835,-3.190179912705078,0.1682,0.0568,0.0521,0.1142
2004-03-31,-0.032688458972648445,-0.04554002781521022,14.5,0.15999952965523728,0.4271,7.5304,0.4623,1233138000,19.6253,1.0601,11.688,1.9255,1.2034,2.2487,5.287390377000692,0.0729,-3.024798927613941,0.1332,0.0422,0.0453,0.0984
2004-06-30,0.09172413793103448,0.07873366067523582,15.83,0.24500100274871117,0.3478,7.7267,0.4742,1341861610,21.9908,1.0994,12.3339,2.0487,1.2124,2.0343,6.592623718975625,0.0722,-2.8719548881050407,0.1516,0.0635,0.0441,0.0942
2004-09-30,0.1086544535691725,0.1316725898129733,17.55,0.01,0.3261,8.0242,0.2731,1451385000,27.9166,1.0689,11.6701,2.1871,1.3616,0.9057,1.343668485899703,0.0424,-12.396263603385732,0.1794,0.0019,0.0272,0.0788
2004-12-31,0.10313390313390305,0.015800475539185968,19.36,0.22901894010076507,0.4795,8.2964,0.2912,1660003840,30.2704,1.0966,12.397,2.3335,1.6602,1.9997,6.603926455529774,0.0335,-11.475555140884493,0.1087,0.0435,0.0225,0.0797
2005-03-31,-0.06095041322314048,-0.035098808340851925,18.18,0.259043459735833,-0.2262,9.2838,0.3481,1706738400,26.0368,1.0029,22.3594,1.9582,1.4417,2.1525,7.468356301658492,0.0386,-8.413879420536855,0.134,0.0476,0.0265,0.0828
2005-06-30,0.00330033003300323,-0.005796808300637022,18.24,0.33413937587292325,0.2744,9.2995,0.3532,1749982080,22.774,0.9319,23.9117,1.9613,1.3265,2.1398,8.485352118207876,0.0437,-8.089845948593942,0.1485,0.0637,0.0305,0.0871
2005-09-30,0.03344298245614052,0.001982258792996107,18.85,0.2750007844613888,0.4009,9.493,0.3542,1802191950,17.6157,0.9146,21.3163,1.9856,1.3068,1.9814,7.733427441956122,0.0574,-8.363488029119207,0.1334,0.0518,0.0402,0.1136
2005-12-30,0.017506631299734655,0.0016539123766466657,19.18,0.33223270115772746,0.5711,9.5989,0.364,1858810520,16.1822,0.8819,18.8172,1.9981,1.2223,2.0706,8.61570224922972,0.0646,-7.756154941494521,0.1202,0.0547,0.0448,0.1249
2006-03-31,0.18248175182481752,0.14516674121264414,22.68,0.3559697628663146,0.1626,10.0638,0.3763,2190207600,17.5323,0.9933,16.1359,2.2536,1.315,2.2647,9.092442023110419,0.0701,-7.358734596665631,0.1379,0.0565,0.0486,0.1313
2006-06-30,0.05555555555555562,0.07460769518219036,23.94,0.4459391307032802,0.6904,10.6041,0.3899,2325986460,17.0786,1.0242,13.1792,2.2576,1.3101,2.2236,10.448590553455029,0.075,-6.9860229108986305,0.1494,0.0761,0.0521,0.136
2006-09-29,0.13492063492063494,0.08323583966182992,27.17,0.02352566342576415,0.6162,10.5829,0.3941,2643586660,23.5634,1.1144,13.3438,2.5673,1.3857,2.2361,2.3983658606739615,0.0615,-6.688215585109663,0.176,0.0037,0.0426,0.1089
2006-12-29,0.3213102686786896,0.25958921111305777,35.9,0.6458053467600521,1.3709,10.9481,0.4219,3500860300,24.4868,1.478,12.6637,3.279,1.7028,1.9895,12.785523503423155,0.0782,-5.146610334608325,0.1775,0.1077,0.0555,0.1363
2007-03-30,0.151532033426184,0.14972710045339543,41.34,0.5959550377420414,-0.2081,11.1214,0.4154,4030815360,24.1799,1.7149,16.7638,3.7171,1.9742,2.661,12.352926226321886,0.0909,-5.583904250082048,0.1848,0.0986,0.0648,0.1549
2007-06-29,-0.06797290759554915,-0.1260292897055461,38.53,0.5538270132433989,0.5307,11.4341,0.4172,3747273680,21.1427,1.5977,16.6558,3.3697,1.8434,2.91,12.060210283556968,0.0949,-5.388006909599408,0.1873,0.0955,0.0672,0.1613
2007-09-28,0.1471580586555931,0.13159280452709768,44.2,0.6086029699503636,0.4762,12.5183,0.446,4292085200,18.3385,1.8487,20.3156,3.5308,2.0979,2.5204,13.220044278301332,0.1224,-5.128509051963833,0.1756,0.1012,0.0868,0.2011
2007-12-31,-0.06674208144796386,-0.028497434551983836,41.25,0.6043298969072165,0.6827,13.7388,0.4708,3772147500,16.4227,1.6146,26.2315,2.8305,1.8615,2.6145,13.795884982782763,0.1141,-4.859108107517004,0.1744,0.0978,0.0826,0.1802
2008-03-31,-0.1146666666666666,-0.015467535913445477,36.52,0.6736701986049731,-0.0142,13.304,0.4198,3339607920,14.2205,1.3827,20.5187,2.6731,1.6833,2.7981,14.296124346324667,0.1107,-6.371279224897754,0.17,0.0946,0.0808,0.1819
2008-06-30,0.09282584884994505,0.1251082656853309,39.91,0.6675002977253781,0.6025,14.1682,0.4263,3653042120,15.0557,1.4777,21.9019,2.7913,1.7614,2.8003,14.681762437439017,0.112,-6.078081982257571,0.1696,0.0993,0.0802,0.1897
2008-09-30,-0.22726133801052362,-0.13848007656643183,30.84,0.6088440903918062,0.345,13.5886,0.4149,2822846880,11.776,1.1076,18.5246,2.2515,1.3967,3.2181,13.732605726045259,0.1084,-6.044421623038938,0.158,0.085,0.0787,0.187
2008-12-31,-0.2769130998702983,-0.05133095657321296,22.3,0.14152328317609725,1.5248,12.0515,0.3886,2065916600,10.6379,0.8373,9.084,1.8503,1.1019,2.6893,6.215578082527191,0.0898,-6.231633600310874,0.074,0.0253,0.0658,0.1638
2009-03-31,-0.023766816143497807,0.09290077852333031,21.77,0.2766866019586697,-0.355,11.6087,0.3968,1998420690,12.7825,0.8743,10.1873,1.8753,1.1841,3.1018,8.520513820765865,0.0756,-6.730786409141911,0.1124,0.0521,0.0562,0.1432
2009-06-30,0.174552135966927,0.022334339897038175,25.57,0.4183521535468585,0.8612,12.5325,0.4333,2352721270,17.6659,1.1149,10.7061,2.0402,1.4221,3.1267,10.893116799998301,0.0653,-6.467715816587147,0.1249,0.0864,0.0498,0.12
2009-09-30,0.35314822057098166,0.20329838848537948,34.6,0.5655716362531733,1.401,13.4991,0.4475,3189220400,24.6969,1.6231,10.0586,2.5631,1.8941,2.9331,13.148384826808572,0.0621,-5.783876147286653,0.1689,0.1011,0.0474,0.1077
2009-12-31,0.051156069364161734,-0.0037309987321785254,36.37,0.6753214397902924,0.8875,13.5759,0.4522,3318435170,18.6044,1.6547,12.8751,2.6477,1.8879,2.9215,14.418391023739215,0.0844,-5.328218673622604,0.181,0.1116,0.0642,0.1428
2010-03-31,0.17211987902117146,0.12339772018832612,42.63,0.6866898788411268,0.021,13.4625,0.4502,3889603830,17.9843,1.853,13.3081,3.1338,2.1054,3.0307,14.485836524646778,0.1029,-4.955053101127782,0.1859,0.1091,0.0782,0.1734
2010-06-30,-0.06849636406286656,0.05012560253807617,39.71,0.8875270054608028,1.0668,13.5647,0.4574,3623180110,13.9602,1.6129,11.6389,2.8997,1.8181,3.4087,16.530594684124036,0.124,-4.389715149987396,0.2199,0.1379,0.0945,0.2084
2010-09-30,0.1787962729790985,0.07159832746407027,46.81,1.017451836406681,1.363,15.6169,0.4896,4280727690,14.2172,1.8483,13.9135,2.9767,1.9911,3.4855,18.987555132065403,0.1383,-3.1335170422858645,0.2455,0.1601,0.1062,0.224
2010-12-31,0.19162572099978634,0.08959271323721803,55.78,0.8341183986832559,0.3259,15.98,0.4809,5109113320,16.1794,2.1623,19.9706,3.462,2.2987,3.702,17.391622601123302,0.1356,-2.665425682904994,0.2026,0.1273,0.1051,0.2167
