date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,4.89,0.08682098181065646,0.0988,1.9083,0.3677,1086680250,12.9751,1.0403,10.4645,2.5072,1.356,1.265,1.9500922105628336,0.0963,-1.5741208234897064,0.1691,0.0737,0.0758,0.1962
2003-06-30,0.11042944785276075,-0.03850121358115598,5.43,0.09625625978953871,0.202,2.0519,0.3941,1213100010,14.4001,1.1509,11.4716,2.6084,1.4589,1.4104,2.1299368949366313,0.0911,-1.438706038754381,0.1722,0.0787,0.0714,0.1875
2003-09-30,0.16942909760589317,0.14739731648416407,6.35,0.09589520567723418,0.1151,2.1477,0.4029,1430782000,16.8766,1.3437,12.6318,2.9146,1.6119,1.1464,2.172778684016612,0.0905,-1.5028093378306409,0.1788,0.0818,0.0707,0.1773
2003-12-31,0.12598425196850405,0.00956500575334937,7.15,0.10798196976345287,-0.5536,2.3452,0.4347,1616371900,18.4065,1.4807,-53.2893,3.0547,1.7507,1.3089,2.387024214059865,0.092,-1.3686357081560252,0.1838,0.0871,0.0721,0.1721
2004-03-31,0.06293706293706283,0.050085494094501054,7.6,0.10644937137727291,0.1583,2.3797,0.4493,1727829600,18.6266,1.5489,-107.3586,3.1336,1.8108,1.477,2.4116314255597393,0.0976,-1.2229905078602659,0.1813,0.0846,0.0759,0.1716
2004-06-30,0.20526315789473693,0.19227268063893826,9.16,0.11895436077133091,0.1353,2.5084,0.432,2088892200,21.1829,1.8282,-68.6887,3.5803,2.1595,1.6496,2.6167390341908283,0.0989,-1.4202679295753031,0.1869,0.091,0.0765,0.1737
2004-09-30,-0.01965065502183403,0.00336748122196677,8.98,0.12362719287034907,0.075,2.6063,0.4396,2076607040,19.6436,1.7516,-53.0925,3.3941,2.0684,1.5832,2.7206002534006473,0.0985,-1.428189649207777,0.1936,0.0933,0.0771,0.1768
2004-12-31,0.1770601336302895,0.08972670603557241,10.57,0.1200314409418386,0.2125,2.8643,0.4643,2450252840,22.4812,1.9931,18.1859,3.7148,2.2788,1.693,2.7813011822739435,0.0986,-1.2891049643676773,0.1894,0.0855,0.0775,0.1714
2005-03-31,0.12866603595080411,0.15451764083309266,11.93,0.13118580172395536,0.0577,2.9321,0.4836,2804456680,24.3235,2.2047,25.1126,4.0512,2.4818,1.9045,2.9684542652118724,0.1034,-1.1050256087393013,0.188,0.0927,0.0808,0.1705
2005-06-30,0.03939647946353735,0.0302993411298971,12.4,0.1438637178216778,0.1702,3.0346,0.4617,2926610800,24.038,2.2169,24.2719,4.0665,2.539,1.9664,3.1610877318686907,0.1044,-1.3598850930229602,0.1953,0.0969,0.0814,0.1724
2005-09-30,0.026612903225806457,-0.004847820437337953,12.73,0.1444087765443407,0.173,3.1757,0.4712,3015367830,23.7247,2.227,20.9202,3.9895,2.5529,1.8918,3.241697745131758,0.1023,-1.396452077291015,0.1938,0.0997,0.0803,0.1722
2005-12-30,-0.010212097407698411,-0.026064816330786403,12.6,0.1544078570203079,0.1556,3.3875,0.4546,2996998200,21.979,2.0892,22.6359,3.7021,2.3901,1.3709,3.4606208713233024,0.1005,-1.7437914377125752,0.1845,0.0913,0.0805,0.1742
2006-03-31,0.0571428571428572,0.019827846530683826,13.32,0.16771301569315242,0.1384,3.5727,0.4641,3186596880,21.8793,2.0906,20.9666,3.7156,2.3729,1.4253,3.7039451673339494,0.0998,-1.6323306887816948,0.1929,0.0949,0.0802,0.1747
2006-06-30,0.05405405405405397,0.07310619368068871,14.04,0.19328807693587569,0.2316,3.7886,0.447,3343977000,21.1652,2.0606,19.9879,3.6714,2.3415,1.3265,4.0921856737444635,0.1026,-1.9644840978272278,0.2008,0.1031,0.0813,0.1786
2006-09-29,-0.08119658119658112,-0.13288137645538614,12.9,0.1980003928993885,0.2236,3.9333,0.4612,3072651000,17.9691,1.7634,17.1064,3.2651,2.0204,1.3949,4.219195931757015,0.1063,-1.8461606280700282,0.1977,0.102,0.0838,0.1846
2006-12-29,0.09689922480620154,0.03517816724056973,14.15,0.1995087040296279,0.2268,4.0315,0.4536,3376642800,18.5597,1.856,17.1567,3.493,2.1088,1.4224,4.291205250139217,0.1115,-2.0120562204566026,0.1889,0.0995,0.0872,0.1907
2007-03-30,0.0848056537102473,0.08300072073745875,15.35,0.2116582530085412,0.1927,4.2203,0.466,3686256450,19.1418,1.9394,17.5586,3.6321,2.1782,1.5437,4.520409492311091,0.1162,-1.874655939903476,0.202,0.1007,0.0893,0.1943
2007-06-29,0.14918566775244307,0.09112928564244611,17.64,0.23999685591832007,0.2334,4.4855,0.466,4248452880,20.8134,2.157,20.1663,3.9182,2.3801,1.4664,4.962525397332749,0.118,-1.9230200712500312,0.2094,0.1116,0.0906,0.1944
2007-09-28,0.08900226757369616,0.07343701344520073,19.21,0.2360879122691973,0.2252,4.751,0.4581,4637005850,21.6688,2.2794,21.894,4.0252,2.5074,1.3871,5.062046656129857,0.1148,-2.1402199805290305,0.2066,0.1082,0.0884,0.1913
2007-12-31,0.08381051535658508,0.1220551622525651,20.82,0.25400846653828624,0.3428,5.0943,0.4486,5029653960,22.0579,2.3537,20.8783,4.0538,2.5811,1.486,5.442298992672182,0.1118,-2.369060924421926,0.2041,0.106,0.0863,0.1905
2008-03-31,-0.06243996157540829,0.03675916917781283,19.52,0.27371047909749,0.2785,5.2796,0.4493,4685912640,19.2458,2.0893,17.8797,3.6609,2.3315,1.3727,5.750549452727492,0.1125,-2.5727931282986956,0.2133,0.1085,0.0867,0.1931
2008-06-30,0.07530737704918027,0.10758979388456613,20.99,0.27227577422969884,0.2248,5.5666,0.4329,5040118800,20.0557,2.1247,19.3839,3.7441,2.3423,1.168,5.881601266283109,0.1087,-3.0595327336331835,0.2004,0.1014,0.0843,0.1913
2008-09-30,-0.13673177703668402,-0.047950515592592224,18.12,0.2930162612374405,0.2134,5.6309,0.4306,4351155600,16.4203,1.747,16.9265,3.1924,2.0674,1.6982,6.128234491236387,0.1069,-3.1742264606671386,0.2104,0.1095,0.0844,0.1956
2008-12-31,-0.25883002207505523,-0.03324787877796992,13.43,0.1821964673946932,0.1226,5.3532,0.4214,3225926290,13.0629,1.2744,15.8873,2.505,1.6703,2.133,4.696799064472753,0.1003,-3.3854031798104103,0.159,0.0702,0.0793,0.1863
2009-03-31,0.03499627699180943,0.15166387165863754,13.9,0.24456251656506758,0.4318,5.491,0.4349,3359671700,14.019,1.3586,14.0099,2.5337,1.7405,2.2504,5.520042627283666,0.0994,-3.23139555570266,0.2221,0.1068,0.0785,0.1833
2009-06-30,0.10575539568345316,-0.046462400386435676,15.37,0.21331088230087403,0.2666,5.8626,0.4574,3718248920,16.48,1.5829,14.8599,2.611,1.9707,2.34,5.335388043721738,0.092,-3.210147323864482,0.2061,0.0987,0.0732,0.164
2009-09-30,0.009759271307742378,-0.1400905607778598,15.52,0.17744283987740944,0.2698,6.1218,0.4683,3765726240,19.0462,1.7127,14.2656,2.5373,2.0617,2.1392,4.964237781384447,0.0786,-2.985076472261032,0.1893,0.0865,0.0629,0.1359
2009-12-31,0.09536082474226808,0.04047375664592782,17.0,0.21277538098128312,0.3983,6.4263,0.4827,4126563000,20.0542,1.9665,12.444,2.6333,2.3023,2.2848,5.577949352993389,0.0798,-2.9232138222535315,0.2032,0.0991,0.0641,0.1348
2010-03-31,0.08411764705882352,0.03539548822597818,18.43,0.23940950201005648,0.3555,6.3044,0.4731,4425466890,21.6235,2.1052,14.1218,2.9002,2.4313,2.2172,5.853467888896876,0.0793,-2.9270665450623223,0.2141,0.104,0.0632,0.1323
2010-06-30,-0.03201302224633749,0.08660894435460526,17.84,0.28078998354200957,0.3401,6.4722,0.4754,4275177600,19.4116,1.9708,12.9455,2.7521,2.2944,2.1301,6.424747802922056,0.086,-3.040923885828743,0.2237,0.1138,0.0678,0.143
2010-09-30,0.1900224215246637,0.08282447600963547,21.23,0.32087023249061536,0.4335,0.0,0.0,5096792250,20.0206,2.2002,13.799,0.0,2.2002,0.0,0.0,0.1983,0.0,0.2281,0.12,0.1558,0.3277
2010-12-31,0.23268959020254362,0.1306565824399753,26.17,0.335447454589749,0.4608,7.33,0.4648,6308644880,22.2188,2.5531,16.436,3.5537,2.9183,1.769,7.491587407652562,0.1929,-4.435415491321806,0.2305,0.1198,0.1486,0.3198
2011-03-31,0.11769201375620933,0.06347145730762024,29.25,0.3717336884811266,0.3833,7.7368,0.4834,7057176750,22.303,2.6812,18.0468,3.7493,3.0303,2.083,8.105952588655338,0.107,-4.096028946703085,0.2394,0.1259,0.082,0.173
2011-06-30,0.023247863247863237,0.02716234819561164,29.93,0.3869111712052342,0.4313,8.1605,0.4779,7249554810,21.1249,2.59,17.4952,3.6509,2.9045,1.7995,8.475982139650522,0.1113,-4.483578774404769,0.235,0.124,0.0852,0.1774
2011-09-30,-0.26561977948546606,-0.12234078702399917,21.98,0.4019263981359555,0.5135,8.4007,0.4975,5278562940,14.5096,1.8169,12.1337,2.5775,2.1084,2.0851,8.759054788940134,0.1144,-4.113644218477387,0.2409,0.1305,0.0879,0.1803
2011-12-30,0.2770700636942675,0.16554655629675852,28.07,0.4206287947893492,0.5544,8.4731,0.4752,6752434990,17.5632,2.2584,14.7513,3.2893,2.5771,1.6841,8.998260900656488,0.1187,-5.019874707449794,0.2509,0.1336,0.0911,0.1875
2012-03-30,0.15211970074812978,0.032153099248400444,32.34,0.452720225887459,0.5445,8.9986,0.475,7796882940,19.2906,2.5157,15.6889,3.5611,2.8089,1.5368,9.63600770615105,0.1177,-5.252365289455019,0.2511,0.1331,0.0905,0.1905
2012-06-29,0.028756957328385888,0.06163656249335723,33.27,0.4676148913503975,0.4262,9.4214,0.4688,8066511120,19.0372,2.5475,16.2752,3.5216,2.849,1.2628,9.996421105101506,0.1152,-6.032599729435444,0.2551,0.1376,0.0892,0.1891
2012-09-28,0.06552449654343251,0.007888089810280288,35.45,0.4724950763422853,0.6133,9.9245,0.4953,8612471150,19.5231,2.6457,16.5548,3.5531,2.941,1.4898,10.316000651372677,0.1161,-5.49013159248725,0.2564,0.1374,0.0902,0.1871
2012-12-31,0.0598025387870239,0.06985348875986318,37.57,0.4888049965754542,0.6894,10.3354,0.4884,9144350150,19.9166,2.7425,16.4752,3.607,3.035,1.3236,10.721483019034387,0.1179,-6.122401857063621,0.2584,0.1424,0.091,0.1851
2013-03-29,0.15411232366249664,0.053845174211842595,43.36,0.5099445420131942,0.5945,10.6845,0.5067,10555558400,22.263,3.1138,18.5691,4.0255,3.3905,1.5193,11.12036854950128,0.1195,-5.497042392375945,0.256,0.1417,0.0914,0.1838
2013-06-28,-0.024446494464944703,-0.048082949754344684,42.3,0.5214096479537106,0.4773,11.2031,0.5309,10330675200,21.1364,3.0006,17.7417,3.7468,3.265,1.8305,11.521572739397582,0.123,-4.879086412473795,0.263,0.146,0.0942,0.1817
2013-09-30,0.08794326241134766,0.04108342592057194,46.02,0.5199203025251088,0.6123,11.9311,0.5372,11263579080,22.4719,3.2241,19.3174,3.8386,3.4761,1.7871,11.859520466721095,0.1217,-4.9782107749005124,0.2631,0.1436,0.094,0.1761
2013-12-31,0.1445023902651021,0.04530228816901068,52.67,0.5496748576869315,0.743,12.7063,0.5335,12904466020,24.9603,3.5904,21.603,4.1147,3.8259,1.5655,12.590962334456187,0.1176,-5.602524019819922,0.257,0.1439,0.0911,0.1703
2014-03-31,-0.022403645338902593,-0.03537729801413563,51.49,0.5686468820405373,0.5925,13.2372,0.5374,12626738230,23.7149,3.425,21.1167,3.8582,3.663,1.5391,13.075437098078403,0.1153,-5.635757889628793,0.2613,0.1441,0.0889,0.1661
2014-06-30,0.01534278500679742,-0.031598484342185894,52.28,0.6065528712262988,0.5668,13.8313,0.5276,12849535240,23.1865,3.3828,20.7005,3.755,3.6106,1.3644,13.800615412721196,0.1142,-6.234829097211768,0.2671,0.1514,0.0881,0.1655
2014-09-30,-0.03959449120122418,-0.04574686042009822,50.21,0.5726428770447781,0.7212,14.0032,0.5277,12348295930,21.735,3.1338,19.0336,3.5608,3.414,1.9118,13.492364902949472,0.1121,-6.152586273497254,0.2469,0.1374,0.087,0.1649
2014-12-31,0.04819757020513845,0.0042842199544731036,52.63,0.6175522989603182,0.7689,13.1618,0.5045,12701461050,21.7319,3.158,19.4023,3.9207,3.4191,1.6862,13.582711087768699,0.1162,-6.641382310895643,0.2566,0.1484,0.0899,0.1742
2015-03-31,-0.001710051301539111,-0.006076456013172367,52.54,0.5852914162860332,0.4429,13.4427,0.5151,12684732200,21.647,3.147,20.6025,3.8864,3.398,1.7904,13.356156102528178,0.1184,-6.058170069999586,0.2603,0.1444,0.0918,0.1802
2015-06-30,0.04263418347925394,0.04494561465042275,54.78,0.6383398803879797,0.6232,14.175,0.5265,13265743920,22.4299,3.2805,21.1478,3.8414,3.5662,1.9266,14.331094947478473,0.1176,-6.215354057580813,0.2763,0.1549,0.0917,0.176
2015-09-30,-0.04490690032858709,0.024444743876092426,52.32,0.6483141130336016,0.6982,13.7427,0.4989,12446038560,20.5374,3.1033,20.1682,3.7541,3.4259,1.7188,14.19627383334573,0.117,-7.306175725041302,0.2757,0.1566,0.0918,0.179
2015-12-31,0.024273700305810456,-0.040261702900748486,53.59,0.5733049001206596,0.7357,13.6354,0.4886,12621248850,21.3608,3.1757,20.9149,3.8779,3.4706,1.5808,13.303219406459446,0.1133,-7.587614377003588,0.2512,0.1385,0.0888,0.1798
2016-03-31,-0.06736331405112905,-0.07509350636649348,49.98,0.5679970874115217,0.5948,13.9562,0.4713,11711213640,20.0905,2.9764,18.402,3.5524,3.2727,1.2882,13.39011599325402,0.1088,-8.686596847019862,0.2632,0.142,0.0853,0.1779
2016-06-30,-0.07503001200480193,-0.0940227573867317,46.23,0.588581285403978,0.7445,14.296,0.4825,10744730370,18.9969,2.7489,16.2955,3.201,3.0269,1.4142,13.803783647155367,0.1027,-8.138667664863888,0.2658,0.1413,0.081,0.17
2016-09-30,0.033528012113346405,0.00045772226223558116,47.78,0.5615608389444872,0.6604,14.4946,0.4834,11057820960,20.4815,2.8683,17.1538,3.2781,3.1524,1.3946,13.55706926181503,0.0979,-8.239884717757267,0.2572,0.1382,0.0774,0.1604
2016-12-30,0.01716199246546673,-0.015380106977020656,48.6,0.47193674521609746,0.9712,14.0857,0.4586,11147819400,21.7663,2.903,16.0734,3.4232,3.2533,2.0857,12.255914939120489,0.092,-8.352861421490198,0.2251,0.1121,0.0727,0.1545
2017-03-31,0.11275720164609047,0.05742031217483517,54.08,0.6014008415438694,0.5586,14.7366,0.4664,12439157120,24.0642,3.1867,18.2362,3.654,3.5726,1.7579,14.165924276940105,0.0905,-9.160885859121619,0.258,0.1378,0.0717,0.1552
2017-06-30,0.12000739644970418,0.0943209240116737,60.57,0.6497789177332158,0.7974,15.5111,0.4767,13979253150,26.4157,3.5033,20.2014,3.8915,3.9074,1.798,15.10568258746034,0.0896,-9.330982040338828,0.2568,0.1413,0.0713,0.1512
2017-09-29,0.09030873369654954,0.050715681430379925,66.04,0.6610506645769915,0.9516,16.2157,0.4838,15262966680,27.6479,3.6955,20.1013,4.0526,3.9823,1.5936,15.591186190842391,0.0905,-8.62187982710056,0.2531,0.1415,0.072,0.15
2017-12-29,0.09736523319200473,0.03613936891575883,72.47,1.0257896660717742,0.9608,17.3205,0.5166,16754629180,24.586,3.8962,22.0983,4.1599,4.1799,1.699,20.070401581832378,0.1099,-7.931762935024265,0.2439,0.2086,0.0874,0.1748
2018-03-30,0.048295846557196084,0.06054145789128313,75.97,0.7784001888695726,0.7088,18.0473,0.5217,17590017830,24.2994,3.9394,22.1464,4.1837,4.2397,1.6899,17.85689259471424,0.1147,-8.17900656044986,0.2618,0.1546,0.0913,0.1758
2018-06-29,-0.05015137554297752,-0.07949776387749233,72.16,0.8309579634543093,0.8008,18.5947,0.5321,16733687520,21.8095,3.6302,21.0111,3.8573,3.908,1.7066,18.727818964523674,0.119,-7.745809562003821,0.2638,0.1603,0.0946,0.1796
2018-09-28,0.09645232815964534,0.024493818152320324,79.12,0.8197770632368703,0.9855,19.3436,0.5564,18365017920,22.8152,3.8928,22.8055,4.0703,4.1713,2.0606,18.960127109296792,0.1248,-6.882416550345517,0.2627,0.1602,0.099,0.1819
2018-12-31,-0.1443377148634985,-0.0046216270587332575,67.7,0.9143449975144271,1.1307,18.3367,0.4896,15375414700,19.7644,3.1728,18.2293,3.6246,3.569,1.4587,19.495358363971032,0.117,-11.37867386432185,0.2639,0.1663,0.0927,0.1777
2019-03-29,0.22555391432791722,0.09489201117154628,82.97,0.8932247710834944,0.7678,19.4879,0.5012,18877251430,23.5711,3.8051,22.1067,4.2357,4.2083,1.9108,19.86982433269309,0.116,-11.03300383704218,0.2646,0.1586,0.0912,0.1841
2019-06-28,0.09485356152826328,0.0569760173845807,90.84,0.9397151677945998,0.9787,20.3498,0.5145,20742950640,25.2192,4.1145,23.2666,4.4448,4.4717,2.1737,20.822544927532885,0.1157,-9.965876345545794,0.2734,0.1671,0.0915,0.1803
2019-09-30,0.010788199031263648,-0.001102635147129074,91.82,0.9616178776790382,1.3891,21.1969,0.5277,20989409260,24.6343,4.0954,21.4062,4.3135,4.3869,2.046,21.486730594492943,0.1158,-9.10596562449419,0.2791,0.1729,0.0931,0.1787
2019-12-31,0.08625571770856025,0.0009140217942664175,99.74,0.9598707865412792,1.3235,22.2405,0.5196,22848738420,26.5282,4.4292,22.3266,4.4665,4.7933,1.4207,21.985846056452697,0.1124,-11.800508985826099,0.2772,0.1692,0.0903,0.1725
2020-03-31,-0.2779225987567676,-0.07791209493212858,72.02,1.2154613811982398,1.123,23.069,0.5023,16506263800,17.6039,3.2536,14.9099,3.0991,3.547,1.8776,25.222036708686197,0.113,-10.914315633317335,0.2479,0.2334,0.0917,0.1795
