date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,57.55,0.36543447662789835,0.3797,13.7072,0.7482,74135910000,-59.8063,11.9657,43.6684,4.0066,11.6911,4.1998,10.85780873558523,-0.0576,0.3336438441235833,0.4724,0.28,-0.0504,-0.0673
2003-06-30,0.14578627280625545,-0.003144388627661282,65.94,0.45077951002227173,0.4928,14.0643,0.7463,84976878000,-81.3331,12.0232,46.3215,4.4855,11.7513,4.1304,12.214484133253825,-0.0479,0.41320710793823234,0.4842,0.2974,-0.0416,-0.0557
2003-09-30,-0.021534728541097996,-0.04356650966282709,64.52,0.4540059347181009,0.1932,14.4341,0.7521,83204992000,38.3645,10.701,41.5983,4.2762,10.4498,4.7109,12.417534244391211,0.0973,0.6843207196029777,0.4647,0.2772,0.0846,0.1129
2003-12-31,-0.042312461252324816,-0.1587317074674795,61.79,0.40746268656716417,0.5768,14.4694,0.7425,79319823000,35.1205,9.4933,35.8913,4.0909,9.2488,3.0138,11.761461137689704,0.1003,0.5281607852301939,0.3972,0.2327,0.0868,0.1162
2004-03-31,-0.058909208609807424,-0.0717607774523692,58.15,0.5180180180180181,0.0097,14.6931,0.7533,74292440000,30.2592,8.3128,43.4357,3.7959,7.8306,1.4521,13.354795723025976,0.1088,0.41272698810269254,0.4711,0.2944,0.0942,0.126
2004-06-30,-0.06156491831470332,-0.07455539557050199,54.57,0.56752655538695,0.5758,14.7274,0.7448,69052878000,26.5997,7.2832,38.2458,3.5574,6.8548,1.3687,13.981232971176818,0.1149,0.14770033191085824,0.4588,0.2893,0.0997,0.1331
2004-09-30,0.041048194978926186,0.06406633122272698,56.81,0.1787878787878788,0.5871,15.006,0.7388,72148700000,32.4994,7.2242,31.0985,3.6424,6.8599,1.3051,7.914731309281017,0.0977,-0.1795275590551181,0.2506,0.0869,0.0839,0.1132
2004-12-31,0.12920260517514529,0.0418691775804282,64.15,0.5255530129672006,0.6209,15.0305,0.6743,80829000000,34.206,7.6615,34.235,4.1019,7.4841,2.2059,13.571952194273171,0.099,-0.2746031746031746,0.5727,0.2368,0.0843,0.1196
2005-03-31,-0.09259547934528456,-0.06674387446299601,58.21,0.662015503875969,0.717,14.7596,0.6943,72005770000,28.4945,6.5222,21.9999,3.7818,6.3558,1.5537,15.068716739634581,0.1057,-0.7728375101050929,0.4793,0.3014,0.0892,0.1304
2005-06-30,0.03865315237931627,0.029556014045676017,60.46,0.8232,0.8096,15.6648,0.6983,74426260000,26.505,6.4011,21.1078,3.8009,6.2083,1.6287,17.150620426733774,0.1207,-0.35093419983753044,0.476,0.3244,0.1012,0.1454
2005-09-30,0.3177307310618591,0.2862700073987147,79.67,0.7742193755004003,0.9951,16.4371,0.7047,98312780000,27.7798,8.1465,24.6151,4.7887,7.8687,1.8004,17.03081990517003,0.1474,0.47893030794165314,0.4762,0.3065,0.1238,0.1764
2005-12-30,-0.010166938621815015,-0.026019657544903006,78.86,0.6629123089300081,0.695,16.4529,0.698,96524640000,26.2723,7.7654,23.8686,4.7198,7.661,2.5688,15.747932268450588,0.1502,0.31781045751633985,0.4032,0.2519,0.1257,0.1793
2006-03-31,-0.07747907684504184,-0.1147940874572152,72.75,0.8218390804597702,0.7865,14.2783,0.5553,85699500000,22.4285,6.6879,21.0202,4.9278,6.8558,2.0726,16.356648288070325,0.1505,-2.3488964346349746,0.4516,0.3111,0.126,0.2019
2006-06-30,-0.10336769759450166,-0.08431555796786692,65.23,0.01181434599156118,0.9772,14.2101,0.5381,76319100000,27.1985,5.7616,18.0722,4.5322,5.9324,1.6071,1.9534614173183475,0.1075,-4.227350427350427,0.4586,0.0038,0.0896,0.1639
2006-09-29,0.09658132760999535,0.04489653235119033,71.53,0.9354838709677419,1.0161,15.0432,0.5438,83403980000,28.359,6.0861,19.9674,4.7065,6.192,1.6946,17.877909851780228,0.1118,-3.609777015437393,0.4454,0.305,0.092,0.1701
2006-12-29,-0.04501607717041799,-0.1067371347360498,68.31,0.7071307300509337,0.7283,16.0984,0.5612,79649460000,26.9998,5.5823,19.096,4.2,5.6424,1.6679,16.120889717112945,0.1078,-2.6689536878216122,0.631,0.2172,0.0888,0.1608
2007-03-30,-0.1819645732689211,-0.18376950624170965,55.88,0.9439252336448598,0.4825,16.7502,0.6053,64800683200,21.1766,4.3968,17.1385,3.2868,4.5581,2.285,18.941870318340065,0.1112,-2.0075195750405297,0.4458,0.3013,0.0922,0.1582
2007-06-29,-0.01055833929849684,-0.0686147214084938,55.29,0.8985890652557319,0.8712,14.5229,0.4994,60085854600,14.7812,4.0429,16.6396,3.6484,4.4403,2.6474,17.173469913394126,0.1483,-4.8824925925244305,0.3787,0.2733,0.124,0.2246
2007-09-28,0.02315066015554352,0.007585406027048101,56.57,0.18440366972477065,1.1761,15.5091,0.5053,61527794800,19.4462,4.1402,16.6471,3.6396,4.4919,2.7686,8.036513401465445,0.113,-4.450921260711265,0.3757,0.0556,0.0952,0.1896
2007-12-31,-0.17907017853986215,-0.14082553164388212,46.44,0.7639524245196706,1.1857,16.3485,0.5158,50480280000,15.9444,3.4175,12.211,2.825,3.5546,2.1105,16.80965037340673,0.1105,-3.4305427782888684,0.4186,0.2229,0.0929,0.182
2008-03-31,-0.10034453057708864,-0.0011453998238675211,41.78,1.0402930402930404,1.293,17.4789,0.5283,45485886000,14.2544,3.0949,9.1373,2.383,3.1309,2.4398,20.254593602031886,0.1076,-2.3091760815651696,0.4652,0.3144,0.0901,0.1726
2008-06-30,0.12876974629009083,0.1610521631254767,47.16,0.8704902867715079,1.345,17.1443,0.5139,49848120000,16.0128,3.3834,9.1565,2.6896,3.4982,2.6758,18.35002115001334,0.1038,-2.839167455061495,0.3836,0.25,0.0862,0.1654
2008-09-30,0.2567854113655642,0.34556667280965603,59.27,1.0883458646616542,1.1569,18.639,0.536,62766930000,15.4218,4.1852,11.6385,3.1649,4.2132,3.1549,21.424663477029686,0.134,-1.4598677998111427,0.4518,0.2988,0.1114,0.2121
2008-12-31,-0.025645351779989927,0.1999367915170954,57.75,0.768579492003763,1.1467,19.1777,0.5593,60464250000,14.922,4.0301,11.374,2.9659,4.005,3.1152,18.27992113835956,0.1316,-0.7984718242597899,0.3761,0.2178,0.1103,0.2015
2009-03-31,-0.14251082251082245,-0.02584322784399433,49.52,0.982642237222758,0.7155,19.2545,0.5341,50132562400,12.7401,3.4108,10.7904,2.5107,3.4128,3.4401,20.682575820898357,0.127,-1.3206633938184655,0.48,0.308,0.1066,0.195
2009-06-30,0.06906300484652654,-0.08315479122336229,52.94,1.247787610619469,1.5142,21.0029,0.5499,53734100000,12.6047,3.6686,11.3554,2.5156,3.5666,3.8909,24.33083310402732,0.1327,0.21280788177339902,0.4605,0.3417,0.1118,0.2063
