date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,3.9,-0.21232123212321233,-0.2024,6.4015,0.2825,357630000,-17.1114,0.2,-3.3454,0.6145,0.4507,1.0656,,-0.0174,-9.54525627044711,0.0097,-0.0391,-0.0103,-0.0357
2003-06-30,0.1410256410256411,-0.00790502040827562,4.45,-0.06586169045005488,-1.6125,6.4193,0.26,408162900,-12.3685,0.2309,-2.2389,0.6979,0.6457,1.6954,,-0.0247,-9.755565731231329,0.0448,-0.0092,-0.0153,-0.0565
2003-09-30,-0.11685393258426967,-0.13888571370599875,3.93,-0.47420417124039516,0.0318,5.9527,0.2528,360573570,-4.1927,0.2239,-1.9564,0.6648,0.6802,1.7672,,-0.0616,-9.95978157800085,0.017,-0.0875,-0.0391,-0.1526
2003-12-31,0.6259541984732823,0.5095349522581276,6.39,-1.9891067538126361,-0.0947,4.0882,0.1974,586602000,-2.3361,0.2673,-3.4284,1.563,0.5901,1.6633,,-0.2002,-10.019607843137255,0.0005,-0.3274,-0.1241,-0.5472
2004-03-31,0.040688575899843614,0.027837007057281836,6.65,0.0437636761487965,0.1794,4.14,0.1895,610470000,-2.6798,0.2728,-4.4788,1.6132,0.5857,1.5555,2.0190558271777412,-0.1944,-9.97930283224401,0.0713,0.0074,-0.1169,-0.6044
2004-06-30,0.11879699248120301,0.10580651522540435,7.44,0.23420479302832245,-0.7559,4.2113,0.1957,681727200,-3.4035,0.3179,-11.594,1.7633,0.6448,1.74,4.718544249667007,-0.1705,-9.239332096474953,0.0998,0.0385,-0.1008,-0.5236
2004-09-30,0.0107526881720429,0.0337708244158437,7.52,0.12636165577342048,0.5762,4.4106,0.2127,689238080,-4.737,0.3128,-78.3225,1.7022,0.5662,1.7619,3.5469783954381393,-0.126,-8.277871124009863,0.0974,0.021,-0.075,-0.3676
2004-12-31,0.20478723404255333,0.11745380644783625,9.06,-0.1476655808903366,-0.4961,4.2041,0.2181,830802000,35.3532,0.3663,-18.1397,2.1456,0.6317,1.5511,,0.0211,-8.374045801526718,0.0599,-0.0218,0.0127,0.0593
2005-03-31,-0.01986754966887414,0.005984055213414417,8.88,0.14533622559652928,-0.0498,4.283,0.219,815272800,24.7803,0.3478,-12.2046,2.0645,0.607,1.5343,3.750562049383334,0.0302,-8.322622807972987,0.0934,0.0219,0.0183,0.0841
2005-06-30,-0.25450450450450457,-0.2636016428381448,6.62,0.33984799131378934,0.0662,4.5526,0.236,608020520,14.2393,0.2526,69.8874,1.45,0.5044,1.6283,5.909787080202918,0.0386,-8.017768873984714,0.1057,0.0504,0.0238,0.1048
2005-09-30,-0.08459214501510581,-0.11605286867825022,6.06,-0.21241830065359477,0.2952,4.4041,0.2298,556956420,48.0134,0.2258,-32.5705,1.3775,0.4657,1.6926,,0.0105,-7.684942387413363,0.0291,-0.0318,0.0065,0.0281
2005-12-30,0.06105610561056108,0.04520338668747309,6.43,0.23535791757049893,0.1659,4.2603,0.2327,590917000,12.5995,0.2411,13.4605,1.5043,0.4883,1.8368,4.7498047396788765,0.044,-7.414581066376496,0.083,0.0357,0.0272,0.1176
2006-03-31,0.44945567651632984,0.4121406659041565,9.32,0.5070270270270271,-0.1437,5.1037,0.2622,861978840,10.7211,0.3429,24.488,1.8258,0.5819,1.8434,7.646988453660922,0.0741,-7.063695438277812,0.1219,0.0695,0.0461,0.1859
2006-06-30,-0.057939914163090224,-0.038887774536455484,8.78,0.45698924731182794,0.5827,5.6043,0.2838,813651380,8.8826,0.3154,9.7677,1.5611,0.5204,1.8671,7.615710489917127,0.0804,-6.407614032437332,0.1134,0.0619,0.0503,0.1844
2006-09-29,-0.051252847380409944,-0.10293764263921497,8.33,0.210752688172043,0.3752,5.5827,0.2797,772116030,5.9075,0.2931,8.4754,1.4871,0.4815,1.8849,5.159059939510246,0.1131,-6.144070082316514,0.0759,0.0294,0.0708,0.2512
2006-12-29,-0.09963985594237695,-0.16136091350800877,7.5,0.15252416756176154,0.0375,6.3071,0.3297,696000000,5.6493,0.2654,8.7767,1.1852,0.4566,1.9581,4.662409581621516,0.1051,-5.649784482758621,0.0613,0.0238,0.0677,0.2227
2007-03-30,-0.1866666666666667,-0.18847159963945526,6.1,0.07956989247311828,0.0032,6.444,0.3251,567232900,6.7769,0.2176,6.1058,0.9464,0.4099,1.8612,3.4039203671782206,0.07,-5.487745862413834,0.0617,0.0112,0.0461,0.141
2007-06-29,0.17868852459016407,0.12063214248016711,7.19,-0.05818965517241379,0.9008,6.5431,0.3444,668928840,18.6851,0.2564,5.4695,1.1016,0.415,1.5332,,0.031,-5.381787695085773,0.039,-0.0078,0.0198,0.0593
2007-09-28,0.03894297635604998,0.023377722227554562,7.47,0.02465166130760986,-0.7717,6.6302,0.377,695322540,37.585,0.2667,45.1508,1.124,0.3631,1.7005,1.9228460015533368,0.0179,-3.019917921832363,-0.0142,0.0034,0.0108,0.0301
2007-12-31,-0.11914323962516729,-0.08089859272918727,6.58,0.07626208378088077,0.2287,6.9752,0.4102,612598000,53.7366,0.2318,18.4517,0.9433,0.3183,1.8302,3.4595843612692825,0.0117,-2.683136412459721,0.0527,0.0112,0.007,0.0179
2008-03-31,-0.031914893617021274,0.06728423713619985,6.37,0.06966773847802786,0.5219,7.0986,0.3825,594149010,56.5856,0.2201,7.2812,0.897,0.3127,1.3588,3.3429234577460436,0.0101,-3.9572009048706485,0.0503,0.0091,0.0063,0.016
2008-06-30,0.09419152276295127,0.12647393959833714,6.97,0.09381663113006397,-0.7345,7.2057,0.3674,650335850,26.3293,0.2358,-9.1725,0.9621,0.3549,1.4818,3.9167802774645764,0.0219,-3.8550988692996087,0.0533,0.0117,0.0138,0.0369
2008-09-30,-0.07460545193687225,0.014175809507219542,6.45,-0.060279870828848225,0.0818,6.959,0.3673,596779800,35.5226,0.211,68.5953,0.923,0.3351,1.5386,,0.0147,-3.989235225455017,0.0291,-0.0076,0.0093,0.0254
2008-12-31,-0.5116279069767442,-0.2860457636796589,3.15,-3.0684039087947883,0.4625,1.9098,0.1376,290921400,-1.066,0.1062,9.6973,1.6539,0.2391,1.7261,,-0.3164,-6.244315474901469,-0.0363,-0.5215,-0.1796,-0.6636
2009-03-31,-0.2666666666666666,-0.14999907199983847,2.31,-0.19197396963123645,0.6908,1.9685,0.141,213416280,-0.7183,0.0857,4.7425,1.1758,0.1927,1.5949,,-0.4786,-6.005108888600251,-0.0274,-0.0381,-0.2317,-1.6625
2009-06-30,0.17316017316017313,0.020942377090284292,2.71,-0.020562770562770564,0.6352,2.1114,0.1431,250558470,-0.814,0.112,1.4516,1.2842,0.2043,1.6165,,-0.4821,-5.744291941118574,0.0561,-0.0038,-0.2323,-1.6346
2009-09-30,1.4612546125461254,1.3114047804605233,6.67,0.5143769968051118,0.837,3.0436,0.2009,616881620,-2.4296,0.3009,2.5323,2.1584,0.3731,1.7074,5.983049921539713,-0.373,-4.5823151612135895,0.1289,0.088,-0.1823,-1.0559
2009-12-31,0.11994002998500747,0.06505296188866722,7.47,0.21987315010570824,-0.0317,3.7811,0.2526,690975000,13.959,0.3353,3.4897,1.9317,0.4161,1.9132,4.37618852130778,0.0667,-3.67027027027027,-0.0597,0.0376,0.0348,0.1538
2010-03-31,0.37081659973226244,0.3220944408994171,10.24,0.2203567681007345,-0.0157,3.894,0.253,947865600,10.7467,0.4254,7.1375,2.5542,0.4793,1.6626,4.459929704936275,0.1154,-3.3684437962512828,0.0732,0.0333,0.0611,0.242
2010-06-30,-0.17773437500000003,-0.05911240839905729,8.42,0.4994807892004154,0.3302,4.2315,0.2661,783758860,5.6711,0.3233,7.4009,1.9233,0.3598,1.7091,7.024848810343867,0.1773,-2.857664664868988,0.1121,0.0694,0.0922,0.3549
2010-09-30,0.4358669833729216,0.32866903785789336,12.09,0.037383177570093455,0.3447,4.3935,0.2619,1130971140,12.0959,0.4423,18.6937,2.673,0.4916,1.9757,1.9551180459442339,0.1116,-2.9097983879588654,0.0894,0.0052,0.0594,0.2251
2010-12-31,0.033085194375516984,-0.06894781338705133,12.49,0.9277605779153767,0.39,5.325,0.3086,1172811000,7.2128,0.4473,11.5776,2.2728,0.4682,2.1596,10.70451473156527,0.1761,-2.3099041533546325,0.0024,0.1455,0.0989,0.3462
2011-03-31,0.13771016813450765,0.08348961168591856,14.21,1.1431535269709543,-0.4885,6.3817,0.3364,1340130890,5.3222,0.4945,24.0598,2.1783,0.502,2.2029,12.981278052341553,0.2496,-1.2957405973979155,0.2698,0.1533,0.1438,0.4451
2011-06-30,0.08866995073891623,0.09258443568666463,15.47,0.29842931937172773,0.1853,6.5926,0.3376,1432939690,6.1711,0.5143,34.4456,2.2759,0.5119,2.0227,6.738561737174654,0.22,-1.3387025381368283,0.0842,0.037,0.1257,0.373
2011-09-30,-0.30769230769230765,-0.16441331523084077,10.71,0.2297872340425532,0.1755,6.4734,0.3389,972103860,3.8853,0.3421,39.0403,1.5975,0.3422,2.0571,5.854138807413998,0.2378,-1.493951479628936,0.0767,0.0293,0.1367,0.4041
2011-12-30,0.07843137254901959,-0.0330921348484894,11.55,0.1338411316648531,0.3405,6.4015,0.283,1025640000,5.9422,0.3785,55.7413,1.7433,0.5675,1.8983,4.441672377359129,0.1477,-7.315315315315315,-0.425,0.0252,0.0891,0.2884
2012-03-30,0.2467532467532467,0.12678664525351735,14.4,0.2227122381477398,-0.3087,6.7662,0.2883,1290067200,15.6182,0.4714,34.4017,2.1021,0.6604,1.9167,5.87490038600269,0.0631,-6.8859668705630215,0.0733,0.027,0.0392,0.1374
