date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,0.36,0.006483762280925281,-0.0096,0.1769,0.8105,12172680,39.5216,1.119,-12.4337,1.9476,0.8576,4.9681,0.16419137177727916,0.0483,0.15999763404607695,0.1428,0.0673,0.0394,0.0502
2003-06-30,2.0000000000000004,1.8510693385660837,1.08,0.008098016336056009,0.0074,0.1559,0.735,36736200,64.0003,2.9803,-117.7442,5.4986,2.7627,3.0322,0.18937521332041637,0.0849,0.13932088784359842,0.1598,0.0829,0.0683,0.0887
2003-09-30,1.0277777777777777,1.0057459966560487,2.19,0.021249703768070147,0.0319,0.2246,0.7783,84223020,48.9953,5.1069,73.6859,7.4048,4.6588,3.961,0.38855681615183923,0.1798,0.24405845337771076,0.3069,0.1767,0.145,0.1904
2003-12-31,2.132420091324201,2.0160008451090463,6.86,0.057798221910517956,-0.0181,0.5657,0.8722,347795140,78.086,14.2218,486.4267,12.6807,13.5725,6.6385,0.8577122000021629,0.2249,0.4409948914179767,0.4591,0.2599,0.1934,0.2295
2004-03-31,1.8556851311953353,1.8428335623527736,19.59,0.05908485856905158,0.0534,0.6536,0.9054,1116453690,143.5768,32.6543,261.4033,28.4207,31.9318,9.3458,0.9951335707245312,0.2321,0.5936375919004755,0.4483,0.2703,0.2078,0.2331
2004-06-30,0.10362429811128132,0.09063382085548266,21.62,0.06967938173127658,0.1222,0.8615,0.9144,1250760240,104.9383,26.9979,105.7457,22.5293,26.2518,10.446,1.2296611450853674,0.2513,0.8404376685334993,0.4548,0.275,0.2289,0.2514
2004-09-30,-0.13135985198889916,-0.10834171574509835,18.78,0.09491640972405138,0.0795,0.9993,0.9116,1091024100,64.2951,18.4335,71.1089,16.9158,17.8186,8.8231,1.5416507224383944,0.2827,0.835149324382477,0.5326,0.3233,0.2581,0.2827
2004-12-31,0.6853035143769967,0.5979700867822796,31.65,0.07786458763482598,0.0455,1.6503,0.9128,1930396800,102.2401,28.5388,101.7015,19.3211,28.0663,6.7198,1.708001523373619,0.2296,0.8278626705141658,0.3965,0.245,0.2095,0.2296
2005-03-31,-0.6208530805687204,-0.5950014756864318,12.0,7.818730550907755e-05,-0.0353,1.5876,0.9335,735660000,47.9726,11.3689,54.461,7.2456,11.0214,6.7157,0.05406580171157161,0.1522,0.6058722779544898,0.0075,0.0004,0.1405,0.1522
2005-06-30,-0.1633333333333334,-0.17243047166697367,10.04,0.007771453590192644,-0.0657,1.5982,0.9268,615783320,54.2923,9.9976,432.7359,6.0246,9.6977,6.2126,0.5398634720863699,0.1113,0.6197479334126816,0.0851,0.0376,0.1035,0.1113
2005-09-30,-0.3854581673306772,-0.4169188909938216,6.17,0.005887432294528613,-0.02,1.611,0.9353,378930550,67.775,6.9757,-75.9532,3.6926,6.6603,6.3989,0.4705654050294359,0.0545,0.5471138972563706,0.097,0.0321,0.0508,0.0545
2005-12-30,0.1280388978930308,0.11218617896994282,6.96,0.0028699695366362033,0.016,1.6632,0.9242,431095440,408.2343,9.0385,-63.9228,4.1556,8.6957,5.5687,0.3302521953433532,0.0102,0.5448425063368798,0.0733,0.0141,0.0095,0.0102
2006-03-31,0.521551724137931,0.4842367135257577,10.59,0.01258332943031552,0.0221,1.6393,0.9293,656696490,353.633,12.7799,-214.1867,6.2539,12.4826,5.9299,0.6927521142453266,0.0177,0.5346793310864202,0.2132,0.058,0.0164,0.0177
