date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,25.06,-0.5975,-0.62,9.105,0.1421,20051483340,15.876,0.3819,8.141,2.7528,0.5955,0.9066,,0.0569,-34.030337228906475,0.0,-0.0389,0.0243,0.1686
2003-06-30,0.36951316839585,0.2205825069619333,34.32,-0.2399700037495313,0.8873,8.7064,0.1348,27461594160,94.0465,0.5347,10.8888,3.9422,0.7528,0.8546,,0.0133,-35.28781010869035,0.0086,-0.015,0.0056,0.0409
2003-09-30,0.0002913752913752334,-0.02174040583035386,34.33,0.3165182987141444,-0.3523,9.0875,0.1406,27471415280,156.0875,0.5402,25.2726,3.7376,0.768,0.8242,8.060717944669406,0.008,-36.6026172933308,0.0595,0.021,0.0033,0.0245
2003-12-31,0.227497815321876,0.11107856910672131,42.14,1.3552017239315217,2.6301,9.7438,0.1536,33764464300,47.0257,0.671,15.8816,4.1484,0.8432,1.0484,17.38312053634651,0.032,-31.895362841577796,0.1409,0.086,0.0136,0.0927
2004-03-31,-0.025391551969625066,-0.038243120812186844,41.07,0.7682821556295474,-0.3156,10.9248,0.1646,34623693870,19.0344,0.6794,14.6338,3.9083,0.8591,0.8981,13.776286694978555,0.08,-33.521501326744485,0.0902,0.0482,0.034,0.214
2004-06-30,0.24397370343316296,0.2309832261773643,51.09,0.7472608642127293,3.4753,11.0168,0.1648,42942422250,16.4027,0.8365,9.5875,4.7985,0.932,0.8616,13.647761135290361,0.1151,-32.43805954611701,0.0757,0.0463,0.0484,0.294
2004-09-30,0.010373850068506439,0.03339198631230724,51.62,0.5596465390279823,1.2187,11.7108,0.1722,43339739040,15.3796,0.8286,7.5281,4.5419,0.9556,0.7673,12.143432196380896,0.1265,-34.971748182450526,0.0639,0.0346,0.0513,0.3047
2004-12-31,0.002905850445563845,-0.08442757714915324,51.77,0.22903583302548947,-1.2732,13.8973,0.2007,43082165680,23.0139,0.8212,17.0554,3.8173,0.9615,0.7516,8.590575988413939,0.0824,-33.13810407313767,0.0374,0.0139,0.0335,0.1797
2005-03-31,0.12922542012748692,0.15507702500977547,58.46,0.6631135349529004,1.491,14.2265,0.2023,48297313600,27.0724,0.9246,12.1197,4.2078,1.064,0.7454,14.645591619845563,0.0763,-33.63876246731868,0.0827,0.0421,0.0315,0.1567
2005-06-30,0.12897707834416694,0.11987994001052668,66.0,0.6452811493683428,3.8481,13.7874,0.197,54095976000,31.8586,1.0049,12.6718,4.8595,1.0988,0.7469,14.273569082758076,0.0747,-33.08663845902328,0.0835,0.0354,0.0299,0.1501
