date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2016-12-30,,,0.0,0.0,0.0,34.5465,0.6839,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.244186046511628,0.0,0.0,0.0,0.0
2017-03-31,,,0.0,0.15981837112176045,-0.9918,94.0225,0.7391,0,0.0,0.0,0.0,0.0,-0.1493,2.243,18.38740772846743,0.0064,4.733444109400375,0.1063,0.0221,0.0071,0.0099
2017-06-30,,,0.0,-0.06110702425243782,-0.2585,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.003,0.0,0.0782,-0.0086,-0.0038,-0.0051
2017-09-29,inf,inf,36.62,-0.3130841121495327,-1.0981,93.8037,0.7324,15673360000,-170.3626,1.3772,-15.642,0.3903,1.2167,1.8988,,-0.0026,4.483644859813084,0.1099,-0.0252,-0.0033,-0.0045
2017-12-29,-0.13599126160567987,-0.19721712588192578,31.64,0.07311320754716981,-1.0896,90.5896,0.6798,13352080000,-218.8865,0.7772,-9.1202,0.3476,0.7303,1.9967,12.207545416435673,-0.0008,0.7914691943127962,0.0791,0.0053,-0.001,-0.0015
2018-03-30,-0.12231352718078385,-0.1100679158466968,27.77,0.16587677725118483,0.2772,90.2725,0.6898,11552320000,-195.802,0.592,-12.4889,0.3032,0.622,2.0485,18.37709947286648,-0.0008,-0.17307692307692307,0.1027,0.0129,-0.001,-0.0015
2018-06-29,0.18941303564998205,0.16006664731546724,33.03,-0.04589371980676329,-0.2294,88.9299,0.6806,13608360000,-261.6992,0.6172,-14.9542,0.3696,0.6775,1.9045,,-0.0007,-2.016990291262136,0.12,-0.0034,-0.0009,-0.0013
2018-09-28,0.02422040569179525,-0.04773810431552977,33.83,0.03140096618357488,-0.0048,88.3164,0.6821,13937960000,146.7153,0.6219,-31.5338,0.3812,0.6853,1.9058,7.918355687648573,0.0014,-2.2305825242718447,0.1267,0.0022,0.0017,0.0025
2018-12-31,-0.36446940585279336,-0.22475331804802812,21.5,0.2817204301075269,1.6064,75.2967,0.6676,11029500000,56.5615,0.4821,14.38,0.315,0.5941,1.6597,21.96524048750464,0.003,-4.785575048732944,0.1331,0.0209,0.0036,0.0054
2019-03-29,0.2893023255813953,0.15864042242502435,27.72,0.06201550387596899,-0.9263,67.9961,0.6603,14275800000,90.9286,0.6181,82.9988,0.4068,0.7566,1.6473,9.750000448095584,0.0026,-6.079611650485437,0.1107,0.0056,0.0029,0.0044
2019-06-28,-0.11147186147186147,-0.14934940561554405,24.63,-0.017475728155339806,0.5689,67.5359,0.6577,12709080000,76.1022,0.5399,22.6947,0.3654,0.6723,1.6042,,0.0028,-6.0271317829457365,0.1201,-0.0015,0.0031,0.0047
2019-09-30,-0.05805927730410068,-0.0699501114824934,23.2,0.10536044362292052,0.1497,63.6524,0.6553,15060999200,71.3791,0.6339,23.423,0.4373,0.7815,1.5826,12.318134469268225,0.0037,-5.151105777895533,0.1322,0.0096,0.004,0.006
2019-12-31,0.10474137931034481,0.019399683396050985,25.63,0.07350689127105667,1.516,52.8315,0.6464,16661165950,130.1653,0.6989,18.8049,0.4829,0.8269,1.52,9.361983129155867,0.0023,-5.611746517655927,0.1414,0.0075,0.0024,0.0037
2020-03-31,-0.5903238392508778,-0.3903133354262388,10.5,-15.66156202143951,0.173,27.5421,0.483,6864364500,-0.6775,0.2902,4.6475,0.3816,0.4287,1.4449,,-0.2392,-7.022572883476686,0.0801,-1.8851,-0.2236,-0.386
2020-06-30,0.46571428571428575,0.2661855660197999,15.39,-0.29770992366412213,-0.0106,26.8167,0.4681,10080450000,-0.977,0.4502,8.5645,0.5738,0.5678,1.467,,-0.3297,-6.803053435114504,0.0901,-0.0411,-0.276,-0.5804
2020-09-30,-0.13645224171539969,-0.2211894623068451,13.29,-0.2514792899408284,0.0295,25.5162,0.4619,9103650000,-0.8633,0.4222,8.1573,0.5277,0.5472,1.4294,,-0.3391,-7.127007299270073,0.1006,-0.0336,-0.2816,-0.6057
2020-12-31,0.5688487584650115,0.45196797691301177,20.85,0.9005524861878453,0.2817,25.1961,0.4799,15095400000,-1.5186,0.729,45.7436,0.8275,0.8552,1.6089,22.75268282269702,-0.3215,-4.571823204419889,0.135,0.1186,-0.2638,-0.5601
2021-03-31,0.03645083932853707,-0.02127434158467613,21.61,-0.6108108108108108,0.6175,23.5459,0.473,16704530000,-101.2395,0.8326,24.7841,0.9587,0.9498,1.5852,,-0.0054,-4.690815006468306,0.1177,-0.0945,-0.0044,-0.0092
2021-06-30,0.058306339657566014,-0.023399953796045397,22.87,-0.08436724565756824,0.4156,21.588,0.4745,18936360000,-498.3252,0.9251,18.6381,1.0882,1.0623,1.582,,-0.0013,-4.53743961352657,0.119,-0.0132,-0.001,-0.0021
2021-09-30,0.0813292522955837,0.07899300120483327,24.73,0.009334889148191364,0.2543,19.8786,0.4762,21243070000,151.7362,1.0356,17.4984,1.2469,1.1712,1.5915,2.050521701407619,0.0051,-4.4807916181606515,0.1305,0.0015,0.0038,0.0081
2021-12-31,-0.0270926000808735,-0.1335663954628357,24.06,0.3259176863181313,0.565,18.6273,0.4742,21870540000,-99.8654,1.0667,14.4074,1.306,1.2049,1.6504,11.687461087120628,-0.0084,-3.847084708470847,0.1538,0.0534,-0.0061,-0.0129
2022-03-31,0.5133000831255194,0.5627673736675947,36.41,0.0759493670886076,-0.2067,17.3491,0.4699,35863850000,117.5863,1.7447,41.461,2.1805,1.913,1.6087,5.473871060988201,0.0123,-3.8984771573604062,0.1294,0.0148,0.0086,0.0183
2022-06-30,-0.20708596539412238,-0.04263501112242549,28.87,-0.8381618381618382,0.0949,15.0709,0.4469,29216440000,-62.6962,1.4279,46.7463,1.9366,1.6086,1.5145,,-0.0203,-4.41501976284585,0.1228,-0.1662,-0.0135,-0.0295
2022-09-30,-0.2739868375476273,-0.22121544555814476,20.96,-0.016865079365079364,0.368,14.2529,0.4331,21001920000,-42.7737,1.0128,26.9947,1.4618,1.1941,1.5145,,-0.0227,-4.454091816367265,0.1413,-0.0031,-0.0146,-0.0333
