date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2014-03-31,,,0.0,0.34690724087729347,0.1899,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4194,0.0,0.7562,0.5485,0.387,0.6369
2014-06-30,,,0.0,0.0,0.3671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453,0.0,0.0,0.0
2014-09-30,,,0.0,0.0,0.4196,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7405,0.0,0.0,0.0
2014-12-31,,,0.0,0.0,0.5737,4.2802,0.6138,0,0.0,0.0,0.0,0.0,0.6915,1.3685,0.0,0.1156,-1.984032964202936,0.7582,0.0,0.1053,0.1716
2015-03-31,,,0.0,0.0,0.3214,4.0581,0.6059,0,0.0,0.0,0.0,0.0,0.7434,1.1315,0.0,0.0,-2.0684406649602924,0.6758,0.0,0.0,0.0
2015-06-30,inf,inf,17.22,-0.5625905299762073,0.2139,5.358,0.916,3293204460,-31.1334,7.1929,11.3137,3.214,7.1928,1.0751,,-0.0963,-0.12292737511961221,0.453,-1.6322,-0.0884,-0.1177
2015-09-30,-0.19860627177700338,-0.12925462757232387,13.8,0.26623719560977394,0.0568,5.4914,0.9042,2639153400,-50.8625,5.7116,11.8824,2.513,5.7927,2.0213,5.7354455850752375,-0.0487,-0.09199290954440162,0.7505,0.3932,-0.0455,-0.05
2015-12-31,0.0456521739130434,-0.01888322929351554,14.43,-0.2684954715639315,0.4224,4.7619,0.8579,2759290170,-27.4569,7.0224,14.2424,3.03,7.1567,1.6433,,-0.0969,-0.24677464059533832,0.5937,-0.4858,-0.0904,-0.1025
2016-03-31,-0.0291060291060291,-0.03683622142139352,14.01,0.04663958236634732,-0.0478,4.4801,0.8213,2690620500,-29.9797,7.3465,21.8026,3.132,7.6495,1.8384,2.169782254726933,-0.0918,-0.4660505076802916,0.5397,0.1669,-0.0851,-0.1014
2016-06-30,0.10635260528194149,0.08735985990001172,15.5,-0.11539766292463219,-0.4183,4.0566,0.6897,2959337500,-620.1461,8.6527,1267.9252,3.8073,9.4575,1.8152,,-0.0046,-1.4175304438915806,0.2541,-0.5127,-0.0043,-0.0058
2016-09-30,0.14903225806451606,0.11596196821340524,17.81,0.18942991631799164,0.1419,4.0427,0.6796,3400320820,-161.0152,11.1793,182.8817,4.399,12.1464,1.8988,4.153931159882869,-0.0197,-1.4666827290726057,0.6861,0.3785,-0.0186,-0.0272
2016-12-30,0.05446378439079183,0.021921684948304446,18.78,-0.044348672320311415,0.1921,3.7364,0.6428,3584820300,177.4663,13.7437,-144.0496,4.94,14.9177,1.1073,,0.019,-1.6982843073054457,0.332,-0.1285,0.0178,0.0269
2017-03-31,-0.12087326943556972,-0.17621015890682504,16.51,0.31368845952298186,-0.0006,3.8808,0.6234,3187816840,44.8817,9.9298,-201.2256,4.2617,11.0948,1.893,5.242987297636363,0.0651,-1.8728843404942925,0.7261,0.4942,0.061,0.0963
