date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,6.25,0.21062994446867964,0.05,1.8534,0.7185,1718062500,11.291,8.7541,37.136,3.643,8.7481,1.8232,2.9637112931695357,0.2673,-0.32046636836552805,0.4344,1.0466,0.238,0.3008
2003-06-30,0.20319999999999994,0.05426933856608321,7.52,0.10122528215284982,0.1038,1.9596,0.7291,2067172800,12.7058,9.9043,30.2722,4.1453,10.3143,2.5904,2.112610687136014,0.2705,-0.24596384008148714,0.3462,0.4656,0.2427,0.3353
2003-09-30,0.31648936170212777,0.29445758058039867,9.9,-0.18618158382847622,0.204,1.7465,0.605,2721411000,33.369,12.3735,23.7236,6.1232,13.0896,2.9957,,0.1182,-0.5070901087707811,2.032,-0.7743,0.1149,0.1729
2003-12-31,0.42828282828282827,0.3118635820676736,14.14,0.08170841213385972,0.3991,2.4104,0.5427,3886944600,80.535,16.5923,22.7776,8.0892,16.1137,1.7808,2.1050829018515516,0.0775,-0.7576485139510349,2.0699,0.2447,0.0595,0.1043
2004-03-31,0.02192362093352183,0.009072052090960054,14.45,0.19712581344902386,0.1767,2.118,0.5573,3972160500,88.601,15.8261,19.5763,7.3698,15.2611,1.6203,3.0649682934596947,0.0798,-0.7285787042089563,0.4648,0.7384,0.0484,0.0879
2004-06-30,-0.23529411764705874,-0.2482845949028574,11.05,0.25965921594517277,0.1364,2.305,0.6141,3037534500,35.6731,11.2551,14.383,5.1783,10.7098,2.3767,3.6696833769354713,0.1385,-0.4795700098221107,0.5686,0.8903,0.0885,0.1513
2004-09-30,0.0751131221719457,0.09813125841574649,11.88,0.11329733723160113,0.1502,2.538,0.6232,3265693200,20.2388,11.7397,16.5349,5.0562,11.0981,2.2082,2.543588890251446,0.2427,-0.4681399832660337,0.3822,0.4149,0.162,0.2618
2004-12-31,-0.03619528619528632,-0.12352871379000341,11.45,0.218342448464451,0.1991,2.6637,0.629,3147490500,15.6496,9.9097,18.6172,4.6027,9.2515,2.4222,3.617453876614332,0.2842,-0.3962930626796173,0.3537,0.5288,0.1894,0.3025
2005-03-31,-0.005240174672488972,0.020611430209799584,11.39,0.24884073689836209,0.1296,2.9502,0.6486,3130997100,14.6115,9.5711,19.9346,4.1705,8.8543,2.1874,4.064224857822809,0.2831,-0.34845574593473755,0.4399,0.8176,0.1909,0.2987
2005-06-30,0.009657594381035946,0.0005604560473956941,11.5,0.3032514382721871,0.0859,3.2262,0.6806,3161235000,14.0265,9.2701,21.9199,3.8504,9.0286,1.3699,4.691787535519796,0.2725,-0.7623121976063153,0.4212,0.8759,0.1907,0.2867
2005-09-30,0.3504347826086956,0.3189740589455512,15.53,0.194572714232379,0.1375,3.5813,0.712,4280611550,17.397,12.1719,30.3656,4.6973,11.9046,1.522,3.9596115192414305,0.2727,-0.7176701072069948,0.3455,0.6177,0.1979,0.284
2005-12-30,-0.0888602704443013,-0.10471298936738929,14.15,0.3966339804543053,0.1528,3.5614,0.6897,3900235250,13.632,10.9414,30.7371,4.5196,10.6276,1.1046,5.637630335945606,0.3117,-0.6843325412229941,0.4231,0.8675,0.226,0.3225
2006-03-31,-0.12720848056537107,-0.16452349117754445,12.35,0.9947885962223217,-0.3007,7.644,0.6981,3404092250,9.7442,8.3528,61.174,3.5004,7.9463,1.6338,13.080278692148616,0.3663,-0.576846191521396,0.529,0.9847,0.2642,0.3806
2006-06-30,0.10445344129554664,0.12350558092218138,13.64,1.098725839287539,0.9199,8.9145,0.7335,3759661400,9.1263,7.6432,24.9283,3.315,7.319,2.0624,14.845144277587782,0.3717,-0.2993959402833457,0.5569,0.8105,0.2803,0.3911
2006-09-29,-0.01026392961876837,-0.06194872487757339,13.5,0.6381886638212245,1.2492,9.6304,0.7395,3721072500,8.3876,6.6856,13.5434,3.0371,6.1584,2.7093,11.759475857003075,0.3546,0.10556351696990586,0.4902,0.5606,0.277,0.376
2006-12-29,0.03925925925925921,-0.022461798306372606,14.03,0.3164846998530117,0.1844,5.1112,0.7492,3867159050,9.0342,5.9782,13.586,2.9735,5.4229,2.7873,6.032940696915232,0.317,0.2039871569285468,0.6287,0.4004,0.2523,0.3389
2007-03-30,0.06771204561653607,0.06590711264374752,14.98,0.14408784713215586,0.2584,5.0841,0.7656,4129012300,12.2101,6.0458,10.6239,3.1918,5.6719,1.9455,4.059868597763154,0.2414,-0.13602046184265423,0.5368,0.2227,0.1974,0.2607
2007-06-29,0.25033377837116155,0.19227739626116458,18.73,0.05687740231565543,-0.8002,5.2601,0.7693,5162643550,24.2546,7.3933,75.9357,3.8572,7.2331,2.0342,2.594526650125805,0.1423,-0.3185771037785477,0.5736,0.077,0.1241,0.1617
2007-09-28,0.27549386011745863,0.2599286059889632,23.89,0.392588487749664,0.1783,5.7399,0.7835,6584920150,28.4381,8.7884,-144.5234,4.5086,8.6022,2.2401,7.120528061090109,0.1402,-0.14297168356703613,0.4735,0.5101,0.1285,0.1654
2007-12-31,0.1845960652992884,0.2228407121952684,28.3,0.48656343145659164,0.9231,6.2138,0.7974,7800470500,28.39,9.9188,54.8301,4.9363,9.5103,3.4544,8.247828601132653,0.1552,0.5956754403468355,0.694,0.5193,0.1429,0.1807
2008-03-31,0.21024734982332152,0.30944648057654267,34.25,-0.4962799495586381,-3.8627,11.7096,0.6575,9440498750,53.9053,11.1314,-22.8257,6.3541,10.7949,0.8508,,0.0873,-0.7874761913399967,0.5101,-0.2783,0.0825,0.1142
2008-06-30,-0.04554744525547452,-0.013265028420088656,32.69,0.479999684537611,0.7533,6.4112,0.6919,8986154100,31.8223,10.2504,-475.1562,5.527,10.1717,2.6879,8.321112575486493,0.125,-0.16221761431845466,0.488,0.5626,0.1225,0.1815
2008-09-30,-0.28173753441419386,-0.19295627297010207,23.48,0.3999992046543627,0.7353,6.9422,0.7353,6454417200,22.8007,7.2651,53.5081,3.6972,7.02,3.205,7.9044086285698265,0.1207,0.5349012332205609,0.4794,0.4845,0.1198,0.1679
2008-12-31,-0.15161839863713794,0.07396374465994737,19.92,-0.023398315784596495,0.7471,6.7057,0.7544,5054899200,32.9775,6.1995,63.6933,2.9105,5.7353,3.6836,,0.0654,0.8808913934426229,2.7844,-0.0366,0.0655,0.088
2009-03-31,0.20381526104417663,0.32048285571100477,23.98,0.39415662508548116,0.0467,6.9766,0.7748,6085164800,19.2239,7.9432,10.467,3.4279,7.511,3.3234,7.8658848826979275,0.1363,0.8400575346784364,0.4348,0.5667,0.1378,0.1802
2009-06-30,0.0020850708924103714,-0.15013272517747847,24.03,0.5281635893445265,0.6797,7.4952,0.7987,6114241260,18.5729,8.0198,10.8549,3.206,7.4559,4.0214,9.437720277389007,0.1415,1.362212213392443,0.4182,0.6319,0.1407,0.1788
2009-09-30,0.46525176862255513,0.3154019365369529,35.21,0.5835396671933093,0.3808,8.0688,0.8024,8934889600,23.694,11.3721,18.7998,4.3519,10.7226,3.8233,10.292738192512763,0.1568,1.3817268284993696,0.3511,0.6431,0.1524,0.1904
2009-12-31,-0.0494177790400455,-0.10430484713638576,33.47,0.8269350185896982,0.3639,8.8952,0.8122,9200568300,15.5006,10.4373,24.5766,4.065,9.7976,3.7766,12.864852447291396,0.2301,1.4913892829859217,0.4358,0.8061,0.2221,0.275
2010-03-31,-0.07469375560203168,-0.12341591443487701,30.97,0.6100010530708717,0.0408,9.0787,0.8593,7880068740,12.1293,8.695,21.1289,3.3852,8.1493,2.8381,11.162677663158457,0.2484,1.2755559223713067,0.4051,0.7752,0.2364,0.283
