date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-12-31,,,0.0,0.0,0.0,44.8357,0.3789,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.48753212474821,0.0,0.0,0.0,0.0
2004-03-31,,,0.0,1.5690376569037656,-3.0374,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2416,0.0,0.0997,0.0627,0.0915,0.2416
2004-06-30,,,0.0,-1.2578236631850108,-1.5798,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0781,-0.1017,0.0,0.0
2004-09-30,,,0.0,-0.7144438406890861,3.1294,-6.0677,-0.0853,0,0.0,0.0,0.0,0.0,0.5763,1.0679,9.87614272240718,-0.0814,-30.235155308503323,0.1462,-0.0561,-0.0333,0.3913
2004-12-31,,,0.0,-0.5735675904123649,-2.3345,4.0854,0.0547,0,0.0,0.0,0.0,0.0,0.4744,1.5794,,-0.0485,-24.31052867355244,0.0735,-0.0427,-0.0241,1.7766
2005-03-31,inf,inf,17.99,-0.08466086269419085,0.5432,4.1907,0.0706,2852224550,-10.8449,0.5377,-2852.2245,4.8017,0.8322,1.469,,-0.0592,-23.318300797880728,0.1948,-0.0067,-0.0332,-0.526
2005-06-30,-0.11673151750972752,-0.12582865584336778,15.89,0.381164604468422,0.2404,3.8057,0.0877,2519280050,-35.4828,0.4514,12.7882,3.8817,0.8624,1.7698,5.925288252527809,-0.0155,-22.328045665268537,0.1686,0.0444,-0.0089,-0.1142
2005-09-30,0.08558842039018247,0.05412769672703806,17.25,0.24428546501483162,1.7623,1.2097,0.0283,2735194500,60.7821,0.4681,14.4719,13.1499,0.9669,1.3509,2.685194383887278,0.0106,-28.518812830312434,0.1258,0.0294,0.0061,0.105
2005-12-30,0.10840579710144933,0.09255307817836134,19.12,0.8423527107106127,0.568,1.4643,0.0401,3031705440,10.9447,0.5734,5.6456,10.1394,1.1204,1.2757,5.977377816353639,0.0723,-28.8719869830098,0.0978,0.2252,0.0374,1.0927
2006-03-31,0.0967573221757321,0.05944231156355873,20.97,0.6647695465571936,-0.379,2.3733,0.0541,3325045140,8.2303,0.6265,8.4178,8.1696,1.1907,1.3521,6.196128940675147,0.1037,-27.93859815088104,0.1615,0.0781,0.0539,1.1444
2006-06-30,-0.026227944682880172,-0.007175805056245432,20.42,0.5869806528852133,0.6915,2.8244,0.0642,3238836620,7.3609,0.6159,6.8474,6.6642,1.18,1.4278,6.362319724089671,0.1094,-27.56429251439055,0.1729,0.0706,0.0583,0.9854
2006-09-29,-0.12340842311459368,-0.1750932183733987,17.9,0.6192456886479413,1.2793,3.5986,0.0807,2839459100,5.6338,0.5457,7.2993,4.6095,1.0706,1.4586,7.3560905406021275,0.1231,-26.28775318510487,0.1726,0.074,0.0663,0.9147
2006-12-29,0.4458100558659219,0.3840889983002901,25.88,0.4347876497118807,1.0608,4.9913,0.109,4106353720,10.1141,0.7012,9.0051,4.7692,1.1107,1.4038,7.2862127142379025,0.0947,-24.72442632146166,0.1342,0.0538,0.0523,0.5497
