date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-12-31,,,0.0,0.0,0.0,2.6672,0.5181,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8661818181818182,0.0,0.0,0.0,0.0
2004-09-30,,,0.0,0.05200727272727273,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1559,0.0,0.0989,0.0437,0.0808,0.1559
2004-12-31,,,0.0,0.06587272727272728,0.0,0.2391,0.5171,0,0.0,0.0,0.0,0.0,-0.224,1.8568,0.5952972404987735,0.0604,0.15231636363636364,0.0864,0.0378,0.0419,0.081
2005-06-30,,,0.0,0.156,0.0,0.5222,0.5849,0,0.0,0.0,0.0,0.0,-0.1954,2.5502,1.3538544973519127,0.0677,0.6161818181818182,0.127,0.0684,0.0494,0.0897
2005-09-30,inf,inf,2.96,-0.33236363636363636,0.0,3.061,0.6292,814411440,-50.638,0.4546,0.0,0.9674,0.2797,1.763,,-0.0158,0.6963680176201847,0.1029,-0.2543,-0.0113,-0.0187
2005-12-30,0.03040540540540536,0.014552686482317369,3.05,-0.04654545454545454,0.0,2.7981,0.6265,839173950,-19.432,0.4222,0.0,1.0905,0.3153,1.6889,,-0.0518,0.4270568694369028,-0.0421,-0.0244,-0.0336,-0.0536
2006-03-31,0.11475409836065577,0.0774390877484824,3.4,-0.08945454545454545,0.0254,2.725,0.5761,935472600,-10.8902,0.49,133.6389,1.2482,0.3893,1.452,,-0.1101,0.3307419159043247,-0.0367,-0.0614,-0.0679,-0.1131
2006-06-30,-0.1617647058823529,-0.14271256625571815,2.85,0.1549090909090909,0.1189,2.9469,0.6856,786203850,-9.1206,0.3988,19.8036,0.9701,0.2854,2.1308,3.20488470931483,-0.106,0.6133523767404598,0.16,0.0618,-0.0694,-0.1105
2006-09-29,0.19649122807017544,0.1448064328113704,3.41,0.026545454545454546,0.3,2.9912,0.6367,940512100,75.2409,0.4678,7.6964,1.1433,0.3181,1.9155,1.3366234255833547,0.0145,0.6747398571480366,0.0883,0.0183,0.0101,0.0153
2006-12-29,0.504398826979472,0.4426777694138402,5.13,0.02888086642599278,0.0797,2.818,0.6049,1415166930,42.4975,0.7025,9.8071,1.8129,0.543,1.7914,1.3581270525650724,0.0399,0.44696423198639895,0.0668,0.0151,0.0257,0.0415
