date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2016-12-30,,,0.0,0.0,0.0,19.6692,0.8381,0,0.0,0.0,0.0,0.0,0.0,3.1618,0.0,0.0,0.719887919667309,0.0,0.0,0.0,0.0
2017-03-31,,,0.0,0.168234607972411,0.1751,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681,0.0,0.2139,0.0576,0.0573,0.0684
2017-06-30,,,0.0,0.23777766507759407,-0.0234,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0732,0.0,0.0
2017-09-29,,,0.0,0.23355563444568414,0.0305,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267,0.0712,0.0,0.0
2017-12-29,,,0.0,0.7498858910640024,0.3621,20.798,0.8603,0,0.0,0.0,0.0,0.0,-0.0234,2.9335,18.856195451938685,0.1327,2.2641472868217054,0.1759,0.2228,0.1149,0.1336
2018-03-30,,,0.0,0.31074935400516795,-0.0656,21.4656,0.8607,0,0.0,0.0,0.0,0.0,-0.0161,2.9683,12.250897110007903,0.0725,2.6268992248062015,0.2242,0.0849,0.0627,0.0729
2018-06-29,inf,inf,41.75,0.28486562942008486,0.4489,12.0294,0.4724,3227275000,26.0743,2.8996,53.0697,3.4496,3.5037,2.3135,8.805159634603204,0.0747,-6.75888745148771,0.2283,0.0724,0.0633,0.0953
2018-09-28,0.043353293413173705,-0.028605216594151314,43.56,0.32569712127267336,0.2743,12.4374,0.4864,3367188000,25.7794,2.8759,42.2562,3.4901,3.444,2.4679,9.561037740158516,0.0791,-6.244489003880983,0.2361,0.0798,0.0659,0.1374
2018-12-31,-0.3783287419651057,-0.23861265416034044,27.08,0.2742642696861056,0.7228,12.5865,0.4946,2095992000,22.6014,1.7206,19.5578,2.1475,2.2269,2.4852,8.824138589317746,0.0562,-6.019509043927648,0.2212,0.068,0.0468,0.0955
2019-03-29,0.5162481536189071,0.38558625046253614,41.06,0.2531684698608965,0.1631,12.9469,0.5054,3178044000,35.9747,2.5722,25.4412,3.1615,3.0624,2.5335,8.603102084991928,0.0537,-5.757209302325581,0.2289,0.0654,0.0445,0.0891
