date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,2.34,0.026608611514271893,-0.1003,1.2106,0.1373,193253580,-1.1119,0.2812,2.906,1.9306,0.2537,1.5353,0.8568706771624909,-1.0043,-3.880756051194498,0.0823,0.0136,-0.2382,-1.7441
2003-06-30,-0.04700854700854696,-0.19593920844246368,2.23,-0.25858704137392663,-0.0951,1.0062,0.1172,184155630,-0.9439,0.2483,4.1198,2.2321,0.2394,1.5318,,-1.1995,-4.061466923384313,-0.0341,-0.0992,-0.2723,-2.1369
2003-09-30,0.43946188340807174,0.41743010228634264,3.21,-0.0585480093676815,0.3146,0.9282,0.1052,264975870,-2.4603,0.345,19.063,3.4819,0.3025,1.4191,,-0.725,-4.150362823603523,0.0614,-0.0204,-0.1509,-1.3581
2003-12-31,0.9844236760124612,0.8680044297973065,6.37,-0.10774818401937046,0.2457,3.006,0.2816,534978080,-16.3601,0.6483,17.8326,2.1545,0.5662,1.4593,,-0.1495,-3.863831205943989,-0.1316,-0.0412,-0.0407,-0.2016
2004-03-31,0.2841444270015698,0.271292858159008,8.18,-0.010157721715362169,-0.4404,2.2374,0.2378,699160960,-20.0332,0.7791,-74.3788,2.8855,0.5789,2.3312,,-0.1251,-3.8714432796705354,0.0239,0.0,-0.0367,-0.1422
2004-06-30,-0.14547677261613687,-0.15846724987193553,6.99,0.2881579913369062,0.1321,2.2584,0.2415,598099350,31.3141,0.609,46.7265,2.4303,0.4074,2.5159,4.331259957609591,0.0715,-3.22561795126512,0.1363,0.1098,0.0187,0.0782
2004-09-30,0.44635193133047196,0.46937006757427274,10.11,0.7813634383621315,0.0798,2.8169,0.2842,873038940,7.8369,0.7978,-207.8664,2.8126,0.5551,2.489,7.986068116594147,0.3669,-2.0670727470644095,-0.0063,0.2526,0.1055,0.4003
2004-12-31,0.2838773491592484,0.19654392156453132,12.98,1.8143421998562186,-1.5537,4.0797,0.391,1123652640,3.4723,0.9339,-5.6922,2.475,0.6018,2.8541,14.690193449828566,0.7879,0.3084280565566953,0.3354,0.6263,0.2872,0.8466
2005-03-31,0.40369799691833574,0.4295496018006243,18.22,0.21515096727535707,1.5865,4.8698,0.3609,1594195340,4.5705,1.2846,61.7905,2.9593,1.1971,1.5274,5.493997815006472,0.5874,-4.627587231562225,0.1498,0.0927,0.2628,0.7027
2005-06-30,-0.20746432491767286,-0.21656146325131312,14.44,0.8839292137256313,0.927,5.6111,0.3918,1263687720,3.0399,0.8828,11.0365,2.0251,0.8018,1.7234,11.952592434856978,0.5673,-4.463336875664187,0.3185,0.2039,0.2695,0.715
2005-09-30,0.5083102493074794,0.47684952564433497,21.78,0.7550621446634503,0.286,6.5857,0.4568,1910498040,4.6169,1.1947,13.8844,2.6014,1.1303,2.0022,11.965738256073166,0.5152,-2.9822841378052396,0.2649,0.1665,0.2586,0.6092
2005-12-30,0.016528925619834683,0.0006762066967466937,22.14,0.5746309750075492,0.8615,6.4239,0.414,1940836680,7.0167,1.1132,4.7627,2.6833,0.9969,1.7535,10.352972134232523,0.3374,-4.41924665191303,0.1315,0.1409,0.1649,0.3795
2006-03-31,-0.01626016260162599,-0.05357517321379936,21.78,0.32964849535782664,-0.4326,6.8431,0.4277,1922520600,6.6454,1.0811,10.4428,2.5373,1.0042,1.7999,8.018965712683562,0.3541,-4.133907329783619,0.1941,0.1236,0.1644,0.3906
2006-06-30,-0.08999081726354458,-0.07093867763690984,19.82,0.7502984663421802,0.6694,7.2871,0.4358,1660638520,6.0896,0.9352,10.7903,2.0928,0.8635,1.8342,12.521288788633973,0.315,-4.122407084715824,0.2747,0.1709,0.1518,0.3515
2006-09-29,-0.03834510595358232,-0.09002990121238735,19.06,0.8290478711336308,1.0483,8.263,0.4727,1572030680,5.6916,0.8536,6.7498,1.7984,0.7412,1.8854,14.07845576861136,0.293,-3.2808748999733264,0.2246,0.1535,0.1505,0.3312
2006-12-29,0.27072402938090245,0.20900297181527064,24.22,0.6519796992909959,1.5729,7.9035,0.4287,1987299440,7.0949,1.0341,6.5935,2.3897,0.8511,2.0866,12.236396084234716,0.2933,-3.970652756788378,0.2163,0.1275,0.1478,0.3284
2007-03-30,0.3216350123864575,0.3198300794136689,32.01,0.2980240335780133,-1.2275,8.4165,0.4366,2626100400,9.5598,1.3531,11.872,2.9899,1.3176,2.0313,8.515622865020227,0.2823,-5.3510482691370065,0.2015,0.0998,0.139,0.3213
2007-06-29,0.21337082161824447,0.15531443950824753,38.84,0.8168997936253153,0.4395,9.7512,0.4595,3186317080,11.4409,1.5914,16.3989,3.122,1.5892,2.4014,15.167267377668278,0.2427,-5.189121981544913,0.2454,0.1586,0.1315,0.2933
2007-09-28,0.13259526261585988,0.11703000848736446,43.99,0.5285714285714286,0.9695,10.8485,0.372,3680423350,14.9428,1.8026,19.8726,3.2309,2.0232,2.2144,12.807647948262348,0.157,-12.885914062033109,0.1785,0.0918,0.0932,0.228
