date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-11-28,,,6.44,0.10886206896551724,-0.8121,4.5558,0.3723,729658440,24.88,0.2376,-10.5808,1.3806,0.3122,2.179,3.3908178618811604,0.0352,0.9409713947802756,0.0484,0.0152,0.0217,0.0566
2004-02-27,0.15372670807453404,0.07175733155139477,7.43,0.08850538646585085,-0.1026,2.4639,0.3519,856701290,18.0172,0.2463,-10.7632,1.4546,0.3337,1.7569,2.262468551154278,0.0489,0.3257851053311709,0.0564,0.0198,0.0307,0.0851
2004-05-31,0.013458950201884326,0.03419365372285402,7.53,0.21106861679622363,-0.0644,2.7001,0.3472,877930230,9.2015,0.2136,-7.0629,1.3486,0.2966,1.809,3.6485642218633156,0.088,0.8944772752613838,0.0756,0.0361,0.0537,0.1539
2004-08-31,0.16201859229747673,0.1771452081341734,8.75,0.4043479745884282,1.1551,6.0366,0.3556,1024730000,7.7618,0.2149,1027.8134,1.4494,0.2714,1.8178,7.4108000328244845,0.1154,1.222359792335542,0.0713,0.0323,0.0683,0.1944
2004-11-30,0.296,0.23298837510863996,11.34,0.6285332063950625,-0.7714,6.6551,0.3828,1335466440,6.8144,0.2442,1103.6912,1.6469,0.3084,1.9104,9.882807721610527,0.1597,1.9539425640677275,0.093,0.05,0.0954,0.2582
2005-02-28,0.5343915343915343,0.5090213493039302,17.4,0.4531219965400141,0.2347,7.1644,0.4057,2099170800,9.0717,0.35,38.1196,2.3466,0.4015,1.9917,8.75500645621758,0.173,2.3967523747948474,0.0711,0.0354,0.107,0.2713
2005-05-31,-0.24827586206896546,-0.23822270833734713,13.08,0.28588563936830275,0.0961,3.5515,0.3981,1536860760,6.0925,0.2433,16.2218,1.7244,0.2938,1.9238,4.895464880816842,0.1848,2.489093338553325,0.0824,0.0415,0.1135,0.2825
2005-08-31,0.14449541284403675,0.12029905862272958,14.97,0.7202759308796587,1.1693,8.1711,0.4072,1740427170,6.0297,0.278,18.2423,1.832,0.3207,1.9069,11.507499720757872,0.2103,2.7350358245671376,0.107,0.0594,0.1262,0.3135
2005-11-30,0.17234468937875752,0.14845768712216767,17.55,0.2850942206425512,0.1951,4.1727,0.4437,2049506550,7.276,0.3213,8.6454,2.0112,0.3615,2.1294,5.309530351137514,0.1963,3.204682268519708,0.0811,0.0423,0.1216,0.2861
2006-02-28,0.29059829059829045,0.2656438661990775,22.65,0.6468735615475931,-0.6329,9.145,0.4582,2707241250,8.8701,0.4217,20.926,2.3906,0.4715,2.1613,11.841112123161876,0.1994,3.7827818448023427,0.0929,0.0488,0.128,0.2837
2006-05-31,0.08653421633554088,0.0947878262532936,24.61,0.6232512031722175,0.3187,9.7792,0.4622,2974463040,9.551,0.443,20.4975,2.4316,0.4823,2.1209,11.97058671263206,0.1897,4.328757942811755,0.0771,0.0385,0.1217,0.2644
2006-08-31,-0.12271434376269807,-0.14927150221325305,21.59,1.0497544100128915,0.8508,10.4529,0.4419,2545050790,7.142,0.3528,22.4356,1.9865,0.3724,1.814,15.960517668534527,0.2047,4.471136145774128,0.1245,0.0675,0.1285,0.2845
2006-11-30,0.3455303381194998,0.27127924319700597,29.05,0.7051562745276237,0.1275,11.4733,0.4869,3438096550,9.2403,0.4609,42.3363,2.4757,0.4813,2.0338,13.697642176412735,0.2035,5.180725131177599,0.0957,0.045,0.1293,0.2787
2007-02-28,-0.05094664371772807,-0.05536604169197602,27.57,0.5411922139121725,-0.0188,11.8503,0.5042,3277521600,9.1578,0.4241,20.8369,2.2706,0.4542,2.0731,12.242776395747917,0.1908,5.117706931359354,0.0726,0.0345,0.1252,0.2527
2007-05-31,0.27493652520856,0.18693660087233827,35.15,0.8153842369379121,-0.0925,12.189,0.4554,4207244100,11.09,0.5224,39.6423,2.8302,0.5518,1.7521,15.162596834671653,0.193,4.572643574448176,0.0775,0.0423,0.1238,0.2589
2007-08-31,-0.1780938833570412,-0.14109580083919407,28.89,0.8577126897150487,2.0857,12.7074,0.4467,3426700680,9.6409,0.4216,13.3595,2.2086,0.4569,2.2924,15.861167491033537,0.1646,4.532897177351364,0.0951,0.0528,0.1055,0.2339
2007-11-30,0.06992038767739701,0.06506959190440428,30.91,0.5745854517661915,-0.9251,13.313,0.45,3614028110,10.6531,0.4327,27.864,2.2552,0.4868,2.2151,13.274699874586354,0.1459,3.8096578031320294,0.0671,0.0326,0.0964,0.2151
2008-02-29,-0.014558395341313467,0.08705928312060424,30.46,0.33699345076210085,-0.6943,13.3004,0.4364,3474267600,11.0963,0.3994,69.4284,2.2131,0.4605,1.8777,10.167533026897354,0.1333,2.9998334210064876,0.05,0.0176,0.0874,0.1973
2008-05-30,0.20157583716349312,0.1491570582812727,36.6,0.5123955551727108,-0.7411,14.1829,0.3997,4186747200,15.328,0.452,-169.4764,2.5428,0.5139,1.6913,12.926213240957042,0.1143,2.9936096929855234,0.0464,0.0204,0.0708,0.1698
2008-08-29,-0.28879781420765027,-0.20485627804014273,26.03,0.5465970477927261,-1.0094,14.1247,0.3459,2961615310,12.7674,0.284,-7.4655,1.8036,0.3778,1.8571,13.316586373220009,0.0852,0.9940321857668949,0.044,0.0201,0.0523,0.141
2008-11-28,-0.539761813292355,-0.238404673949226,11.98,0.5416648467324172,-0.7151,13.5418,0.3723,1363312020,6.0643,0.1276,-3.7126,0.8794,0.2284,2.0989,12.92996903763461,0.077,0.581982266979499,0.0651,0.0261,0.0504,0.1408
2009-02-27,-0.1477462437395659,0.03206046555128381,10.21,-0.31524670083394346,1.4835,12.9164,0.3926,979843490,6.5442,0.0986,-8.2268,0.6773,0.2035,2.3422,,0.0546,-0.46303493836551385,0.0138,-0.0234,0.0381,0.0999
2009-05-29,0.6620959843290889,0.4117185052871154,16.97,-0.11656015188384095,2.6428,13.3399,0.4064,1629136970,21.1123,0.1966,6.184,1.0885,0.2863,2.4783,,0.0289,-1.1077176279413756,0.0436,-0.0103,0.0209,0.0524
2009-08-31,-0.002357100766057699,-0.11276463264526235,16.93,0.06067879115678453,0.4957,12.9476,0.4154,1905860890,91.6191,0.2909,4.3368,1.2439,0.4094,2.4499,4.314405841531102,0.0076,-1.403000719533103,0.0142,0.005,0.0056,0.0137
2009-11-30,-0.06083874778499701,-0.13433330023790307,15.9,-0.27760344904217965,-0.1283,13.5527,0.4211,1792820400,-24.7514,0.3213,3.5369,1.1759,0.4724,2.5121,,-0.0263,-1.7427276597254249,0.013,-0.0222,-0.0198,-0.0473
2010-02-26,0.031446540880503034,0.023359882691080636,16.4,-1.529816817479585,-0.5206,11.5919,0.3714,1871584400,-8.8946,0.3469,6.6426,1.4253,0.5119,2.1891,,-0.0784,-2.679436738198929,-0.0712,-0.131,-0.0588,-0.1483
2010-05-31,-0.050609756097560875,-0.0200254777468745,15.57,-0.07737557751146257,-0.1162,10.7572,0.3442,1779510870,-8.6314,0.3015,-63.5131,1.4502,0.4517,2.0096,,-0.0805,-2.7102221522254597,0.0291,-0.005,-0.058,-0.1623
2010-08-31,-0.1637764932562621,-0.14380842938946808,13.02,0.0700238926667892,0.2394,10.9693,0.3381,1488511500,-7.2488,0.2371,-25.0912,1.1876,0.3642,1.9721,4.157227974404428,-0.0821,-2.427929149354909,0.0615,0.0044,-0.0564,-0.1655
2010-11-30,0.18049155145929338,0.055440234648703096,15.37,0.005649864611539263,0.2952,10.938,0.3472,1757959120,-10.1344,0.2643,-161.8597,1.3948,0.3843,2.1003,1.1838358960858317,-0.0684,-1.717431978736798,0.0451,0.0003,-0.0472,-0.138
2011-02-28,0.08458035133376725,-0.03965827965065577,16.67,-0.4023288041346732,-0.1798,10.9623,0.3472,1923851360,-41.5195,0.2706,69.9938,1.5295,0.3964,2.0859,,-0.0183,-1.669442326355192,0.0067,-0.0259,-0.0127,-0.0368
2011-05-31,-0.10677864427114583,-0.12032574336974114,14.89,0.31080001031273363,-0.4876,11.2799,0.3495,1718842040,-1277.9494,0.232,-107.4679,1.3095,0.3565,2.0626,8.91824849289077,-0.0005,-1.2369191586680066,0.0563,0.0175,-0.0003,-0.001
2011-08-31,-0.2108797850906649,-0.11698301055287057,11.75,-1.0338599869339478,0.4407,9.977,0.3151,1357524500,-10.4733,0.177,171.2748,1.1696,0.3003,1.9403,,-0.0527,-1.698461059082175,0.035,-0.0587,-0.0348,-0.1048
2011-11-30,0.18978723404255324,0.16675812891270386,13.98,0.925160370634355,0.1307,10.1517,0.3371,1615235220,-71.6799,0.205,-148.6093,1.3663,0.3223,2.1197,14.594451337609176,-0.0094,-0.5373510243294471,0.0407,0.0542,-0.0062,-0.0192
2012-02-29,-0.049356223175965754,-0.14456384530697655,13.29,0.24693819912189863,-0.1834,10.6306,0.3523,1541148270,29.3658,0.1913,-132.0946,1.2407,0.309,2.2262,7.723129652943288,0.0216,-0.2912394470650121,0.0474,0.0147,0.0149,0.0432
2012-05-31,-0.12114371708051162,-0.08061438701828498,11.68,0.3479026809766109,0.5977,10.2285,0.3456,1354588000,23.7655,0.1693,11.7811,1.1325,0.2852,2.445,8.986045710082218,0.0234,0.031110153050226342,0.0503,0.0202,0.0163,0.0467
2012-08-31,0.09075342465753429,0.01729864362680668,12.74,0.25845772208203244,0.6312,10.6625,0.3622,1482311740,7.1442,0.1936,10.7804,1.1891,0.3104,2.4855,7.8959061818190275,0.0858,0.38755146066643176,0.0569,0.0177,0.0601,0.1698
2012-11-30,0.06357927786499219,0.05675414317220353,13.55,0.42459049994021897,-0.4532,11.1735,0.374,1577883950,10.5567,0.2126,22.8017,1.206,0.3046,2.0952,10.365240968346113,0.0608,0.9850921862789719,0.0547,0.0284,0.043,0.117
2013-02-28,0.20369003690036885,0.13413673416750516,16.31,0.03892900580915686,-0.281,11.0304,0.3803,1906280180,15.2269,0.2665,33.1031,1.4698,0.3756,2.1719,3.1214339171180114,0.0503,0.9489638768630538,0.0349,0.0027,0.0362,0.0961
2013-05-31,-0.054567749846719735,-0.1311911504382129,15.42,0.16111601984639434,0.657,10.8893,0.3572,1802598000,17.4209,0.2613,27.7211,1.4063,0.3808,2.8098,6.305932082382642,0.0397,1.0343969204448247,0.0501,0.0108,0.0295,0.0802
2013-08-30,-0.03501945525291823,-0.03638692062575765,14.88,0.03442745370920385,0.6905,10.7784,0.3634,1741123680,22.5198,0.2637,23.982,1.3707,0.4001,3.0292,2.9005729723439213,0.0293,1.2097067797044723,0.0733,0.0028,0.0218,0.0605
2013-11-29,0.3051075268817205,0.19926351811761356,19.42,0.3886269962846044,0.5206,11.1982,0.374,2278043680,30.9866,0.3521,12.1699,1.7216,0.4699,3.167,9.941199071158854,0.0284,1.7180062060969787,0.0631,0.0283,0.0209,0.0566
2014-02-28,-0.0036045314109165952,-0.03330859265637025,19.35,0.09392358330734413,-0.4633,11.2603,0.3769,2278307700,28.4493,0.3572,13.7863,1.7054,0.4897,3.1552,4.903283684423098,0.0305,1.7830001189040445,0.0435,0.0069,0.0226,0.0602
2014-05-30,-0.08268733850129206,-0.11717065173958457,17.75,0.19839184979371896,0.2258,11.3719,0.3732,2090186750,24.6827,0.3284,18.2176,1.5475,0.4603,3.0514,7.156910905975415,0.0321,1.9547712662516878,0.0522,0.0135,0.0236,0.063
2014-08-29,-0.026478873239436557,-0.06796426293481764,17.28,0.27441676551996835,0.1632,11.3457,0.3656,2036085120,17.9797,0.2998,38.5892,1.5097,0.4244,2.8657,8.407994552673008,0.0428,1.815020071459488,0.0646,0.0177,0.0309,0.0839
2014-11-28,-0.054398148148148216,-0.08643919080777321,16.34,0.27065848120427216,-0.8532,11.2615,0.3702,1922678780,19.3218,0.2805,-17.4449,1.4357,0.4201,2.9972,8.319621457131987,0.0376,1.9943484579363797,0.0597,0.0191,0.0272,0.074
2015-02-27,-0.07894736842105259,-0.09681381019753703,15.05,0.052658412854872834,-0.6716,11.1438,0.3653,1741706400,18.4186,0.262,-12.97,1.328,0.4077,3.0063,3.6490983080827863,0.0361,2.0385818470897275,0.0507,0.0044,0.0262,0.0713
2015-05-29,0.06777408637873751,0.0664008896203032,16.07,0.24588254438629997,1.4856,11.5904,0.378,1857708070,18.6314,0.2896,150.3121,1.3727,0.4296,3.2167,8.04270494439731,0.0379,2.484321069886939,0.0761,0.019,0.0278,0.0748
2015-08-31,-0.02302426882389552,0.04113559041400544,15.7,0.10452168615572065,1.8263,11.6881,0.4015,1815469500,22.8524,0.3346,8.6945,1.3142,0.4797,3.7867,5.299161549374281,0.0298,2.7829809313789076,0.0352,0.0145,0.0226,0.0581
2015-11-30,-0.05796178343949046,-0.11284006810461922,14.79,0.21359479797850672,1.8,11.643,0.4136,1719071280,23.7696,0.3508,3.2964,1.2583,0.4811,4.387,7.522636225874114,0.0271,2.778141991878312,0.0759,0.0217,0.0214,0.0526
2016-02-29,-0.006761325219743046,0.0644649897377655,14.69,0.09013973289387853,0.534,11.5768,0.4431,1682533840,21.9574,0.3715,2.5387,1.2474,0.524,4.3885,4.868130181773056,0.0301,2.494071732904938,0.071,0.0102,0.0241,0.0564
2016-05-31,0.16882232811436368,0.08357369189189667,17.17,0.16662643539432395,1.1416,11.7543,0.4383,1968145590,29.2678,0.4631,3.1657,1.4434,0.6005,4.1679,6.676439861182237,0.0275,2.477871705619095,0.0753,0.0157,0.0218,0.0495
2016-08-31,-0.09609784507862562,-0.1313871947164867,15.52,-0.001127182302377408,0.196,11.7659,0.4367,1779150720,32.4887,0.4947,4.1506,1.301,0.5616,2.4943,,0.0224,2.4833996301336403,0.3334,-0.0006,0.0175,0.0401
2016-11-30,0.41817010309278363,0.4053369618189205,22.01,0.05381415891256807,-0.3751,11.4068,0.4429,2543255500,70.697,0.7403,14.6425,1.912,0.8247,2.5831,3.740658277499743,0.0148,2.0785980095196885,0.0509,0.0063,0.0117,0.0266
2017-02-28,-0.039981826442526236,-0.11494502453240217,21.13,0.25898224043715845,-0.2935,11.6292,0.4348,2446410270,43.8393,0.7463,31.7352,1.7961,0.8551,2.3651,8.280993967976945,0.0231,1.876221076360998,0.0854,0.0351,0.0181,0.0414
2017-05-31,-0.14339801230477983,-0.16377343260514954,18.1,0.335019837037669,-0.5388,12.0991,0.433,2095780900,27.6699,0.6771,-17.6866,1.4778,0.8308,2.239,9.604187651403254,0.0308,1.6883728160706113,0.0835,0.0375,0.0236,0.0544
2017-08-31,0.04364640883977895,0.01883097957369797,18.89,-0.24993231581440997,-5.0081,11.8526,0.4708,2187348660,47.2103,0.5488,-2.9831,1.5613,0.6876,2.8168,,0.0196,1.2064442026357152,0.0427,-0.0272,0.0148,0.0328
2017-11-30,0.041291688724192754,-0.0298875570154339,19.67,0.312325001272718,-1.5211,12.1754,0.495,2294131770,29.8454,0.5639,-2.6406,1.5987,0.7295,3.2002,9.313877334901964,0.0342,1.173735970711046,0.0734,0.0341,0.0261,0.0542
2018-02-28,0.23538383324860185,0.21036098293054165,24.3,0.08598122939037794,-0.8855,12.2725,0.4987,2838871800,50.0647,0.6664,-3.0229,1.9558,0.8084,3.1076,4.902964515673898,0.025,1.6180559122113227,0.05,0.0096,0.0195,0.0392
2018-05-31,-0.027160493827160497,-0.0240062585407478,23.64,0.3379561117923132,-1.5595,12.2861,0.4476,2766210960,48.1893,0.6259,-2.6086,1.9039,0.7478,3.8968,9.712644470072972,0.0235,1.7294084468525133,0.0832,0.0331,0.0186,0.0395
2018-08-31,-0.08629441624365479,-0.1588380065629697,21.6,0.4353589854007819,-1.1148,12.6114,0.4487,2527545600,18.2488,0.5442,-4.2092,1.6922,0.6554,3.8328,11.176562980283911,0.0526,2.072229438709236,0.0918,0.0394,0.0421,0.094
2018-11-30,-0.10787037037037045,-0.05915449155348551,19.27,0.16634367469371936,-3.3162,12.5463,0.4015,2266807180,18.6666,0.4679,-2.7821,1.5223,0.727,2.675,6.890245005256479,0.0443,-1.6211214444803372,0.0601,0.0154,0.0345,0.0814
2019-02-28,-0.14115204981837046,-0.149963126327332,16.55,0.11644232951918146,-0.2081,12.5984,0.4018,1951592550,15.5981,0.3758,-2.6559,1.3023,0.6152,2.7517,5.771672481569834,0.0437,-1.3563148209394424,0.0661,0.0098,0.0336,0.0837
2019-05-31,-0.19335347432024175,-0.18170684181146576,13.35,0.6579322847598744,0.9282,13.1283,0.4152,1574285400,9.6261,0.2814,-3.5796,1.0064,0.4934,3.0018,14.005610335323642,0.0561,-0.7525440113971711,0.1042,0.0488,0.0436,0.1067
2019-08-30,0.17378277153558055,0.11041209697520595,15.67,0.7208414602499602,1.7564,13.595,0.432,1847884750,9.3283,0.317,-18.8709,1.1378,0.4945,2.9945,14.937538068986434,0.0683,-0.4639304642781429,0.1048,0.0558,0.0526,0.1242
2019-11-29,0.3631142310146777,0.28981064156029546,21.36,0.6958772354601166,0.9226,14.2075,0.4468,2534364000,9.6842,0.4269,6.2396,1.4893,0.5877,3.3466,15.002956813415901,0.0908,-0.7759882005899705,0.1214,0.0601,0.0691,0.1573
2020-02-28,-0.145131086142322,-0.08567193297135735,18.26,0.5298529155281669,0.5009,14.6009,0.4498,2174072120,6.976,0.37,4.4256,1.2366,0.5253,3.2119,13.27574739306,0.107,-0.5451361475533756,0.1071,0.0475,0.0807,0.1801
2020-05-29,-0.06024096385542176,-0.09073635308982023,17.16,0.5381986880502831,2.0037,14.9707,0.4553,2043155400,6.8564,0.3641,3.2866,1.1346,0.4874,3.4191,13.525494719689481,0.101,-0.07757107462310503,0.1126,0.0482,0.0757,0.1674
2020-08-31,0.21620046620046623,0.06641283247611462,20.87,0.5616295004360284,1.6909,15.6921,0.4628,2488142270,8.902,0.4543,4.0429,1.3168,0.5499,2.9709,14.152692152373556,0.094,0.18275303847476534,0.1027,0.0479,0.0695,0.1514
2020-11-30,-0.04599904168663157,-0.08065877816365963,19.91,0.5291344693217093,-0.4007,15.974,0.4817,2390553880,9.1856,0.4359,5.2381,1.2354,0.5453,3.5375,13.868901572434678,0.0868,0.7282206749508612,0.1042,0.046,0.0642,0.1361
