date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2004-03-31,,,16.39,0.9417542114751041,3.0397,-3.6395,-0.173,494584640,15.4557,0.7747,5.0571,-4.2236,1.5782,2.2586,,0.069,-19.13109756097561,0.2742,0.1209,0.0469,-0.245
2004-06-30,0.18242830994508838,0.16943783268928972,19.38,-0.19334119806003408,0.0655,-4.3387,-0.2047,596148180,18.2308,0.9219,5.9734,-4.5026,1.7339,2.319,4.344434688255662,0.0713,-18.994831117323884,0.1805,-0.0608,0.0494,-0.2621
2004-09-30,0.1455108359133127,0.16852897215711352,22.2,0.1704210950329997,-0.9109,-3.3805,-0.17,684870000,14.9534,1.0357,9.7282,-6.2774,1.8939,2.0996,,0.1,-18.191247974068073,0.2085,0.0492,0.071,-0.3792
2004-12-31,0.09144144144144149,0.0041080138467244065,24.23,0.6445344129554655,0.0777,-2.8631,-0.1221,748634310,15.0328,1.077,10.2834,-8.4687,1.9013,1.9718,,0.1035,-17.681328284299447,0.4813,0.0843,0.0729,-0.5043
2005-03-31,0.050350804787453525,0.07620240966974208,25.45,0.6991925254462766,2.673,-2.1347,-0.0975,798086550,18.9569,1.1209,12.9981,-11.5664,1.8244,2.1855,,0.0847,-16.56621703498198,0.2584,0.0845,0.0588,-0.5349
2005-06-30,-0.08055009823182714,-0.08964723656546739,23.4,-0.022271006331328943,0.229,-2.5897,-0.122,737287200,15.5874,1.0343,11.0703,-9.0575,1.7481,2.3378,1.1391630983601329,0.0963,-16.605306588802843,0.1995,-0.0071,0.0688,-0.6289
2005-09-30,-0.017094017094017033,-0.048554740757161444,23.0,-0.1392669494207761,-1.3483,-2.627,-0.1209,728341000,19.4743,1.0278,13.6393,-8.7751,1.8268,2.5967,2.869097630421196,0.0755,-16.616667192976916,0.2037,-0.0409,0.0552,-0.4549
2005-12-30,0.0669565217391304,0.05110380281604241,24.54,0.41640770665009325,0.1584,-2.458,-0.1054,781206360,25.2817,1.0337,13.9252,-9.8761,1.7818,2.3988,,0.0592,-15.549412577747063,0.2794,0.0473,0.043,-0.3812
2006-03-31,0.018337408312958405,-0.018977602299214965,24.99,0.8833703978255498,3.1906,-1.8346,-0.0846,798905310,21.6505,1.1312,10.9439,-13.4495,1.8067,2.4982,,0.0697,-14.867527917670243,0.2808,0.1312,0.0508,-0.5328
2006-06-30,-0.001600640256102407,0.017451499370532333,24.95,-0.0656024491581019,-0.7434,-1.968,-0.0948,798899000,22.5041,1.1148,19.0214,-12.6809,1.8351,2.9913,1.704369809847837,0.0685,-15.156152404747033,0.1646,-0.0194,0.0519,-0.58
2006-09-29,0.1346693386773547,0.08298454341854967,28.31,0.0704203790453446,-0.7562,-2.2718,-0.1106,907731840,21.5102,1.2388,15.1541,-12.2335,2.0038,2.4069,,0.0833,-15.481536926147704,0.2192,0.0186,0.0632,-0.6151
2006-12-29,0.11480042387848817,0.053079366312856355,31.56,0.8009782940996637,0.1345,-1.9902,-0.0909,1012981320,18.4178,1.5331,17.1111,-15.5603,2.4034,2.3848,,0.108,-15.478082063744274,0.2614,0.1241,0.0793,-0.7896
2007-03-30,0.058301647655259824,0.05649671468247127,33.4,0.7965087890625,2.182,-1.3885,-0.0658,1074344400,20.4637,1.5195,39.2096,-23.6119,2.2675,2.5125,,0.1007,-14.779580923956972,0.224,0.0987,0.0746,-0.9493
2007-06-29,0.037724550898203535,-0.020331831211793425,34.66,-0.09920327370803236,0.4867,-1.5128,-0.0723,1119760620,21.7852,1.5415,16.7378,-22.9459,2.2716,2.4813,1.8375747686758233,0.099,-15.188658804593432,0.1513,-0.025,0.0752,-1.0901
2007-09-28,-0.01788805539526825,-0.033453309523763665,34.04,0.20310415908815327,-1.0761,-1.4641,-0.0669,1100445120,19.7212,1.4824,19.6157,-22.7835,2.2674,2.1415,,0.1057,-15.389136352388023,0.187,0.048,0.0799,-1.1493
2007-12-31,0.20446533490011753,0.24270998179609754,41.0,1.5264863555138262,0.5694,-0.1393,-0.0056,1326022000,16.5752,1.5467,18.8088,-288.2656,2.2356,2.215,,0.1401,-14.188980273328799,0.2444,0.1545,0.1037,-3.0245
2008-03-31,0.4385365853658536,0.5377357161190748,58.98,1.5134701929597436,4.2167,0.8939,0.0362,1910598120,18.5494,1.9634,14.0692,65.8826,2.4463,2.4574,5.523723853673521,0.1705,-12.928320059270236,0.2336,0.1292,0.1271,8.4426
2008-06-30,0.3658867412682266,0.3981691581036125,80.56,0.04926108374384237,0.6619,0.8466,0.0391,2612158000,24.2315,2.5924,18.4474,94.9875,3.0531,2.4192,0.9698048898907978,0.1887,-12.983808789514264,0.179,0.0098,0.1435,3.8159
2008-09-30,-0.3496772591857001,-0.2608959977416083,52.39,0.8847375073214341,-0.5672,0.9093,0.0391,1698745750,13.0874,1.5366,10.7041,57.5846,1.9817,1.9258,4.255453120932769,0.2417,-12.774094063222822,0.278,0.1208,0.1784,4.5543
2008-12-31,0.1196793281160526,0.3452614714131379,58.66,2.4602248295349836,1.4251,1.981,0.0784,1902813080,11.9298,1.6295,10.2137,29.5009,2.0209,1.812,10.492273065732967,0.2906,-11.332387940070287,0.3394,0.2062,0.2024,3.3936
2009-03-31,-0.03903852710535287,0.07762906756147525,56.37,1.8931710615280595,3.1532,3.479,0.1384,1836252750,10.6758,1.6741,12.0726,16.2213,2.0065,2.5558,12.181868980671531,0.2967,-9.691481197237145,0.339,0.1992,0.2096,1.9358
2009-06-30,-0.025900301578854017,-0.17811809764874284,54.91,0.4325020704886353,-1.3312,4.4139,0.172,1789681630,9.7001,1.6354,20.5238,12.4369,2.0213,3.2079,6.555460389446353,0.2985,-9.790445801245665,0.2846,0.0884,0.223,1.4352
2009-09-30,0.122199963576762,-0.027649868508840186,61.62,0.7881259774908768,-1.3585,5.3206,0.193,2008442280,11.0657,1.9326,32.7641,11.576,2.3891,2.8,9.715741637462322,0.2788,-9.65821930416641,0.3049,0.1409,0.2092,1.1436
2009-12-31,0.09039272963323597,0.03550566153689571,67.19,1.9151218017465912,0.3033,6.8362,0.2222,2193283170,13.3818,2.2773,88.4388,9.8309,2.7685,2.6186,17.16577388594666,0.2377,-9.10761878503814,0.3462,0.2001,0.1723,0.8265
2010-03-31,0.19407649947908925,0.14535434064624392,80.23,1.8024358895893262,3.4702,8.4735,0.2696,2625366290,16.2863,2.5952,73.7462,9.4812,2.9582,3.1916,18.54039787774698,0.2177,-8.00354490725178,0.293,0.1647,0.1587,0.6448
2010-06-30,-0.12401844696497573,-0.005396480364032993,70.28,0.3449960310191122,0.3572,8.0936,0.2737,2301529440,14.5298,2.2321,25.3751,8.6817,2.5931,3.907,7.928091327057711,0.2083,-8.39135214364236,0.1698,0.0631,0.1587,0.5845
2010-09-30,0.09021058622652253,-0.0169873592885057,76.62,0.588683849321336,-1.0401,8.7052,0.285,2513212620,16.5342,2.4523,24.9079,8.8059,2.8571,3.5792,10.739759733279767,0.199,-8.600347550379562,0.2551,0.1096,0.1543,0.5522
2010-12-31,0.16510049595405887,0.06306748819149056,89.27,1.8609892787524367,1.1604,10.5933,0.3121,2928859430,19.4479,2.74,22.6867,8.4211,3.1062,2.8554,21.06901540403363,0.1873,-7.470511140235911,0.2761,0.1714,0.1423,0.4756
2011-03-31,0.047720398790187135,-0.0065001576584019435,93.53,1.7191018073388913,4.6887,12.3562,0.3585,3074705220,20.7469,2.7903,18.1078,7.5713,3.0661,3.5882,21.872047343636673,0.1716,-7.997201435785119,0.2585,0.1446,0.1319,0.3931
2011-06-30,-0.07976050465091424,-0.07584601970316583,86.07,0.42524755482655974,-0.1123,12.5326,0.3651,2831789070,18.7659,2.5678,18.3406,6.8632,2.8602,3.7874,10.955962366429695,0.1686,-8.2033980730069,0.214,0.0778,0.1333,0.3686
