date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2012-09-28,,,0.0,0.26854839895622107,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0902,0.0405,0.0,0.0
2012-12-31,,,0.0,-0.06212265545982317,-0.0894,3.9476,0.0986,0,0.0,0.0,0.0,0.0,0.628,4.3515,,-0.0185,-8.052195481424231,0.1534,-0.0087,-0.0124,-0.1258
2013-03-29,,,0.0,0.14869110974220884,-0.9338,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444,0.0,0.1023,0.0237,0.0297,0.3013
2013-06-28,,,0.0,0.20980555547318197,-0.8696,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355,0.032,0.0,0.0
2013-09-30,inf,inf,10.859,0.22303666461331326,1.2516,6.1218,0.1387,14647379330,22.1272,0.4382,-16.3943,1.9547,1.1559,3.5399,5.542839003736066,0.0364,-6.033370895638572,0.1068,0.0331,0.0245,0.1766
2013-12-31,-0.09199742149369192,-0.1911975235897833,9.86,-0.0986127975861942,-0.2649,3.6552,0.0922,13311690200,22.0392,0.3945,-11.636,2.68,1.1146,4.0964,,0.0169,-8.6210344648796,0.144,-0.0148,0.0112,0.0969
2014-03-31,0.013286004056795156,0.0003123513815621159,9.991,0.07358351729212656,-1.6526,5.7593,0.1366,13518322550,25.8971,0.402,-6.0161,1.7271,1.1526,3.6093,3.0947616853540203,0.014,-6.567384797309781,0.1229,0.0132,0.0093,0.0816
2014-06-30,-0.11130017015313784,-0.15824143950212116,8.879,0.2601028655400441,-0.141,3.7883,0.0928,12016217070,20.2634,0.3564,-9.4914,2.3305,1.1493,5.4442,4.7206928036601585,0.0156,-8.624651784856614,0.1371,0.0397,0.0105,0.0913
2014-09-30,-0.22412433832638803,-0.23027670754526208,6.889,0.12720588235294117,-0.3529,5.8102,0.1401,9329014910,18.9229,0.2809,-2.8459,1.1805,1.0445,3.7659,4.086961244697252,0.013,-6.465857819065271,0.1361,0.0223,0.0088,0.0755
2014-12-31,0.016402961242560538,-0.027510389008104808,7.002,0.06102941176470588,0.9852,3.6595,0.0958,9489950640,13.3661,0.2915,-6.0139,1.9067,1.0419,4.8255,2.2466315257965874,0.0193,-8.308738895611368,0.1108,0.0099,0.0131,0.1102
2015-03-31,0.012425021422450819,0.008058616710817562,7.089,0.016152716593245228,-0.6688,3.6497,0.1051,9644513610,15.2603,0.3113,-39.6893,1.9401,1.0519,4.7913,1.152979152956513,0.019,-7.599467838793376,0.128,0.0036,0.0127,0.127
