date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,7.16,0.1035395942585284,0.1346,3.6272,0.3468,8248320000,16.4059,2.0734,16.6616,1.9209,2.8339,0.5062,2.923235692350669,0.0592,-6.278366319444444,0.1424,0.1208,0.0382,0.104
2003-06-30,0.12290502793296075,-0.026025633500955977,8.04,0.11323597359877957,0.1441,3.9753,0.3582,9151128000,18.4734,2.2598,17.5872,1.9806,3.0721,0.5808,3.2049036916866567,0.0602,-6.50770602706027,0.1451,0.1209,0.0391,0.1111
2003-09-30,0.07835820895522398,0.05632642783349489,8.67,0.13230974354700945,0.1388,4.0268,0.3639,9836982000,18.5942,2.3808,16.5679,2.1204,3.1527,0.5569,3.48783277157841,0.0632,-6.427473999647453,0.1532,0.1472,0.0412,0.1142
2003-12-31,0.2168396770472896,0.10042043083213492,10.55,0.29816174551528546,0.1675,5.5877,0.4146,11991446500,16.0029,2.7936,17.6441,1.8669,3.5114,0.57,6.168582309519825,0.0819,-7.223047957558748,1.1197,0.2968,0.053,0.1354
2004-03-31,-0.06824644549763038,-0.08109801434019216,9.83,0.1431011781011781,0.1182,4.3624,0.3875,11190472000,14.1302,2.5653,17.0406,2.222,3.2901,0.7697,3.7747016763138994,0.086,-6.21203882642305,0.1979,0.1523,0.0556,0.1382
2004-06-30,0.10885045778229911,0.09585998052650044,10.9,0.2161098615916955,0.2116,4.4887,0.3741,12439080000,13.6667,2.7602,16.9526,2.3971,3.4884,0.6793,4.705345724718616,0.1058,-6.831284612688398,0.2773,0.2027,0.0677,0.178
2004-09-30,0.11284403669724774,0.13586217294104855,12.13,0.24621598346538065,0.1567,4.9166,0.3822,13896128000,13.3149,2.8929,18.3872,2.4339,3.706,0.805,5.258940520306112,0.1117,-7.174879539106145,0.2804,0.2146,0.0724,0.1915
2004-12-31,0.2621599340478153,0.17482650645309822,15.31,0.23240249428051052,0.2244,6.5312,0.4151,17337044000,17.8373,3.4292,21.0175,2.2761,4.1495,0.7569,5.903025121205995,0.0892,-8.23816937477923,0.8972,0.1926,0.0584,0.1458
2005-03-31,0.03396472893533635,0.059816333817624905,15.83,0.21211364427427776,0.3073,5.2431,0.3795,17761260000,16.9071,3.3042,17.0521,2.9477,4.0319,0.8744,5.049982897999449,0.0948,-7.566705882352942,0.2204,0.1736,0.0613,0.154
2005-06-30,-0.08970309538850284,-0.09880023372214308,14.41,0.2959600424328147,0.332,5.1919,0.3773,15874056000,13.98,2.8238,13.5377,2.7028,3.5221,0.7885,5.929392055655992,0.1119,-7.794156681190995,0.3022,0.2264,0.0722,0.1908
2005-09-30,0.23178348369188062,0.20032276002873622,17.75,0.31304737975592245,0.2454,5.557,0.3859,19262300000,16.0728,3.307,15.2378,3.1104,3.961,0.6013,6.3120386764076635,0.1174,-8.177523958717288,0.3794,0.2272,0.0758,0.1986
