date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,6.89,0.05172774603496712,0.4661,0.9962,0.0364,1085168110,75.7164,0.4947,7.2489,6.9078,0.708,0.8087,1.077437872829738,0.0171,-22.352135569114726,0.1074,0.0145,0.0033,0.0898
2003-06-30,0.3759071117561685,0.22697645032225175,9.48,0.06674040831805828,0.8559,0.9517,0.0358,1493460240,94.1414,0.6735,4.7068,9.9187,0.8669,0.7234,1.1980772929089987,0.0213,-22.351699272556463,0.1542,0.0189,0.0037,0.1031
2003-09-30,-0.1824894514767933,-0.2045212325985224,7.75,-0.036919897288156825,0.0432,2.0502,0.0761,1391776000,82.0864,0.626,4.5007,4.2515,0.7495,0.8023,,0.0225,-18.745083080898077,0.0961,-0.0106,0.0039,0.0709
2003-12-31,0.3935483870967743,0.27712914088161966,10.8,-0.11466211406708782,-0.0914,1.6162,0.0672,1941019200,-248.9124,0.8733,9.7353,6.6784,1.0692,0.5677,,-0.0092,-19.794245621063407,0.0975,-0.0372,-0.0018,-0.0252
2004-03-31,0.03518518518518509,0.022333616342623312,11.18,0.6421034031485888,0.0262,2.1378,0.0896,2011986340,20.054,0.8696,15.4027,5.1967,1.0414,0.6319,5.576627696659881,0.1105,-18.83606630251774,0.1679,0.1786,0.0232,0.296
2004-06-30,0.3425760286225403,0.3295855513667416,15.01,0.14404049953827888,-0.0088,2.2316,0.0967,2708209270,23.3518,1.1137,-422.4975,6.6706,1.2638,0.8109,2.7025090198427297,0.1291,-17.89073143154849,0.1433,0.0388,0.0272,0.2924
2004-09-30,-0.030646235842771423,-0.007628099598970622,14.55,-0.06404311594603866,-0.4652,2.1308,0.0924,2631905850,23.8624,1.0364,-27.0257,6.8346,1.1987,0.681,,0.1302,-18.140706629000427,0.0783,-0.0175,0.0263,0.2788
2004-12-31,0.1766323024054983,0.0892988748107812,17.12,0.3687870596442274,0.2895,2.5561,0.1117,3103616320,15.6288,1.1177,-111.6649,6.6172,1.2687,0.6664,4.635568811428716,0.2253,-17.962892887481658,0.1788,0.0855,0.0474,0.465
2005-03-31,0.14544392523364477,0.17129553011593332,19.61,0.40849446013469476,0.223,2.9171,0.1244,3579668230,22.7264,1.2163,420.6425,6.6646,1.3538,0.7895,5.209677628904506,0.1684,-17.56290846540267,0.1989,0.092,0.037,0.3131
2005-06-30,0.13972463029066814,0.13062749195702789,22.35,0.221818986979462,-0.128,3.1299,0.131,4098163050,23.774,1.3282,-301.8015,7.071,1.4646,0.846,3.97707707247688,0.1744,-17.647573392669187,0.1539,0.0502,0.0394,0.3087
