date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-09-30,,,0.0,0.061397103565778266,0.0,4.2126,0.4953,0,0.0,0.0,0.0,0.0,-0.0007,0.2638,2.412349967526881,0.0572,-3.4906291834002676,0.57,0.0712,0.043,0.085
2003-12-31,,,0.0,-0.024738097707706668,0.0,4.6393,0.5622,0,0.0,0.0,0.0,0.0,-0.0064,0.3201,,-0.0168,-2.896691214604294,0.4237,-0.0268,-0.0127,-0.024
2004-03-31,,,0.0,0.012676705593116165,0.1832,4.9729,0.5624,0,0.0,0.0,0.0,0.0,-0.0036,0.2265,1.1909658928744207,0.0059,-3.451137724550898,0.5834,0.0139,0.0044,0.0078
2004-06-30,,,0.0,0.06855791962174941,0.1432,4.5254,0.5439,0,0.0,0.0,0.0,0.0,-0.0007,0.2051,2.7391252346281387,0.0161,-3.490242946708464,0.6171,0.0723,0.0119,0.0215
2004-09-30,,,0.0,0.07798990718848149,-1.7973,5.5802,0.5292,0,0.0,0.0,0.0,0.0,-0.0005,0.2294,3.248384523961975,0.0202,-4.032381084454306,0.5838,0.0693,0.0149,0.0279
2004-12-31,,,0.0,0.6710410308579179,0.2343,6.2636,0.5524,0,0.0,0.0,0.0,0.0,-0.0002,0.1691,9.87920668497271,0.0991,-4.5106825229154595,0.5467,0.5036,0.0764,0.141
2005-03-31,,,0.0,-0.3143640945484704,-0.2325,5.149,0.4594,0,0.0,0.0,0.0,0.0,-0.0002,0.156,,0.0534,-5.623080018780603,0.5874,-0.248,0.0408,0.0808
2005-06-30,,,0.0,0.1513210798391729,-1.52,6.342,0.5344,0,0.0,0.0,0.0,0.0,-0.0006,0.1792,4.768526644910768,0.0604,-4.902271464904844,0.5699,0.1199,0.0455,0.0911
2005-09-30,,,0.0,0.23697702218090053,0.5767,7.0683,0.5404,0,0.0,0.0,0.0,0.0,-0.001,0.1942,6.294122111874539,0.0699,-5.295734108127189,0.5984,0.1452,0.0532,0.099
2005-12-30,,,0.0,0.7369067417167712,0.2666,9.5306,0.5352,0,0.0,0.0,0.0,0.0,-0.1247,0.2607,12.570647411077594,0.0702,-6.131270061802328,0.5416,0.4405,0.0557,0.1037
2006-03-31,,,0.0,0.050020015284399,-4.2246,11.5657,0.619,0,0.0,0.0,0.0,0.0,-0.1052,0.26,3.675697901935285,0.0646,-5.447702549672283,0.5273,0.034,0.0531,0.0907
2006-06-30,,,0.0,0.2817897412500815,0.1163,11.5626,0.6106,0,0.0,0.0,0.0,0.0,-0.089,0.2492,8.710719690723389,0.0642,-6.014640097600651,0.5594,0.1692,0.0527,0.0858
