date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,15.78,0.12686075227963525,-0.1317,10.2265,0.4353,8272412520,12.6836,0.7291,8.2664,1.5366,0.939,2.2457,5.411023732457859,0.0717,-3.983869798601388,0.0436,0.0255,0.0556,0.1243
2003-06-30,0.0,-0.14893066143391673,15.78,0.12686075227963525,-0.1317,10.2265,0.4353,8272412520,12.7334,0.7104,8.9483,1.5366,0.9149,2.2457,5.411023732457859,0.0679,-3.983869798601388,0.0436,0.0255,0.0525,0.1206
2003-09-30,0.2737642585551332,0.2517324774334041,20.1,0.6345594374945688,1.1801,11.5147,0.4382,10602388200,14.5734,0.8418,10.419,1.7394,1.0212,1.8682,12.866326141725471,0.0716,-5.050661444371562,0.1304,0.0807,0.0553,0.1267
2003-12-31,0.0,-0.11641924621515468,20.1,0.6345594374945688,1.1801,11.5147,0.4382,10602388200,13.1647,0.7827,9.5453,1.7394,0.9495,1.8682,12.866326141725471,0.0749,-5.050661444371562,0.1304,0.0807,0.0578,0.132
2004-03-31,0.08955223880597,0.07670066996340823,21.9,0.23037211050554407,-0.0376,11.8307,0.4238,11551855800,13.4142,0.8096,9.958,1.835,1.0187,1.6613,7.85900842906247,0.0776,-5.972124167270163,0.0746,0.0367,0.0598,0.1389
2004-06-30,0.0,-0.012990477255798667,21.9,0.23037211050554407,-0.0376,11.8307,0.4238,11551855800,12.5979,0.7706,9.5519,1.835,0.9696,1.6613,7.85900842906247,0.0802,-5.972124167270163,0.0746,0.0367,0.0617,0.1456
2004-09-30,0.22283105022831062,0.24584918647211143,26.78,0.8746870923718398,1.1059,12.7113,0.3809,14262974440,13.6475,0.884,12.1761,2.115,1.0871,1.8056,15.860259664257898,0.0881,-8.71311758587152,0.1218,0.0874,0.0641,0.1602
2004-12-31,0.0,-0.08733342759471709,26.78,0.8746870923718398,1.1059,12.7113,0.3809,14262974440,12.1571,0.8255,12.5843,2.115,1.0151,1.8056,15.860259664257898,0.0955,-8.71311758587152,0.1218,0.0874,0.0662,0.1739
2005-03-31,-0.03024645257654975,-0.004394847694261194,25.97,0.3364898377773634,-0.1019,12.1958,0.3676,13831570060,11.2351,0.7785,12.5883,2.1147,0.9701,1.6695,9.635178729787496,0.1006,-8.735365134679439,0.1116,0.0471,0.0693,0.1853
2005-06-30,0.0,-0.009097138333640252,25.97,0.3364898377773634,-0.1019,12.1958,0.3676,13831570060,10.7306,0.7576,12.9979,2.1147,0.9441,1.6695,9.635178729787496,0.1057,-8.735365134679439,0.1116,0.0471,0.0724,0.197
2005-09-30,0.14016172506738547,0.10870100140424106,29.61,0.7576490500008315,1.0212,13.6289,0.3883,15880553640,12.8587,0.8983,15.4167,2.1529,1.1013,1.7748,15.324647690009206,0.0962,-9.043229465770692,0.1544,0.0867,0.0671,0.1774
2005-12-30,0.0,-0.01585271892308799,29.61,0.7576490500008315,1.0212,13.6289,0.3883,15880553640,13.4465,0.9286,15.9437,2.1529,1.1385,1.7748,15.324647690009206,0.0876,-9.043229465770692,0.1544,0.0867,0.0621,0.16
2006-03-31,0.12428233704829449,0.08696732643612112,33.29,0.46695011963924166,-0.1174,15.0885,0.3778,17854225960,14.2349,0.9698,18.0911,2.1779,1.1864,1.4637,12.650204433091057,0.0873,-9.907514860420195,0.115,0.0494,0.0616,0.161
2006-06-30,0.0,0.01905213962663474,33.29,0.46695011963924166,-0.1174,15.0885,0.3778,17854225960,13.4496,0.9054,18.2601,2.1779,1.1077,1.4637,12.650204433091057,0.0871,-9.907514860420195,0.115,0.0494,0.0611,0.1619
2006-09-29,0.2766596575548213,0.22497486229601626,42.5,1.0004646012417524,1.5082,17.2159,0.3872,23068575000,15.7761,1.0379,18.5083,2.4606,1.266,1.7462,19.769892807096024,0.0898,-11.074264448497578,0.1421,0.0753,0.0636,0.1663
2006-12-29,0.0,-0.061721057565631815,42.5,1.0004646012417524,1.5082,17.2159,0.3872,23068575000,14.4449,0.9328,15.2267,2.4606,1.1377,1.7462,19.769892807096024,0.0923,-11.074264448497578,0.1421,0.0753,0.0659,0.1703
2007-03-30,0.17247058823529407,0.17066565526250552,49.83,0.6224899598393574,0.1095,18.6929,0.382,27047225700,16.0583,1.0339,16.5042,2.6413,1.2651,1.577,16.24901012335688,0.0926,-12.12439433298329,0.1176,0.0519,0.066,0.1717
2007-06-29,0.0,-0.05805638210999696,49.83,0.6224899598393574,0.1095,18.6929,0.382,27047225700,15.267,0.9803,15.3449,2.6413,1.1995,1.577,16.24901012335688,0.093,-12.12439433298329,0.1176,0.0519,0.066,0.1729
2007-09-28,-0.3000200682319887,-0.3155853223604841,34.88,1.2818245304383185,1.8607,21.3534,0.4053,19086615040,9.8904,0.6553,9.7291,1.6298,0.8862,1.6977,24.92577868317557,0.0956,-13.367860119004108,0.1499,0.0802,0.0692,0.1758
2007-12-31,0.0,0.03824464689598002,34.88,1.2818245304383185,1.8607,21.3534,0.4053,19086615040,9.141,0.6226,8.8323,1.6298,0.8419,1.6977,24.92577868317557,0.098,-13.367860119004108,0.1499,0.0802,0.0722,0.1782
2008-03-31,-0.18176605504587165,-0.08256692429265053,28.54,0.6688778330569375,-0.4763,21.8979,0.3609,15617316320,7.4015,0.4921,8.4761,1.3141,0.6996,1.2299,18.214243564154874,0.0932,-16.975263519539187,0.1137,0.0474,0.0682,0.1788
2008-06-30,0.0,0.032282416835385866,28.54,0.6688778330569375,-0.4763,21.8979,0.3609,15617316320,7.3251,0.4759,10.2475,1.3141,0.6766,1.2299,18.214243564154874,0.0889,-16.975263519539187,0.1137,0.0474,0.0647,0.1793
2008-09-30,-0.08794674141555704,0.0008345200285347493,26.03,0.8467339249832552,1.624,19.0119,0.3862,13855716940,7.1618,0.4477,9.4041,1.2203,0.6884,1.5046,19.08449782801232,0.0848,-16.889357089449895,0.1429,0.0733,0.062,0.1664
2008-12-31,0.0,0.2255821432970853,26.03,0.8467339249832552,1.624,19.0119,0.3862,13855716940,7.9752,0.4765,9.7388,1.2203,0.7326,1.5046,19.08449782801232,0.0803,-16.889357089449895,0.1429,0.0733,0.059,0.1529
2009-03-31,-0.11525163273146369,0.001415961935364432,23.03,0.08552237654320988,0.1169,19.9645,0.435,12258822940,8.574,0.4498,6.9771,0.9475,0.6782,1.5476,6.206271686913115,0.0654,-13.993120394966729,0.0783,0.0095,0.0483,0.1177
2009-06-30,0.0,-0.15221779606988883,23.03,0.08552237654320988,0.1169,19.9645,0.435,12258822940,10.9241,0.4821,5.8619,0.9475,0.7269,1.5476,6.206271686913115,0.0508,-13.993120394966729,0.0783,0.0095,0.0377,0.0867
2009-09-30,0.18671298306556652,0.03686315097996434,27.33,0.527431330472103,1.7076,19.9006,0.4787,19080330180,19.3673,0.7584,8.2419,1.3716,0.958,1.8858,15.408479311442143,0.045,-9.421726974014032,0.126,0.0556,0.0335,0.0733
2009-12-31,0.0,-0.05488706809634026,27.33,0.527431330472103,1.7076,19.9006,0.4787,19080330180,22.4954,0.7665,7.5154,1.3716,0.9683,1.8858,15.408479311442143,0.0391,-9.421726974014032,0.126,0.0556,0.0291,0.0609
2010-03-31,-0.23527259421880717,-0.2839947530516525,20.9,0.015599573257467995,-0.3873,17.8494,0.4554,14591251400,18.1543,0.6146,6.6604,1.1628,0.8547,1.8166,2.506381105976379,0.0383,-9.419597047036007,0.0679,0.0023,0.0283,0.0607
2010-06-30,0.0,0.11862196660094274,20.9,0.015599573257467995,-0.3873,17.8494,0.4554,14591251400,19.2171,0.6459,7.9186,1.1628,0.8983,1.8166,2.506381105976379,0.0375,-9.419597047036007,0.0679,0.0023,0.0275,0.0605
2010-09-30,-0.004784688995215209,-0.11198263451024344,20.8,0.384554521313611,1.2351,19.2689,0.4851,14944966400,22.4091,0.6579,9.7271,1.0794,0.8294,1.7381,12.912153532782453,0.0322,-8.423936824642174,0.1121,0.0409,0.0237,0.0505
2010-12-31,0.0,-0.10203300776256831,20.8,0.384554521313611,1.2351,19.2689,0.4851,14944966400,26.0118,0.6543,12.1482,1.0794,0.8248,1.7381,12.912153532782453,0.0272,-8.423936824642174,0.1121,0.0409,0.0201,0.0414
2011-03-31,0.08269230769230763,0.028471751243718556,22.52,0.07726474719101123,-0.6923,20.1092,0.4765,16191136840,26.1742,0.6722,16.037,1.1308,0.8635,1.6169,5.915936075719262,0.0288,-8.289932639467459,0.0702,0.0093,0.0211,0.0439
2011-06-30,0.0,0.0039144849477484025,22.52,0.07726474719101123,-0.6923,20.1092,0.4765,16191136840,24.4344,0.6392,20.521,1.1308,0.821,1.6169,5.915936075719262,0.0303,-8.289932639467459,0.0702,0.0093,0.022,0.0462
2011-09-30,-0.11989342806394314,0.023385564397523748,19.82,0.45431995540691195,1.0989,19.3332,0.5086,14250163780,20.0044,0.5806,20.6485,1.0271,0.7441,1.7144,14.058016134652162,0.0339,-7.675331268368061,0.1103,0.0546,0.0248,0.0505
2011-12-30,0.0,-0.11152350739750899,19.82,0.45431995540691195,1.0989,19.3332,0.5086,14250163780,18.6994,0.5998,24.1014,1.0271,0.7687,1.7144,14.058016134652162,0.0377,-7.675331268368061,0.1103,0.0546,0.0279,0.0549
