date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-04-30,,,0.0,0.001004169486345478,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054,0.0,0.757,0.0194,0.0742,-0.053
2003-07-31,,,0.0,0.0025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0366,0.0,0.0
2003-10-31,,,0.0,0.0025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0366,0.0,0.0
2004-01-30,,,0.0,0.001859602155274662,0.0,-0.0962,-0.5195,0,0.0,0.0,0.0,0.0,-0.3938,1.0591,,-0.1346,-0.14524181044273482,-2.8452,0.0365,0.0686,-0.1321
2004-04-30,,,0.0,0.0010881690870336062,0.0158,-0.1077,-0.4653,0,0.0,0.0,0.0,0.0,-0.4092,1.1,,-0.0705,-0.13714854281679292,0.1349,0.0125,0.034,-0.0692
2004-07-30,inf,inf,3.25,0.0027146423632701928,0.0335,0.3112,0.5921,1337700000,397.6516,10.8376,64.2137,9.9724,9.8966,1.7503,0.17816128940851508,0.0714,0.1569363459669582,0.1409,0.0288,0.021,0.074
2004-10-29,0.5630769230769231,0.537226451790128,5.08,0.004633056741495662,0.0255,0.2977,0.5609,2094992000,451.7015,14.3703,64.065,15.1388,13.6028,1.5396,0.1876965780157682,0.0332,0.13240058195926285,0.1472,0.0464,0.0196,0.034
2005-01-31,-0.3248031496062992,-0.3699899046635984,3.43,0.007636741543362892,0.0401,0.312,0.5223,1440473090,196.0894,8.1671,27.9356,9.8318,7.4934,1.3572,0.24663299084244092,0.0503,0.10650223948300207,0.1468,0.0656,0.0278,0.0515
2005-04-29,0.052478134110787084,0.07315083683035906,3.61,0.009409884245533528,0.0188,0.3321,0.5247,1530640000,135.5868,7.4406,28.3788,9.9005,6.8363,1.3066,0.27885699560027194,0.0733,0.09568632075471697,0.137,0.0682,0.0392,0.0749
2005-07-29,0.631578947368421,0.5647335657226006,5.89,0.010680319392408497,0.0226,0.3543,0.5165,2535056000,167.231,10.693,50.5142,15.161,10.131,1.2907,0.30694106022514445,0.0919,0.10072955390334573,0.1249,0.07,0.049,0.0942
2005-10-31,0.06112054329371822,0.08313519493520076,6.25,0.02759470734482323,0.0406,0.3879,0.5122,2707500000,103.7237,9.9035,47.0084,14.7046,9.2758,1.4083,0.5149154969571189,0.1451,0.1605493998153278,0.1391,0.1584,0.0764,0.1485
2006-01-31,0.6416,0.581062021277478,10.26,0.012241484184914843,0.0693,0.4084,0.4572,4535474040,159.2847,14.6373,62.5936,22.8159,13.9674,1.2923,0.35359012490264674,0.1458,0.15213752166024966,0.1257,0.0654,0.0717,0.1487
2006-04-28,-0.14619883040935672,-0.17004892598539487,8.76,-0.0005159656443487117,0.0221,0.4839,0.4694,3906960000,163.7108,11.151,53.1363,18.1909,10.4856,1.3751,,0.1135,0.1926793721973094,0.07,-0.0021,0.0534,0.1154
2006-07-31,-0.2659817351598174,-0.24007780374518822,6.43,-0.00032412954451975176,0.0608,0.5219,0.4656,2888356000,154.6229,7.2835,32.0817,12.371,6.611,1.3859,,0.0819,0.22660284951024043,0.0632,-0.0012,0.0389,0.0833
2006-10-31,0.5178849144634526,0.43855298230060435,9.76,0.0007046117776170404,0.0447,0.541,0.4684,4431040000,748.2337,9.9811,48.0105,17.0228,9.4295,1.2094,0.09559641950350198,0.0235,0.1333590308370044,0.0695,0.0026,0.0112,0.0239
2007-01-31,0.12295081967213126,0.0791898058455155,10.96,0.0008899681957102153,0.0526,0.494,0.4308,5021324000,10439.343,10.1012,56.3554,17.531,9.5934,1.1116,0.11221000453682282,0.0017,0.08881152460984394,0.0585,0.0035,0.0007,0.0017
