date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2005-04-29,,,0.0,0.0,0.0,0.3108,0.2814,0,0.0,0.0,0.0,0.0,0.0,1.6205,0.0,0.0,-0.4686509860638538,0.0,0.0,0.0,0.0
2006-04-28,,,0.0,0.0,0.0,10.2674,0.2443,0,0.0,0.0,0.0,0.0,0.0,3.0052,0.0,0.0,-16.553738392315793,0.0,0.0,0.0,0.0
2007-04-30,,,0.0,0.0,0.0,4.2531,0.2604,0,0.0,0.0,0.0,0.0,0.0,3.7597,0.0,0.0,-6.225723452241034,0.0,0.0,0.0,0.0
2008-04-30,,,0.0,0.0,0.0,11.5307,0.5188,0,0.0,0.0,0.0,0.0,0.0,5.436,0.0,0.0,-2.5906436884235093,0.0,0.0,0.0,0.0
2009-03-31,,,0.0,0.0,0.0,5.3062,0.3114,0,0.0,0.0,0.0,0.0,0.0,1.1465,0.0,0.0,-7.908227711423778,0.0,0.0,0.0,0.0
2009-06-30,,,0.0,0.5558763434608548,0.3924,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.096,0.0,0.1112,0.0918,0.0652,0.2095
2009-09-30,,,0.0,0.23524940968122787,-0.4897,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0994,0.0486,0.0,0.0
2010-03-31,,,0.0,0.0,0.0,8.6591,0.3754,0,0.0,0.0,0.0,0.0,0.6002,1.5919,0.0,0.0784,-9.075383707201889,0.0,0.0,0.0589,0.1569
2010-06-30,,,0.0,0.0005628319541083046,0.1281,7.0682,0.3561,0,0.0,0.0,0.0,0.0,-0.1154,1.7072,0.29942245566322473,0.0521,-7.070528335301063,0.0739,0.0001,0.0309,0.0845
2010-09-30,,,0.0,0.35964696808170926,-0.4822,7.9983,0.3647,0,0.0,0.0,0.0,0.0,0.3428,1.7654,8.045041812083921,0.0462,-7.057088886814607,0.172,0.0533,0.0284,0.079
2010-12-31,,,0.0,0.05617308260313084,-0.442,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476,0.0,0.1121,0.0081,0.0379,0.104
2011-03-31,,,0.0,0.7138878500993957,0.9529,10.0708,0.3738,0,0.0,0.0,0.0,0.0,0.2874,1.4089,12.721730301501992,0.1065,-11.731628433592597,0.2304,0.1043,0.0839,0.2245
2011-06-30,,,0.0,3.5697326966624003,0.1775,14.4592,0.4183,0,0.0,0.0,0.0,0.0,0.1317,1.8893,34.07856038142709,0.218,-12.980562666141576,0.0925,0.4432,0.1528,0.3831
2011-09-30,,,0.0,0.07203252129774174,-0.3824,10.5663,0.4052,0,0.0,0.0,0.0,0.0,0.1317,2.0201,4.648685444424844,0.2068,-11.933626819345346,0.099,0.0092,0.1326,0.322
2011-12-30,,,0.0,0.10929289767672198,-0.1312,10.9964,0.4129,0,0.0,0.0,0.0,0.0,0.1303,2.0467,5.670395797186121,0.2192,-11.330347188456193,0.0714,0.0148,0.1433,0.3504
2012-03-30,,,0.0,0.20112850030663146,0.9205,12.9326,0.4346,0,0.0,0.0,0.0,0.0,0.117,2.2691,7.7429260734991034,0.1955,-10.659189025917577,0.0531,0.0293,0.1309,0.3091
2012-06-29,,,0.0,-0.020330902287592875,0.0269,11.1751,0.4123,0,0.0,0.0,0.0,0.0,0.1429,1.7017,,0.0202,-9.645434587219496,0.0335,-0.0403,0.0138,0.0326
2012-09-28,,,0.0,0.3400622516201726,-0.0898,13.5762,0.4604,0,0.0,0.0,0.0,0.0,0.1852,1.8365,10.27493057155811,0.0314,-8.903200774040185,0.1628,0.4655,0.0228,0.0523
2012-12-31,,,0.0,0.4081813654932875,0.5124,16.0544,0.3862,0,0.0,0.0,0.0,0.0,0.4921,1.5863,12.206955440143483,0.0326,-16.93902714543213,0.1044,0.0407,0.0262,0.0629
2013-03-29,,,0.0,0.036828608063826755,0.2058,16.5834,0.3963,0,0.0,0.0,0.0,0.0,0.3923,1.3934,3.715243050191652,0.0219,-17.12973276950203,0.1058,0.0035,0.0184,0.047
2013-06-28,,,0.0,-0.22158387472606056,0.1379,14.5964,0.463,0,0.0,0.0,0.0,0.0,0.2615,1.0684,,0.0175,-12.938111165136759,0.1811,-0.0889,0.0152,0.0358
2013-09-30,,,0.0,0.22531516325468806,0.0395,14.3024,0.4717,0,0.0,0.0,0.0,0.0,0.2492,1.1288,8.574295141327735,0.0157,-12.595982762036854,0.1939,0.0857,0.0142,0.0305
2013-12-31,,,0.0,0.23401162433189607,0.0844,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.1258,0.152,0.0179,0.038
2014-03-31,,,0.0,0.2696295607305981,0.0631,14.4369,0.4814,0,0.0,0.0,0.0,0.0,0.7364,1.5341,9.408418061686717,0.0366,-11.888513689022806,0.1983,0.1187,0.0336,0.07
2014-06-30,,,0.0,0.11391361768734103,0.0101,15.0897,0.4796,0,0.0,0.0,0.0,0.0,0.6006,1.7409,6.2545654037449285,0.0308,-12.541093060822629,0.215,0.0463,0.0274,0.057
2014-09-30,,,0.0,0.015855789212417936,0.1615,14.4728,0.4746,0,0.0,0.0,0.0,0.0,0.6124,1.6749,2.286501848216499,0.0236,-12.217170087001087,0.1976,0.0064,0.0203,0.0426
2014-12-31,,,0.0,-0.07806215722120659,-0.1834,11.6414,0.4593,0,0.0,0.0,0.0,0.0,0.5298,1.3391,,0.0133,-10.488433118068679,0.0362,-0.0604,0.0115,0.0247
