date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-12-31,,,0.0,0.0,0.0,-0.0037,-0.1025,0,0.0,0.0,0.0,0.0,0.0,0.9122,-0.0,0.0,-0.003532736693358455,0.0,0.0,0.0,0.0
2004-03-31,,,0.0,0.02826189354686764,-0.0148,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,6.1538,-60.0
2004-06-30,,,0.0,0.03771870029538741,-0.0343,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-30,,,0.0,-0.006134969325153374,-0.0234,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-31,,,0.0,-0.010287759057700909,-0.039,0.2609,0.8946,0,0.0,0.0,0.0,0.0,0.0,7.512,,0.2171,0.2009840465185627,0.0,0.0,0.1942,0.2171
2005-03-31,,,0.0,0.021548441686645044,-0.0038,0.0465,0.9316,0,0.0,0.0,0.0,0.0,0.0,11.1721,0.15015011526686345,0.4907,0.035002115357495416,0.0,0.0,0.4476,0.4907
2005-06-30,,,0.0,0.0006766090609230075,-0.0024,0.0453,0.9497,0,0.0,0.0,0.0,0.0,0.0,15.4216,0.02626087937114398,0.425,0.033745876913535,0.0,0.0,0.3997,0.425
2005-09-30,,,0.0,-0.000986721547179386,-0.0033,0.0436,0.9445,0,0.0,0.0,0.0,0.0,0.0,12.8791,,0.4333,0.030475599785740465,0.0,0.0,0.4104,0.4333
2005-12-30,,,0.0,-0.007866689223481644,-0.0051,0.0665,0.9601,0,0.0,0.0,0.0,0.0,0.0,19.051,,0.2424,0.04987875711949473,0.0,0.0,0.2312,0.2424
2006-03-31,,,0.0,-0.05955959025946145,-0.0647,0.5063,0.9533,0,0.0,0.0,0.0,0.0,0.0,17.1215,,-0.2321,0.3985156106238116,0.0,0.0,-0.2216,-0.2321
2006-06-30,,,0.0,-0.010024515158134906,-0.0565,0.2272,0.8564,0,0.0,0.0,0.0,0.0,-142.1764,4.7914,,-0.1893,0.1420665550134712,-7.5098,-8.0784,-0.1702,-0.1893
2006-09-29,,,0.0,-0.006760419656239038,-0.0887,0.135,0.6864,0,0.0,0.0,0.0,0.0,-33.3559,1.0719,,-0.2286,0.002002049045501969,-4.7014,-6.0447,-0.1752,-0.2286
2006-12-29,,,0.0,-0.03893348223633698,-0.0166,0.3493,0.9571,0,0.0,0.0,0.0,0.0,-66.6325,18.4015,,-0.2715,0.16951621847712683,-0.6424,-16.8969,-0.2363,-0.2715
2007-03-30,inf,inf,0.6,-0.010544188969877766,-0.0068,0.2398,0.9666,64121400,-13.5591,149.1195,-6.531,2.5078,105.8823,23.4505,,-0.1869,0.16707370706191693,-6.5986,-7.6462,-0.1798,-0.1869
2007-06-29,-0.09999999999999991,-0.15805638210999687,0.54,-0.007799977634472733,-0.0231,0.2324,0.966,57979260,-11.2493,80.415,-5.8118,2.3244,58.3443,20.406,,-0.204,0.14254579999813727,-23.0263,-2.4473,-0.1972,-0.204
2007-09-28,0.14814814814814806,0.13258289401965265,0.62,-0.004454467514071644,-0.0057,0.2375,0.9894,66568780,-12.7355,77.3156,-13.2343,2.6113,59.2529,103.3594,,-0.2072,0.1447531410369846,-0.7391,-2.3091,-0.2026,-0.2072
2007-12-31,-0.1935483870967742,-0.15530374020079418,0.5,-0.03408511072558424,-0.0199,0.1992,0.9848,53684500,-8.782,30.2277,-8.9578,2.5,22.7733,63.8873,,-0.2603,0.1236669802270674,-0.1064,-3.4018,-0.257,-0.2603
2008-03-31,0.28,0.37919913075322115,0.64,-0.0017137162495692426,-0.0197,0.1926,0.9788,68716160,-13.2836,37.7561,-9.3035,3.3215,31.738,32.0937,,-0.2453,0.10104406299769952,-2.7643,-0.9633,-0.2409,-0.2453
2008-06-30,-0.1875,-0.15521758316461415,0.52,-0.004742225529130174,-0.0071,0.2089,0.9832,58106880,-11.9438,33.5296,-10.2121,2.4925,26.0853,44.5,,-0.2211,0.11512027491408934,-1.949,-2.0745,-0.2169,-0.2211
2008-09-30,-0.5384615384615385,-0.44968027701744673,0.24,-0.00221040950744559,-0.0239,0.2081,0.9221,26818560,-5.7873,15.574,-3.4631,1.1532,8.7668,6.5722,,-0.199,0.09188860252004583,-2.653,-1.2602,-0.1894,-0.199
2008-12-31,-0.5833333333333333,-0.35775119003624795,0.1,-0.006577063497745007,-0.0284,0.2047,0.9455,11174400,-6.5925,7.581,-1.2741,0.4883,2.1739,8.6729,,-0.0734,0.0624731529209622,0.9182,-0.8834,-0.0685,-0.0734
2009-03-31,0.6,0.7166675946668281,0.16,-0.007821519021325721,-0.0325,0.1956,0.9253,17879040,-7.4964,16.1801,-1.7385,0.8177,11.9565,3.7971,,-0.1065,0.029093284650630012,4.6741,4.9101,-0.0997,-0.1065
2009-06-30,-0.3125,-0.46471779606988883,0.11,-0.018023339060710193,-0.022,0.1722,0.933,12291840,-3.1761,14.4439,-1.0284,0.6386,12.2301,2.398,,-0.1882,0.007973582474226804,-611.0,-2014.0,-0.1748,-0.1882
2009-09-30,0.7272727272727273,0.5774228951871251,0.19,-0.0062732674684994275,-0.0098,0.1738,0.9112,21231360,-4.9101,32.3648,-2.0461,1.0931,30.3191,1.2199,,-0.2236,-0.000143184421534937,-732.0,-701.0,-0.2061,-0.2236
2009-12-31,0.05263157894736847,-0.0022554891489717926,0.2,-0.024848725762996335,-0.0122,0.2288,0.9293,35682200,-5.5736,-202.7397,-4.1558,1.3775,-144.8136,6.5418,,-0.2824,0.0480351547830571,0.0,0.0,-0.2603,-0.2824
2010-03-31,0.1999999999999999,0.15127784116715456,0.24,-0.0044109899225414475,0.0146,0.1403,0.9643,42828000,-6.7819,21414.0,-18.3574,1.7099,15314.0,13.6051,,-0.2478,0.06548052675819557,0.0,0.0,-0.2345,-0.2478
2010-06-30,0.25,0.3686219666009427,0.3,-0.004177797192027464,-0.0053,0.135,0.9601,53891400,-10.6779,53891.4,-64.6955,2.2341,42707.4,17.2753,,-0.2052,0.06078891993898841,0.0,0.0,-0.1975,-0.2052
2010-09-30,0.5666666666666667,0.4594687211516384,0.47,-0.0034676179961051715,-0.004,0.1355,0.9687,85253300,-17.1501,0.0,-183.7355,3.4889,0.0,31.9213,,-0.2047,0.0583108219857765,0.0,0.0,-0.1974,-0.2047
2010-12-31,0.7446808510638298,0.6426478433012615,0.82,-0.008019710666660726,-0.0358,0.2417,0.9009,210974520,-53.3033,857.62,-29.6312,3.8878,690.7785,7.9641,,-0.1005,0.1426156106434085,-8.3983,-7.317,-0.0926,-0.1005
2011-03-31,0.09756097560975618,0.043340419161167106,0.9,-0.006774093824870546,-0.02,0.2082,0.92,233996400,-47.5216,288.5282,-15.6865,4.3416,244.0374,7.9835,,-0.091,0.12578655056231636,-2.961,-3.1026,-0.0828,-0.091
2011-06-30,-0.36666666666666675,-0.3627521817189184,0.57,-0.04844305297004569,-0.0365,0.1584,0.9023,148197720,-8.8354,91.1985,-6.3162,3.5975,74.9025,6.2206,,-0.3527,0.08947445345313004,-1.554,-15.4729,-0.3218,-0.3527
2011-09-30,-0.15789473684210523,-0.01461574438063834,0.48,-0.0011730678994776964,-0.0129,0.1555,0.9216,124810080,-7.5858,56.1448,-4.7807,3.0859,46.8331,6.4106,,-0.403,0.07160190907657459,-1.8628,-0.51,-0.3675,-0.403
2011-12-30,0.8958333333333335,0.7843098259358245,0.91,-0.007014737101190659,-0.0183,0.1495,0.9217,236619110,-14.3605,90.3126,-10.3634,6.0832,84.0229,5.8718,,-0.4153,0.054407144038366134,-2.5272,-2.8367,-0.3828,-0.4153
2012-03-30,0.010989010989010999,-0.10897759051071834,0.92,-0.0042297676719184165,-0.0225,0.3731,0.9507,289162440,-18.2011,117.9773,-12.1277,2.8181,87.7468,15.5732,,-0.2245,0.22214268215470862,-2.7045,-2.9368,-0.2116,-0.2245
2012-06-29,-0.6195652173913044,-0.5866856122263331,0.35,-0.005943233844616888,-0.0279,0.3258,0.9645,110007450,-21.3192,54.5942,-4.7548,1.0741,22.0657,21.0492,,-0.0503,0.20159271031189252,-4.9206,-4.9417,-0.0482,-0.0503
2012-09-28,-0.3142857142857143,-0.3719221210188665,0.24,-0.0028984400601959233,-0.0147,0.31,0.9601,75433680,-13.0824,23.8111,-3.0926,0.7741,5.0851,15.3126,,-0.0577,0.18410662186970064,-0.3883,-0.5202,-0.0555,-0.0577
2012-12-31,0.6250000000000001,0.6350509499728394,0.39,-0.015478182315556432,-0.0176,0.2923,0.8474,122579730,-13.9168,22.3115,-4.8691,1.3335,15.384,3.6392,,-0.093,0.07842014336301768,-0.4338,-1.6389,-0.0839,-0.093
