date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2007-03-30,,,0.0,0.3325984174811984,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087,0.0,1.0,0.044,0.1238,2.2232
2007-06-29,,,0.0,-0.3325984174811984,0.0,0.3257,0.0145,0,0.0,0.0,0.0,0.0,0.2665,1.1039,,0.0988,-14.297059472260596,0.1264,-0.044,0.0457,3.1399
2007-09-28,,,0.0,0.15551480402511636,0.0,0.4598,0.0214,0,0.0,0.0,0.0,0.0,0.2802,0.9552,1.268548223693943,-0.0227,-14.310131064185464,0.0985,0.0228,-0.0107,-0.5965
2007-12-31,inf,inf,22.292,-0.1847282350073701,0.0,5.1453,0.2372,1920255172,-762.9142,0.6472,0.0,4.3315,0.8001,1.019,,-0.0027,-9.924031529701304,0.0529,-0.0138,-0.0013,-0.0104
2008-03-31,-0.07657455589449133,0.02262457485872979,20.585,0.2579068930697896,-0.0227,5.4051,0.2421,1773212485,-238.015,0.4962,-903.778,3.8075,0.6244,1.0356,5.601056722159477,-0.0077,-9.698308587083966,0.0921,0.0181,-0.0039,-0.0163
2008-06-30,-0.1641486519310178,-0.13186623509563195,17.206,0.35966062744460825,-0.2826,5.6716,0.2469,1482142046,29.2381,0.3316,-56.3188,3.033,0.4349,0.947,6.775414591068071,0.0507,-9.939819598100788,0.0978,0.0204,0.0259,0.1062
2008-09-30,-0.5574218295943275,-0.4686405681502357,7.615,1.156640629533769,0.7391,6.7378,0.3014,655963715,4.7898,0.12,17.5532,1.1299,0.197,1.1377,13.243260107746217,0.1295,-8.5562624069839,0.058,0.063,0.0701,0.2561
2008-12-31,-0.5305318450426789,-0.3049497017455936,3.575,0.12810691969451515,-0.47,6.8278,0.3663,307975525,1.8786,0.0613,-94.6452,0.5219,0.1552,1.5246,4.443009844761975,0.1498,-7.510476278918593,-0.0984,0.0158,0.0927,0.28
2009-03-31,0.3851748251748251,0.5018424198416532,4.952,0.35519334584462825,0.2404,7.2135,0.3951,427080288,2.4776,0.097,21.9431,0.6858,0.1991,1.9722,7.596140505033706,0.1552,-6.937004313343537,0.1838,0.0503,0.1081,0.2842
2009-06-30,0.3231017770597738,0.17088398098988494,6.552,0.49423742948814475,0.5344,7.7418,0.4103,565070688,3.0701,0.1534,6.2814,0.8454,0.263,2.4011,9.28333493696256,0.1608,-6.221197996382357,0.1633,0.0537,0.1148,0.2851
2009-09-30,0.6970390720390721,0.5471892399534699,11.119,-0.15582533277677288,0.1712,7.6839,0.4024,958947036,13.5135,0.329,23.3644,1.447,0.4625,2.1868,,0.0608,-6.198065952414081,0.0133,-0.0165,0.0433,0.1066
2009-12-31,-0.4485115567946758,-0.503398624891016,6.132,0.10956477439822158,-0.5229,7.6927,0.4115,529369428,7.6328,0.1687,14.5028,0.7967,0.3083,2.2346,4.357504386103076,0.0594,-6.070995841490113,0.0442,0.0102,0.0425,0.1045
2010-03-31,0.275440313111546,0.22671815427870065,7.821,-0.14320796024510882,0.3711,7.598,0.4066,675179109,25.6429,0.1973,14.1277,1.0293,0.3188,2.0202,,0.0229,-6.049751531930174,0.0108,-0.0138,0.0163,0.0398
2010-06-30,-0.14064697609001403,-0.022025009489071296,6.721,0.013316841411677667,-0.037,7.5825,0.4047,580311303,-38.211,0.1596,-373.1905,0.8846,0.2787,2.4244,1.5087863497107161,-0.0132,-5.9415702488910505,0.0407,0.0011,-0.0093,-0.0231
2010-09-30,0.09715816098794816,-0.01003978452708007,7.374,0.2667042085181695,1.1401,7.8333,0.4047,636693282,29.6702,0.1652,7.6822,0.9341,0.2518,2.4095,6.882711611635289,0.0181,-5.477097159005362,0.0702,0.0225,0.0129,0.032
2010-12-31,0.8399783021426634,0.7379452943800952,13.568,0.026329985652797705,0.7457,8.0364,0.4023,1172465152,82.0479,0.2873,6.0743,1.6745,0.3532,2.2556,2.1916945278923774,0.0119,-5.099335755780313,0.0494,0.0019,0.0083,0.0206
2011-03-31,0.5257222877358492,0.4715017312872601,20.701,0.5215984689692883,-0.265,8.5872,0.3984,1788856214,24.6939,0.4109,12.9902,2.373,0.4806,2.106,10.118143414798357,0.0598,-4.308248663411021,0.1127,0.0392,0.0398,0.0996
2011-06-30,0.0630404328293319,0.0669549177770803,22.006,1.4223308159336592,1.879,12.7561,0.4765,1902066604,9.6968,0.3967,6.2185,1.6984,0.3641,4.5119,20.36366333790206,0.1268,-0.08991831917995233,0.1657,0.0862,0.0924,0.2093
2011-09-30,-0.14137053530855223,0.0019084571529146555,18.895,1.2452703318745442,1.7965,14.0358,0.4909,1635815730,5.7964,0.3197,4.4903,1.3282,0.2598,4.4837,19.967185083430746,0.1473,1.0018134774874674,0.1732,0.0808,0.1161,0.24
2011-12-30,-0.11399841227838052,-0.22552191967588953,16.741,0.7496557923602972,-1.2729,14.789,0.4166,1453252728,4.2025,0.2889,7.7524,1.1181,0.3711,2.3091,15.909444549222208,0.1614,-5.331363468804718,0.0449,0.062,0.1228,0.2732
2012-03-30,0.4282300937817335,0.30826349228200417,23.91,-0.2903188646207723,1.4608,14.684,0.3979,2075579280,7.5527,0.3559,6.1491,1.6282,0.4163,2.0575,,0.1197,-5.606027094277025,0.0876,-0.0128,0.0869,0.2134
2012-06-29,-0.006357172731074907,0.026522432433896435,23.758,1.75,2.3064,16.073,0.4325,2062930898,6.7715,0.3083,5.4797,1.4518,0.3321,2.484,25.387797503855552,0.1296,-4.02935587520586,0.116,0.067,0.0939,0.226
2012-09-28,0.38260796363330246,0.3249715569001502,32.848,2.4066820276497696,3.5495,18.734,0.4452,2852224688,7.055,0.368,5.4128,1.754,0.3503,2.5626,31.85047212969994,0.1604,-1.8478193271988115,0.2352,0.0866,0.1165,0.2653
2012-12-31,0.327599853872382,0.3376508038452213,43.609,0.4631336405529954,-1.0184,19.1255,0.4597,3786613079,10.0016,0.4419,6.8797,2.2809,0.4361,2.8146,14.117273283248329,0.1425,-2.184703619675001,0.0837,0.0213,0.1042,0.2304
2013-03-29,0.05801554724942101,-0.04225160220123303,46.139,1.900921658986175,2.4723,21.8595,0.503,4006295509,7.0434,0.4475,6.2776,2.1114,0.4011,2.9988,30.576901945810118,0.1987,0.5823150718061522,0.1708,0.0701,0.154,0.3197
2013-06-28,-0.08175296387004498,-0.10538941915944496,42.367,2.1129032258064515,0.5967,23.4147,0.5051,3678768977,6.1569,0.415,7.5679,1.81,0.3575,3.1358,33.36378862073419,0.1846,1.787380083150027,0.134,0.0826,0.1532,0.304
2013-09-30,-0.1873392026813321,-0.23419903917210783,34.43,0.5069124423963134,-1.4827,22.6589,0.5075,2989591330,6.9107,0.3546,60.6407,1.52,0.3235,3.434,16.07596848319911,0.1276,0.6921491172507515,0.0387,0.0222,0.1095,0.2163
2013-12-31,0.12744699390066797,0.028246891804576554,38.818,-0.25,0.5288,21.1451,0.5006,3370605758,9.0925,0.3751,18.3584,1.8364,0.3509,3.453,,0.1141,-1.136690813188838,0.0316,-0.0089,0.0983,0.1949
2014-03-31,-0.027152352001648592,-0.040126004676881634,37.764,1.4596774193548387,2.5276,22.4677,0.5039,3279085884,9.8648,0.3611,17.4049,1.6814,0.3239,3.0436,27.164330895199146,0.1025,-0.04606649698840276,0.0902,0.0517,0.0882,0.1756
2014-06-30,0.14058362461603635,0.09364235526705303,43.073,0.9642857142857143,0.8202,24.2373,0.5286,3740071663,16.0725,0.3978,17.9984,1.7777,0.358,3.6209,22.93169963640475,0.0675,1.5674125600304039,0.0799,0.0329,0.0592,0.1148
2014-09-30,-0.0718083254010634,-0.07796069461993743,39.98,0.09101382488479262,0.7926,21.3629,0.4941,3471503380,17.6576,0.3577,8.5652,1.8721,0.3404,3.0757,6.614165320862872,0.0574,-1.5271043751655515,0.0195,0.0034,0.0508,0.0993
