date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,0.0,0.3826590855419717,0.338,6.9001,0.351,0,0.0,0.0,0.0,0.0,0.3118,0.8827,7.8083513493053225,0.0811,-7.898327161757318,0.7375,0.1849,0.064,0.1695
2003-06-30,,,0.0,0.09268662919926993,0.2148,6.8889,0.4035,0,0.0,0.0,0.0,0.0,0.854,0.974,3.843535321731173,0.0703,-8.278083486187539,0.6903,0.0527,0.0542,0.1443
2003-09-30,,,0.0,0.2718870024049679,0.1629,7.3654,0.4353,0,0.0,0.0,0.0,0.0,0.779,0.9764,6.817548568246065,0.078,-8.049291344410317,0.6711,0.1664,0.06,0.143
2003-12-31,,,0.0,0.2729181245626312,0.733,7.5577,0.4286,0,0.0,0.0,0.0,0.0,0.696,0.8544,6.917430531517177,0.0776,-8.364347665620963,0.6709,0.1662,0.0587,0.136
2004-03-31,,,0.0,0.3960719549659936,-0.2594,7.9203,0.4289,0,0.0,0.0,0.0,0.0,0.7309,0.9245,8.548736063546489,0.0786,-8.588522610859066,0.7219,0.1998,0.0571,0.1332
2004-06-30,,,0.0,0.3395502784490911,0.5436,8.3728,0.4422,0,0.0,0.0,0.0,0.0,0.7002,1.0636,8.168382375165724,0.0938,-8.414525646845211,0.6803,0.1824,0.0679,0.1559
2004-09-30,,,0.0,0.15876904898434377,1.3053,4.3495,0.5048,0,0.0,0.0,0.0,0.0,0.2372,1.4878,4.028988819503986,0.0995,-5.203066974595843,0.7075,0.1744,0.0725,0.1536
2004-12-31,,,0.0,0.1933151033605063,0.1846,4.6578,0.5456,0,0.0,0.0,0.0,0.0,0.3613,2.0848,4.617014016991988,0.1104,-4.922374590816597,0.3354,0.4889,0.083,0.1582
2005-03-31,,,0.0,0.25652904689992917,-0.3249,4.9383,0.5409,0,0.0,0.0,0.0,0.0,0.4485,1.4605,5.48810067936865,0.1142,-5.9319962670141395,0.6836,0.2652,0.0874,0.161
2005-06-30,,,0.0,0.3448416197517466,0.5477,5.3148,0.5448,0,0.0,0.0,0.0,0.0,0.5258,1.1604,6.610330881881678,0.133,-6.9256793454456265,0.6927,0.3177,0.1004,0.1849
2005-09-30,,,0.0,0.322595763555868,-0.8799,5.6263,0.5464,0,0.0,0.0,0.0,0.0,0.4812,1.2475,6.595918731778467,0.1472,-7.2395160445546285,0.7032,0.2717,0.1106,0.2028
