date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2002-12-31,,,16.001,0.01761252446183953,-0.2969,11.6164,0.4667,32214813300,38.6268,1.2641,22.8636,1.3567,1.7232,1.0483,2.1465965134549356,0.0215,-9.138230765410023,0.0887,0.005,0.0165,0.035
2003-03-31,0.04355977751390533,0.07952169516188395,16.698,0.15369554576603034,0.5325,11.7479,0.4728,33618083400,37.8156,1.2867,22.6079,1.4006,1.7146,1.0962,6.375413162851621,0.0227,-8.985248100134108,0.153,0.0483,0.0174,0.0372
2003-06-30,0.16037848844172958,0.011447827007812855,19.376,0.24088291746641075,0.1833,11.6698,0.4863,39007763200,37.9822,1.4604,31.0077,1.6039,1.8605,1.0605,8.03231331988005,0.0263,-8.800913967812438,0.1928,0.0787,0.0203,0.0425
2003-09-30,0.021263418662262543,-0.0007683624594665497,19.788,0.16864221882770494,0.4018,9.8417,0.4844,39839180400,31.4437,1.4721,21.5114,1.6449,1.8069,0.959,6.110960465698009,0.0331,-8.669845527243828,0.1324,0.0591,0.0253,0.0522
2003-12-31,0.15671113806347275,0.04029189184831808,22.889,0.32777513101476896,-0.1,11.6617,0.4751,46082423700,24.0137,1.6203,20.4901,1.8826,1.9496,1.0545,9.395496918587556,0.0506,-8.426960711270054,0.1682,0.0804,0.0378,0.0788
2004-03-31,0.07112586832102757,0.058274299478465796,24.517,0.25450236966824646,1.0644,12.0819,0.4627,49360076100,23.0439,1.6945,14.4878,1.9362,1.9284,0.8412,8.442693909193672,0.0538,-9.36522127849799,0.1829,0.0746,0.0401,0.0857
2004-06-30,0.020026920096259726,0.007036442840461059,25.008,0.28612032212221694,0.224,12.3912,0.4794,50348606400,22.4369,1.6659,14.3935,1.9247,1.8753,0.8362,9.056740767880054,0.0541,-9.057765857050613,0.1895,0.0808,0.0409,0.0868
2004-09-30,-0.11536308381317971,-0.09234494756937892,22.123,0.20329487409310196,0.2789,10.5898,0.4986,45453473340,19.3831,1.478,14.1291,1.691,1.7171,0.8471,6.959825522065941,0.0568,-8.592510391418198,0.1443,0.0684,0.0432,0.0884
2004-12-31,0.2328346065181033,0.1455011789233862,27.274,0.32558139534883723,-0.0906,12.9307,0.4913,55728418720,23.785,1.8053,17.2213,2.0454,2.0691,0.9213,9.886361030583108,0.0564,-8.724208135938296,0.1663,0.0791,0.0428,0.0865
2005-03-31,0.03343843953948812,0.059290044421776676,28.186,0.3107852412488174,0.2582,13.2658,0.5094,58708619400,23.8362,1.8632,38.2217,2.0934,2.1718,1.1845,9.794904834365964,0.0585,-8.07575975802967,0.1838,0.0839,0.0445,0.089
2005-06-30,-0.12353650748598592,-0.13263364581962617,24.704,0.3869274809160305,0.6612,13.4575,0.5233,50633318400,18.9637,1.5945,20.675,1.795,1.8746,1.1831,10.995852833777718,0.0634,-7.89275956284153,0.2115,0.1051,0.049,0.0949
2005-09-30,-0.041734132124352424,-0.07319485578749683,23.673,0.16795520958062604,0.311,12.1681,0.5165,47516445600,18.7589,1.5145,19.45,1.7305,1.7833,0.9647,6.7810880526804365,0.0609,-8.39726982861698,0.1059,0.0529,0.0473,0.091
2005-12-30,-0.006632028048832004,-0.022484746971919996,23.516,0.36718359179589793,0.188,13.3261,0.4963,46058437600,17.8451,1.4593,15.3018,1.7289,1.7327,0.9583,10.650989535849874,0.0627,-8.790973144082509,0.1728,0.0829,0.0483,0.0954
2006-03-31,0.1635482224868175,0.12623321187464412,27.362,0.3683417085427136,0.6748,13.6301,0.5058,53085016200,19.9793,1.6714,13.944,1.9571,1.9386,1.0207,10.809117394170364,0.0646,-8.678418638214525,0.1922,0.0913,0.0495,0.0988
2006-06-30,0.0756523645932315,0.09470450421986625,29.432,0.5239869585468095,0.5416,15.7382,0.5692,63579006400,21.3998,1.9551,17.7396,1.8815,2.2017,0.9801,13.869314644246506,0.0668,-7.592815480048143,0.2473,0.1327,0.0525,0.0975
2006-09-29,0.03034112530578964,-0.021343669953015384,30.325,0.36053480866758875,0.8561,15.2895,0.5527,62590800000,18.5509,1.8405,13.2075,1.8873,2.0884,0.9365,11.356228571711764,0.0704,-8.368701550387597,0.193,0.0903,0.0565,0.1007
2006-12-29,0.10868920032976102,0.04696814276412921,33.621,0.7918994413407822,0.1261,15.7662,0.5552,68425459200,15.7626,1.9699,14.7659,2.0204,2.2058,1.0498,17.119014440535125,0.0907,-7.86753144654088,0.2137,0.1775,0.0717,0.1295
2007-03-30,0.004669700484815933,0.002864767512027378,33.778,0.4372945044621888,0.9126,15.4396,0.5514,66935498140,14.7467,1.9311,12.7885,2.0363,2.165,0.9257,12.594342771187227,0.0962,-8.689815959588824,0.2354,0.117,0.0752,0.136
2007-06-29,0.010717034756350344,-0.047339347353646616,34.14,0.5690821256038647,0.3159,15.8256,0.549,66263008800,14.43,1.8807,14.0239,2.0227,2.1153,1.1333,14.547627476213437,0.0973,-8.289883148197761,0.264,0.1302,0.077,0.1399
