date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,16.02,0.2930342105652159,0.1918,11.9977,0.5434,3244434480,17.4297,0.8052,8.7362,1.3324,0.9879,2.4869,8.90541921949062,0.0536,-1.6719598664849598,0.1285,0.0595,0.0417,0.077
2003-06-30,0.23720349563046197,0.08827283419654525,19.82,0.3579378076788779,0.4074,12.5034,0.5524,4015492360,19.7104,0.9936,11.6928,1.5794,1.1655,2.5156,10.054855867513192,0.0577,-1.3211778990908103,0.1387,0.0665,0.0448,0.0818
2003-09-30,0.1801210898082745,0.1580893086865454,23.39,0.4134704460902768,0.2582,12.7438,0.5276,4736896020,20.4496,1.1587,15.7677,1.8219,1.3058,2.1021,10.927246178627055,0.0639,-1.2151265566517544,0.1389,0.0751,0.0486,0.09
2003-12-31,0.1239846088071825,0.007565362592027822,26.29,0.37345736403762025,1.5795,13.4209,0.5342,5334582770,18.2113,1.2087,10.7278,1.945,1.3523,2.0307,10.660782133626338,0.0782,-2.6683406188859267,0.1325,0.0637,0.0582,0.1096
2004-03-31,-0.024724229745150195,-0.03757579858771197,25.64,0.4058936428944682,0.529,13.5756,0.5286,5209330080,16.4556,1.1185,9.193,1.8739,1.2438,2.0521,11.180481592322229,0.083,-2.3837192132774203,0.1375,0.0668,0.0609,0.1146
2004-06-30,0.08580343213728546,0.07281295488148679,27.84,0.5481988602792169,0.4407,13.9553,0.5316,5660623680,15.8983,1.1484,9.8605,1.9807,1.2763,2.0103,13.168973936001638,0.0925,-2.1331943126097372,0.1503,0.0822,0.0669,0.1263
2004-09-30,-0.07650862068965514,-0.05349048444585434,25.71,0.5874732553709077,0.9585,14.4419,0.5355,5228462730,13.3393,1.0074,7.2859,1.7684,1.141,1.981,13.863253923914822,0.0997,-2.238381613174471,0.1476,0.0869,0.0719,0.1348
2004-12-31,0.07895760404511853,-0.008375823549598552,27.74,0.4740045489598891,0.6005,15.1942,0.5378,5650582520,13.6899,1.2323,10.9114,1.8151,1.319,1.5643,12.775678762448923,0.1008,-2.9857583285059253,0.1881,0.1637,0.073,0.136
2005-03-31,-0.0991348233597693,-0.07328321847748073,24.99,0.4789267169015734,0.0823,15.3194,0.5226,5094411420,11.909,1.0631,11.947,1.6229,1.1348,1.5068,12.887826490430196,0.0993,-2.7481433154450645,0.1301,0.0677,0.0725,0.1368
2005-06-30,-0.03721488595438174,-0.046312024288021995,24.06,0.8490911051847204,0.7325,15.5286,0.5339,4872005640,9.969,1.0236,10.0333,1.538,1.0976,1.6067,17.267459696225796,0.1122,-2.336459351882031,0.1472,0.1299,0.0818,0.1549
