date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,19.99,0.3201754385964912,0.1827,1.8633,0.1638,2818510040,15.6583,2.4769,12.639,11.0573,3.0639,0.6691,3.6826493958991926,0.154,-7.155522142472127,0.3444,0.1452,0.1175,0.7564
2003-06-30,0.3006503251625814,0.15171966372866466,26.0,0.30583941605839415,0.5007,2.3781,0.2022,3648242000,20.9068,3.0737,15.1946,11.1977,3.7992,1.3916,4.076686847015431,0.1434,-6.990599856040252,0.3451,0.1321,0.1102,0.6009
2003-09-30,-0.14346153846153847,-0.16549331958326757,22.27,0.375366568914956,0.6488,2.5417,0.2175,3097244790,16.5805,2.566,10.2523,8.9335,3.2354,1.3259,4.665812065491201,0.152,-6.855195323453914,0.3683,0.1652,0.1166,0.5555
2003-12-31,0.10013471037269872,-0.016284535842455955,24.5,0.20527859237536658,0.7199,2.7236,0.2391,3383450000,20.5181,2.7946,12.0708,9.1075,3.3097,0.8058,3.587788741971056,0.1368,-6.487328023171615,0.3953,0.0991,0.1048,0.4592
2004-03-31,0.05387755102040818,0.0410259821778464,25.82,0.382679496669134,0.2139,2.943,0.2499,3536591220,20.4663,2.9012,12.444,8.8948,3.4123,0.8602,5.075387096180176,0.1429,-6.461951800016061,0.3526,0.1668,0.1099,0.4493
2004-06-30,-0.041440743609604966,-0.05443122086540363,24.75,0.5474943904263276,0.4771,3.181,0.2785,3371593500,16.5193,2.7695,12.0672,7.9275,3.2896,1.1151,6.302403960279312,0.1719,-5.97536446786957,0.3576,0.232,0.1309,0.496
2004-09-30,0.06505050505050503,0.08806864129430583,26.36,0.40150943396226413,0.615,3.4815,0.3051,3560893320,17.2775,2.9009,13.0722,7.7192,3.2184,0.5791,5.646670955923344,0.1797,-5.742965644362522,0.3576,0.1663,0.1356,0.4649
2004-12-31,0.0660091047040972,-0.02132432289061989,28.1,0.4336349924585219,0.6711,3.9487,0.3362,3773830000,16.0179,2.986,14.3382,7.2074,3.2601,0.6557,6.2735722658901985,0.2031,-5.465376023827252,0.3694,0.1804,0.1535,0.4784
2005-03-31,0.09217081850533806,0.11802242338762661,30.69,0.4425981873111782,0.3021,4.2726,0.3386,3980493000,16.4144,3.0682,14.5114,7.0364,3.3348,0.6374,6.587927921503195,0.1971,-5.964533538936006,0.3549,0.1706,0.1502,0.4452
2005-06-30,0.16357119582926033,0.15447405749562007,35.71,0.4717407686510927,0.529,4.6872,0.3721,4631587000,19.9723,3.4427,16.5001,7.4462,3.7059,0.6754,7.1317780994492725,0.1806,-5.710871241326137,0.3489,0.1722,0.1387,0.3905
2005-09-30,-0.021562587510501347,-0.053023311173645754,34.94,0.4716981132075472,0.6664,5.2656,0.4072,4535212000,18.8027,3.2378,15.7746,6.5002,3.5785,1.0283,7.550063854248734,0.1862,-5.47457627118644,0.3405,0.1665,0.1425,0.3655
