date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,14.5,0.1349996142868163,-1.1892,8.2542,0.2025,2244165000,29.5284,0.4061,15.8039,1.7477,0.708,1.0283,5.007200901256149,0.0221,-22.110228080377333,0.1089,0.0145,0.012,0.0594
2003-06-30,0.0951724137931035,-0.05375824764081323,15.88,0.22999986857150367,0.1182,8.7268,0.2089,2457699960,36.682,0.438,-76.8031,1.8506,0.7383,1.0897,6.720205666020979,0.0187,-21.72943844618039,0.1269,0.0236,0.0105,0.0513
2003-09-30,0.054785894206549064,0.03275411308481997,16.75,-2.17499660156781,0.5308,6.3955,0.1732,2591777750,-8.8456,0.4562,-33.6594,2.6232,0.7466,1.0646,,-0.0863,-20.68078561134341,0.0754,-0.2326,-0.0486,-0.253
2003-12-31,0.18029850746268655,0.06387926124753188,19.77,0.06533641721222574,0.8297,6.8145,0.167,3059941290,-11.3331,0.5275,72.8557,2.9337,0.7915,1.3608,3.165088914957371,-0.079,-20.61675830388236,0.0941,0.0069,-0.0452,-0.2658
2004-03-31,0.07941325240263027,0.06656168356006849,21.34,-0.03499991250021875,-0.5424,5.7983,0.1724,3304840440,-11.1274,0.5548,24.6629,3.3247,0.9193,1.7406,,-0.0867,-20.57908127025945,0.1039,-0.0037,-0.0494,-0.2916
2004-06-30,0.0834114339268979,0.07042095667109924,23.12,0.5350011782764046,1.0063,6.6556,0.1799,3599760880,-14.5151,0.5852,13.1378,3.4447,0.9116,1.7016,8.992514050934817,-0.0774,-19.56338833261614,0.1199,0.0501,-0.0428,-0.2432
2004-09-30,0.02854671280276817,0.05156484904656897,23.78,0.24500006447370118,0.419,6.6988,0.1851,3706303240,29.4151,0.5831,14.4214,3.5671,0.88,1.6364,6.138464791786299,0.0396,-19.370195947593324,0.117,0.023,0.022,0.1209
2004-12-31,0.2140454163162321,0.126711988721515,28.87,0.33776810343209923,0.7255,7.4058,0.2027,4580889510,26.9464,0.6961,18.6215,3.8689,0.96,1.6087,7.502164218340092,0.0531,-18.194651894147082,0.0862,0.0325,0.0296,0.1529
2005-03-31,0.021821960512642846,0.0476735653949314,29.5,1.0,0.3271,8.3024,0.2242,4740768000,14.0259,0.7028,12.0937,3.5247,0.9492,1.827,13.803605160916215,0.1017,-16.86330147351653,0.1816,0.0919,0.0571,0.2672
2005-06-30,-0.06508474576271192,-0.07418188409635218,27.58,1.255003259353125,0.5117,9.181,0.2706,4494326480,9.7702,0.6588,14.1331,2.9823,0.8359,1.7104,16.22896577706947,0.1446,-13.653992488769974,0.1655,0.1175,0.0795,0.3225
2005-09-30,-0.14829586656997826,-0.17975659023312268,23.49,0.75,0.3841,9.7256,0.2863,3828047850,7.0239,0.5478,12.114,2.4,0.7123,1.799,12.853541767778887,0.1817,-13.082563740680515,0.153,0.0677,0.0978,0.3513
2005-12-30,0.0983397190293743,0.08248700010628632,25.8,0.401907232503334,1.6807,9.8162,0.2792,4212520800,7.5628,0.652,8.8498,2.6132,0.8219,1.8306,9.46693133757921,0.1773,-13.700727602342047,0.1318,0.0584,0.0982,0.3473
2006-03-31,-0.008139534883720963,-0.04545454549589433,25.59,0.63500127000254,-0.2298,10.3837,0.2969,4184400030,8.3688,0.6436,10.8685,2.437,0.8131,1.9348,12.228034359834671,0.1508,-13.062861965422556,0.1469,0.0582,0.0865,0.3003
2006-06-30,0.05509964830011724,0.07415178792675198,27.0,0.6850014721522867,0.2103,11.1282,0.3085,4442202000,10.8877,0.6651,13.2208,2.3985,0.8275,2.0113,13.191549980876053,0.1183,-12.35063151112894,0.1394,0.059,0.0692,0.2286
2006-09-29,0.00037037037037042825,-0.051314424888434594,27.01,0.5750013618453307,-0.2602,11.5121,0.3135,4445035700,11.6974,0.651,19.3262,2.337,0.8203,2.0387,12.256957203319262,0.1085,-12.183265479735066,0.119,0.0483,0.0629,0.2024
2006-12-29,0.0981118104405775,0.036390752874945684,29.66,0.5611440249974896,3.3786,11.9848,0.3308,4961376500,12.1305,0.7318,9.4322,2.4452,0.8277,2.287,12.407602777966126,0.1148,-10.04931998206546,0.1887,0.0878,0.067,0.208
2007-03-30,0.06776803776129472,0.06596310478850617,31.67,0.4549993795463006,-0.9277,12.4386,0.3441,5328699190,13.986,0.8057,13.0926,2.5314,0.921,2.3987,11.346353778737113,0.1027,-9.681618001034133,0.1453,0.047,0.0622,0.1843
2007-06-29,0.015787811809283233,-0.04226857030071372,32.17,0.610000522857591,0.3079,12.6066,0.3477,5407487470,14.5362,0.8386,12.7234,2.4919,0.9341,2.2736,13.261293395158477,0.0975,-9.334229673212723,0.1434,0.0595,0.0602,0.174
2007-09-28,0.037301834006838536,0.02173657987834312,33.37,0.11999976000048,0.9659,11.9459,0.3349,5407775350,18.2079,0.8758,8.5974,2.7161,0.9959,2.1387,5.6792486732198135,0.0792,-10.224923637036808,0.0732,0.0118,0.0487,0.1427
2007-12-31,-0.08450704225352104,-0.04626239535754102,30.55,0.6081403935537119,0.906,12.9198,0.3464,4872908300,16.243,0.7134,24.0044,2.3404,0.8081,2.0436,13.417067003643506,0.0816,-10.244128747507931,0.0564,0.0564,0.0501,0.1473
2008-03-31,0.022258592471358418,0.12145772322457954,31.23,0.8400017684247756,0.8526,11.9747,0.3265,4761606870,13.3753,0.688,9.6194,2.5113,0.7984,2.0135,15.133259226866498,0.0986,-11.012074585653478,0.1447,0.077,0.0602,0.1789
2008-06-30,0.10246557796990072,0.1347479948052866,34.43,0.7400019304398185,-0.0707,12.9468,0.3451,5260421980,14.3727,0.7525,12.2051,2.6145,0.8781,1.9259,14.830158221612397,0.1038,-11.035042477713926,0.1303,0.0627,0.0629,0.1873
2008-09-30,-0.20040662213186172,-0.11162536068776993,27.53,0.6657789613848203,0.4527,12.1171,0.3291,3994272640,8.9557,0.5612,11.8173,2.1946,0.7156,1.732,13.554192665519263,0.1315,-13.398764887516542,0.1335,0.0549,0.0785,0.2327
2008-12-31,-0.42390119869233567,-0.19831905539525035,15.86,-0.013793103448275862,1.0758,10.7103,0.294,2301190840,6.6508,0.3421,6.6126,1.4817,0.4989,1.7103,,0.1104,-15.88625304974706,0.072,-0.0014,0.064,0.2051
