date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,9.89,0.2724630885187225,0.3305,3.6026,0.4478,4532745240,18.8206,3.1913,77.7512,2.7063,3.9217,1.4947,4.736273489346785,0.0847,-3.823761334974123,0.7356,0.2787,0.061,0.1378
2003-06-30,0.057633973710819034,-0.0912966877230977,10.46,0.22826161834480027,0.3966,3.9472,0.4673,4806422300,15.4288,3.0918,18.0443,2.6213,3.6449,1.7107,4.536777819539006,0.1063,-3.7121598241586056,0.6673,0.2561,0.0749,0.1637
2003-09-30,-0.0019120458891014674,-0.02394382701083056,10.44,0.24632852109650252,0.2665,4.1938,0.4745,4805156160,12.0112,2.8142,12.2965,2.4614,3.2982,1.5765,4.857920012205506,0.131,-3.840489371317331,0.7019,0.2713,0.0923,0.1959
2003-12-31,0.10536398467432948,-0.0110552615408252,11.54,0.15302327168497917,-0.9486,4.4252,0.4681,5350428680,12.4386,3.0423,311.2523,2.5785,3.6703,0.831,3.9422578129537813,0.1335,-4.5932421998007085,0.7129,0.1705,0.0937,0.1989
2004-03-31,-0.006065857885615122,-0.0189174267281769,11.47,0.2084980573196963,0.2781,4.6059,0.4673,5334811700,13.2847,3.0335,-948.917,2.4618,3.5965,1.0219,4.687912102003128,0.1192,-4.59171378813614,0.6523,0.2172,0.0827,0.1769
2004-06-30,0.3016564952048822,0.28866601794908353,14.93,0.2994288530307434,-0.0848,4.9055,0.4833,7028178060,16.0563,3.7931,-30.5391,3.0172,4.3425,1.0876,5.805859587785893,0.1256,-4.458091693539136,0.691,0.2792,0.0868,0.1826
2004-09-30,0.10247823174815815,0.12549636799195896,16.46,0.35418668582935736,-0.0033,5.3836,0.5025,7793233900,15.8202,3.8688,-21.9019,3.0239,4.3558,1.0634,6.612942105909718,0.1339,-4.5219942339982895,0.6811,0.2899,0.0933,0.1893
2004-12-31,0.08383961117861476,-0.00349381641610233,17.84,0.4230923877899554,-0.0991,5.8998,0.5079,8486666400,13.5818,3.743,206.3777,2.9813,4.209,0.9281,7.575486623901776,0.1599,-4.764869353177356,0.7715,0.2997,0.1113,0.2203
2005-03-31,0.36603139013452923,0.3918829950168178,24.37,0.4147736190389651,0.2846,6.3085,0.5155,11653514670,16.0361,4.6779,242.2969,3.8148,5.0578,1.3007,7.7504579382431915,0.1751,-4.66616895759226,0.7051,0.2945,0.1219,0.2383
2005-06-30,0.16536725482150175,0.1562701164878615,28.4,0.5085944111678047,0.2399,6.7795,0.5288,13626774400,16.3936,4.9443,66.4173,4.1287,5.247,1.4327,8.902877186536635,0.1891,-4.505331210297281,0.7383,0.3182,0.1325,0.2536
2005-09-30,0.3186619718309861,0.2872012481678417,37.45,0.6980481829318089,0.1691,7.6611,0.5481,18091645600,18.0433,5.843,62.4638,4.8212,6.0696,1.4794,11.095902840926062,0.213,-4.204380982346901,0.7346,0.3678,0.149,0.2765
2005-12-30,-0.0202937249666223,-0.03614644388971029,36.69,0.9412518853695324,0.7707,8.5957,0.5567,17763390120,14.1026,4.9247,24.8213,4.212,4.9843,1.3337,13.63176215440176,0.247,-3.8702834670390045,0.8518,0.3862,0.1704,0.3084
2006-03-31,-0.018806214227309832,-0.0561212248394832,36.0,0.8637845992444789,0.4075,9.4424,0.5754,17466912000,11.7734,4.363,22.4429,3.7609,4.3598,1.5594,13.681066129758863,0.2702,-3.7825685501821957,0.7642,0.3934,0.1854,0.3275
2006-06-30,-0.0369444444444444,-0.017892304817809658,34.67,0.6701431958582601,0.0012,10.2673,0.5957,16821745320,10.745,4.0646,25.4077,3.3315,4.0669,1.4768,12.551939185979077,0.2672,-3.905743246028409,0.7294,0.3605,0.1854,0.3165
2006-09-29,-0.06172483415056246,-0.11340962940936748,32.53,0.6038897195046641,-0.3231,10.9187,0.5972,15838922060,10.414,3.7957,37.6976,2.9467,3.8219,1.2573,12.2861356185213,0.2464,-4.3289655823964575,0.723,0.3087,0.1708,0.2863
2006-12-29,-0.039963110974485114,-0.10168416854011693,31.23,0.4812806882278943,-0.5328,11.2542,0.5955,15223688100,11.7115,4.2578,-68.9991,2.7445,4.4019,1.0757,11.129058086605253,0.2057,-5.0308921574661,1.0286,0.4023,0.14,0.2347
2007-03-30,0.1421709894332373,0.14036605646044875,35.67,0.4394248349055648,-0.3375,11.7415,0.5948,17449478640,15.9962,5.1293,-29.6955,3.0122,5.3287,1.0269,10.86096540965115,0.1678,-5.832237649021243,0.6645,0.2389,0.1134,0.1906
2007-06-29,0.02410989627137649,-0.03394648583862047,36.53,0.6189067422682915,-0.2472,12.6175,0.5979,17886110840,16.7711,5.122,-25.1739,2.8665,5.3583,0.9182,13.364799313661,0.154,-6.470028266357316,0.7215,0.3042,0.1048,0.1757
2007-09-28,-0.009854913769504502,-0.025420167897999918,36.17,0.4089441244821663,-0.3296,13.3052,0.5778,17795025110,18.3199,5.1344,-24.9027,2.7027,5.3892,0.9766,11.153694396212998,0.1287,-7.175723551423525,0.6854,0.2164,0.0883,0.1503
