date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,3.52,0.03136820116767927,-0.0091,0.8511,0.879,2136706880,27.7934,2.3057,-72.3645,4.1357,2.2576,7.0961,0.7750440054027682,0.1512,0.5728947528825292,0.1504,0.0807,0.134,0.1512
2003-06-30,0.21022727272727265,0.061296611293355924,4.26,0.03612260632339181,0.0296,0.8918,0.8849,2585900940,33.5944,2.7441,-264.976,4.7765,2.6808,7.4946,0.8513625298202984,0.1455,0.6038180024019018,0.1621,0.088,0.1283,0.1455
2003-09-30,0.10798122065727699,0.0859494395355479,4.72,0.03832188937359147,0.0304,0.9303,0.8882,2865129680,35.32,2.9765,126.5908,5.0734,2.8936,7.7893,0.8956250375551552,0.1466,0.6396603730690472,0.1645,0.09,0.13,0.1466
2003-12-31,0.31779661016949157,0.2013773639543369,6.22,0.03276598268295576,0.0224,0.95,0.8851,3775658180,44.8841,3.7949,84.7301,6.5465,3.7236,7.453,0.8368828351974841,0.1473,0.625010090293714,0.148,0.079,0.1306,0.1473
2004-03-31,0.07877813504823154,0.06592656620566976,6.71,0.04631573751069572,0.0331,0.9757,0.8591,4073097490,43.6905,3.904,58.0105,6.8685,3.8315,5.8384,1.0089401361482508,0.1561,0.6415927672774657,0.1783,0.099,0.1389,0.1593
2004-06-30,0.05812220566318922,0.045131728407390555,7.1,0.05730379963411906,-0.0067,1.0305,0.8607,4309834900,40.6086,3.9026,89.5364,6.8798,3.8462,5.8222,1.1534649271730946,0.1706,0.6720811045453272,0.1986,0.1123,0.1496,0.174
2004-09-30,0.014084507042253596,0.03710264328605439,7.2,0.05713303687721191,-0.0186,1.0608,0.8656,4370536800,37.1612,3.7301,238.814,6.7755,3.7014,6.0293,1.1687701273476667,0.1849,0.6917542943466349,0.1897,0.1066,0.1596,0.1849
2004-12-31,0.06944444444444445,-0.01788898315027264,7.7,0.05471803002592071,0.0074,1.1255,0.8826,4674046300,35.6827,3.7739,505.3569,6.8297,3.7424,7.1181,1.1780889686464664,0.197,0.7449536175968133,0.1783,0.1044,0.1722,0.197
2005-03-31,-0.1025974025974026,-0.07674579771511406,6.91,0.060911058767797455,0.0597,1.1455,0.8614,4194501290,29.9879,3.2065,164.8328,6.0227,3.1542,6.0548,1.253924698016562,0.2025,0.7860066983076313,0.1876,0.1046,0.1766,0.2025
2005-06-30,0.11722141823444278,0.10812427990080253,7.72,0.07370410723718965,-0.0133,1.1897,0.8785,4664570680,31.1619,3.3771,217.3206,6.4722,3.3468,6.9952,1.405557264774235,0.2112,0.8189232711980259,0.206,0.1164,0.1838,0.2112
