date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,6.24,0.0844512110212683,0.0662,0.9768,0.6657,1282132800,16.3802,2.5701,14.6951,6.0923,2.4535,2.6917,1.371949068110103,0.328,0.4712512775587677,0.2634,0.152,0.2329,0.3434
2003-06-30,0.13942307692307693,-0.0095075845108398,7.11,0.11777761729375798,0.0951,1.124,0.6923,1465371000,18.0419,2.8597,17.7345,6.2765,2.745,2.9447,1.7420691611637193,0.3546,0.5342115477923338,0.2805,0.1671,0.2486,0.3659
2003-09-30,0.1729957805907172,0.1509639994689881,8.34,0.10888910198015055,0.1913,1.2327,0.7113,1718874000,20.6008,3.3031,18.902,6.685,3.1186,3.3223,1.7554913841998767,0.3327,0.6552644347404173,0.287,0.1697,0.2388,0.3401
2003-12-31,0.06834532374100723,-0.04807392247414745,8.91,0.10110794795155155,0.0976,0.8043,0.4273,1845982710,21.2884,3.4498,19.524,10.8708,3.2402,1.3626,1.3674239598245974,0.3977,0.13768637085447025,0.2705,0.1577,0.2285,0.4062
2004-03-31,0.08866442199775523,0.07581285315519345,9.7,0.10595275381300837,0.114,0.8592,0.5735,2019860100,22.2338,3.6696,19.3632,11.1555,3.6266,1.8374,1.443146767308206,0.4981,0.1888125321154668,0.2818,0.1654,0.2547,0.5178
2004-06-30,0.06701030927835055,0.05401983202255189,10.35,0.14333320583679168,0.1007,0.9616,0.601,2155211550,22.3657,3.8198,20.4049,10.7147,3.7623,2.0884,1.7610102899996993,0.4812,0.2934117070781288,0.3088,0.1871,0.2963,0.5042
2004-09-30,0.07922705314009665,0.10224518938389746,11.17,0.1366667299009751,0.1906,1.0339,0.6146,2316613320,22.6081,3.9976,21.8732,10.6257,3.9005,2.2481,1.80465522451304,0.4726,0.38052807190109744,0.3186,0.1933,0.2972,0.4889
2004-12-31,0.11459265890778866,0.027259231313071577,12.45,0.13334946288589955,0.101,1.1169,0.621,2576378100,23.7058,4.2582,24.2619,11.161,4.1581,2.348,1.830602452660975,0.4717,0.4172699069286453,0.2756,0.1713,0.2992,0.4842
2005-03-31,0.08032128514056225,0.1061728900228508,13.45,0.12825511569001338,0.1048,1.1897,0.5691,2791816500,24.6207,4.3554,26.7779,11.1307,4.3362,1.4728,1.868905629705105,0.4252,0.11968492556727851,0.2741,0.1581,0.2791,0.4708
2005-06-30,-0.1553903345724907,-0.16448747290613097,11.36,0.17000023850979082,0.0864,1.2342,0.5861,2341432320,19.6673,3.4481,23.1108,9.0494,3.4376,1.5541,2.1939408374701217,0.3948,0.1624311054184133,0.3049,0.1797,0.2699,0.4672
2005-09-30,0.006161971830985941,-0.02529875183215847,11.43,0.146666793248144,0.2757,1.2915,0.6296,2350339470,19.4029,3.3247,19.7174,8.638,3.3045,1.8013,2.087775238491973,0.4073,0.23890112775921685,0.2981,0.1746,0.2773,0.4563
2005-12-30,0.06386701662292217,0.04801429769983418,12.16,0.15331674092087888,0.1636,1.3664,0.6455,2494757760,19.8226,3.4095,18.7919,8.6718,3.384,1.9169,2.194720429437218,0.4308,0.2727223985065388,0.2935,0.1739,0.2867,0.4496
2006-03-31,0.24506578947368424,0.20775077886151086,15.14,0.16999976003647446,0.134,1.4909,0.6616,3107818080,23.1517,4.1273,22.4237,10.0041,4.0912,2.1306,2.411327693484137,0.4394,0.3876125336139366,0.3144,0.1842,0.2933,0.4487
2006-06-30,0.012549537648612913,0.03160167727524765,15.33,0.2,0.1312,1.5437,0.6735,3120237540,22.2979,4.0345,21.1389,9.7797,4.0107,2.2683,2.6575220626193814,0.4368,0.4315852568070827,0.3208,0.189,0.2967,0.4444
2006-09-29,-0.15068493150684933,-0.20236972676565435,13.02,0.18000028883229915,0.1911,1.5657,0.6395,2626511580,17.9372,3.2886,20.326,8.0753,3.2771,1.8102,2.5413626295717076,0.4349,0.2678742273049487,0.3063,0.1849,0.2981,0.4545
2006-12-29,0.014592933947772757,-0.047128123617859057,13.21,0.17326140255292652,0.1319,1.6101,0.6469,2647468940,17.6773,3.2425,21.7178,7.9982,3.2353,1.8536,2.5292783866454025,0.4298,0.2913169738641013,0.2926,0.175,0.2936,0.4564
2007-03-30,-0.012112036336109019,-0.013916969308897574,13.05,0.16606364911762533,0.0493,1.6821,0.6341,2604258000,17.5869,3.1691,25.044,7.621,3.1633,1.8385,2.526628776548927,0.4088,0.3111144517939467,0.2989,0.1708,0.2819,0.4402
2007-06-29,0.029118773946360074,-0.028937608163636885,13.43,0.22000019918533198,0.108,1.6675,0.6047,2630372940,17.4284,3.152,26.6907,7.8548,3.1464,1.6577,2.8946818606882765,0.3894,0.2628383829100675,0.323,0.1909,0.2762,0.4461
2007-09-28,-0.029039463886820594,-0.044604718015316014,13.04,0.2,0.3184,1.4254,0.5175,2460374160,16.1024,2.9305,20.272,8.7918,3.0209,2.1292,2.5536631704725035,0.3903,-0.02413623137710079,0.3151,0.1894,0.2792,0.4971
2007-12-31,-0.04754601226993859,-0.009301365373958571,12.42,0.18848914778674053,0.2446,1.2933,0.4558,2308778640,15.1062,2.7441,16.4297,9.4361,2.8655,1.9767,2.349042111872339,0.4056,-0.2324898328061455,0.3023,0.1737,0.2836,0.5827
2008-03-31,-0.02657004830917875,0.07262908244404237,12.09,0.1914713783505876,0.144,1.2015,0.3733,2196910170,14.2041,2.5908,13.9692,9.8432,2.7934,2.0426,2.287403620857825,0.3905,-0.5520078365334345,0.2927,0.1742,0.2726,0.6611
2008-06-30,0.0496277915632754,0.08191020839866127,12.69,0.23117506778608995,0.0916,1.3247,0.394,2286331920,14.9486,2.6715,15.0021,9.397,2.8865,2.3758,2.63969088170216,0.3504,-0.4477820700679366,0.3151,0.1774,0.2517,0.6557
2008-09-30,-0.06461780929866039,0.024163452145431405,11.87,0.18096579143543445,0.2648,1.2948,0.386,2119257930,14.4703,2.4764,15.3745,9.0376,2.6944,2.3302,2.307519901358684,0.3274,-0.5281143055578893,0.29,0.1581,0.2391,0.613
2008-12-31,-0.3336141533277169,-0.10803201003063156,7.91,0.05616462776032266,0.2428,0.9338,0.289,1413018670,11.6895,1.7289,10.4556,8.4291,1.9343,2.1508,1.0894266085118212,0.2989,-0.8487659331493476,0.1656,0.0604,0.2036,0.6012
2009-03-31,-0.28065739570164344,-0.1639898010348153,5.69,0.015402678775130907,0.1254,0.9371,0.3054,1022288160,11.6062,1.3611,7.8087,6.0703,1.5635,2.2565,0.5711433285089289,0.2454,-0.8244055570398077,0.1059,0.02,0.1557,0.5242
2009-06-30,0.289982425307557,0.1377646292376682,7.34,0.06443680109000881,0.2122,0.9606,0.3244,1319526480,23.046,2.0007,8.6579,7.6077,2.1978,2.1367,1.1828840237425482,0.1674,-0.7802772400596311,0.1822,0.0787,0.1054,0.3349
2009-09-30,0.26566757493188004,0.11581774284627785,9.29,0.09580970697792662,0.224,1.0188,0.3708,1671419640,39.9669,2.7876,11.5279,9.0662,2.9582,1.8682,1.4865899063122787,0.1311,-0.6428889037106205,0.2405,0.1176,0.081,0.2337
2009-12-31,0.024757804090419853,-0.030129264005920406,9.52,0.09489895401292199,0.1896,1.1547,0.44,1713571440,34.9944,2.9584,12.6147,8.1733,3.098,1.8204,1.5772322178468694,0.1596,-0.43215720262004365,0.2231,0.1177,0.1005,0.2485
2010-03-31,0.12079831932773114,0.0720761604948858,10.67,0.11290827335167097,0.0727,1.2655,0.4561,1939934040,29.0565,3.2009,15.3289,8.416,3.3137,1.8924,1.8005541057404804,0.2111,-0.2894748421446329,0.2506,0.1248,0.136,0.3033
2010-06-30,-0.11902530459231486,-0.0004033379913721269,9.4,0.13530770571827058,0.0489,0.0,0.0,1698993600,21.2464,2.6121,17.4763,0.0,2.6121,0.0,0.0,0.4927,0.0,0.2496,0.1292,0.3165,0.6938
2010-09-30,0.12553191489361698,0.01833396937858875,10.58,0.16732097299199436,0.1702,0.0,0.0,1900527720,20.4223,2.7421,21.6853,0.0,2.7421,0.0,0.0,0.0,0.0,0.2716,0.1601,0.0,0.0
2010-12-31,0.24291115311909264,0.14087814535652432,13.15,0.14833366286605593,0.1733,1.4505,0.4978,2368893600,23.0347,3.1837,27.9482,8.9692,3.2652,2.1077,2.214294151992751,0.6004,-0.07744915178967937,0.2345,0.1368,0.3877,0.7787
2011-03-31,0.15285171102661596,0.09863115457802688,15.16,0.20237396784006953,0.0532,1.6635,0.4672,2758316520,23.0767,3.4607,33.9213,9.0075,3.5203,3.1251,2.77697560606408,0.2951,0.1721655207285638,0.3008,0.1711,0.2015,0.4191
2011-06-30,0.11411609498680741,0.11803057993455582,16.89,0.2046023307018957,0.1303,1.8405,0.495,3083269500,23.2189,3.6723,31.9165,8.996,3.7089,3.4392,2.9429702595984466,0.2726,0.37033141605039716,0.287,0.1623,0.197,0.4092
2011-09-30,-0.32622853759621073,-0.18294954513474385,11.38,0.19838801595701375,0.3124,1.8104,0.3972,2037645900,14.6686,2.3234,16.5387,6.1087,2.3521,4.399,2.865808573291712,0.2419,0.3303510094663651,0.2884,0.1607,0.1813,0.4108
2011-12-30,0.1977152899824253,0.0861917825849163,13.63,0.16725213710453257,0.2582,1.7742,0.3691,2443068460,17.165,2.7288,17.6247,7.5697,2.7253,4.4405,2.6035918521922716,0.2236,0.17518773501746243,0.2484,0.1411,0.166,0.4337
2012-03-30,0.29787234042553196,0.17790573892580264,17.69,0.19227341397937114,0.092,2.0162,0.4008,3207869220,22.8389,3.5184,22.0092,8.646,3.489,4.7323,2.9848241555897697,0.2139,0.4267390177458668,0.282,0.1511,0.156,0.4049
2012-06-29,-0.131712832108536,-0.09883322694356464,15.36,0.18527687436963686,0.2025,2.1109,0.2965,2788623360,20.3982,2.9501,17.5356,7.1249,3.1377,5.158,2.9986116422382656,0.1602,-0.7403209015648495,0.234,0.128,0.1217,0.3586
2012-09-28,0.09114583333333348,0.03350942660018126,16.76,0.2003464016316488,0.3438,2.3065,0.3288,3050638440,22.2207,3.1308,18.4674,7.1363,3.2699,5.3965,3.256468616906583,0.1339,-0.5300600486762371,0.2588,0.1447,0.1048,0.3353
2012-12-31,0.023866348448687263,0.03391729842152654,17.16,0.22749391727493917,0.2865,2.4444,0.3435,3128285160,20.9774,3.0897,18.2462,6.8887,3.1871,5.1229,3.5727956663172997,0.1459,-0.49711191929830334,0.2689,0.1665,0.1137,0.3383
2013-03-29,0.127039627039627,0.02677247758897297,19.34,0.2784365252318079,0.1916,2.7075,0.3802,3554363220,21.4279,3.3935,18.6692,7.0117,3.4489,5.4688,4.167088130672054,0.1615,-0.12428788299244217,0.3002,0.1937,0.1249,0.3452
2013-06-28,0.0894519131334023,0.06581545784400232,21.07,0.30682197928104266,0.2909,2.971,0.4178,3878818440,20.4831,3.6413,18.6754,6.925,3.6528,5.2338,4.582745739507969,0.1831,0.16401038611129218,0.2957,0.2022,0.1416,0.3549
2013-09-30,0.17180825818699577,0.12494842169622006,24.69,0.29684953542023834,0.3972,3.1816,0.4514,4535528310,21.7702,4.1772,20.706,7.5429,4.1447,4.8523,4.67187934234586,0.2033,0.3493160006314678,0.2845,0.2025,0.1559,0.3587
2013-12-31,0.054678007290400885,-0.044522094805690526,26.04,0.2370780087736029,0.2856,3.3609,0.4779,4765580400,22.6047,4.3165,21.6877,7.5123,4.286,4.6939,4.294980691507008,0.2039,0.5449428992951205,0.268,0.1645,0.1585,0.3412
