date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2002-08-30,,,7.0,0.09749994995896635,0.0959,2.2393,0.7818,1032367000,40.3583,2.1525,7.3128,3.0759,2.1164,0.982,2.244643624275355,0.068,-0.09373410812240221,0.2597,0.1144,0.0594,0.0778
2002-11-29,0.05999999999999999,0.03790562940326503,7.42,0.04510613990807407,0.099,1.1575,0.7962,1096178860,39.8335,2.2214,9.7461,3.1449,2.1506,1.1843,1.0944724648099846,0.0729,0.012949036437356582,0.2453,0.1049,0.0634,0.0804
2003-02-28,-0.05795148247978433,0.04368149526546953,6.99,0.07999973547247922,-0.0268,2.3925,0.8194,1035114150,35.2787,2.0589,15.3753,2.861,2.0005,1.4835,2.1073887403789002,0.0762,0.13736705270621602,0.2419,0.0971,0.0667,0.0826
2003-05-30,0.2160228898426323,0.07046026856505835,8.5,0.08635180710093741,-0.1918,2.5869,0.752,1262488000,23.6868,2.4462,112.2111,3.2399,2.3726,1.6752,2.262759642849104,0.1265,0.2264623505332328,0.2345,0.0968,0.111,0.1418
2003-08-29,0.11058823529411758,0.06448980995537244,9.44,0.10250016192758599,0.2446,2.6181,0.8019,1404672000,25.7685,2.6764,40.5634,3.475,2.4933,2.2299,2.5164543270684088,0.1234,0.3533938172043011,0.2658,0.1159,0.1066,0.1373
2003-11-28,0.20550847457627133,0.15571736048017243,11.38,0.09500022357502859,0.0481,2.7606,0.6074,1713873520,30.714,3.1516,138.8651,3.9656,3.0049,0.634,2.4922580123253693,0.1111,-0.900978725664657,0.2507,0.1001,0.0918,0.1334
2004-02-27,-0.04920913884007034,-0.1311785153632096,10.82,0.10500028631236043,0.0538,2.9281,0.5402,1637758480,27.2021,2.815,65.8739,3.5586,2.688,0.7211,2.692036529112981,0.0909,-1.0430155122750455,0.2461,0.1015,0.077,0.1349
2004-05-31,0.0785582255083179,0.09929292902928759,11.67,0.09516882273612706,0.0864,2.9503,0.5477,1777037580,28.4585,2.8237,26.2852,3.7605,2.7808,0.7298,2.5772603928517257,0.0849,-1.0319489866950367,0.245,0.0838,0.0728,0.1338
2004-08-31,-0.048843187660668405,-0.03371657182397175,11.1,0.15500012810986702,0.1383,3.2154,0.5951,1707357600,24.1097,2.4908,33.1886,3.4011,2.4594,0.7597,3.3755859955480987,0.099,-0.8603786342123056,0.2714,0.1256,0.083,0.1453
2004-11-30,0.2423423423423423,0.17933071745098228,13.79,0.15102872223218633,0.1837,3.4794,0.6272,2135933100,26.8596,2.9438,29.4246,3.932,2.9007,0.8695,3.4661519522026643,0.1106,-0.6833107366518174,0.2766,0.125,0.093,0.1521
2005-02-28,0.006526468455402584,-0.0188437166322015,13.88,0.13690902068546318,0.697,3.6201,0.6879,2162226400,25.5455,2.8506,12.4102,3.7816,2.7738,0.924,3.394141304274643,0.1196,-0.6018680190011555,0.2535,0.1105,0.0997,0.1518
2005-05-31,0.24855907780979808,0.25861223154141644,17.33,0.14622201202285087,0.2169,3.7007,0.6967,2710238700,29.1749,3.4554,13.8805,4.5573,3.393,1.0393,3.554864658662304,0.1358,-0.4400856832278279,0.2654,0.1131,0.1102,0.1592
2005-08-31,-0.04327755337564917,-0.06747390759695635,16.58,0.19622212717604326,0.3118,4.0536,0.7544,2597240420,26.1197,3.1821,11.6727,4.0901,3.1386,1.351,4.230441505471764,0.1491,-0.2256765124577878,0.2753,0.1369,0.1173,0.1617
2005-11-30,0.32026537997587473,0.2963783777192849,21.89,0.18499963740965458,0.4928,4.1026,0.7626,3467616790,32.5686,4.0924,12.5928,5.1077,3.937,1.7341,4.242655783883009,0.1579,0.09929865981529061,0.2777,0.1393,0.1229,0.162
