date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2006-02-28,,,0.0,0.002839564600094652,-0.0449,8.1587,0.995,0,0.0,0.0,0.0,0.0,0.0,198.0292,0.7219840741407149,-0.008,7.797269150659569,0.0,0.0,-0.0079,-0.008
2006-05-31,inf,inf,35.0,0.02434705621956618,-1.4756,8.4282,0.9156,153860000,2367.0769,0.0,-20.542,4.0405,0.0,8.2001,2.192098804012147,0.0017,5.074158325750682,0.0,0.0,0.0017,0.0017
2006-08-31,-0.20428571428571424,-0.23084287273626922,27.85,-0.008702691762801052,-3.6745,17.2153,0.9331,167183550,685.1784,0.0,-6.569,1.9654,0.0,9.6407,,0.0039,8.209062135598867,0.0,0.0,0.0036,0.0039
2006-11-30,0.014362657091561887,-0.05988843783093195,28.25,0.14002333722287047,-1.8394,14.3183,0.8947,169584750,184.5318,0.0,-4.7044,1.9743,0.0,4.5204,6.716410005394257,0.0107,5.678660669665168,0.0,0.0,0.0098,0.0107
2007-02-28,-0.2619469026548672,-0.26636630062911515,20.85,0.1294352823588206,-3.5214,14.4386,0.8049,125162550,74.3245,0.0,-2.1959,1.444,0.0,2.8382,6.484554420080574,0.0183,2.453606530068299,0.0,0.0,0.0165,0.0195
2007-05-31,-0.05803357314148685,-0.14603349747770855,19.64,-0.6140263201732468,-4.1759,14.2973,0.6816,118252440,-55.9907,0.0,-1.5683,1.3777,0.0,1.2559,,-0.0204,-2.8478658030227537,0.0,0.0,-0.018,-0.0244
2007-08-31,-0.11303462321792254,-0.0760365407000754,17.42,-0.3954221263891193,-4.3944,13.9331,0.5815,105234220,-23.6322,11692.6911,-1.2567,1.2527,14791.4688,1.3989,,-0.0371,-6.356066876344976,-193.5555,-264.8888,-0.0329,-0.0524
2007-11-30,-0.42594718714121704,-0.4307979829142098,10.0,-0.2948410796997285,-5.8645,14.7088,0.5108,72450000,-10.1484,2.9935,-0.6621,0.7867,5.1396,1.0351,,-0.0482,-8.695790200138026,-0.0261,-0.0763,-0.0439,-0.081
2008-02-29,-0.10999999999999996,-0.008382321538082257,8.9,1.3710144927536232,-0.6273,14.0988,0.5226,69420000,34.4174,1.1188,-0.7478,0.6796,2.0329,1.3486,20.854671669311475,0.0116,-7.93525641025641,0.3632,0.2624,0.0107,0.0207
2008-05-30,0.012359550561797689,-0.04005922832042271,9.01,0.607565011820331,-2.7993,15.0593,0.3818,70458200,6.8213,0.5047,-0.791,0.6144,1.2493,1.5023,14.349840570392795,0.0471,-11.065217391304348,0.1342,0.0596,0.0416,0.0952
2008-08-29,-0.2796892341842397,-0.19574769801673214,6.49,-0.11277330264672036,-0.1388,14.5565,0.3844,50764780,4.2908,0.2067,-0.7973,0.4459,0.6667,1.6536,,0.0461,-11.734083354640758,0.0209,-0.0083,0.0396,0.1035
2008-12-31,-0.7164869029275809,-0.4205942522585269,1.84,0.0,0.0,0.0,0.0,58408960,4.2705,0.2638,-2.1677,0.0,0.2638,0.0,0.0,0.1074,0.0,0.0,0.0,0.0923,0.2402
2009-03-31,0.6684782608695651,0.7851458555363932,3.07,-0.3756686104966821,-0.499,11.2019,0.4102,76452210,-13.6594,0.1889,-2.1962,0.2744,0.8015,1.7797,,-0.0179,-9.397181062522588,-0.0045,-0.0422,-0.0164,-0.0401
2009-06-30,1.1335504885993486,0.9813326925294598,6.55,0.025136305323925592,0.2054,11.2144,0.4004,163455250,-17.0336,0.2672,-19.5263,0.5843,0.6457,1.5866,2.518582141636409,-0.0154,-9.181326387497496,0.0386,0.0022,-0.0139,-0.0343
2009-09-30,0.08396946564885494,-0.06588036643674725,7.1,0.21820364072814563,0.4632,11.4218,0.3471,177180500,-54.3498,0.2042,41.2527,0.6206,0.5815,1.5104,7.494407684652524,-0.0047,-13.551432578641554,0.0525,0.015,-0.0042,-0.0115
2009-12-31,1.0943661971830987,1.0394791290867584,14.87,0.9034609806765178,1.3853,12.1784,0.3538,371110590,18.7524,0.2845,9.3622,1.1944,0.5124,1.448,15.953177626261969,0.0259,-12.6187843090115,0.0867,0.0527,0.0232,0.0663
2010-03-31,-0.04034969737726965,-0.08907185621011499,14.27,0.5763339006882261,0.6402,0.0,0.0,447221800,10.0033,0.2962,6.4485,0.0,0.2962,0.0,0.0,0.115,0.0,0.0777,0.0365,0.1018,0.2877
2010-06-30,-0.283812193412754,-0.16519022681181125,10.22,0.2741334680219711,0.324,13.1392,0.4208,320591180,6.0759,0.191,4.3036,0.7702,0.3194,2.3486,9.048040285325822,0.1198,-6.891293952628391,0.058,0.0191,0.1066,0.2535
