date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,42.9,0.5660096127882487,0.3234,18.552,0.689,3928610400,17.123,0.8434,26.4538,2.2872,0.8238,2.6385,15.515669867767588,0.1256,8.246876910981044,0.102,0.0459,0.093,0.1355
2003-06-30,0.08997668997668996,-0.058953971457226764,46.76,0.6061816607123525,0.419,19.0226,0.6907,4266569440,18.4757,0.9203,23.8305,2.4281,0.9101,2.6884,16.243097294134447,0.1229,8.366544649511201,0.1,0.0477,0.0917,0.1329
2003-09-30,0.016894781864841727,-0.005136999256887365,47.55,0.6142838614845878,1.2847,19.5353,0.6958,4348209750,19.0869,0.9385,24.865,2.4056,0.9051,2.7835,16.60071350924763,0.1182,8.907310405161573,0.097,0.0473,0.0886,0.1278
2003-12-31,-0.003364879074658183,-0.11978412528981286,47.39,0.6703511476905036,1.4389,20.0344,0.7029,4313485190,19.0045,0.9242,13.4777,2.3377,0.8389,2.3115,17.528870542421984,0.115,9.381021961964821,0.1098,0.0534,0.0869,0.1242
2004-03-31,0.012871913905887307,2.034506332553032e-05,48.0,0.6854053224940563,0.9121,20.3577,0.6918,4336416000,18.2873,0.9118,11.6146,2.3337,0.8214,2.2845,17.821797659800986,0.1185,9.831872218901507,0.1035,0.0509,0.0893,0.128
2004-06-30,0.19791666666666666,0.184926189410868,57.5,0.7262984605991889,0.534,21.1129,0.7034,5233305000,21.1231,1.0815,13.6412,2.7023,0.982,2.416,18.72726436483292,0.1212,10.590590458610762,0.1044,0.053,0.0911,0.1305
2004-09-30,0.0026086956521738885,0.02562683189597469,57.65,0.7382294881722307,1.2558,21.3528,0.7279,5193227300,20.0816,1.0514,13.6695,2.6524,0.9727,2.6115,18.977800333511873,0.1277,10.758853045003441,0.1022,0.052,0.095,0.1328
2004-12-31,0.15559410234171736,0.06826067474700027,66.62,0.9788163686756155,0.3349,22.4767,0.736,6035572140,21.0355,1.1952,21.6942,2.9185,1.1102,2.6488,22.48585024680078,0.1418,11.182599865337705,0.1168,0.0711,0.1043,0.1425
2005-03-31,-0.06529570699489644,-0.03944410211260788,62.27,0.7872809863724854,-0.0458,22.9474,0.7436,5646954950,19.0033,1.095,29.6103,2.6615,1.0233,2.7541,20.390488175949656,0.1412,11.613078237856316,0.1012,0.0545,0.1049,0.1418
2005-06-30,-0.12012204914083835,-0.1292191874744786,54.79,0.8957949055775143,0.8035,23.031,0.7454,4882117740,15.6414,0.9257,22.7168,2.3274,0.8639,2.7508,21.735950395660932,0.1472,11.395113684824816,0.1111,0.0594,0.1101,0.1479
2005-09-30,0.1483847417411937,0.1169240180780493,62.92,0.9668495555799408,1.5651,24.0758,0.7347,5627313120,16.9219,1.0419,23.2157,2.5648,0.9592,2.6833,23.14931915565682,0.1542,12.176304843687106,0.1137,0.0616,0.1146,0.1549
2005-12-30,0.13000635727908444,0.11415363835599646,71.1,1.13253274871023,1.1853,24.9661,0.7364,6378807600,18.4186,1.1541,19.9184,2.7867,1.0564,2.8554,25.553470522969324,0.1538,13.003187837175085,0.1246,0.0746,0.1136,0.1545
2006-03-31,0.059774964838255985,0.022459954226082615,75.35,0.9323998486241012,-0.0355,25.4422,0.7471,6764094150,18.8014,1.2055,21.059,2.8746,1.1183,2.8872,23.467091074069206,0.1543,13.610633960498614,0.1138,0.0607,0.1149,0.155
2006-06-30,-0.001592568015925552,0.017459571610709188,75.23,1.0177516720229307,0.5206,25.5783,0.7544,6663572480,17.9169,1.1647,22.5148,2.8285,1.0863,2.9908,24.572932624223114,0.1573,13.851325415462428,0.1161,0.0632,0.1185,0.1579
2006-09-29,-0.10913199521467509,-0.16081679047348013,67.02,1.1651613478735978,1.9802,25.3846,0.7384,5766199740,14.8498,0.9921,17.4242,2.5328,0.9171,2.7669,26.152727129438272,0.1669,13.212675941745992,0.119,0.0687,0.1251,0.1676
2006-12-29,0.04356908385556553,-0.018151973710066285,69.94,1.126491619602842,0.8851,24.7952,0.7148,5879715920,15.3357,0.9993,19.5997,2.7,0.9387,2.6363,25.464787316284106,0.1714,11.819158300423467,0.1244,0.0676,0.1251,0.1721
2007-03-30,0.10437517872462107,0.10257024575183252,77.24,1.1732154589149253,0.5698,25.5126,0.7202,6454174400,16.1777,1.0736,18.2982,2.9158,1.0203,2.7711,26.377244613176444,0.1809,12.082695069411201,0.1244,0.0658,0.1303,0.1817
2007-06-29,0.21620921802175044,0.1581528359117535,93.94,1.2076174013252665,0.6359,27.227,0.7294,7927784480,19.3358,1.2934,22.0244,3.3555,1.2306,2.9255,27.623436280316813,0.1782,13.334000853161436,0.1232,0.0654,0.1299,0.1791
2007-09-28,-0.02927400468384075,-0.04483925881233617,91.19,1.286175527903469,1.1625,23.3813,0.6484,7226260360,17.4269,1.1528,25.7146,3.6418,1.1361,2.027,26.4249630700142,0.1836,8.871447680581495,0.1249,0.0658,0.1316,0.1907
