date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2016-03-31,,,0.0,-1.1734021753573394,-0.8754,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.6024,0.0,-0.2911,-0.8659,-0.6165,0.6024
2016-06-30,,,0.0,-0.9503046639205786,-0.6618,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.255,-0.5472,0.0,0.0
2016-09-30,,,0.0,-0.6385983561435812,0.0965,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.1968,-0.636,0.0,0.0
2016-12-30,,,0.0,0.6361121495327102,0.17,14.0741,0.7945,0,0.0,0.0,0.0,0.0,-0.4439,4.4986,14.19281103531334,-0.2935,1.7964299065420561,0.3052,0.222,-0.2353,-0.2961
2017-03-31,,,0.0,2.0559214897211517,1.0283,12.6753,0.7711,0,0.0,0.0,0.0,0.0,-0.0506,3.2226,24.214396282375215,0.0818,0.3992897196261682,0.5294,0.4264,0.0646,0.0825
2017-06-30,inf,inf,17.13,2.4632499383547355,2.7412,15.1195,0.7889,915512850,3.8376,1.1117,4.3006,1.1485,0.904,4.3602,28.94771005565854,0.3232,2.793020862568996,0.5139,0.3573,0.2542,0.3257
2017-09-29,0.3601868067717456,0.320593754505576,23.3,2.268355533660496,1.548,17.3255,0.8159,1245291800,3.1773,1.1503,4.3016,1.3618,0.9193,5.7881,29.736490385800167,0.4554,4.614077760730457,0.3403,0.3837,0.3678,0.4579
2017-12-29,0.0793991416309012,0.0181732773546553,25.15,1.8316460230379126,1.1592,7.7865,0.4158,1340117750,2.945,1.1462,3.9197,3.2446,1.3943,2.4844,17.917666549285375,0.5424,-5.8444778080135125,0.3514,0.4051,0.4305,0.6856
2018-03-30,0.11371769383697826,0.1259633051710653,28.01,3.361943106562312,3.2208,11.0044,0.4493,1492512850,2.8405,1.1163,3.2523,2.5516,1.2106,4.791,28.852395687523824,0.5798,-2.6574645772731538,0.5099,0.4236,0.4579,1.053
2018-06-29,-0.015708675473045386,-0.04505506380756019,27.57,1.7203036982610826,1.8772,5.9321,0.3057,1455337590,2.9891,1.1228,3.515,4.622,1.4262,2.5325,15.156692680351345,0.5302,-7.992668649478091,0.3819,0.283,0.4176,1.0822
2018-09-28,-0.01922379397896268,-0.0911823039862877,27.04,0.9977802231160355,1.4833,6.9381,0.3324,1426522240,3.3984,1.1344,3.4749,3.9008,1.3876,2.7276,12.480532118223563,0.5194,-6.9541473955569035,0.3368,0.1924,0.3941,1.2335
2018-12-31,-0.10835798816568047,0.03135809963908477,24.11,7.0819690747014405,2.0583,13.4869,0.5108,1244630530,1.7862,0.9032,2.7188,1.7465,1.0811,3.7704,46.50651157633735,0.6916,-4.131084981500494,0.5111,1.0383,0.5585,1.2923
2019-03-29,0.2608875985068436,0.13022569535047268,30.4,2.1392020143327524,1.9803,15.8641,0.585,1567454400,2.4938,1.1745,4.0312,1.9137,1.2991,3.8354,27.664699035192328,0.5373,-2.229029692985008,0.4732,0.2919,0.4497,0.8207
2019-06-28,-0.14078947368421046,-0.17866701782789304,26.12,2.4279909444476693,3.9967,13.7895,0.5522,1347034520,2.0326,0.9556,2.7172,1.8901,1.1012,3.3051,27.480683648856115,0.5915,-3.4330146787923446,0.4366,0.3155,0.4926,0.8653
