date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2013-06-28,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,,,0.0,-0.5516963287450283,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.3725,-0.3725,0.0,0.0
2013-12-31,,,0.0,-1.11988856100735,0.0,4.9542,0.213,0,0.0,0.0,0.0,0.0,5.9001,0.0522,,-0.4429,-18.14182811268535,-1.0115,-1.0115,-0.3852,-1.8083
2014-03-31,,,0.0,-0.2529371872651625,-2.1334,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1903,0.0,-0.2424,-0.3484,-0.1655,-0.7769
2014-06-30,,,0.0,0.22361113656775233,-0.6543,5.3794,0.2149,0,0.0,0.0,0.0,0.0,3.8742,0.1994,5.2024137985345575,-0.148,-19.225059110320938,0.4063,0.1856,-0.1359,-0.6323
2014-09-30,,,0.0,0.2859289942997489,-0.1392,5.2603,0.2112,0,0.0,0.0,0.0,0.0,4.1156,0.2666,5.817355627438192,-0.0372,-19.15174398357741,0.4196,0.2219,-0.0345,-0.1622
2014-12-31,,,0.0,0.3464139738631573,0.0274,5.0514,0.2004,0,0.0,0.0,0.0,0.0,0.0,0.0348,6.274727071385491,0.0255,-19.44500449055151,0.4116,0.2386,0.024,0.1169
2015-03-31,,,0.0,0.52053739987903,0.5425,5.5591,0.2226,0,0.0,0.0,0.0,0.0,0.0,0.0379,8.068995466755394,0.058,-18.677028537913085,0.4803,0.3187,0.0548,0.2594
2015-06-30,,,0.0,0.6763320442090214,0.8504,23.5268,0.9572,0,0.0,0.0,0.0,0.0,0.0,0.7437,18.921374067392097,0.0774,-0.28409611613116076,0.5044,0.3671,0.0738,0.1257
2015-09-30,,,0.0,0.7148224857493722,0.975,23.4003,0.9573,0,0.0,0.0,0.0,0.0,0.0,0.7491,19.399970716442418,0.0962,-0.2767646034568082,0.5156,0.3816,0.0921,0.0962
2015-12-31,,,0.0,1.6330944482120273,-1.03,38.4446,0.8904,0,0.0,0.0,0.0,0.0,0.0,0.2194,37.58500250810119,0.1146,-3.711578291390971,0.4932,0.326,0.1048,0.1146
2016-03-31,,,0.0,0.861452739236423,0.2822,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2021,0.0,0.5853,0.3952,0.18,0.2021
2016-06-30,,,0.0,0.7349841456038417,0.7404,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5554,0.3369,0.0,0.0
2016-09-30,,,0.0,0.8871130335966568,0.6744,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076,0.4023,0.0,0.0
2016-12-30,,,0.0,1.2756832053373413,0.57,41.0271,0.8693,0,0.0,0.0,0.0,0.0,-0.0005,0.1436,34.31611290280634,0.1832,-5.289686394545354,0.6411,0.4591,0.1593,0.1832
2017-03-31,,,0.0,1.1565461243791124,0.5168,41.6613,0.8772,0,0.0,0.0,0.0,0.0,0.0,0.1983,32.92601309999282,0.098,-4.690335233417035,0.6899,0.4842,0.0856,0.098
2017-06-30,inf,inf,20.37,0.21455938697318008,1.3984,49.0363,0.9797,1111366830,5.7733,2.0561,6.5722,0.4341,1.9766,2.0777,15.385934015107479,0.056,0.8907787899338331,0.702,0.0824,0.0739,0.0796
2017-09-29,0.06529209621993118,0.02569904395376156,21.7,0.2692307692307692,1.4597,46.9157,0.9783,1183930300,7.4414,2.0884,5.5845,0.4621,2.0037,2.14,16.858258362001692,0.0346,0.9494308913286534,0.7184,0.1022,0.0608,0.0621
2017-12-29,-0.08709677419354842,-0.14832263846979432,19.81,0.2636363636363636,0.2072,46.46,0.9697,1080813790,10.3625,1.865,5.6204,0.4229,1.7836,1.4973,16.600972041638787,0.0226,0.5791895012738504,0.531,0.0901,0.0397,0.0407
2018-03-30,-0.03886925795053001,-0.026623646616442967,19.04,0.3058608058608059,1.3479,47.3516,0.9714,1038803360,17.8488,1.7136,4.3702,0.4017,1.6517,1.5198,18.05179955109648,0.0125,0.5700251104309096,0.7598,0.1082,0.0219,0.0226
2018-06-29,0.034663865546218496,0.00531747721170369,19.7,0.3180987202925046,1.4899,48.1681,0.9609,1075166900,16.6434,1.6995,4.367,0.408,1.6102,1.1769,18.584433179233812,0.0137,0.22903420854938894,0.7601,0.108,0.0239,0.0247
2018-09-28,0.1578680203045685,0.08590951029724349,22.81,0.33455210237659966,0.8848,49.1334,0.958,1244901370,18.2003,1.8994,5.7929,0.4632,1.8466,0.9409,19.249031872330047,0.0142,-0.23086648221778405,0.7533,0.1109,0.0246,0.0257
2018-12-31,-0.2555896536606751,-0.11587356585590985,16.98,0.3053016453382084,0.393,34.2979,0.6272,926717460,13.0892,1.3002,4.1187,0.4939,2.5076,1.3062,15.363385857290703,0.0156,-17.126261978489108,0.6,0.0776,0.0244,0.031
2019-03-29,0.24852767962308592,0.11786577646671498,21.2,0.3162705667276051,0.7586,50.8976,0.9698,1157795600,16.1028,1.5534,6.002,0.4158,1.5581,1.0354,19.03133699807206,0.0155,-0.35339571164374783,0.6824,0.0954,0.0245,0.0308
2019-06-28,-0.08018867924528299,-0.11806622338896558,19.5,0.28832116788321166,1.6295,51.4105,0.9628,1065187500,15.0238,1.3817,5.3073,0.378,1.3624,0.8087,18.295715360418424,0.0139,-0.5949656750572082,0.6652,0.0882,0.0244,0.0253
2019-09-30,-0.012307692307692228,-0.024198526486084948,19.26,0.3248175182481752,0.1587,52.135,0.9506,1052077500,14.7763,1.2888,6.5346,0.3682,1.298,0.6265,19.555531664501444,0.0137,-1.2649885583524028,0.6295,0.0888,0.024,0.025
2019-12-31,0.1775700934579438,0.09222839754364998,22.68,0.8796837592561662,1.3807,74.1662,0.4064,407355480,5.811,0.4802,2.4793,0.3057,2.5433,0.5445,38.3140057495853,0.0147,-102.98424363899561,0.5041,0.0635,0.0223,0.0334
2020-03-31,-0.5520282186948854,-0.35201771487024636,10.16,0.3611111111111111,3.45,74.4666,0.4044,183042560,3.1289,0.1927,0.9899,0.1365,2.0979,0.7764,24.597583722796838,0.0135,-103.2915186500888,0.6578,0.0223,0.0177,0.0437
2020-06-30,0.8031496062992126,0.6036208866047268,18.32,0.292817679558011,5.9889,73.3259,0.3993,330272960,7.027,0.3209,1.6189,0.2488,2.0898,0.557,22.040510146092355,0.0107,-105.86310184157976,0.6326,0.0196,0.0141,0.0352
2020-09-30,-0.175764192139738,-0.26050141273118343,15.1,0.30939226519337015,2.8011,72.8839,0.3912,272222800,8.126,0.2523,1.1065,0.2063,2.0064,0.7838,22.587326092302295,0.0076,-108.09851342356335,0.6672,0.0211,0.01,0.0253
2020-12-31,0.2960264900662252,0.1791457085142255,19.57,0.36464088397790057,6.5966,73.2596,0.3929,352807960,14.7003,0.3231,1.0358,0.266,2.0609,0.8112,24.584379186792578,0.0054,-108.00421566452185,0.7305,0.0247,0.0071,0.0181
2021-03-31,0.14563106796116512,0.08790588704795192,22.42,0.44329896907216493,7.1494,71.3969,0.4087,561351960,21.5077,0.515,1.3455,0.4052,2.2442,1.2067,26.754787620569175,0.0058,-75.47328061346752,0.7711,0.0297,0.0077,0.0192
2021-06-30,0.12622658340767165,0.04452028995406024,25.25,0.43824701195219123,7.9123,56.5179,0.4189,632209500,19.8808,0.567,1.2459,0.4456,2.1936,0.8692,23.654327511049644,0.007,-74.1832414729611,0.7666,0.0373,0.0093,0.0226
2021-09-30,0.11722772277227726,0.11489147168152683,28.21,0.3944223107569721,4.5697,26.6573,0.1936,706321980,19.5657,0.612,1.2361,1.0556,2.8585,0.898,15.411571723870345,0.0086,-105.24802300503235,0.6604,0.0325,0.0105,0.0345
2021-12-31,-0.020560085076214173,-0.12703388045817635,27.63,0.5090361445783133,5.4307,22.6837,0.216,930357360,20.0508,0.7728,1.4713,1.2353,2.8839,0.7788,16.14275152311898,0.012,-77.19767165597528,0.7695,0.0534,0.0133,0.0652
2022-03-31,0.08577633007600438,0.13524362061807954,30.0,0.5,4.0177,23.1301,0.2244,1013040000,18.5199,0.8253,1.6095,1.2957,2.891,1.0236,16.155054077755135,0.014,-75.61892916370529,0.7679,0.054,0.0157,0.0712
2022-06-30,-0.06666666666666667,0.09778428760503023,28.0,0.5034324942791762,3.5995,11.1556,0.1354,1232084000,18.7531,0.9888,2.095,2.5273,3.3443,1.0386,11.241088003239167,0.0173,-67.104515601209,0.7667,0.0701,0.0185,0.1035
2022-09-30,-0.08857142857142859,-0.03580003658194603,25.52,0.5260770975056689,3.8276,11.653,0.1426,1122956560,14.2146,0.8794,1.7486,2.1851,3.1555,0.932,11.757846509691072,0.0214,-66.8318069222553,0.7452,0.0692,0.0219,0.1577
