date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2015-12-31,,,0.0,0.0,0.0,2.1374,0.0908,0,0.0,0.0,0.0,0.0,0.0,2.6835,0.0,0.0,-15.280253199249467,0.0,0.0,0.0,0.0
2016-03-31,,,0.0,-0.050703096999978915,0.1065,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0239,0.0,0.1489,-0.022,-0.0172,-0.1897
2016-06-30,,,0.0,-0.020555309594586048,0.1211,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.1626,-0.0084,0.0,0.0
2016-09-30,,,0.0,-0.06799063942824615,0.0932,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.1364,-0.0278,0.0,0.0
2016-12-30,,,0.0,-0.05376004047814813,0.1923,1.4325,0.0629,0,0.0,0.0,0.0,0.0,1.2879,2.387,,-0.0239,-15.051230156220353,0.2409,-0.0176,-0.0169,-0.2694
2017-03-31,,,0.0,-0.03742120464655409,-0.0996,1.4951,0.0657,0,0.0,0.0,0.0,0.0,1.2758,2.4472,,-0.0111,-15.000785318238357,0.1714,-0.0147,-0.0079,-0.1227
2017-06-30,inf,inf,21.61,-0.8270209157716224,0.0966,6.8343,0.2733,4234565940,-23.9918,2.0153,80.8123,3.5025,2.839,2.5294,,-0.0564,-9.938046684425936,-0.0913,-0.2526,-0.0404,-0.2364
2017-09-29,0.27348449791763074,0.23389144565146114,27.52,0.13455069678039405,0.2652,6.1114,0.2793,5394222720,-39.7804,2.3574,60.0024,4.2414,3.102,2.5078,4.373395383830336,-0.0417,-9.578033885853346,0.2216,0.0431,-0.0302,-0.1093
2017-12-29,0.23292151162790697,0.17169564735166107,33.93,0.6339955849889625,0.4366,6.52,0.3195,6657676740,365.8064,2.8027,43.7142,4.5081,3.4872,2.6051,10.219727779882074,0.0053,-8.565982733490301,0.1948,0.2159,0.0039,0.0132
2018-03-30,-0.09578544061302682,-0.08353982927893977,30.68,0.2020009528346832,0.2529,7.4687,0.3282,6050893680,89.378,2.4075,26.9767,3.8597,3.076,2.4765,5.944994142734108,0.0189,-8.5906523480677,0.2173,0.0684,0.0144,0.0444
2018-06-29,-0.042046936114732696,-0.07139332444924751,29.39,0.2876908396946565,0.5896,7.4861,0.3407,5851402050,21.3321,2.2484,17.6886,3.7291,2.8501,2.5299,7.0944240919354336,0.0772,-7.985634998367614,0.2201,0.0902,0.0584,0.1748
2018-09-28,-0.03572643756379723,-0.10768494757112225,28.34,0.3452893352462936,0.4428,7.7637,0.3594,5637931260,17.7015,2.1338,15.3121,3.4729,2.6934,2.3986,7.903620354638284,0.0928,-7.467113034648812,0.2427,0.1047,0.0698,0.1995
2018-12-31,-0.2784050811573748,-0.13868899335260954,20.45,0.4552023121387283,0.6093,8.0732,0.3735,4052576500,15.0429,1.5066,10.2389,2.418,2.0431,2.232,9.241277048792407,0.08,-7.467830650451632,0.2587,0.1325,0.0598,0.1633
2019-03-29,0.3599022004889975,0.22924029733262657,27.81,0.22676937891189214,0.3307,8.3663,0.3805,5586027840,20.3795,2.0762,13.578,3.2146,2.5811,2.2692,6.631673946324348,0.0816,-7.1232276565238175,0.2037,0.0759,0.0605,0.1605
2019-06-28,0.24415677813736078,0.2062792339936782,34.6,0.21493537577788416,0.2431,8.5461,0.3885,7055805000,27.274,2.6611,20.8381,3.9521,3.1537,2.4757,6.51512781814184,0.0762,-6.596052470270933,0.2185,0.0713,0.0564,0.1468
2019-09-30,-0.18236994219653185,-0.1942607763749246,28.29,0.19760765550239234,0.5028,8.5669,0.3931,5786521470,25.4017,2.2614,16.4811,3.2317,2.7254,2.5077,6.243818421989678,0.0669,-6.2050522384046385,0.2324,0.0692,0.0498,0.1274
2019-12-31,0.29657122658183105,0.21122953066753722,36.68,0.1224976167778837,0.4523,8.9127,0.404,7521820880,47.307,3.7282,23.5424,4.0225,4.2726,2.6869,5.017686732117773,0.0462,-5.9229711409985075,0.0239,0.1499,0.0346,0.0868
2020-03-31,-0.3238822246455834,-0.12387172082094439,24.8,-0.13270825820411108,0.2196,31.5741,0.57,10330663200,137.5587,4.9177,33.1429,1.1799,6.2846,2.1074,,0.0095,-8.818438684556089,0.1199,-0.0523,0.0075,0.0141
2020-06-30,0.1338709677419355,-0.06565775195255033,28.12,-0.42589928057553955,0.5601,20.7237,0.5599,11724858960,-79.5444,4.6955,23.7105,1.3567,5.754,2.2505,,-0.0118,-8.30947001856302,0.1157,-0.1732,-0.0095,-0.0169
2020-09-30,0.26600284495021337,0.18126562435876795,35.6,0.06990521327014218,0.4274,20.9239,0.5656,14865990400,-93.3793,4.9342,26.0898,1.6835,5.772,2.4265,5.766912206793343,-0.0125,-7.952411969807272,0.2076,0.0265,-0.0102,-0.0182
2020-12-31,0.27977528089887643,0.16289449934687672,45.56,0.36198662846227314,0.9529,21.9424,0.5722,19072691680,-572.7535,4.6978,21.8223,2.0754,5.217,2.5771,13.368404782109872,-0.0025,-7.182988237767183,0.2128,0.1244,-0.0021,-0.0036
2021-03-31,0.0801141352063213,0.022388954293108096,49.21,-0.21225639821554357,0.2761,21.192,0.569,20637148490,-237.4815,4.6004,22.1737,2.2864,5.0872,2.7038,,-0.0066,-6.396037856875449,0.1957,-0.08,-0.0054,-0.0095
2021-06-30,-0.00812842918106073,-0.08983472263467214,48.81,0.5480318650421743,0.3052,21.8987,0.5777,20503470270,63.1653,4.3259,24.7806,2.1937,4.3583,3.1335,16.566951454847196,0.0247,-2.6612421351831967,0.2091,0.1828,0.0202,0.0353
2021-09-30,0.03278016799836087,0.030443916907610436,50.41,0.3010752688172043,0.2406,20.843,0.5845,20543133610,48.7844,4.1483,27.4751,2.3551,4.4288,2.469,11.971538829051337,0.0329,-5.322670488146623,0.2132,0.095,0.027,0.0466
