date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,29.15,0.31740541699699776,0.266,11.2405,0.6379,17930806300,19.2512,1.8723,14.9654,2.5915,1.9063,2.7285,8.97644012818164,0.1115,0.20171445664437299,0.172,0.0844,0.0867,0.1372
2003-06-30,0.12967409948542027,-0.019256561948496453,32.93,0.4479168356537285,0.3531,11.835,0.6477,20255967460,21.5487,2.0869,16.9585,2.7765,2.1087,2.8229,10.94653952869161,0.1084,0.5772367107663195,0.2066,0.1076,0.085,0.1322
2003-09-30,0.006073489219556721,-0.01595829190217237,33.13,0.4351221375033981,0.5804,11.9737,0.6854,20416196850,21.1924,2.0754,16.7019,2.759,2.03,2.8948,10.859700795566901,0.1116,1.6416960786700094,0.1979,0.1062,0.0873,0.1311
2003-12-31,0.26652580742529425,0.15010656121013957,41.96,0.4583255812448533,0.6812,12.7392,0.7034,25900775080,25.3016,2.5808,22.3025,3.2892,2.5047,3.2125,11.461709209510369,0.1187,2.3719926191490637,0.1946,0.1078,0.0931,0.134
2004-03-31,-0.05576739752144908,-0.06861896636401085,39.62,0.46744134351774597,0.4259,13.2633,0.6998,24544788100,21.9443,2.3527,19.4486,2.9808,2.2753,2.9994,11.850760348682895,0.1238,2.5236196640866497,0.202,0.107,0.0974,0.1388
2004-06-30,0.21024734982332172,0.19725687256752306,47.95,0.5800159671385986,0.4991,13.2149,0.6928,29705264750,24.6978,2.7326,21.9323,3.6181,2.6762,2.7928,13.186650117009755,0.1307,2.1928442869710496,0.2196,0.12,0.1018,0.1462
2004-09-30,-0.028362877997914482,-0.005344741754113681,46.59,0.5429077594204615,0.6476,12.4081,0.6618,28164679980,22.284,2.4911,20.2707,3.7337,2.4906,2.2004,12.363886536720278,0.1423,0.9295046334128452,0.203,0.1112,0.1087,0.1604
2004-12-31,-0.005365958360163125,-0.09269938595488021,46.34,0.5819744065631531,0.5054,12.3962,0.6719,26852361760,20.0586,2.3182,20.9891,3.5204,2.3401,2.335,12.79124958156168,0.1546,1.0317707398561429,0.1719,0.1233,0.1176,0.1764
2005-03-31,-0.033880017263703065,-0.00802841238141451,44.77,0.5318562670299728,0.4269,13.1278,0.642,26002236920,19.1079,2.1764,20.5459,3.3731,2.1693,2.0479,12.581200933235612,0.1494,0.9625066288335319,0.1875,0.1015,0.1165,0.1774
2005-06-30,-0.11011838284565556,-0.11921552117929582,39.84,0.322209196076065,0.3639,6.4024,0.6386,22786368480,16.5811,1.863,16.5399,3.0679,1.8718,2.0027,6.837843221312075,0.1481,0.6385241989205294,1.7314,0.1137,0.1162,0.1815
