date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-12-31,,,24.01,0.29500069822650465,0.2743,7.7429,0.5153,2683117500,20.3775,0.592,18.8614,3.0243,0.56,1.6498,7.289409718516056,0.1478,1.7868724832214764,0.0537,0.0297,0.0776,0.1518
2004-03-31,-0.07122032486463976,-0.08407189370720154,22.3,0.3050010524838619,0.0642,8.167,0.5249,2490285600,18.4513,0.5591,25.8403,2.6743,0.5248,1.7128,7.54751866201157,0.1445,2.1566014757504117,0.0546,0.0309,0.0772,0.1484
2004-06-30,-0.11704035874439458,-0.13003083600019325,19.69,0.2600008686965209,0.0556,8.3625,0.5353,2217665010,16.796,0.4992,31.0719,2.3036,0.4658,1.7641,7.061273339397746,0.1352,2.2894725159594778,0.0489,0.0267,0.0739,0.1394
2004-09-30,-0.02742508887760298,-0.00440695263380218,19.15,0.14960077828514334,0.1082,8.8581,0.488,2171552550,18.7892,0.4726,37.7562,2.1485,0.468,1.5796,5.486430189097383,0.1105,0.2041676587564045,0.0291,0.014,0.0597,0.1171
2004-12-31,0.24804177545691908,0.160708347862202,23.9,0.2799989671110958,0.4735,8.997,0.4737,2712673900,23.732,0.572,33.4476,2.5952,0.56,1.6026,7.595619780805551,0.1011,0.4919163707808742,0.05,0.0253,0.0534,0.1111
2005-03-31,0.08619246861924697,0.11204407350153553,25.96,0.23999931014857676,-0.4235,9.4573,0.4871,2977066840,27.7294,0.5952,120.7392,2.7144,0.586,1.6514,7.2203439149392326,0.0898,0.9351581370608394,0.0397,0.0201,0.0481,0.1002
2005-06-30,0.08359013867488436,0.07449300034124412,28.13,0.30999906843607355,0.3332,9.7098,0.4964,3244711110,28.4533,0.6086,56.3327,2.8299,0.5901,1.6874,8.361239789475587,0.0915,1.4677711600648478,0.0509,0.0252,0.05,0.1016
2005-09-30,0.1980092428012799,0.1665485191381355,33.7,0.3188264669163546,0.5201,9.7572,0.4928,3917962000,28.9631,0.6952,36.3626,3.342,0.6686,1.7035,8.572431212173822,0.1064,1.125984861517289,0.0485,0.0252,0.0577,0.1166
2005-12-30,0.007121661721068097,-0.008731057202019893,33.94,0.35999966531117694,0.1656,10.2613,0.4907,3955163960,27.133,0.6553,54.5344,3.225,0.6258,1.7147,9.242573432860068,0.1116,1.619776202653303,0.0469,0.0255,0.0597,0.1215
2006-03-31,0.2778432527990572,0.24052824218688382,43.37,0.3700008314625426,0.6535,10.7125,0.4822,5081446050,31.2825,0.7836,25.3761,3.944,0.7424,1.7057,9.570375166361073,0.1184,2.07559424742884,0.0444,0.0242,0.0628,0.1291
2006-06-30,-0.08185381600184453,-0.0628016763752098,39.82,0.42000132722808414,-0.329,11.0969,0.4752,4685380480,26.5514,0.673,38.6483,3.5024,0.6382,1.7129,10.42167376885824,0.1233,2.463480758770737,0.0475,0.0262,0.0643,0.1343
2006-09-29,-0.06152687091913618,-0.1132116661779412,37.37,0.4902289783209369,0.9359,11.9413,0.5012,4409361040,22.3958,0.5941,25.8079,3.0824,0.5461,1.746,11.651216892187076,0.1319,3.343972472710014,0.0493,0.0296,0.0694,0.1422
2006-12-29,0.09098207118009113,0.02926101361445932,40.77,0.5049995466198448,0.494,12.4216,0.5069,4822520220,22.4178,0.6146,22.8559,3.2003,0.565,1.8097,12.055378494547286,0.137,3.773472769389446,0.0508,0.029,0.0738,0.1464
2007-03-30,0.14422369389256795,0.1424187609197794,46.65,0.5500004090682244,0.2378,12.9217,0.5217,5562685950,23.3877,0.6862,34.4519,3.522,0.6355,1.8216,12.873278351973394,0.1459,4.19860285299766,0.0556,0.0321,0.0792,0.1541
2007-06-29,0.23279742765273312,0.17474104554273617,57.51,0.6099999183946597,0.3705,13.6666,0.5275,6900279840,26.3405,0.835,27.9898,4.1202,0.7857,1.829,13.91846680095139,0.1545,4.408171089478597,0.0625,0.0358,0.0844,0.161
2007-09-28,0.3142062250043471,0.2986409708758517,75.58,0.6785512075966158,1.321,14.9126,0.5439,9086378760,31.6455,1.061,30.5187,4.9283,0.9941,1.7847,15.308711341171621,0.1584,6.091813478398296,0.063,0.0367,0.0874,0.1632
2007-12-31,0.26501720031754433,0.30326184721352434,95.61,0.7899999196909708,-0.328,15.9882,0.5428,11590991520,35.7484,1.2983,58.8539,5.8221,1.2578,1.6742,17.175078153013306,0.1657,5.038108750164973,0.0638,0.0397,0.0918,0.1691
2008-03-31,-0.23031063696266077,-0.13111150620943965,73.59,0.7990988091406501,0.0338,17.0077,0.5452,8962378920,25.1523,0.9433,52.0814,4.24,0.9054,1.6866,17.72568403099017,0.1705,5.6001576510000985,0.0643,0.0372,0.0944,0.1736
2008-06-30,0.0966163880962087,0.12889880493159456,80.7,0.8720390935935294,0.9902,17.9636,0.5566,9877760700,25.3113,0.9557,39.4958,4.4122,0.9075,1.7417,19.015821910356323,0.1759,6.4739830556939895,0.0645,0.0372,0.0988,0.1793
2008-09-30,-0.32701363073110284,-0.23823236928701105,54.31,0.9150054396518623,0.8978,18.0094,0.5262,6663891310,15.8384,0.5922,33.4855,2.9599,0.5434,1.7439,19.451045183721202,0.183,5.894988630899504,0.062,0.0357,0.1013,0.1874
2008-12-31,-0.11434358313386118,0.11123856016322413,48.1,0.9384805246134363,1.4882,19.0372,0.5488,5920244200,13.4942,0.4928,13.951,2.5083,0.4305,1.8029,20.193434013076676,0.1857,7.013958174225313,0.0618,0.0359,0.1022,0.1902
2009-03-31,-0.19625779625779635,-0.07959020159096823,38.66,0.8788095659306197,-0.145,19.9667,0.5937,4772692980,10.6367,0.3872,11.869,1.9221,0.3266,2.0172,20.011266088993036,0.1822,8.036848031234559,0.0636,0.0367,0.1057,0.1852
2009-06-30,0.08872219348163495,-0.06349560258825389,42.09,0.7607336390162568,2.1624,20.9594,0.5908,5215119360,11.9909,0.4305,9.5087,1.9945,0.3442,2.0283,19.07849986867272,0.1679,8.733971461776859,0.0612,0.035,0.101,0.1706
2009-09-30,0.09170824423853645,-0.05814158784706573,45.95,0.6342366403057756,0.3517,21.0418,0.5941,5708368500,14.2761,0.4977,11.8872,2.1692,0.4077,2.1748,17.450925124938937,0.1503,8.221122112211221,0.0594,0.031,0.0903,0.1524
2009-12-31,-0.1815016322089228,-0.23638870030526304,37.61,0.5780993120620581,1.9496,21.7348,0.5818,4682858710,13.1562,0.4371,8.672,1.7194,0.3387,1.9119,16.92783542992025,0.1294,6.551629976467942,0.0549,0.0292,0.0781,0.1329
2010-03-31,0.20154214304706192,0.15281998421421658,45.19,0.6172102098514713,-1.1015,22.397,0.6046,5644456950,17.4128,0.5467,13.4481,2.007,0.4655,2.0036,17.75342314310378,0.1126,6.979664545054241,0.0556,0.0299,0.0694,0.1171
2010-06-30,-0.19362690860809914,-0.0750049420071564,36.44,0.1511745139600054,0.8238,22.3692,0.6045,4577702120,18.4363,0.4521,18.0406,1.6245,0.3591,2.0291,8.780104710732106,0.0851,7.404830325656926,0.0263,0.0075,0.0533,0.0882
2010-09-30,0.06201975850713516,-0.04517818700789307,38.7,0.6095396429561019,-0.1649,22.6808,0.6116,4872678300,19.8097,0.4914,25.7916,1.7008,0.3967,2.2324,17.753839581575946,0.0838,7.529668252468053,0.0607,0.0328,0.0526,0.0865
2010-12-31,0.18475452196382425,0.08272151420125594,45.85,0.5197646873025901,1.1109,23.3331,0.6022,5789250250,24.1863,0.5911,67.8478,1.9591,0.4861,2.2608,16.627699105716488,0.0798,7.0129014374529755,0.0525,0.0279,0.0499,0.0822
2011-03-31,0.12170119956379494,0.06748064311520585,51.43,0.6300888013002206,-0.7267,23.943,0.5409,6518958220,26.9256,0.6675,49.733,2.1377,0.6298,1.9736,18.567388768242076,0.074,2.724608296385124,0.0593,0.0313,0.0459,0.0806
