date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,0.0,0.17024906523915576,-0.1281,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055,0.0,0.1694,0.0658,0.0337,0.1055
2003-06-30,,,0.0,0.4270069264246164,0.2871,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1655,0.1567,0.0,0.0
2003-09-30,,,0.0,0.16295486586437286,0.4509,3.7947,0.3713,0,0.0,0.0,0.0,0.0,0.3774,2.7862,3.7300413755948543,0.2127,-2.022567067813579,0.1816,0.0656,0.1487,0.4006
2003-12-31,inf,inf,11.1,0.13418670698567722,0.1299,1.6332,0.1425,1086534600,12.4105,1.0777,14.9999,6.7961,1.5742,2.7296,2.274508105278292,0.1235,-4.483010849355373,0.1659,0.0534,0.0825,0.3295
2004-03-31,0.3648648648648649,0.35201329602230313,15.15,0.10019818973091146,0.1492,1.6039,0.1431,1482972900,18.3781,1.456,14.8906,9.4454,1.9344,3.2748,1.9015591553937259,0.1111,-4.2366630570255195,0.1391,0.0372,0.0727,0.5092
2004-06-30,0.12871287128712877,0.11572239403133011,17.1,2.9093351585485454,0.4292,4.1578,0.3252,1673953200,5.1715,1.5978,14.7484,4.1128,2.0352,3.2446,16.49756826777194,0.3831,-3.4322110080496873,0.1684,0.9628,0.2756,1.1478
2004-09-30,0.1608187134502924,0.1838368496940932,19.85,0.10264372982470478,0.4268,4.2196,0.3202,1943156200,6.1147,1.7814,17.4844,4.7041,2.1774,2.9328,3.1217140088879534,0.3312,-3.430668491807298,0.1388,0.0351,0.25,0.775
2004-12-31,0.026700251889168643,-0.060633175705548444,20.38,0.09650431087320721,0.1358,4.8106,0.3479,1995038960,6.3517,1.7677,17.859,4.2364,2.174,2.3276,3.23475704078562,0.3191,-3.9517427368937197,0.1118,0.0333,0.2376,0.7106
2005-03-31,0.04317958783120719,0.06903119271349575,21.26,0.21861847750582275,-0.1037,4.9276,0.3623,2081183920,6.3901,1.7984,23.9389,4.3144,2.1914,2.3498,4.92325595714341,0.3268,-3.5413925550606793,0.1974,0.0733,0.2426,0.6832
2005-06-30,-0.2897460018814676,-0.2988431402151078,15.1,0.3357134101495465,0.0106,5.1632,0.3953,1478274900,20.0414,1.2601,32.1629,2.9246,1.6382,2.7934,6.245037892910908,0.0754,-2.9508779456378513,0.2202,0.1054,0.0565,0.1493
2005-09-30,0.05099337748344368,0.01953265382029927,15.87,0.08122574055158324,0.5877,4.8335,0.3747,1553657130,21.6794,1.3175,25.171,3.2832,1.6523,2.7178,2.9721379311047706,0.0755,-2.681110123698914,0.167,0.0272,0.0564,0.1464
2005-12-30,-0.08569628229363575,-0.10154900121672375,14.51,0.09391529009683457,0.0613,4.1709,0.3156,1420529000,19.8811,1.187,26.0838,3.4642,1.5148,2.5612,2.9687546004949557,0.0791,-3.7132686414708886,0.1478,0.0306,0.0557,0.1617
