date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,28.18,0.3948127676375011,0.3037,8.0086,0.3487,9136914120,16.5824,1.746,15.9457,3.4648,2.218,1.2966,8.479905749338986,0.1005,-10.83168329046306,0.252,0.0972,0.0736,0.2143
2003-06-30,0.06635911994322218,-0.08257154149069455,30.05,0.4533776635937736,-0.6498,9.2126,0.3799,9764086400,17.7206,1.8329,46.2752,3.2034,2.3439,1.382,9.75576667773821,0.0941,-10.89164368721686,0.2498,0.107,0.0707,0.1938
2003-09-30,0.030948419301164716,0.008916638179435624,30.98,0.45318589685488986,0.4139,9.2298,0.3787,10054620960,17.6396,1.8452,49.0469,3.2912,2.3489,1.3465,9.76872763988398,0.0922,-11.049076881362616,0.2637,0.106,0.0708,0.1867
2003-12-31,0.23305358295674636,0.11663433674159168,38.2,0.46601404656532613,0.5892,9.8704,0.3953,12456485200,21.2931,2.2192,57.1398,3.7942,2.6843,1.2972,10.265257745247387,0.0936,-10.95723214121428,0.2594,0.106,0.0714,0.1846
2004-03-31,-0.028272251308900664,-0.04112382015146244,37.12,0.494612046216067,0.2141,10.0551,0.4003,12063034880,19.4879,2.0773,63.8255,3.6181,2.5347,1.3911,10.661916986744906,0.0977,-10.80086406912553,0.2606,0.1071,0.0744,0.187
2004-06-30,0.07516163793103446,0.062171160675235794,39.91,0.5288654777770726,0.3475,10.2267,0.3963,12968155850,20.1368,2.1581,24.9868,3.8321,2.6297,1.4322,11.117620178099592,0.0992,-11.048363518857618,0.2582,0.1091,0.0763,0.1917
2004-09-30,0.0709095464795792,0.09392768272338001,42.74,0.5332626333533181,0.7351,10.7707,0.4119,13878703760,20.6836,2.2138,22.1704,3.8821,2.5705,0.9704,11.462873931252187,0.101,-10.861531639176654,0.2538,0.1057,0.0779,0.1928
2004-12-31,0.03299017313991569,-0.0543432544548014,44.15,0.5466131126747803,0.5586,11.5755,0.388,14287867150,20.499,2.1667,23.2323,3.7275,2.5991,0.9301,12.044834662677127,0.0978,-13.290237654540341,0.248,0.1013,0.0751,0.1881
2005-03-31,0.08403171007927522,0.10988331496156378,47.86,0.5915023857262891,0.4155,11.7451,0.3938,15481848520,21.2662,2.247,22.7339,3.9984,2.6555,0.9704,12.614976071608947,0.0962,-12.943533179589592,0.2577,0.1067,0.0738,0.1889
2005-06-30,-0.026326786460509777,-0.03542392479415003,46.6,0.6336828190092718,0.5821,12.2673,0.4071,15066618800,19.7724,2.0908,19.8768,3.7238,2.4769,1.0614,13.345497308409241,0.1006,-12.554203601407902,0.2527,0.1089,0.077,0.1924
2005-09-30,0.028540772532188802,-0.002919951130955608,47.93,0.32727966956874843,0.5606,12.4184,0.4024,15448030720,22.2915,2.0813,22.1001,3.7696,2.4581,1.0228,9.64876335182293,0.0912,-13.034278196981731,0.255,0.0571,0.0688,0.1701
2005-12-30,0.10494471103692887,0.08909199211384089,52.96,0.6500982742017309,0.2946,12.4673,0.3911,17071073440,23.5138,2.2297,27.9395,4.1596,2.5893,1.0659,13.628371752431548,0.0946,-13.197286087007777,0.2574,0.1059,0.0702,0.177
2006-03-31,0.04135196374622352,0.004036953134050149,55.15,0.6817293504179759,-0.0242,13.1255,0.408,17819902550,23.5712,2.2686,38.2401,4.1135,2.618,0.9898,14.325155389358034,0.0963,-13.09432806073342,0.2581,0.111,0.0716,0.1792
2006-06-30,-0.020852221214868516,-0.0018000815882337762,54.0,0.7487571238025948,0.3698,13.5564,0.4125,17407332000,21.9235,2.1726,43.9579,3.8925,2.4919,0.8941,15.260263312321591,0.0987,-13.280266039620546,0.2678,0.1189,0.074,0.1803
