date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,14.46,0.25773439345036603,0.1779,8.519,0.4433,18397602600,19.0097,1.1787,45.4261,1.7,1.768,0.7926,7.0305847668925265,0.0471,-9.23234117471371,0.2531,0.0861,0.04,0.0917
2003-06-30,0.5255878284923926,0.37665716705847585,22.06,0.3686105675146771,0.3063,9.1303,0.4648,28069144000,29.8227,1.7513,46.1435,2.4064,2.3083,0.7832,8.719051293672356,0.0444,-9.057607670543854,0.2561,0.11,0.038,0.0837
2003-09-30,0.06708975521305532,0.04505797409132623,23.54,0.4273224043715847,0.6032,9.0933,0.4616,29876026400,29.8193,1.8123,31.9495,2.5647,2.3367,0.7361,9.385258370209101,0.047,-9.176935926124365,0.275,0.1215,0.0398,0.0859
2003-12-31,0.05480033984706879,-0.06161890636808589,24.83,0.09840300610615313,0.1529,9.3799,0.4637,31335460000,21.2963,1.8281,19.7625,2.6152,2.3444,0.6859,4.578358212099576,0.0688,-9.485499207606972,0.1499,0.0275,0.0576,0.1245
2004-03-31,0.15062424486508266,0.13777267602252088,28.57,0.4010192081536652,0.566,9.6969,0.479,35981343700,21.7344,2.0282,17.2862,2.9091,2.4872,0.8812,9.40486324742166,0.0755,-8.84080640935041,0.2626,0.1162,0.064,0.1359
2004-06-30,-0.08995449772488626,-0.10294497498068492,26.0,0.46585173501577287,0.4417,9.986,0.497,32662240000,18.3981,1.7957,14.5152,2.5794,2.2388,1.1232,10.279587926850953,0.0808,-8.342673374514424,0.266,0.1249,0.0692,0.1418
2004-09-30,0.07807692307692313,0.10109505932072393,28.03,0.6136865342163356,0.7674,10.218,0.492,35239596300,17.5644,1.8936,14.3782,2.7189,2.277,0.985,11.933279543313667,0.0919,-8.32788476070028,0.2826,0.158,0.0774,0.1566
2004-12-31,0.14377452729218698,0.056441099697469896,32.06,0.31013250194855807,0.417,11.0689,0.5101,40712994000,17.8683,2.1895,14.5893,2.8668,2.5648,0.8117,8.852604126586936,0.1007,-8.48743995590204,0.2055,0.0876,0.0841,0.1677
2005-03-31,-0.028696194635059315,-0.0028445897527707605,31.14,0.5647013188518231,0.4271,11.3557,0.5374,39469950000,15.8202,2.0776,15.0694,2.6964,2.4355,1.048,12.108457960374773,0.1068,-7.730887573964497,0.2552,0.1515,0.0906,0.173
2005-06-30,-0.1088631984585742,-0.11796033679221446,27.75,0.41773647318264157,0.4665,11.3102,0.5322,34688887500,14.2482,1.7914,13.0827,2.4155,2.1117,0.989,10.352114650121377,0.1053,-7.662173513059478,0.2596,0.104,0.0898,0.1679
2005-09-30,0.20684684684684693,0.1753861231837025,33.49,0.5783265177728846,0.8578,11.4156,0.5213,42149509300,17.6239,2.1325,15.2219,2.9036,2.3881,0.9194,12.273572491539705,0.1051,-7.56858974868303,0.2758,0.138,0.0872,0.1656
2005-12-30,0.006867721707972435,-0.008984997215115555,33.72,0.48152251325472817,0.3925,11.9855,0.505,42595104000,16.3688,2.228,15.6026,2.8122,2.4725,1.5139,11.412973962060722,0.1087,-6.826868271057632,0.3006,0.1563,0.0899,0.1754
2006-03-31,0.018979833926453162,-0.018335176685720208,34.36,0.4918974197608559,0.2561,11.9312,0.5123,42815308800,17.1288,2.2266,17.0919,2.8229,2.4818,1.425,11.569416402802833,0.0992,-7.355868002054443,0.2476,0.1272,0.0838,0.1649
2006-06-30,-0.02211874272409773,-0.00306660309746299,33.6,0.668349358974359,0.3984,12.531,0.5252,41204688000,14.6986,2.113,17.098,2.6347,2.3725,1.3533,13.798825537988218,0.1116,-7.561830828569797,0.268,0.1554,0.0944,0.1819
2006-09-29,0.16428571428571417,0.11260091902690915,39.12,0.6769687725776672,0.8791,12.4639,0.5036,48381660000,16.6191,2.4588,20.0404,3.1161,2.6767,1.2752,13.863922626636615,0.1167,-7.654901960784314,0.2895,0.1532,0.096,0.1868
2006-12-29,0.13317995910020453,0.07145890153457271,44.33,0.9997584152037365,0.5488,12.4483,0.5335,53360021000,15.0555,2.5134,20.5262,3.4518,2.8084,1.7591,16.904105655325562,0.1459,-6.915344354905708,0.2587,0.2279,0.1185,0.2287
2007-03-30,0.016241822693435572,0.014436889720647017,45.05,0.6237421255011045,0.425,12.8994,0.5349,53784294000,14.6101,2.489,19.2533,3.4111,2.7556,1.2659,13.572498306859734,0.1519,-8.231229269273294,0.2805,0.144,0.1259,0.2357
2007-06-29,0.12674805771365152,0.06869167560365456,50.76,-0.5962134539666583,0.5603,12.6377,0.5202,60494245200,28.3279,2.7397,20.402,4.01,2.9998,1.2716,,0.0892,-8.011445161398592,0.016,-0.1218,0.073,0.1384
2007-09-28,0.07308904649330183,0.05752379236480642,54.47,0.8874161212824124,0.9784,12.3998,0.5044,64424937200,27.2594,2.866,21.116,4.3042,3.0748,1.0558,15.880885190390986,0.1028,-8.67564002840813,0.3055,0.1815,0.0805,0.1572
2007-12-31,0.08151275931705522,0.11975740621303524,58.91,1.0625052157222732,0.4674,12.7512,0.5198,67843112400,28.3257,2.9773,23.157,4.44,3.2111,0.7962,17.64229389116765,0.1012,-9.143482338230697,0.5877,0.2212,0.0811,0.1583
2008-03-31,-0.05330164657952799,0.04589748417369313,55.77,0.8118939328928173,0.9211,12.3695,0.4661,63216968100,24.5141,2.7356,18.147,4.3857,3.0611,1.1743,15.160703360737706,0.1016,-10.74713505597558,0.3148,0.1685,0.0855,0.1736
2008-06-30,0.0080688542227003,0.04035127105808617,56.22,1.036298746518106,0.6789,12.7277,0.479,63229509600,14.1105,2.7085,17.5896,4.3243,3.0553,1.2836,17.378135833163338,0.1729,-10.684283529537291,0.324,0.1959,0.1458,0.3086
2008-09-30,0.09747420846673789,0.1862554699108297,61.7,1.0486795774647888,1.0312,11.489,0.4639,68767118000,14.9457,2.9002,19.1813,5.2688,3.2533,0.9801,16.607112700146203,0.1892,-11.01010282268918,0.3406,0.19,0.1568,0.3325
2008-12-31,0.007941653160453725,0.23352379645753904,62.19,0.8697916666666666,0.6679,11.8137,0.4702,69256027800,16.0567,2.9442,18.3144,5.175,3.2895,1.386,15.322642966276597,0.1853,-10.381728058044935,0.3207,0.177,0.1524,0.3263
2009-03-31,-0.12252773757838877,-0.005860142911560645,54.57,0.8711312700106724,0.6376,11.2798,0.456,60203806800,13.8507,2.6192,17.5772,4.7467,2.9865,1.5592,14.967902821077214,0.186,-10.584369674776115,0.3316,0.1929,0.1544,0.3335
2009-06-30,0.05350925416895733,-0.0987085419009315,57.49,0.9840741407234119,0.8868,11.917,0.4534,62741711500,14.7634,2.7814,17.2804,4.7371,3.1508,1.2649,16.347868858990402,0.1794,-11.330462271498602,0.3518,0.1936,0.149,0.3278
2009-09-30,-0.0073056183684119275,-0.1571554504540141,57.07,1.1482425787652522,1.2305,12.0101,0.4385,61589373300,14.2584,2.7573,16.1622,4.6695,3.1359,1.0176,17.725860857897057,0.178,-12.305525440376579,0.3709,0.2085,0.1457,0.3268
2009-12-31,0.09409497108813733,0.03920790299179707,62.44,1.1114358786993057,0.6803,12.8186,0.4643,67229148000,14.7723,2.9558,17.697,4.7904,3.3411,1.143,18.047311650742486,0.1861,-11.864679112101793,0.3485,0.2037,0.1509,0.3343
2010-03-31,0.06854580397181297,0.01982364513896763,66.72,0.9997247958902853,0.9365,12.95,0.4733,71777376000,15.3985,3.0835,17.4947,5.0845,3.4476,1.3514,17.178823173121692,0.1893,-11.37432608291504,0.3605,0.1942,0.1552,0.3311
2010-06-30,-0.012739808153477134,0.1058821584474656,65.87,1.1288332258955704,0.7866,12.093,0.4579,70108075800,14.6259,2.9737,17.6536,5.3388,3.3396,1.2259,17.638044988166076,0.1981,-11.628896781103782,0.3639,0.2061,0.1638,0.3518
