date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,9.27,0.5816412175533431,0.4563,7.2812,0.498,1172608650,9.8268,1.0076,10.5314,1.24,1.0886,5.1255,9.912567601318994,0.0803,-1.1242420649037512,0.3716,0.2243,0.0641,0.129
2003-06-30,0.1521035598705502,0.003172898436633459,10.68,0.38254092330329226,0.1878,6.9748,0.428,1350966600,8.7969,1.0299,8.3925,1.4843,1.3772,3.3679,7.850333387152773,0.0962,-4.2274398197557215,0.2707,0.1343,0.0763,0.1655
2003-09-30,-0.1226591760299626,-0.1446909571516917,9.37,-0.07759394208756468,0.1681,7.5291,0.4244,1120164760,13.0527,0.8264,7.4023,1.2476,1.1545,3.869,,0.051,-4.595518118245391,0.2396,-0.0272,0.0404,0.0949
2003-12-31,0.19850586979722534,0.08208662358207067,11.23,-0.8828880045480386,0.1186,6.5509,0.3763,1347689840,127.1885,0.9754,11.4197,1.7199,1.3143,3.0755,,0.0065,-5.398898406772882,0.6803,-0.3168,0.005,0.0126
2004-03-31,-0.0026714158504008135,-0.01552298469296259,11.2,0.37918721305900355,0.1602,6.8177,0.4349,1344089600,-74.218,0.9347,17.1121,1.5963,1.2441,2.7068,7.699716368090892,-0.0119,-4.5721701886540895,0.2375,0.1191,-0.009,-0.0222
2004-06-30,0.1839285714285715,0.17093809417277284,13.26,0.4215393530628506,0.3553,7.1251,0.4414,1591306080,-101.6679,1.0761,16.2063,1.7975,1.3456,2.7338,8.265065816435227,-0.0106,-4.561020931937871,0.2288,0.127,-0.0079,-0.0181
2004-09-30,0.136500754147813,0.15951889039161382,15.07,0.5775466156018241,0.228,7.3588,0.4481,1807676640,27.9052,1.1532,17.0147,1.9932,1.2739,1.2874,9.843934621961605,0.0428,-4.532304588502067,0.2935,0.1659,0.0321,0.0722
2004-12-31,0.2116788321167884,0.12434540452207131,18.26,0.5429210121880059,0.6948,7.8013,0.4467,2197390140,9.2934,1.2779,12.4431,2.3148,1.3598,1.3262,9.815849289117914,0.1529,-4.26908151139697,0.2487,0.136,0.1139,0.2547
2005-03-31,0.06407447973713024,0.08992608461941878,19.43,0.6268664099794705,0.6031,8.228,0.466,2321127230,8.7376,1.3152,10.0938,2.3258,1.3682,1.4943,10.832062041477657,0.1664,-3.890466344664786,0.3073,0.1734,0.1245,0.2728
2005-06-30,-0.15234173957797226,-0.16143887791161252,16.47,0.5291412332475743,0.6134,8.4931,0.4683,1937333160,7.014,1.0985,7.4869,1.9178,1.1427,1.4877,10.079747946867679,0.17,-4.013797735233108,0.291,0.1531,0.1285,0.275
2005-09-30,-0.09714632665452336,-0.12860705031766778,14.87,-0.18542567314565817,0.1065,8.1791,0.4748,1734213750,9.4642,1.0298,7.1313,1.8043,1.2327,2.8064,,0.1181,-4.453084673097535,0.1149,-0.0623,0.0876,0.1859
2005-12-30,0.26025554808338935,0.24440282916030137,18.74,0.4199614396998176,0.7456,8.2093,0.4508,2129707300,12.8487,1.2844,8.6968,2.2429,1.4823,2.3494,8.823116657192063,0.1132,-4.819015354833033,0.2526,0.1056,0.0802,0.1735
