date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2020-03-31,,,0.0,0.02794877751321215,0.0452,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,33.8461,0.0,0.189,0.0929,0.1512,-0.8545
2020-06-30,,,0.0,-0.9072971717289041,-0.0827,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.2222,-2.0562,0.0,0.0
2020-09-30,,,0.0,0.09381032702458296,-0.0476,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.4469,0.3565,0.0,0.0
2020-12-31,inf,inf,32.17,0.30259376843056307,-0.1139,10.7148,0.7948,5492062400,-251.6408,40.8909,-287.6479,6.4319,37.3594,13.0291,8.54108971235787,-0.0472,1.99529053420806,0.2332,0.5717,-0.0406,-0.0511
2021-03-31,0.11750077712154183,0.05977559620832863,35.95,0.0898900841517073,-0.0548,4.8804,0.4909,6138318700,-804.3924,35.3667,-191.5411,7.0139,32.5366,16.9926,3.2370068845586553,-0.006,1.9429562039520691,0.4645,0.2687,-0.0053,-0.0088
2021-06-30,0.025312934631432447,-0.05639335882217897,36.86,0.14065007817920122,0.0685,4.6939,0.4987,6551791280,79.8745,30.2918,-499.984,7.2265,27.8705,13.8016,4.076172163271211,0.0507,1.883458604316223,0.5599,0.3715,0.0455,0.092
2021-09-30,-0.12561041779707008,-0.12794666888782052,32.23,0.22132339621664984,-0.0995,4.9385,0.5159,5728818040,52.0035,20.8304,-229.9714,6.0038,18.993,17.7419,5.195171900292719,0.067,2.0269538897765376,0.6119,0.4286,0.06,0.1184
2021-12-31,0.4092460440583309,0.30277224867636876,45.42,0.2532280908517611,-0.0307,5.2142,0.5338,8076448140,59.8091,24.3301,-370.9216,8.0065,22.8107,21.4434,5.712128860405679,0.0803,2.2262944487872365,0.6224,0.4942,0.0722,0.1375
2022-03-31,0.26243945398502866,0.3119067445271038,57.34,0.44214688097576105,0.3413,5.6352,0.5486,10179340840,49.7842,23.2278,188.1474,9.3356,21.9557,25.5254,7.842659346917361,0.1179,2.363772067190158,0.7234,0.5145,0.1054,0.1948
2022-06-30,-0.44053017091035934,-0.2760792166386624,32.08,0.3788175684409172,0.1615,6.0529,0.5571,5695290720,22.7291,11.1961,78.9904,4.8647,10.0413,20.392,7.518415797780991,0.1386,2.3565626865839784,0.7046,0.5103,0.1225,0.2216
2022-09-30,-0.14900249376558597,-0.09623110177610342,27.3,0.32664805335815106,0.0145,6.4231,0.5674,4846705500,17.8854,9.0868,51.4818,3.9013,7.9869,18.1518,7.191452550875709,0.1438,2.3089813276255384,0.653,0.5076,0.1263,0.2246
