date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2009-09-30,,,0.0,0.2346368715083799,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1172,0.0,0.1358,0.0135,0.0739,0.1504
2009-12-31,,,0.0,-0.07262569832402235,0.1145,12.81,0.4315,0,0.0,0.0,0.0,0.0,0.0299,1.1902,,-0.0353,-5.840782122905028,0.0996,-0.0038,-0.0195,-0.0453
2010-03-31,,,0.0,-0.4036312849162011,-0.6787,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1961,0.0,0.0756,-0.0215,-0.1087,-0.252
2010-06-30,,,0.0,0.5656424581005587,0.2053,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0561,0.0256,0.0,0.0
2010-09-30,,,0.0,0.38687150837988826,-0.4078,11.8505,0.3862,0,0.0,0.0,0.0,0.0,-0.002,0.8109,10.184963667175518,0.0555,-7.0139664804469275,0.0414,0.0174,0.031,0.0803
2010-12-31,,,0.0,0.32122905027932963,2.2779,11.5139,0.3548,0,0.0,0.0,0.0,0.0,0.0113,1.1665,9.14800528542956,0.051,-6.926966292134831,0.0312,0.0132,0.0275,0.0744
2011-03-31,,,0.0,0.7388268156424581,0.9385,12.6201,0.38,0,0.0,0.0,0.0,0.0,0.0041,1.2774,14.524811213938781,0.1176,-5.844101123595506,0.0574,0.0296,0.0613,0.1667
2011-06-30,inf,inf,20.7,1.1201117318435754,-0.331,12.5377,0.3746,14738400000,8.0187,0.2048,8.308,1.6417,0.2276,1.2297,17.825732429757362,0.1493,-6.283707865168539,0.0734,0.0386,0.0769,0.204
2011-09-30,-0.3463768115942029,-0.20309781913273603,13.53,1.5868347338935573,1.9495,14.0742,0.3983,9660420000,3.5859,0.1259,2.7936,0.9613,0.1302,1.3549,22.44802184360598,0.2104,-4.911764705882353,0.0955,0.0548,0.1095,0.2831
2011-12-30,0.23059866962305983,0.11907516222555084,16.65,-0.10533707865168539,0.4171,13.3497,0.3691,11888100000,4.9761,0.1511,5.597,1.2507,0.1538,1.2512,,0.1826,-5.936974789915967,0.0026,-0.0038,0.0937,0.2443
2012-03-30,0.3021021021021022,0.18213550060237288,21.68,0.8514285714285714,0.0542,13.1657,0.3641,14742400000,6.0026,0.1819,9.8942,1.5996,0.1954,1.2585,15.926918089435452,0.1937,-6.632352941176471,0.0583,0.0294,0.0962,0.2623
2012-06-29,0.03597785977859784,0.06885746494356917,22.46,1.1935483870967742,-0.0835,15.1407,0.4183,15272800000,6.1883,0.1897,9.1453,1.479,0.2073,1.4146,20.19398281448622,0.1884,-5.366176470588235,0.0757,0.0402,0.0987,0.2525
