date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,50.13,0.7561115777375006,0.6128,10.1384,0.4684,112447605600,15.5423,3.7652,15.9835,4.903,3.7731,1.1351,13.185128271620988,0.1971,-4.742679838795962,0.4418,0.3069,0.1499,0.3141
2003-06-30,0.10654298823060031,-0.04238767320331642,55.471,0.8257043032152492,0.5121,10.4589,0.4728,124277783110,16.9057,5.5037,17.318,5.2551,5.4894,1.1857,14.000602954389636,0.1969,-4.488598069103423,0.446,0.3378,0.1485,0.3156
2003-09-30,-0.1298516341872329,-0.151883415308962,48.268,0.8244820089622432,1.3823,8.5994,0.455,107728866520,14.706,4.7009,13.9019,5.5581,4.6619,1.1967,12.677985646354589,0.2064,-4.115615016869111,0.4799,0.3225,0.1582,0.3404
2003-12-31,-0.0873249357752549,-0.20374418199040956,44.053,0.6240551057834235,1.0226,8.7183,0.4802,97875193280,14.3283,4.3527,12.3167,5.0214,4.3937,1.2045,11.091484331570982,0.2157,-4.306810816649863,0.3876,0.2479,0.1642,0.3514
2004-03-31,-0.04351576510112806,-0.05636733394368984,42.136,0.72501679731243,0.6679,9.0523,0.485,93650209520,13.8965,4.1538,11.6316,4.6339,4.137,1.2814,12.178949824935543,0.2201,-3.821926868445088,0.3948,0.2874,0.1638,0.3394
2004-06-30,0.07492405543952906,0.06193357818373039,45.293,0.7928344020447513,0.8622,9.3638,0.4989,100554989300,15.1433,4.364,11.4057,4.8153,4.3083,1.3725,12.949629763996308,0.2127,-3.4610603125985318,0.4331,0.2936,0.159,0.3231
2004-09-30,-0.30527896142891836,-0.2822608251851176,31.466,0.5954541370946007,0.812,9.5448,0.4956,69758548700,11.4217,3.0572,9.2909,3.2829,2.9449,1.2845,11.3279469521225,0.1933,-3.5026951442296848,0.3345,0.2393,0.1441,0.2899
2004-12-31,-0.026059874149876063,-0.11339330174459315,30.646,0.5041721167290605,0.8349,8.8832,0.4626,67685981440,11.6097,2.9463,9.5696,3.4366,2.8419,1.1474,10.045672870950252,0.1919,-4.257144668212113,0.2637,0.1933,0.1364,0.2847
2005-03-31,0.0071787508973438245,0.03303035577963238,30.866,0.619842562432139,0.4506,9.0865,0.4658,68071876400,12.1957,2.9982,10.3484,3.3891,2.8316,1.4455,11.265354531672141,0.1899,-3.297406366192074,0.3764,0.2555,0.1302,0.2806
2005-06-30,-0.04849996760189205,-0.0575971059355323,29.369,0.32663977154254115,0.6606,8.9721,0.4602,64554824140,14.2376,2.9144,10.5611,3.2614,2.5822,1.7089,8.128239786033442,0.1532,-1.8577745830414092,0.3665,0.1317,0.1052,0.2273
2005-09-30,-0.11658551533930334,-0.14804623900244773,25.945,0.6467455621301775,0.862,9.2017,0.4612,56811247600,12.2718,2.579,9.165,2.8101,2.1748,1.6497,11.57947153746904,0.156,-1.6210131160717547,0.3538,0.2623,0.1066,0.2314
2005-12-30,0.1690884563499711,0.15323573742688312,30.332,0.5115822177548316,0.8489,9.3137,0.4545,66181997440,14.2901,3.0066,10.6645,3.2466,2.529,1.5895,10.362097819190792,0.1521,-1.56357703307179,0.2836,0.1941,0.1044,0.2281
2006-03-31,0.10751022022946073,0.07019520961728737,33.593,0.6939055010271628,0.5063,9.7155,0.4901,73389283380,15.3495,3.3268,11.6144,3.4484,2.9806,1.5941,12.33358945824768,0.1559,-1.887799474517774,0.3758,0.2809,0.1083,0.2294
2006-06-30,0.03405471377965642,0.05310685340629116,34.737,0.6899998573334518,0.8919,9.9896,0.4992,75651975450,13.6067,3.3828,11.1262,3.4852,3.1276,1.513,12.45345365484654,0.1822,-2.700874715889524,0.3393,0.2597,0.1279,0.2586
2006-09-29,0.15015689322624293,0.0984720979674379,39.953,0.4303426819783136,0.5751,9.9383,0.4968,86800289680,17.088,3.8823,14.085,3.9959,3.6901,1.3656,9.83332062834365,0.1673,-3.1173362300695953,0.2058,0.1738,0.1165,0.2339
2006-12-29,0.04057267289064639,-0.021148384674985428,41.574,0.21685809728641375,0.6775,9.1364,0.4479,90123701460,20.3265,3.9814,15.5788,4.5139,3.8417,1.197,6.700115548393673,0.1494,-4.324127337057556,0.1405,0.0784,0.1004,0.2127
2007-03-30,0.013061047770240999,0.011256114797452444,42.117,0.78,-0.7,9.5718,0.4864,91278910590,19.7654,3.9694,29.0124,4.3643,4.0341,1.4936,13.043723664305483,0.1564,-4.769271941197912,0.3314,0.2954,0.1054,0.2259
2007-06-29,0.12747821544744403,0.06942183333744707,47.486,0.7699999494750689,1.2318,10.0499,0.4952,102999983160,21.4798,4.4139,26.4774,4.7074,4.3551,1.2095,13.19524558601179,0.1587,-4.548929029164707,0.3182,0.2743,0.11,0.2241
2007-09-28,0.037948026786842434,0.022382772658347018,49.288,0.6999999082268229,1.2722,10.627,0.5067,107278782160,19.9399,4.4701,19.8454,4.6322,4.3235,1.3481,12.937357846807247,0.1734,-3.8490377061155856,0.2721,0.2511,0.1197,0.2389
2007-12-31,0.12418844343450744,0.16243309033048747,55.409,-0.7410948427814709,0.9374,9.3569,0.4258,120376052500,36.7526,4.9746,20.1022,5.8459,4.7963,1.2273,,0.1088,-5.8521979286536245,0.3357,-0.2612,0.0696,0.1497
2008-03-31,-0.3469291992275623,-0.2477300684743412,36.186,1.5287691524325324,1.0123,10.1647,0.4668,77674334580,15.9377,3.2029,8.0037,3.5372,2.9886,1.74,18.69861747787645,0.1694,-3.743343908540761,0.3508,0.5672,0.1021,0.229
2008-06-30,-0.006853479246117215,0.02542893758926865,35.938,0.8217389283888656,0.5062,10.533,0.4776,76996086860,15.5062,3.1828,9.4915,3.3969,2.9325,1.8102,13.979197777624632,0.1683,-3.359907023202192,0.319,0.2921,0.105,0.2225
2008-09-30,-0.16264121542656804,-0.07385995398247625,30.093,0.5123552304590425,0.6425,10.3205,0.4534,63622319670,14.0362,2.6442,9.4821,2.8905,2.5236,1.3458,10.918306266707086,0.1472,-3.366064544813853,0.329,0.1838,0.0944,0.2029
2008-12-31,-0.03675273319376605,0.18882941010331927,28.987,0.7790411218495357,0.2972,10.0279,0.4484,61096189770,7.8248,2.5616,11.5844,2.8863,2.4969,1.3347,13.257952160133426,0.2551,-3.281286324968805,0.2962,0.2726,0.1631,0.3616
2009-03-31,-0.12005381722841263,-0.0033862225615845093,25.507,0.6756116062962261,0.2263,10.4312,0.4727,53785845690,9.0695,2.2972,15.0888,2.4446,1.9281,1.9517,12.596237061198172,0.1944,0.779164117666586,0.304,0.2646,0.1265,0.2747
2009-06-30,0.04524248245579644,-0.10697531361409239,26.661,0.7375829383886255,0.1818,10.7757,0.4601,56224316460,9.8321,2.417,19.6657,2.4728,2.0408,2.5405,13.376831751983378,0.1706,1.2156330908642585,0.3238,0.2637,0.1191,0.2556
2009-09-30,0.13124038858257375,-0.018609443503028428,30.16,1.6200501490277712,-0.2911,11.9928,0.52,63612868800,7.9022,2.7223,72.8419,2.5094,2.121,3.6967,20.930946696453702,0.2214,2.9768440815862087,0.3361,0.566,0.164,0.3348
2009-12-31,0.1552387267904509,0.10035165869411064,34.842,2.352510687631331,0.6104,22.2755,0.5474,108296601240,8.3957,3.9483,56.0831,1.7613,4.185,1.8177,34.42320207065837,0.2181,-7.205731897999498,0.1006,0.6433,0.1601,0.297
2010-03-31,0.02215716663796563,-0.026564992194879705,35.614,0.09519261381725565,0.3256,19.2114,0.5407,111031630960,9.431,3.3178,44.834,1.84,3.4823,1.7164,6.442390658664214,0.1441,-7.379203500083396,0.2293,0.0261,0.1051,0.1932
2010-06-30,-0.06371090020778342,0.05491106639315932,33.345,0.24064,0.9561,18.453,0.5431,102745948500,9.3671,2.6405,20.2227,1.7817,2.7405,1.7025,10.027735450283357,0.1371,-7.221367604582482,0.2988,0.0662,0.1007,0.1858
2010-09-30,0.05260158944369464,-0.05459635607133359,35.099,0.1102514506769826,0.7266,0.0,0.0,108102112080,13.7074,2.4576,13.5975,0.0,2.4576,0.0,0.0,0.202,0.0,0.2966,0.0307,0.1485,0.2735
2010-12-31,-0.02091227670303982,-0.12294528446560812,34.365,-0.17100610736097718,0.9254,18.2594,0.537,105916710150,123.0159,2.3031,11.5831,1.8645,2.3745,1.8581,,0.0223,-6.4605091966217945,0.1178,-0.0439,0.0162,0.0303
2011-03-31,-0.08406809253601055,-0.13828864898459964,31.476,0.33601804123711343,0.45,18.3115,0.5369,97112588040,60.5062,2.1045,10.203,1.7085,2.1611,1.9808,11.766153710858598,0.0208,-5.834783764249066,0.348,0.09,0.0151,0.0282
2011-06-30,0.0690684966323548,0.0729829815801032,33.65,0.6508038585209003,0.7996,18.6244,0.5454,103743286500,36.0595,2.2096,11.5052,1.791,2.248,2.0534,16.578288669736377,0.0369,-5.158919367760728,0.3533,0.1665,0.0271,0.0501
2011-09-30,-0.07340267459138185,0.06987631787008504,31.18,0.5473956648333873,1.3413,18.6334,0.5406,95159801000,22.5123,1.9888,8.723,1.6521,1.9912,2.0556,15.200865074817331,0.0538,-4.8588607283867695,0.3559,0.1407,0.0397,0.0731
2011-12-30,0.1529185375240539,0.04139503012654491,35.948,0.49250814332247556,0.8566,18.5482,0.5416,109312116320,17.4313,2.2751,10.2544,1.9196,2.2866,2.0425,14.39069645306759,0.0808,-4.934162928664448,0.3136,0.1229,0.0592,0.1094
2012-03-30,0.018554578836096628,-0.10141202266363271,36.615,0.5653871177618738,0.593,18.6447,0.5432,111382097700,15.9893,2.3109,10.047,1.9433,2.3039,2.0711,15.478998880496931,0.0899,-4.553284373993255,0.3876,0.1481,0.0661,0.1219
2012-06-29,0.08725931995083983,0.12013892511581117,39.81,0.5836588541666666,0.8102,18.7737,0.5465,120979007100,17.9627,2.5017,10.9108,2.0976,2.4522,2.1073,15.781494583083571,0.0857,-4.018875188801248,0.3727,0.1456,0.0638,0.1171
2012-09-28,0.08010550113036925,0.022469094397217032,42.999,0.5615459564793764,0.885,18.9061,0.5476,130906155600,19.3305,2.7372,13.5415,2.2487,2.7258,2.3249,15.541612717542183,0.0849,-3.895677309157798,0.3562,0.1505,0.0639,0.1168
2012-12-31,-0.09214167771343527,-0.082090727740596,39.037,0.2951513179303612,0.3355,18.0484,0.5225,118150945680,19.1585,2.4996,14.6443,2.1302,2.502,1.8997,11.01627854952501,0.0776,-5.224275103745407,0.3087,0.0772,0.058,0.1085
2013-03-29,0.07964239055255275,-0.020624758898101295,42.146,0.5217818539141827,0.6518,18.2135,0.5235,127170497480,21.1176,2.7521,15.4426,2.2869,2.7536,1.8744,14.697674394639913,0.0764,-5.087194851162266,0.3272,0.1492,0.0567,0.1084
2013-06-28,0.050894509561998674,0.027258054272598697,44.291,0.3009966777408638,0.6395,16.6461,0.4688,129616282770,25.2417,2.8863,16.8969,2.5868,2.9849,2.0103,10.676334942911579,0.0642,-6.757629499021005,0.2851,0.0822,0.0481,0.0971
2013-09-30,0.024948635162900003,-0.021911201327875718,45.396,0.37972972972972974,1.2141,16.8939,0.4698,132856387560,29.3281,2.9888,15.5569,2.6568,3.0896,2.0732,12.081699038503926,0.0566,-6.371877359812206,0.3779,0.1018,0.0424,0.0904
