date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-09-30,,,27.8,0.2401469912723932,0.2992,6.1258,0.7911,300379000000,37.0655,9.1982,24.7205,4.5047,7.6174,4.0343,5.7728799173381,0.1231,4.00823692734845,0.4231,0.3181,0.0976,0.1231
2003-12-31,-0.015467625899280565,-0.13188687211443523,27.37,0.14212313056243692,0.4038,6.3623,0.8069,295294930000,37.9166,8.6172,20.9994,4.2584,7.077,4.4805,4.529092521720579,0.1145,4.245620539438317,0.1748,0.1525,0.0915,0.1145
2004-03-31,-0.08914870295944469,-0.10200027180200646,24.93,0.12113117170228445,0.4381,6.5014,0.7862,268670610000,38.5965,7.5452,18.1142,3.8066,5.9611,4.0834,4.223256938135265,0.0994,4.276050849030343,0.1664,0.1433,0.0792,0.0994
2004-06-30,0.15523465703971123,0.14224417978391257,28.8,0.2472653736556669,0.1012,6.8779,0.7929,312825600000,38.2989,8.4926,23.1431,4.1807,6.8476,4.7141,6.201566939982707,0.1123,4.697385380224636,0.3704,0.2894,0.0887,0.1123
2004-09-30,-0.0350694444444445,-0.0120513082006437,27.79,0.2315018315018315,0.351,6.9547,0.8056,301938350000,37.3593,7.9858,21.4231,3.9756,6.2821,4.6104,6.031763435864655,0.1072,5.022917625402669,0.4001,0.2751,0.0856,0.1072
2004-12-31,-0.038503058654192165,-0.12583648624890925,26.72,0.3160825118656444,0.3142,4.311,0.7273,290718944000,29.0835,7.5562,22.1331,6.1551,6.6594,2.951,5.557147856200135,0.1623,2.453079906619364,0.4489,0.3201,0.1255,0.1623
2005-03-31,-0.09543413173652684,-0.0695825268542383,24.17,0.234470771201171,0.4391,4.3338,0.7147,261142348000,23.225,6.7098,19.8165,5.5124,5.7439,2.8869,4.798053403302558,0.2377,2.5629373218318463,0.3753,0.2664,0.1713,0.2377
2005-06-30,0.02772031443938759,0.01862317610574734,24.84,0.3418961374976899,0.3433,4.446,0.6794,266036400000,21.7101,6.6863,16.8452,5.5291,5.7375,2.8877,5.868036665872924,0.2566,2.4310924369747897,0.3219,0.3641,0.1787,0.2566
2005-09-30,0.035829307568438024,0.004368583905293613,25.73,0.2915893056071296,0.3821,4.4863,0.6762,273888131000,21.286,6.7894,17.0381,5.6673,5.7965,2.9274,5.444508572215855,0.2668,2.5079147369113266,0.4393,0.3224,0.1808,0.2668
2005-12-30,0.01632335794792064,0.0004706390248326517,26.15,0.343391614965219,0.1798,4.1556,0.6572,271541600000,20.7966,6.5654,18.669,6.1423,5.7264,2.7882,5.687232785930574,0.2822,2.2770608628659477,0.4129,0.3086,0.1882,0.2822
2006-03-31,0.04053537284894847,0.003220362236775097,27.21,0.285837734037446,0.4091,4.0362,0.6288,278222250000,20.6534,6.525,19.8645,6.6183,5.7085,2.5386,5.122537725550155,0.3123,2.1332029339853302,0.3729,0.2731,0.2008,0.3123
2006-06-30,-0.14369717015803013,-0.12464503053139539,23.3,0.27609098896807577,0.2475,3.9152,0.5762,234444600000,18.6081,5.2943,18.2788,5.8459,4.5229,2.1838,4.944725149232518,0.3067,1.93967402106937,0.3508,0.2395,0.1846,0.3067
2006-09-29,0.1738197424892704,0.12213494723046538,27.35,0.34745254745254744,0.3646,3.6064,0.5523,268577000000,20.7619,5.922,21.7295,7.4396,5.2201,2.0643,5.331387381254895,0.3395,1.640020366598778,0.4368,0.3217,0.1917,0.3395
2006-12-29,0.0917733089579524,0.03005225139232058,29.86,0.26413196539931605,0.1478,3.6847,0.5519,291941220000,24.5143,6.3386,24.4978,7.9691,5.7117,2.0337,4.7118748046817736,0.3274,1.5795233711772527,0.3059,0.2093,0.1808,0.3274
2007-03-30,-0.06664434025452105,-0.0684492732273096,27.87,0.4994930034475766,0.6925,3.5462,0.5473,266626994700,19.2399,5.3804,18.4058,7.6237,4.8106,1.9782,6.357337537487898,0.387,1.4492814219159782,0.4885,0.3421,0.2127,0.387
2007-06-29,0.05740940078937918,-0.0006469813206177802,29.47,0.31356545097634053,0.37,3.2128,0.4922,276295690300,19.6442,5.4046,17.7888,8.8849,4.9466,1.6909,4.804369394772932,0.4257,0.8633148774090741,0.3203,0.2269,0.2213,0.4257
2007-09-28,-0.0003393281303019345,-0.015904582258797352,29.46,0.4508567223799012,0.5642,3.378,0.4895,275611262400,18.5272,5.097,15.9774,8.5766,4.698,1.5763,5.89518835454879,0.4705,0.2504425232805726,0.4616,0.3116,0.2309,0.4705
2007-12-31,0.20841819416157503,0.24666284105755504,35.6,0.4953172682310849,0.4074,3.6231,0.5113,332112400000,19.5855,5.7361,16.8996,9.6457,5.3721,1.7125,6.402393988359463,0.5094,0.5217065065923464,0.4253,0.2875,0.255,0.5094
2008-03-31,-0.20280898876404502,-0.1036098580108239,28.38,0.46542214679677557,0.6706,3.9832,0.5308,264311170200,16.0978,4.5607,13.8057,7.0381,4.1061,1.535,6.500335437782895,0.4561,0.8907700715858735,0.3418,0.3035,0.2378,0.4561
2008-06-30,-0.03065539112050731,0.0016270257148785564,27.51,0.45693321990642277,0.3048,3.8585,0.4984,251744010000,14.2381,4.1665,13.6594,6.9377,3.7749,1.4468,6.345421508697725,0.4789,0.7359851382362583,0.3833,0.2713,0.2463,0.4789
2008-09-30,-0.02980734278444203,0.058973918659649766,26.69,0.47620603288685615,0.2822,3.6582,0.5159,237422763300,13.3646,3.8468,15.1669,7.0674,3.511,1.5257,6.294716245311048,0.4944,0.638407656844924,0.4371,0.2903,0.2576,0.5084
