date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,5.07,-0.18211460660588127,-0.1062,9.495,0.4606,83974410,-2.4139,0.2193,9.3627,0.534,0.3181,2.1516,,-0.1566,-1.0735977781802815,0.0307,-0.0303,-0.1028,-0.2199
2003-06-30,0.6469428007889545,0.49801213935503774,8.35,0.0022236913276038224,0.3441,9.2754,0.4689,138301050,-4.2292,0.3603,12.6336,0.8961,0.3886,1.6444,0.6827928174168425,-0.151,-1.054579484392924,0.059,0.0003,-0.0975,-0.2099
2003-09-30,0.22754491017964076,0.20551312905791166,10.25,-0.1847491396486144,0.5662,9.2734,0.4748,169781000,-5.1675,0.4415,10.8078,1.1053,0.4607,1.6987,,-0.1578,-0.8878893986959672,0.0318,-0.0324,-0.1006,-0.2133
2003-12-31,0.4936585365853659,0.3772392903702112,15.31,-0.4338927795218546,-2.7164,9.273,0.4133,254528750,-19.2445,0.6346,-8.0419,1.657,0.8358,2.249,,-0.0577,-3.892451127819549,-0.0064,-0.068,-0.038,-0.0861
2004-03-31,0.32397126061397774,0.31111969177141596,20.27,0.22107060832695366,-0.6171,9.4384,0.4136,339806280,-52.6341,0.795,-8.4172,2.1201,0.9798,2.1967,6.926042285213582,-0.0247,-3.1824146981627295,0.0939,0.0298,-0.017,-0.0411
2004-06-30,-0.04538727183029098,-0.05837774908608965,19.35,0.383640822045773,0.5005,9.8289,0.4303,366566400,4699.5692,0.807,-9.7693,2.1774,0.9572,2.2542,9.326876172705187,0.0002,-2.0506228885135136,0.1247,0.051,0.0002,0.0004
2004-09-30,0.07028423772609815,0.09330237396989896,20.71,0.1776891604951059,0.4469,10.9301,0.5203,392330240,59.7244,0.8075,-10.2513,1.8589,0.871,2.7243,6.675104916841552,0.0236,0.44177576013513514,0.0905,0.0272,0.0164,0.0346
2004-12-31,-0.10671173346209564,-0.19404516105681274,18.5,0.09083874961312287,1.1441,10.7365,0.5025,355570000,22.9148,0.7164,12.3013,1.7083,0.7001,2.0464,4.704876270053844,0.0549,0.34979188345473466,0.0827,0.0151,0.0378,0.074
2005-03-31,0.02864864864864871,0.054500253530937265,19.03,0.2207912631362044,-1.072,11.0725,0.5647,365889810,22.7982,0.7306,19.699,1.7022,0.7942,2.8573,7.458019326456106,0.0585,0.8930670411400634,0.0925,0.0328,0.0403,0.0758
2005-06-30,-0.25065685759327383,-0.25975399592691406,14.26,0.2857585779247623,0.3226,10.941,0.551,274177020,18.2687,0.5409,16.8797,1.2949,0.6008,2.9324,8.415122740063692,0.0563,0.9434129089301503,0.0968,0.041,0.0392,0.0703
2005-09-30,0.11360448807854144,0.08214376441539703,15.88,0.20173446211026225,0.3426,11.1676,0.5489,305324760,19.7174,0.5909,21.4262,1.4113,0.6253,2.8564,7.146488487806473,0.0574,1.2628595204660114,0.0844,0.0288,0.0397,0.0723
2005-12-30,0.0012594458438286884,-0.0145932730792593,15.9,0.2117003149687613,-0.1428,10.9195,0.5251,305709300,17.1515,0.5648,-28.5763,1.4455,0.6059,2.3649,7.23798213782692,0.0656,0.46554324647630935,0.0407,0.0291,0.0447,0.0833
2006-03-31,0.2421383647798742,0.2048233541677008,19.75,0.2669833486566554,-0.4539,11.1914,0.4891,383268500,20.4246,0.6623,312.8722,1.7492,0.7538,2.4227,8.266473973070902,0.0653,0.11146037308049057,0.087,0.0311,0.0441,0.0871
2006-06-30,0.055696202531645644,0.07474834215828038,20.85,0.3507676818525044,0.4017,11.9599,0.5113,413914200,20.4877,0.6559,139.7414,1.7421,0.7213,2.6189,9.782697736896694,0.0648,1.241335885553093,0.0943,0.0372,0.0442,0.0884
2006-09-29,0.19280575539568343,0.14112096013687842,24.87,0.35239421212271893,-0.2186,12.2624,0.5068,500732580,21.4153,0.7195,-62.0255,2.0304,0.7719,2.4146,9.941528528674738,0.0726,1.8006854077679546,0.0829,0.0353,0.0491,0.0965
2006-12-29,0.3578608765581022,0.29613981899247044,33.77,1.4478559831916722,1.3651,13.8955,0.5836,678945850,13.6875,0.8897,29.1605,2.3331,0.8958,2.3323,21.76100349772348,0.1487,3.1821934842079083,0.0967,0.1458,0.1007,0.1845
2007-03-30,0.43529760142137974,0.4334926684485912,48.47,1.1213311987580652,-0.5546,15.3587,0.6111,983941000,14.579,1.1635,47.4485,3.1079,1.1802,2.9464,19.908392289081256,0.1899,4.8070443349753695,0.1722,0.0923,0.1327,0.2221
2007-06-29,-0.13369094285124813,-0.19174732496124508,41.99,0.38286072530864196,0.2691,15.7492,0.612,856218090,12.5066,0.9597,46.6883,2.6217,0.9576,2.4524,11.757379379718511,0.1853,4.946790250600755,0.0791,0.0339,0.1301,0.2128
