date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,19.18,0.2839341344014241,0.2404,14.991,0.6564,770498960,14.9052,0.994,9.3075,1.2707,1.0605,2.4508,9.811977581570483,0.0717,0.027730757741710643,0.1994,0.057,0.0566,0.0861
2003-06-30,0.2685088633993743,0.11957820196545757,24.33,0.3511925252028522,0.1588,15.6356,0.6568,978844560,18.8315,1.2379,16.1645,1.5393,1.3053,2.4498,11.181757156965467,0.0695,-0.1282809703718433,0.1894,0.0705,0.0549,0.0836
2003-09-30,0.046033703247020184,0.024001922125291092,25.45,0.31160622773195373,0.117,16.3598,0.6726,1023904400,20.2612,1.285,22.21,1.5273,1.3386,2.8779,10.790195734581792,0.0643,0.7020282362298668,0.1828,0.0644,0.0514,0.0773
2003-12-31,0.1642436149312377,0.04782436871608303,29.63,0.25604133791268296,0.409,10.9437,0.6831,1214326290,22.0441,1.4922,25.6062,1.7166,1.5016,2.7871,8.0049283198422,0.0671,0.2929507356708879,0.1516,0.0781,0.0542,0.0799
2004-03-31,-0.036449544380695184,-0.04930111322325696,28.55,0.3038714037458969,0.0281,17.1868,0.6883,1169350900,20.8099,1.4229,30.0867,1.6421,1.4369,2.9284,10.902654880421297,0.0667,0.519800771522047,0.1819,0.0601,0.0542,0.0791
2004-06-30,0.015761821366024494,0.002771344110225827,29.0,0.3633785212960292,0.1148,17.6607,0.6894,1193669000,20.9316,1.4064,32.1034,1.6245,1.4101,2.9477,12.087219118043153,0.0667,0.98537450499259,0.1754,0.0659,0.0543,0.0788
2004-09-30,0.014827586206896542,0.03784572245069734,29.43,0.3903172998218499,0.2592,18.0561,0.6815,1206394560,19.9499,1.3602,27.9568,1.6084,1.3577,2.7684,12.65757833238127,0.0693,1.0336407103825136,0.1782,0.0685,0.0558,0.0814
2004-12-31,0.1331974176010874,0.0458639900063703,33.35,0.3521912733920239,0.1464,19.2262,0.6921,1371485400,23.4189,1.4924,60.1528,1.7158,1.4726,2.5885,12.422018947851885,0.0648,0.9746619978601303,0.1609,0.06,0.0519,0.0755
2005-03-31,-0.013793103448275888,0.012058501434012667,32.89,0.3663333012789691,-0.4494,19.1225,0.6854,1349443810,22.0457,1.4052,459.6198,1.6965,1.4082,2.5328,12.636246985698918,0.0658,0.9995612859197153,0.1671,0.0607,0.0528,0.0767
2005-06-30,-0.06354515050167224,-0.07264228883531249,30.8,0.315175657515838,-0.1412,18.5578,0.6657,1248755200,21.0842,1.2798,-161.6093,1.6147,1.2804,2.204,11.544874045682198,0.0637,0.5127269139700079,0.1584,0.0536,0.051,0.0755
2005-09-30,-0.07110389610389614,-0.10256461976704055,28.61,0.2998041136141038,-0.065,18.9598,0.6668,1149149260,20.796,1.1652,-54.3358,1.484,1.1343,1.6873,11.367393566032733,0.0594,0.20626898371757207,0.1565,0.0496,0.0475,0.0714
2005-12-30,-0.023068857042991966,-0.03892157596607995,27.95,0.31277511251792867,0.2772,19.0702,0.6669,1117273300,20.9761,1.1676,-69.7206,1.4488,1.1539,1.6311,11.629656222471217,0.0573,-0.19865412518136788,0.1856,0.0589,0.0459,0.0689
