date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-01-31,,,11.05,0.07375813128326435,0.0861,4.0483,0.3647,745167800,34.8632,1.1497,7.4605,2.7212,1.4054,1.1534,2.5980613346192096,0.0379,-3.129485734622457,0.1249,0.0343,0.0282,0.0787
2003-04-30,0.1429864253393665,0.07144269525897799,12.63,0.1196816379667436,0.3541,4.1288,0.367,852045060,39.2937,1.3082,9.671,3.0528,1.5753,1.2109,3.341867840142721,0.0385,-3.0920666449260326,0.1451,0.0485,0.0286,0.0784
2003-07-31,-0.043547110055423645,-0.12358682564271994,12.08,0.12910798122065728,0.1649,4.3132,0.385,818854880,35.2498,1.2457,10.5662,2.8028,1.5097,1.3259,3.548363712543621,0.0411,-2.8263800784822823,0.1517,0.0525,0.0305,0.0813
2003-10-31,0.1473509933774834,0.08636002738924742,13.86,0.19514764845327637,0.5713,4.3915,0.3913,943450200,26.833,1.4137,11.7954,3.1436,1.6619,1.3104,4.411217122112662,0.0633,-2.7813574261789333,0.1578,0.0705,0.046,0.1187
2004-01-30,0.30663780663780665,0.23009904053192773,18.11,0.13560844185002247,0.2976,4.7681,0.4406,1253302550,31.4623,1.8093,13.1421,3.6883,2.0342,1.6408,3.8724897132846574,0.0729,-2.126826096380319,0.1476,0.0566,0.0518,0.1245
2004-04-30,-0.04583103257868572,-0.02476364337336061,17.28,0.22855380397532557,0.3712,4.9486,0.4524,1232323200,25.4517,1.7054,12.5097,3.4135,1.8983,1.7416,5.1226478696221,0.0875,-1.6973567973077193,0.1773,0.0848,0.0617,0.1381
2004-07-30,0.21180555555555555,0.21684491063452035,20.94,0.23312370104456262,0.1005,5.2247,0.4796,1519113240,26.6759,2.014,16.0265,3.9238,2.1844,1.8251,5.320987027955859,0.1009,-1.2992721859234142,0.1778,0.0872,0.0709,0.1522
2004-10-29,-0.16380133715377265,-0.18965180844056787,17.51,0.266318291069162,0.6228,5.4461,0.4798,1270455560,20.0596,1.6468,12.4713,3.1498,1.7602,1.8499,5.781244958958284,0.1101,-1.0053338111252,0.2325,0.0956,0.0768,0.1602
2005-01-31,0.07481439177612785,0.029627636718828676,18.82,0.19309139784946236,0.0613,5.7221,0.5033,1371940360,20.1649,1.7344,16.098,3.2225,1.8419,2.1651,5.052562827023337,0.115,-0.7132980328678428,0.1584,0.0755,0.0806,0.1641
2005-04-29,-0.14399574920297561,-0.12332304648340364,16.11,0.23526086254240025,0.5891,5.8162,0.4972,1175208390,17.0713,1.4653,11.5319,2.7197,1.5305,2.0978,5.611369597858131,0.1136,-0.6240935448052749,0.1665,0.0841,0.0802,0.1605
2005-07-29,0.043451272501551785,-0.023394109144268607,16.81,0.25230030127839753,0.296,5.8657,0.4972,1220826250,17.401,1.5153,10.4993,2.8245,1.5175,1.6892,5.820835043638755,0.116,-0.6109191049913941,0.1704,0.0922,0.0807,0.1623
2005-10-31,0.10588935157644266,0.1279040032179252,18.59,0.399538932959134,0.4715,4.7382,0.4186,1223630980,15.6198,1.4703,11.8708,3.6977,1.5784,1.2446,6.602528097261328,0.1404,-2.216553735833004,0.2406,0.1198,0.0944,0.2053
2006-01-31,0.22162452931683707,0.16108655059431504,22.71,0.23734747540402398,0.1788,5.3361,0.4649,1520093850,18.9919,1.811,13.7415,4.2081,1.9104,1.4146,5.406117839596198,0.1544,-1.7245387316052887,0.1882,0.0814,0.1021,0.2312
2006-04-28,0.1770145310435931,0.15316443546755495,26.73,0.3191541998952209,0.3021,5.7273,0.4773,1804221540,21.3537,2.0989,20.593,4.5843,2.1658,1.5556,6.500799809482151,0.1564,-1.214198939227829,0.2009,0.0962,0.1055,0.2238
2006-07-31,-0.14889637111859336,-0.1229924397039642,22.75,0.36004062681369703,0.4785,5.9489,0.5129,1531757500,16.8853,1.7336,15.507,3.736,1.8208,1.8139,7.030605584214842,0.1667,-0.9556809743056587,0.1901,0.11,0.1117,0.2257
2006-10-31,0.012307692307692358,-0.0670242398551559,23.03,0.4077182685253118,0.6269,6.3173,0.5231,1561940660,17.2403,1.7506,14.3852,3.6279,1.7486,1.4391,7.683577186047032,0.168,-0.6643566984164431,0.1977,0.115,0.1117,0.2155
2007-01-31,0.12288319583152402,0.07912218200490827,25.86,0.22799484128147257,0.1445,6.6054,0.4321,1742162340,19.3384,1.9384,16.3829,3.8653,1.9577,0.8388,5.884723568274236,0.1369,-3.5555522569727915,0.1685,0.0763,0.0965,0.2044
2007-04-30,-0.11368909512761012,-0.14437243391839225,22.92,0.30721021495929246,0.2826,6.969,0.4222,1543776600,17.3191,1.6923,14.7193,3.2437,1.7132,0.7865,6.999638773423793,0.1113,-4.085873357582956,0.1701,0.0869,0.0821,0.1923
2007-07-31,-0.001745200698080397,0.016536318541517495,22.88,0.358336986701739,0.4652,7.3359,0.4404,1544857600,17.3884,1.6358,14.8914,3.0774,1.6272,0.7823,7.75945706204257,0.1064,-3.8636404028436018,0.1893,0.0951,0.0783,0.1816
2007-10-31,0.1691433566433567,0.10447495552981227,26.75,0.43260050801436456,0.5893,7.7533,0.4382,1803485000,19.8858,1.815,17.7886,3.3956,1.8066,0.8039,8.767656916146782,0.1051,-4.016597448828241,0.1935,0.1019,0.0771,0.1755
2008-01-31,-0.06766355140186911,0.04259342591571816,24.94,0.31207405890783585,0.1386,8.0311,0.4523,1678262480,17.396,1.6223,16.6166,3.056,1.6048,0.858,7.573058866238675,0.1069,-3.6819235570350117,0.1807,0.0872,0.0795,0.1786
2008-04-30,0.1836407377706495,0.17853398303354584,29.52,0.4844331740494269,0.6679,8.6468,0.4814,1988880480,18.3234,1.8292,15.6283,3.3715,1.8707,1.0538,9.792616263725982,0.1194,-3.100617448867516,0.2108,0.1123,0.0889,0.1905
2008-07-31,0.19681571815718152,0.28212952949639397,35.33,0.4672748794641568,0.2314,9.1021,0.5185,2409823970,20.7043,2.1556,21.6216,3.8218,2.1949,1.1244,9.888667642466457,0.1275,-2.48354322743333,0.2068,0.1122,0.0953,0.1907
2008-10-31,-0.47721483158788564,-0.2415869980002592,18.47,0.4485324152418743,0.276,8.3753,0.492,1245173520,10.5968,1.1069,13.8344,2.1688,1.1574,1.0275,9.238648456257646,0.1311,-3.088940310905423,0.2094,0.1032,0.0986,0.195
2009-01-30,-0.18191662154845695,-0.03443791691136017,15.11,0.1662791390925893,0.4627,8.3804,0.5022,1014802710,9.4557,0.9513,9.0954,1.8048,0.9976,1.0297,5.601083121705342,0.1256,-3.1349146081803427,0.1556,0.0597,0.0938,0.1888
2009-04-30,0.20052945069490413,0.14370522393276047,18.14,0.20617497244645677,0.6824,8.6065,0.5352,1218699620,13.8307,1.2675,10.8981,2.1089,1.4866,2.5034,6.320130351842636,0.1065,-2.8589821829927216,0.1699,0.0733,0.0801,0.1545
