date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,0.0,0.3000007610176328,-0.2976,15.4189,0.6606,0,0.0,0.0,0.0,0.0,0.3692,1.7139,10.201854685116453,0.0742,-4.5944794964486455,0.3585,0.1621,0.0644,0.0985
2003-06-30,,,0.0,0.3300009808433744,0.9488,15.6432,0.6692,0,0.0,0.0,0.0,0.0,0.3806,1.7148,10.77734221547243,0.0683,-4.553517300222287,0.3819,0.1764,0.0596,0.0896
2003-09-30,,,0.0,0.3999984893461135,0.5526,16.0991,0.6788,0,0.0,0.0,0.0,0.0,0.3582,1.7662,12.037082403814486,0.0687,-4.444497596926458,0.5061,0.2079,0.0601,0.0892
2003-12-31,,,0.0,0.22921552311067403,-0.7688,16.4319,0.681,0,0.0,0.0,0.0,0.0,0.3085,1.7291,9.217569012396572,0.0604,-4.447764649648229,0.3817,0.1263,0.0525,0.0773
2004-03-31,,,0.0,0.21000066879193882,0.3543,16.5949,0.6952,0,0.0,0.0,0.0,0.0,0.2555,2.1581,8.855007183342387,0.0559,-3.800197281081041,0.3637,0.1151,0.0485,0.0704
2004-06-30,,,0.0,0.25999924377056,0.2282,16.8575,0.6975,0,0.0,0.0,0.0,0.0,0.3143,2.0571,9.930563335828428,0.0523,-4.046147411816546,0.3863,0.1358,0.0455,0.0653
2004-09-30,,,0.0,0.23000067711428937,0.2948,17.2586,0.7091,0,0.0,0.0,0.0,0.0,0.3139,1.9573,9.450582941597052,0.0441,-3.9236434824363755,0.3641,0.115,0.0384,0.0546
2004-12-31,,,0.0,0.3870292427625078,-0.3357,17.3912,0.7182,0,0.0,0.0,0.0,0.0,0.2923,1.9857,12.53184431802453,0.0513,-3.77054022483948,0.3724,0.1749,0.0446,0.0625
2005-03-31,,,0.0,0.32999927520475464,0.3137,17.8814,0.7401,0,0.0,0.0,0.0,0.0,0.234,2.3574,11.695831293424336,0.0562,-3.1114149865467544,0.3689,0.1467,0.0491,0.0674
2005-06-30,,,0.0,0.5299990601571707,0.6906,18.4498,0.7481,0,0.0,0.0,0.0,0.0,0.1958,2.5186,14.972157429326092,0.0684,-2.5715500183217297,0.4396,0.2131,0.0599,0.0806
