date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,18.56,0.540000051674646,0.3513,17.4091,0.3297,7234650880,12.4093,1.1423,18.8894,1.0737,2.2074,0.613,14.543747290200153,0.0413,-31.721558345604645,0.2319,0.1338,0.0288,0.0877
2003-06-30,0.03448275862068969,-0.11444790281322703,19.2,0.34999961678874075,0.6259,17.5229,0.3339,7491974400,12.4658,1.1755,16.358,1.0922,2.2328,0.6312,11.747028833416435,0.0419,-31.708810964436825,0.2633,0.0838,0.0293,0.0884
2003-09-30,-0.0364583333333333,-0.05849011445506239,18.5,0.34999961678874075,1.1726,17.7937,0.3387,7222751500,11.8018,1.1333,8.5073,1.037,2.1786,0.6925,11.837450488944437,0.0428,-31.530227780922548,0.2772,0.0857,0.0297,0.0885
2003-12-31,0.29243243243243244,0.17601318621727777,23.91,0.13214907432114767,0.742,17.7283,0.3387,9352468230,17.4812,1.4459,8.2618,1.3406,2.453,0.7912,7.260338474993508,0.0377,-31.177058593440417,-0.4528,0.031,0.0259,0.0767
2004-03-31,-0.07611877875365956,-0.08897034759622134,22.09,0.4,0.6556,18.0303,0.3458,8660804210,17.8942,1.3122,6.901,1.216,2.3067,0.7841,12.738630224635616,0.0344,-30.984342041834473,0.1145,0.0933,0.0235,0.0686
2004-06-30,0.20054323223177908,0.18755275497598042,26.52,0.5400006084513898,0.9709,18.6464,0.3531,10440579240,18.6438,1.5399,7.495,1.4195,2.4444,0.7368,15.190425849879187,0.0397,-30.590291272000346,0.1544,0.1174,0.027,0.0773
2004-09-30,0.12141779788838608,0.1444359341321869,29.74,0.72,1.535,19.22,0.3147,11777248180,16.5643,1.6731,7.608,1.5319,2.595,0.851,17.767614872965034,0.0483,-37.71397980338731,0.2159,0.155,0.0314,0.0945
2004-12-31,0.21687962340282446,0.1295461958081074,36.19,0.6481629245896809,1.1784,19.6167,0.3228,14491887410,15.7008,1.9819,8.3478,1.8137,2.829,0.8936,17.04662249246947,0.06,-36.941956203067136,0.2272,0.1354,0.0375,0.1177
2005-03-31,0.023763470571981197,0.049615075454269755,37.05,0.46999995154639673,0.9981,19.9968,0.3238,14978351700,15.6187,1.976,7.9292,1.8146,2.7683,1.192,14.695756594484005,0.0609,-36.20811627757412,0.1907,0.0989,0.0381,0.118
2005-06-30,-0.16437246963562743,-0.1734696079692677,30.96,1.0400007849062527,1.1847,21.1458,0.3461,12524403600,10.7046,1.5811,6.2968,1.4527,2.3717,1.216,22.351038809990218,0.0741,-35.38877971003745,0.2999,0.1968,0.0464,0.1386
2005-09-30,0.310077519379845,0.2786167957167006,40.56,0.7299995877078741,1.848,21.6235,0.3505,16242900960,13.7302,1.9762,7.6007,1.8217,2.657,1.229,18.974484438293285,0.0751,-35.1615368096168,0.3368,0.1396,0.047,0.1349
2005-12-30,0.10527613412228787,0.08942341519919988,44.83,0.8685533308540374,1.3388,22.256,0.3587,18375189380,14.3444,2.1549,8.2957,1.9809,2.7834,1.3794,21.09934380795145,0.0798,-33.99237836861957,0.28,0.1603,0.0499,0.1408
2006-03-31,0.20611197858576852,0.16879696797359514,54.07,0.7200001888525086,1.3266,22.9196,0.3699,22422396440,16.108,2.5281,9.4809,2.3094,3.0928,1.5012,19.534878810533367,0.0848,-32.76648693488179,0.3195,0.1324,0.0534,0.1466
2006-06-30,-0.015720362493064573,0.0033317771335701664,53.22,0.8900006645338295,1.4572,23.617,0.3746,22023553620,16.3987,2.4183,8.8235,2.2132,2.9278,1.2419,21.989951610700874,0.0803,-33.101268422820496,0.3612,0.1567,0.0508,0.1366
2006-09-29,-0.1723036452461481,-0.22398844050495315,44.05,1.0200003432693463,1.5373,23.4869,0.3687,17483092600,11.9911,1.8708,7.4049,1.8251,2.442,1.0123,23.44340973493404,0.0883,-35.73516221037461,0.3773,0.1738,0.0555,0.1493
2006-12-29,0.14165720771850177,0.07993615015286995,50.29,0.9504060825989287,1.2886,23.7354,0.3694,19986251800,13.4951,2.1246,8.5962,2.0786,2.6764,1.1466,22.52911542849982,0.0913,-35.2599265260933,0.3467,0.166,0.0569,0.1543
2007-03-30,0.02883276993438065,0.027027836961592097,51.74,0.7100007971938775,1.5495,23.9855,0.3698,20345306280,13.9256,2.1757,8.5305,2.1131,2.7271,1.0642,19.712062987241882,0.0902,-35.895753543799685,0.3213,0.1268,0.0561,0.1518
2007-06-29,0.01604174719752606,-0.0420146349124709,52.57,0.9799995522844684,0.0223,24.6542,0.3822,20691657140,13.9808,2.216,11.6245,2.0875,2.782,0.9858,23.5614557509589,0.0918,-35.74676957942287,0.3725,0.1656,0.0569,0.1514
2007-09-28,-0.012554688986113824,-0.02811994311460924,51.91,0.9713135379969804,0.9813,24.859,0.3805,20101628400,13.8631,2.1621,13.0276,2.0347,2.7371,0.9154,23.55873341902071,0.0903,-36.74723685569673,0.3731,0.164,0.0558,0.1465
2007-12-31,-0.028318243113080312,0.009926403782899707,50.44,1.0238645111624327,0.2437,24.9602,0.372,19131791120,13.0681,2.0283,17.1431,1.9668,2.6425,0.8598,24.23563851669534,0.0911,-38.86653765640736,0.3606,0.1625,0.0561,0.1493
2008-03-31,0.07692307692307698,0.1761222076762981,54.32,0.7745541655576258,0.8064,25.9462,0.3683,20411011600,13.885,2.1074,25.6098,2.0938,2.7118,0.9142,21.264444244649415,0.0909,-39.07067104895477,0.3112,0.1164,0.0558,0.1509
2008-06-30,0.15371870397643597,0.18600112081182185,62.67,1.18122555410691,0.378,26.0547,0.3782,23513721330,15.3784,2.3345,25.2022,2.3532,2.8854,0.952,26.597221152132608,0.0934,-38.3689721987532,0.362,0.1638,0.0578,0.1549
2008-09-30,0.05648635710866431,0.1452676185527561,66.21,1.366622864651774,1.5689,26.4021,0.376,24516172590,14.7421,2.31,21.5054,2.4403,2.8212,0.904,28.797118144404987,0.1007,-39.40001998493028,0.3794,0.1796,0.0625,0.1659
2008-12-31,-0.2893822685394955,-0.06380012524241019,47.05,1.2190385777164063,0.596,25.9099,0.3653,17241990050,10.0477,1.6172,13.6192,1.7947,2.1392,0.9496,26.83198498122692,0.1046,-40.08884983668112,0.4084,0.1806,0.0647,0.1746
2009-03-31,-0.28267800212539845,-0.16601040745857032,33.75,0.47696038803556995,0.3018,26.1654,0.3657,12387532500,7.7325,1.226,11.5232,1.2757,1.7785,1.0872,16.868730949125087,0.0973,-39.89232722497398,0.3046,0.091,0.0606,0.1658
2009-06-30,0.1161481481481482,-0.03606964792174064,37.67,0.6650511577813678,-0.0215,26.5455,0.3701,13848885790,9.9204,1.5059,15.0204,1.4046,2.1547,1.1139,20.054901217427755,0.0831,-40.360464262302216,0.3645,0.133,0.0525,0.1426
2009-09-30,0.144411998938147,-0.00543783314745519,43.11,0.8080536912751678,1.1087,27.0228,0.3717,15859910340,13.452,1.8959,21.4903,1.5755,2.5757,1.1966,22.32180018297489,0.0692,-40.163742817224524,0.3751,0.1468,0.0439,0.1183
2009-12-31,0.21595917420552083,0.16107210610918057,52.42,0.8006238085179072,0.3338,26.9995,0.3782,19344028400,18.7079,2.4274,29.9907,1.8684,3.1292,1.2554,22.512016492285028,0.0597,-40.02493089805431,0.3627,0.1457,0.0379,0.1012
2010-03-31,0.06619610835558945,0.017473949522744114,55.89,0.6855161376367032,1.339,28.1781,0.3809,20682429840,18.5659,2.5027,19.983,1.9578,3.1069,1.2065,20.999379026194838,0.0634,-39.23730462416499,0.34,0.1148,0.0404,0.1065
2010-06-30,-0.05081409912327793,0.0678078674776648,53.05,1.0450546520927753,0.8291,28.6883,0.3894,19555078800,15.5322,2.2128,14.4424,1.8172,2.8087,1.2018,26.16145982134351,0.0718,-39.45569373006055,0.386,0.1613,0.0454,0.118
2010-09-30,0.12177191328934969,0.014573967774321461,59.51,1.1975242195909581,1.0979,29.0339,0.3844,21624267720,15.4348,2.3428,16.0298,2.0042,2.9079,1.3468,28.171209513518328,0.0796,-40.28929031405832,0.3876,0.1811,0.0503,0.13
2010-12-31,0.05562090404973958,-0.04641210371282873,62.82,1.0989611809732094,0.0628,29.1662,0.3783,22449543660,15.0063,2.3591,18.0462,2.1041,2.9325,1.1868,27.051513964415935,0.0844,-42.13922538147486,0.408,0.168,0.0531,0.1394
2011-03-31,0.10267430754536765,0.04845375109677857,69.27,0.9015256588072122,0.6074,29.4063,0.3823,24467341590,15.644,2.4719,25.4602,2.308,3.0847,1.1691,24.604619472952304,0.0895,-43.30199282593986,0.3103,0.124,0.0559,0.147
2011-06-30,0.0817092536451568,0.0856237385929052,74.93,1.5589140778057655,1.6596,29.7425,0.3731,26058705820,15.0715,2.5216,20.9643,2.4521,3.1046,1.3205,32.5877243090251,0.0992,-44.67268973528786,0.3803,0.1943,0.0615,0.1628
2011-09-30,-0.18563993060189513,-0.04236093814042824,61.02,1.5873925501432664,1.4871,29.3839,0.3622,20509188120,11.1584,1.9048,15.1471,1.9999,2.4981,0.9426,32.66835155286869,0.1059,-48.29131285963357,0.4001,0.1917,0.0647,0.176
2011-12-30,0.194034742707309,0.08251123530980001,72.86,1.4184397163120568,-0.7801,29.2878,0.3472,24071923960,12.5636,2.1546,22.5603,2.4288,2.7891,1.0293,30.838562828155165,0.1109,-51.0796462319832,0.4372,0.1716,0.0674,0.19
2012-03-30,-0.09648641229755697,-0.21645301379728632,65.83,1.2397197685044168,1.7544,29.8964,0.3341,21444978290,10.7171,1.8909,15.0596,2.1849,2.5217,1.207,28.877691337087484,0.1134,-52.8850728904142,0.3617,0.147,0.0691,0.2028
2012-06-29,0.09023241683123193,0.12311202199620327,71.77,1.5938931297709924,0.4091,29.8564,0.3349,22931735090,11.6523,2.0205,23.7634,2.3452,2.6903,1.062,32.96444347509237,0.1105,-54.86093071730143,0.405,0.1823,0.0672,0.2008
2012-09-28,-0.11341786261669212,-0.17105426934984436,63.63,1.2399005593536359,0.9042,30.3511,0.3273,20109816090,11.0736,1.803,27.286,2.0589,2.4952,1.2055,29.285747749484884,0.1008,-56.555595282920365,0.3575,0.1492,0.0615,0.1858
2012-12-31,-0.028131384567028118,-0.01808043459418884,61.84,1.2900188323917137,0.047,30.634,0.3216,19419862560,11.1034,1.759,19.114,1.9897,2.4623,1.0773,29.99353772888099,0.0953,-58.40131960233605,0.3956,0.1538,0.0581,0.1791
2013-03-29,0.2464424320827942,0.14617528263214016,77.08,1.4083621502672117,1.1411,31.7824,0.3304,24286983040,13.5757,2.2101,30.2453,2.4022,2.9154,1.22,31.916354908601768,0.0966,-57.65373482963489,0.3356,0.1643,0.0587,0.18
2013-06-28,-0.05747275557861952,-0.0811092108680195,72.65,1.460037759597231,1.0289,32.0578,0.3328,22663385450,13.1002,2.0759,22.7544,2.2245,2.7943,1.1449,32.64247939905993,0.0928,-58.78770199356954,0.3868,0.1659,0.0565,0.1704
2013-09-30,0.06469373709566398,0.017833900604888257,77.35,1.5291494106403314,1.1245,32.7938,0.3282,23894188500,13.2012,2.1627,22.5842,2.3211,2.8411,1.0694,33.779008152291524,0.0955,-60.137256806189505,0.3905,0.1706,0.0584,0.1767
2013-12-31,0.20012928248222372,0.10092918038613231,92.83,1.6367713004484306,0.6662,36.1595,0.3475,28673144740,15.0121,2.5498,22.9201,2.5399,3.2027,1.334,36.704131870108334,0.0955,-58.66070098873989,0.3859,0.178,0.0598,0.1769
2014-03-31,0.04675212754497472,0.033778474869741684,97.17,1.1708253358925145,0.7325,37.4056,0.3575,30088301820,16.4596,2.6874,26.9367,2.5731,3.3463,1.3485,31.547851492045158,0.0874,-57.7336700619417,0.3477,0.1368,0.056,0.159
2014-06-30,0.060306679016157244,0.013365409667173929,103.03,1.7902813299232736,1.4162,38.6093,0.3655,31889330450,16.5658,2.7885,25.8632,2.6405,3.4134,1.3792,39.646139958011986,0.0908,-57.176550409511655,0.4276,0.1847,0.0585,0.1619
2014-09-30,0.08317965641075409,0.07702728719188005,111.6,1.7850287907869482,1.1644,39.792,0.3746,34533727200,17.2496,2.968,27.7602,2.7762,3.6115,1.4466,40.183345159202226,0.0938,-57.37747299978671,0.4201,0.1849,0.0604,0.1633
2014-12-31,-0.017831541218637947,-0.061744891469303294,109.61,1.6351394677781341,-0.4007,39.7819,0.3737,33786186400,16.893,2.9065,37.0869,2.7229,3.587,1.5606,38.42993104928667,0.0935,-58.44147417596678,0.3993,0.178,0.0602,0.1609
2015-03-31,-0.06103457713712251,-0.06540098184875576,102.92,0.9948320413436692,0.8236,39.27,0.3709,31375059080,16.156,2.7277,33.4845,2.5806,3.415,1.0057,29.78306506721419,0.0914,-60.69234276641878,0.3459,0.1207,0.0588,0.1581
2015-06-30,-0.15118538670812284,-0.14887395553695404,87.36,1.414075286415712,1.2831,39.5319,0.3625,26329168320,14.5224,2.3564,29.7168,2.1801,3.0726,1.0953,35.61700029206862,0.0852,-62.44463098939237,0.401,0.1596,0.0548,0.1496
2015-09-30,-0.1254578754578754,-0.05610623125319589,76.4,1.487603305785124,-0.5719,40.0958,0.3617,22810748000,13.3708,2.0998,65.3603,1.8806,2.8789,0.8457,36.7801892675819,0.0791,-64.96299025354189,0.4146,0.1666,0.051,0.1409
2015-12-31,0.10719895287958112,0.042663549673022175,84.59,1.1992005329780147,0.373,40.5996,0.357,25190479050,16.1892,2.3965,42.9871,2.0668,3.1854,1.1259,33.10323134315159,0.0708,-65.2764485636092,0.3796,0.1433,0.0459,0.1279
2016-03-31,-0.015841115971155024,-0.023571308286519446,83.25,1.2914018066242892,1.6493,40.8932,0.3617,24620188500,15.0766,2.3755,29.8788,2.0142,3.2255,1.0737,34.56893954732555,0.0742,-66.26135295430414,0.4169,0.1599,0.048,0.1337
2016-06-30,0.022582582582582528,0.003589837200652757,85.13,1.3621038435603507,0.1584,41.3789,0.3574,24989911500,15.57,2.473,52.171,2.0361,3.3323,1.0626,35.7257491409162,0.0728,-67.52512348833248,0.4319,0.165,0.0471,0.131
2016-09-30,0.14013861153529905,0.10706832168418823,97.06,1.5507295554801492,1.8832,42.0631,0.3579,28335890520,17.5671,2.8575,23.4762,2.2858,3.7219,1.038,38.44046531888439,0.0718,-68.22930582101924,0.4417,0.1822,0.0467,0.1307
2016-12-30,0.11343498866680395,0.08089288922431656,108.07,1.4154474310990133,0.6192,42.2218,0.3556,31385473260,18.8162,3.174,24.5775,2.5292,4.0444,0.9794,36.85822661261875,0.0739,-69.52737089298873,0.4216,0.167,0.0479,0.1344
2017-03-31,0.036087720921624926,-0.01924916854963038,111.97,1.4754098360655739,1.5129,42.7834,0.3564,32447002510,18.9305,3.2308,26.4441,2.5901,4.0885,0.9525,37.84837709386412,0.0757,-70.02136081136575,0.4104,0.1681,0.0489,0.1374
2017-06-30,0.0868982763240154,0.06121180388598492,121.7,1.7162629757785468,1.0726,43.8131,0.3625,35071749400,19.4195,3.4296,23.538,2.7698,4.2736,0.8262,41.13250577270814,0.0799,-70.52487664045638,0.4444,0.1884,0.0515,0.1433
2017-09-29,0.08660640920295815,0.04701335693678853,132.24,1.7443868739205526,1.8445,43.962,0.362,37840343760,20.4321,3.6483,25.7592,2.9732,4.4732,0.8284,41.71181357660597,0.082,-71.38588637388214,0.4494,0.1895,0.0528,0.1458
2017-12-29,0.09573502722323046,0.03450916294698456,144.9,13.79346314325452,1.5472,56.881,0.458,41174349300,7.6192,3.9024,23.7727,2.5169,4.7029,0.8444,133.42315627650777,0.2214,-60.54047586369507,0.5099,1.4866,0.1525,0.3715
2018-03-30,-0.06293995859213253,-0.05069434725804548,135.78,1.9272472892619796,1.5599,57.4256,0.454,38363552760,6.9461,3.5877,22.1115,2.3366,4.3887,1.0381,50.11218018780068,0.2088,-61.1059594679729,0.4247,0.2031,0.1536,0.337
2018-06-29,0.11113566062748566,0.08178927229297085,150.87,2.4991187874515335,2.0867,58.3679,0.4626,42248126100,7.3654,3.8568,20.946,2.5513,4.6525,0.8095,57.53293697223584,0.2168,-61.86837124593794,0.4616,0.2449,0.1594,0.3478
2018-09-28,0.19639424670245903,0.12443573669513401,180.5,2.516175413371675,2.2034,55.6434,0.4261,49158633500,8.287,4.377,23.4535,3.1756,5.259,0.8639,56.40093542877972,0.2246,-68.78357389653641,0.4553,0.2382,0.1645,0.3702
2018-12-31,-0.17152354570637124,-0.031807457901605996,149.54,2.5641025641025643,1.2014,56.271,0.4239,40091374920,15.038,3.4989,20.2584,2.6097,4.3893,0.7186,57.23991246113349,0.1003,-70.92555707241382,0.5062,0.2424,0.0734,0.1728
2019-03-29,0.24976594890999063,0.11910404575361969,186.89,2.5092798812175205,2.1009,56.9079,0.4136,49706572630,17.8095,4.292,23.681,3.2422,5.1692,0.6662,56.92642919984663,0.1048,-74.47916470840367,0.457,0.2383,0.0761,0.1818
