date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,2.77,0.03485232690776894,-0.0923,1.7116,0.525,337363840,16.4833,0.5697,-8.7375,1.6175,0.6822,1.3695,1.159365463080676,0.0686,-0.7141602075669995,0.1135,0.0277,0.052,0.0993
2003-06-30,0.018050541516245425,-0.1308801199176713,2.82,0.05336820701190515,-0.123,1.7641,0.5194,343594440,15.1932,0.5574,-6.7109,1.5969,0.6899,1.2571,1.4563174214578032,0.0735,-0.8634871390817617,0.132,0.0397,0.0557,0.1067
2003-09-30,0.39361702127659587,0.37158524015486677,3.93,0.0746980448712696,0.0693,1.8392,0.515,479267430,18.9172,0.745,-14.444,2.1352,0.8508,1.2484,1.7591195523878214,0.0792,-0.8492673286811916,0.1511,0.0515,0.0596,0.1152
2003-12-31,0.14249363867684478,0.026074392461690105,4.49,0.06331416211964803,-0.0456,1.9051,0.5351,547559990,19.8391,0.8202,-23.423,2.3546,0.931,1.2941,1.648128317513085,0.0844,-0.825315085567154,0.1362,0.0444,0.0634,0.1207
2004-03-31,0.0,-0.012851568842561776,4.49,0.0467966573816156,0.0544,1.9519,0.5249,547559990,18.8391,0.7851,-99.9197,2.2982,0.8823,1.1142,1.4342387682228925,0.0882,-0.8831333896401014,0.1176,0.0312,0.0654,0.1234
2004-06-30,0.2962138084632517,0.283223331207453,5.82,0.08569813546547826,-0.1351,2.0382,0.5011,710080740,21.5065,0.9651,-101.9644,2.8539,1.0793,1.0708,1.9832050772362697,0.0963,-1.0820444728581147,0.1474,0.0517,0.0694,0.1355
2004-09-30,-0.013745704467353964,0.009272431776446837,5.74,0.09801797464291447,0.0679,2.253,0.5591,721707420,19.983,0.9324,-103.7383,2.5704,1.0046,1.1959,2.2297910085984873,0.1006,-0.7853626335170559,0.1536,0.0567,0.0723,0.1363
2004-12-31,0.2038327526132404,0.11649932501852332,6.91,0.08427511007263999,-0.0069,2.3169,0.5775,869132890,22.29,1.0547,-384.4019,2.9813,1.1234,1.306,2.0964491206597717,0.1064,-0.72085165250161,0.1387,0.0473,0.0774,0.1362
2005-03-31,-0.09696092619392184,-0.07110932131163328,6.24,0.07100906786193961,0.013,2.3911,0.5314,784860960,18.5919,0.8938,-107.9885,2.6086,0.9851,1.201,1.9549395751675775,0.109,-0.9561532529277542,0.1248,0.0377,0.0788,0.1425
2005-06-30,-0.1506410256410257,-0.15973816397466595,5.3,0.11059629491285654,-0.2332,2.5017,0.5154,666628700,14.5966,0.7089,-33.1359,2.1177,0.8265,1.2979,2.4955255150329765,0.1076,-1.114478569554536,0.1472,0.0526,0.0776,0.1483
2005-09-30,0.24905660377358496,0.21759588011044056,6.62,0.1266723371781521,-0.0089,2.6294,0.5167,833034320,16.8664,0.8328,-28.0435,2.5184,0.9469,1.3536,2.737616209648168,0.1078,-1.1406115896881655,0.051,0.0579,0.0789,0.153
2005-12-30,0.2069486404833837,0.19109592156029573,7.99,0.11673130105852061,0.0403,2.742,0.5377,1005429640,18.8018,0.9472,-42.3285,2.9138,1.0509,1.3529,2.6836053396141226,0.1132,-1.1632919037477352,1.2596,0.0515,0.0834,0.1582
2006-03-31,0.0,-0.03731501061217337,7.99,0.1034680059760323,-0.1318,2.8455,0.5045,1005429640,17.4675,0.9007,-23.9496,2.8079,1.0214,1.1886,2.573792871932005,0.1168,-1.4896134651451096,0.1341,0.0446,0.0851,0.1637
2006-06-30,0.3942428035043805,0.4132949431310152,11.14,0.1716917257382625,-0.269,3.0172,0.4385,1401813040,21.484,1.1852,-30.1562,3.6921,1.3323,2.001,3.414035176326311,0.1114,-1.688221176769764,0.1673,0.0653,0.0828,0.1768
2006-09-29,-0.20107719928186715,-0.25276199454067216,8.9,0.15975555484916876,0.0244,3.1769,0.4492,1119940400,16.1335,0.8993,-26.4848,2.8013,1.0431,1.9003,3.379255391281827,0.1039,-1.7693982644076416,0.1604,0.0595,0.079,0.1781
2006-12-29,-0.19887640449438207,-0.2605974620600139,7.13,0.14177977685241108,0.0675,3.3187,0.468,897210680,12.3635,0.7012,-23.087,2.1483,0.8373,2.1092,3.253736663038694,0.1061,-1.7340506691248927,0.1549,0.0558,0.0814,0.1775
2007-03-30,0.19775596072931267,0.19595102775652412,8.54,0.10784672112908865,-0.1954,3.4266,0.4618,1074639440,14.6969,0.8217,-22.93,2.4922,0.9738,1.5355,2.8835430340071295,0.1051,-2.1319495215995423,0.1358,0.0424,0.08,0.1722
2007-06-29,0.04566744730679164,-0.012388934803205319,8.93,0.1791140849995232,-0.2155,3.6057,0.4742,1123715480,15.1742,0.8407,-27.9949,2.4766,1.0189,1.4346,3.811982721152152,0.1043,-2.3178581645951875,0.2356,0.0626,0.0783,0.1673
2007-09-28,-0.20492721164613664,-0.22049246577463205,7.1,0.15901649766362566,0.0578,3.7647,0.4824,893435600,12.0798,0.6558,-24.8611,1.8859,0.8303,1.4963,3.670096960159317,0.1012,-2.297442703200992,0.2024,0.055,0.0763,0.1594
2007-12-31,-0.035211267605633804,0.003033379290346215,6.85,0.12486093009949457,0.1634,3.8896,0.4989,861976600,11.9998,0.615,-36.1203,1.7611,0.7726,1.6933,3.305651094502771,0.0962,-2.1879191964143807,0.1975,0.0438,0.0731,0.1491
2008-03-31,0.37664233576642336,0.4758414665196445,9.43,0.08255983979147462,0.171,3.9721,0.496,1186633480,17.2852,0.8184,53.3318,2.374,0.9579,1.6318,2.716350242844913,0.0909,-2.1407784735687723,0.1776,0.0282,0.069,0.1387
2008-06-30,-0.05726405090137849,-0.024981634065992624,8.89,0.1897787596554245,-0.0064,4.1619,0.4968,1118682040,15.9829,0.7418,23.0337,2.136,0.8765,1.6042,4.215614420902724,0.091,-2.141024825963953,0.2044,0.0571,0.0678,0.1367
2008-09-30,-0.05511811023622049,0.0336631512078713,8.4,0.18563050319463428,0.0654,4.3475,0.5082,1057022400,14.4124,0.6773,21.3453,1.9321,0.8056,1.6551,4.261237353676762,0.0928,-2.1207524078959916,0.2131,0.0561,0.0688,0.1369
2008-12-31,0.003571428571428495,0.22915357186851382,8.43,0.08779681490193585,-0.0831,4.4353,0.5192,1060797480,15.4461,0.6898,57.3714,1.9006,0.827,1.4714,2.9600029215403674,0.0853,-2.4440223783337043,-0.0495,0.0328,0.0638,0.1242
2009-03-31,-0.17437722419928822,-0.0577096295324601,6.96,0.03157284084045901,-0.3555,4.4669,0.5068,875818560,14.0668,0.5979,-18.3344,1.5581,0.7727,1.2487,1.7813579825179842,0.0757,-2.850742235926126,0.1816,0.0134,0.057,0.1111
2009-06-30,0.4295977011494252,0.27737990507953636,9.95,0.08520614132680632,-0.2363,4.5521,0.5004,1252068200,25.4993,0.9185,-16.3238,2.1857,1.11,1.188,2.9541504207655858,0.0575,-3.0036237642645984,0.2012,0.0339,0.0435,0.0865
2009-09-30,-0.09346733668341706,-0.24331716876901924,9.02,0.08340220604596459,-0.1015,4.6355,0.4965,1135040720,31.3218,0.8937,-11.616,1.9458,1.1093,1.195,2.9493636326903725,0.0409,-3.143774436568232,0.1974,0.0325,0.0312,0.0626
2009-12-31,0.008869179600886927,-0.04601788849545333,9.1,0.07693346895959821,0.0745,4.7124,0.5115,1145107600,32.8383,0.9197,-14.7055,1.931,1.1323,1.1758,2.856077516510579,0.0388,-3.11598429702152,-0.0286,0.0311,0.0298,0.0592
2010-03-31,0.08681318681318692,0.038091027980341585,9.89,0.06119870307384214,0.0631,4.7736,0.5035,1244518040,32.2422,0.9817,-49.4052,2.0717,1.1895,1.1306,2.563807306009773,0.0426,-3.164921008296513,0.1241,0.0242,0.0328,0.0646
2010-06-30,0.05257836198179975,0.17120032858274248,10.41,0.17096061540417687,0.1289,4.9446,0.5172,1309952760,26.5226,0.9925,63.0451,2.1053,1.18,1.1512,4.361188694137023,0.0542,-2.9708112145967767,0.1673,0.0584,0.0412,0.0807
2010-09-30,0.08549471661863597,-0.021703228896392257,11.3,0.1937521853841508,0.1401,5.1383,0.5303,1421946800,22.4721,1.0208,27.7794,2.1991,1.1377,0.8886,4.732866913255231,0.0694,-2.792722273435265,0.1631,0.0615,0.0522,0.0997
2010-12-31,0.25840707964601767,0.15637407188344937,14.22,0.1752757557455736,-0.0399,5.3136,0.5392,1789387920,23.6531,1.2082,48.6524,2.6761,1.3626,1.3089,4.57769245951689,0.0817,-2.770669760640834,0.1314,0.0552,0.0615,0.115
2011-03-31,0.09704641350210963,0.04282585705352055,15.6,0.17043515358361774,0.131,5.8354,0.5337,2016253200,22.5221,1.2713,44.3815,2.7297,1.3747,1.4549,4.730490370193292,0.091,-2.436752884012782,0.1467,0.051,0.0682,0.1272
2011-06-30,0.06282051282051274,0.06673499776826114,16.58,0.30471113449441767,-0.277,6.0195,0.5519,2142915260,19.9539,1.2621,-324.5366,2.7543,1.379,1.3943,6.424149373030317,0.1037,-2.5947449457240785,0.185,0.082,0.0768,0.1416
2011-09-30,-0.22316043425814222,-0.07988144179667533,12.88,0.29889281762826214,0.115,6.3184,0.5543,1664701360,13.6851,0.9266,-177.7387,2.0384,1.0296,1.4473,6.518573350458231,0.1145,-2.614938838038794,0.1909,0.0781,0.0843,0.1525
2011-12-30,0.3982919254658385,0.28676841806832953,18.01,0.3085796962405317,0.2858,6.6269,0.566,2327738470,16.6898,1.2226,71.3986,2.7176,1.3035,1.6202,6.783130011496797,0.1263,-2.5122672092969274,0.1571,0.0787,0.0934,0.1667
2012-03-30,0.17656857301499165,0.05660197151526232,21.19,0.24058585499083152,-0.0807,6.8675,0.5638,2738743930,18.3818,1.3844,491.6954,3.0855,1.4677,1.3049,6.0971325703862265,0.1311,-2.775135979945376,0.1604,0.0625,0.0965,0.1708
2012-06-29,-0.09202453987730075,-0.05914493471232941,19.24,0.3700820908802525,-0.4028,7.2376,0.5705,2486712280,15.7945,1.2157,-232.7074,2.6583,1.3218,1.2319,7.763142931280191,0.134,-3.118370252307597,0.1993,0.0873,0.0979,0.1727
2012-09-28,0.04469854469854486,-0.01293786203460736,20.1,0.39493373153728906,-0.1468,7.6325,0.5753,2597864700,15.2946,1.2361,-58.3331,2.6334,1.3487,1.2866,8.235439477287358,0.1373,-3.268122277499671,0.1991,0.0927,0.1012,0.1767
2012-12-31,0.13681592039800994,0.14686687037084922,22.85,0.305469372596656,0.3741,7.938,0.5991,2953293950,17.4284,1.3872,-89.1721,2.8785,1.4758,1.2215,7.386362927221065,0.1336,-3.1839578481512145,0.1825,0.0739,0.0988,0.1684
2013-03-29,0.11466083150984671,0.01439368205919267,25.47,0.3137635689803245,0.2893,8.2518,0.6055,3291921090,18.3998,1.5168,223.6511,3.0865,1.5867,1.2787,7.632500895284352,0.1401,-2.860460977817667,0.1778,0.0753,0.103,0.171
2013-06-28,0.08951707891637226,0.06588062362697228,27.75,0.4507261290397456,-0.2419,8.7025,0.6064,3586604250,18.9433,1.6206,101.0225,3.1887,1.7033,1.1865,9.394412866395042,0.1434,-3.140274048914095,0.2169,0.0986,0.1047,0.1728
2013-09-30,0.10486486486486488,0.058005028374089156,30.66,0.4653802409340255,0.2121,9.1679,0.6221,3962713020,19.9695,1.7388,48.3847,3.3442,1.807,1.3394,9.797835934242249,0.1446,-2.990220275905824,0.2124,0.0975,0.1055,0.1718
2013-12-31,0.1529680365296804,0.053767934433589,35.35,0.36485179539950635,0.2534,9.5327,0.6376,4568881450,22.1668,1.9544,68.9174,3.7082,2.0081,1.4344,8.846214499723013,0.1464,-2.83974096110548,0.1867,0.0795,0.1074,0.1705
2014-03-31,0.07015558698727006,0.057181934312037025,37.83,0.35503338568786896,0.1685,9.8878,0.6289,4889414010,23.1235,2.0208,96.4762,3.8259,2.0637,1.3252,8.887419760402988,0.1467,-2.8226960780521018,0.184,0.0739,0.1066,0.1684
