date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,14.37,0.4240605427974948,0.4919,9.1375,0.4134,10899946770,8.4561,1.322,8.346,1.5564,1.7891,0.9555,9.387603635536452,0.1143,-10.403139794415711,0.4893,0.1351,0.0769,0.1888
2003-06-30,0.11969380654140575,-0.029236854892510974,16.09,0.48357900181018876,0.4189,9.5422,0.4295,12317458150,8.6559,1.4226,10.1629,1.669,1.8788,0.9169,10.243864776122818,0.1229,-10.463270784484054,0.449,0.1622,0.0834,0.1978
2003-09-30,0.05034182722187686,0.02831004610014777,16.9,0.5701866530299157,0.6098,9.9948,0.4415,13017225000,8.8733,1.4393,8.9773,1.665,1.8287,1.1591,11.405610947664933,0.1221,-9.88640051931191,0.4729,0.1898,0.0841,0.193
2003-12-31,0.19881656804733747,0.08239732183218279,20.26,0.5007550652292462,0.4797,10.8029,0.4535,15683184960,10.2705,1.6753,10.1575,1.903,2.0289,0.9794,11.064809885426541,0.1231,-9.62800479527087,0.4721,0.1659,0.0851,0.1901
2004-03-31,0.09032576505429409,0.07747419621173231,22.09,0.6130412890231621,0.7854,11.0636,0.4708,17282663750,10.2324,1.8123,9.6497,1.9663,2.1844,0.9821,12.44294242098524,0.1313,-9.464770730148587,0.4825,0.1887,0.0917,0.1983
2004-06-30,0.051154368492530515,0.03816389123673185,23.22,0.7282526949110053,-0.0902,11.7159,0.4831,18190455120,9.5941,1.8237,13.0397,1.9461,2.1651,1.0866,13.943094315598621,0.1414,-8.983962134093103,0.4925,0.2118,0.0997,0.209
2004-09-30,0.15546942291128335,0.17848755915508416,26.83,0.9397470865360774,0.8467,12.5477,0.4967,21180755690,9.5927,1.9861,13.2297,2.0927,2.2497,1.3276,16.431639235901084,0.1579,-8.170317553008893,0.5452,0.2494,0.1111,0.2268
2004-12-31,0.043235184494968326,-0.04409824309974876,27.99,0.9155972359328727,1.15,13.4217,0.5084,22208805450,8.6482,2.0145,10.2486,2.0418,2.1865,1.2944,16.733920516455107,0.1752,-7.666471318474268,0.3955,0.2787,0.1229,0.2445
2005-03-31,0.21936405859235458,0.24521566347464313,34.13,1.0411026335220281,0.8638,14.2603,0.5201,27184647390,9.2875,2.3069,12.1089,2.3459,2.4768,1.3934,18.411057712117493,0.1931,-7.576870394712889,0.5449,0.2532,0.134,0.2605
2005-06-30,0.08116026955757386,0.0720631312239336,36.9,1.8855880186594647,0.8666,16.0471,0.5455,29505166200,7.6005,2.3413,9.7602,2.2571,2.5124,1.1815,26.267040606896305,0.2418,-7.976508195368172,0.5279,0.4313,0.1679,0.3148
2005-09-30,0.11029810298102982,0.07883737931788541,40.97,2.124270428015564,1.0031,17.3139,0.5673,32939757090,6.7624,2.3201,10.4075,2.3133,2.4033,1.2895,29.013167936802905,0.2841,-6.1766399625869255,0.5681,0.3769,0.1985,0.3567
2005-12-30,-0.06492555528435433,-0.08077827420744232,38.31,1.4138224219604032,-1.5352,18.6712,0.5887,30817713300,5.8223,2.0097,31.8036,2.0047,2.038,1.6238,24.540072988196464,0.2931,-4.722598610196039,0.5061,0.3063,0.2067,0.3575
2006-03-31,0.16001044113808394,0.12269543052591056,44.44,1.4298989429666629,1.6552,21.2603,0.5684,38064548720,6.7038,2.3143,22.4967,2.0796,2.3898,1.4291,26.343838569642475,0.2782,-6.788957407610638,0.5746,0.2764,0.1947,0.3372
2006-06-30,0.10688568856885688,0.12593782819549162,49.19,0.991125965195344,0.5128,21.1132,0.5878,41582225410,8.3131,2.3958,29.0581,2.2697,2.4668,1.3568,21.793039017989635,0.2286,-7.446716642672348,0.5442,0.1923,0.1578,0.2731
