date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2011-12-30,,,0.0,0.0,0.0,23.8105,0.3758,0,0.0,0.0,0.0,0.0,0.0,0.9639,0.0,0.0,-21.616023802283244,0.0,0.0,0.0,0.0
2012-03-30,,,0.0,0.0,0.2136,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404,0.0,0.0,0.0
2012-06-29,,,0.0,0.004109510228570959,-1.0355,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0561,0.0001,0.0,0.0
2012-09-28,,,0.0,0.004109510228570959,0.9123,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487,0.0001,0.0,0.0
2012-12-31,,,0.0,0.004109510228570959,0.0246,28.635,0.3618,0,0.0,0.0,0.0,0.0,0.1718,0.993,3.6611400648668155,0.0002,-29.350122052453788,0.0559,0.0001,0.0003,0.0008
2013-03-29,,,0.0,0.004109510228570959,2.5273,30.0446,0.3755,0,0.0,0.0,0.0,0.0,0.1659,1.0234,3.7501700712469375,0.0001,-28.811776212510992,0.0693,0.0001,0.0002,0.0005
2013-06-28,,,0.0,0.004109510228570959,-0.2712,30.6199,0.3867,0,0.0,0.0,0.0,0.0,0.1635,0.9827,3.7859043234037344,0.0001,-148.81311502694157,0.0461,0.0001,0.0002,0.0005
2013-09-30,,,0.0,0.020804294006282895,-3.6823,149.9157,0.3551,0,0.0,0.0,0.0,0.0,0.1822,1.0267,8.37705388108184,0.0001,-165.14448582187364,0.0362,0.0001,0.0002,0.0005
2013-12-31,inf,inf,71.29,0.23877270827944366,-0.7362,164.7332,0.3859,3582821530,238.8547,0.0848,10.6949,0.4327,0.2549,0.9172,29.74912312858369,0.0006,-163.34043018882943,0.0474,0.0011,0.0007,0.0019
2014-03-31,0.04516762519287416,0.03219397251764112,74.51,0.2761613571358122,6.8843,165.0458,0.3836,3800606080,135.7359,0.0877,55.0812,0.4542,0.2564,0.888,32.02395388838223,0.0011,-166.77776035131745,0.0503,0.0011,0.0012,0.0033
2014-06-30,0.14333646490403962,0.0963951955550563,85.19,0.29370875839517535,-6.1287,170.0377,0.3843,4352186720,103.6234,0.0984,-24.4504,0.5011,0.2773,0.9531,33.52141314616456,0.0017,-171.07735671782024,0.0415,0.0013,0.0018,0.0049
2014-09-30,-0.04190632703368932,-0.048058696252563364,81.62,0.31328934228818706,-3.7986,170.0965,0.3789,4169802560,73.1544,0.0934,-21.3836,0.48,0.275,0.9267,34.626752139592284,0.0022,-177.6933917945506,0.0449,0.0014,0.0025,0.0065
2014-12-31,-0.16221514334721893,-0.20612849359788427,68.38,0.321717197714521,2.7538,120.7211,0.3921,5313673040,75.9096,0.1222,94.887,0.5664,0.3254,0.8791,32.8865252631906,0.0026,-133.3324754208061,0.0661,0.0026,0.0029,0.0077
