date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,0.0,0.08759397384989802,0.1694,4.8385,0.5685,0,0.0,0.0,0.0,0.0,1.5861,0.8572,3.209313494671607,0.0516,-3.7031341146523835,0.5248,0.2254,0.0436,0.0758
2003-06-30,,,0.0,0.10752934221942545,0.0701,6.588,0.6073,0,0.0,0.0,0.0,0.0,1.7065,1.0793,4.185664293698561,0.042,-4.460211062205016,0.524,0.2674,0.0355,0.0602
2003-09-30,,,0.0,0.10043765667529846,-0.978,5.6483,0.6019,0,0.0,0.0,0.0,0.0,1.6409,0.9483,3.991504052029611,0.0417,-4.360936185924391,0.5797,0.2688,0.0352,0.0582
2003-12-31,,,0.0,0.07998709347218977,0.9033,3.8973,0.581,0,0.0,0.0,0.0,0.0,1.1984,0.2259,3.572882095453936,0.0473,-4.8292142112243965,0.5907,0.2848,0.0399,0.0674
2004-03-31,,,0.0,0.14473298122065728,0.1564,5.6497,0.5811,0,0.0,0.0,0.0,0.0,1.1342,0.2079,4.7566568621174765,0.0545,-4.725545622534086,0.5593,0.3417,0.0463,0.0797
2004-06-30,,,0.0,0.0976436972341166,0.1802,5.4451,0.5827,0,0.0,0.0,0.0,0.0,1.6135,1.1101,3.8319641362562544,0.0558,-4.576004439951636,0.5222,0.2434,0.048,0.0824
2004-09-30,,,0.0,0.09433901576069476,0.1158,5.6772,0.5849,0,0.0,0.0,0.0,0.0,1.6248,1.1672,3.842439900285067,0.0548,-4.71955552937943,0.5711,0.2154,0.0473,0.0811
2004-12-31,,,0.0,0.12253601857518968,-0.1173,5.2209,0.4229,0,0.0,0.0,0.0,0.0,2.5974,0.9342,3.832075152800232,0.0504,-6.913623424946325,0.6067,0.2115,0.0437,0.0871
2005-03-31,,,0.0,0.09545686574783052,0.1868,4.3008,0.4255,0,0.0,0.0,0.0,0.0,2.4502,0.6082,3.3406287110383692,0.044,-6.76994439482555,0.5785,0.2089,0.0381,0.0898
2005-06-30,,,0.0,0.091900336230413,0.0874,4.1725,0.4275,0,0.0,0.0,0.0,0.0,2.2221,0.5051,3.22406193176883,0.0441,-6.524511905782809,0.5725,0.2049,0.0383,0.0899
2005-09-30,,,0.0,0.1305584924435599,0.0016,4.8014,0.4717,0,0.0,0.0,0.0,0.0,2.1724,0.5833,4.045705106887982,0.0478,-5.969804713323447,0.6047,0.2705,0.0417,0.0926
2005-12-30,,,0.0,0.16406929067490802,-0.0719,5.621,0.4769,0,0.0,0.0,0.0,0.0,2.1498,0.5994,4.8433199754539675,0.0507,-5.930050835403917,0.5931,0.2795,0.0445,0.0938
2006-03-31,,,0.0,0.1342778257650543,0.0356,5.339,0.5046,0,0.0,0.0,0.0,0.0,1.9407,0.6245,4.2139553313853915,0.054,-5.466398477665754,0.532,0.2398,0.0475,0.0967
2006-06-30,,,0.0,0.11742409621812736,-0.1071,5.647,0.5051,0,0.0,0.0,0.0,0.0,1.8287,0.4294,3.991795905730872,0.055,-5.618118495451938,0.5438,0.2028,0.0482,0.0956
2006-09-29,,,0.0,0.16829290673844555,0.073,5.7161,0.5052,0,0.0,0.0,0.0,0.0,1.7725,1.0703,4.785908485649942,0.0568,-5.407992789428787,0.5863,0.2865,0.05,0.0991
2006-12-29,,,0.0,0.2030211584259713,-0.1912,6.3555,0.5085,0,0.0,0.0,0.0,0.0,1.7429,0.6579,5.388113944458289,0.0603,-5.337598440792914,0.5555,0.3038,0.0533,0.1052
2007-03-30,,,0.0,0.21481295208792509,-0.2187,5.5822,0.5016,0,0.0,0.0,0.0,0.0,1.6891,0.6903,5.34750618958368,0.0688,-5.451129461117999,0.5125,0.3003,0.0607,0.1203
2007-06-29,,,0.0,0.21481585522716856,-0.1599,6.3311,0.4998,0,0.0,0.0,0.0,0.0,1.7284,0.7856,5.643601000688689,0.0733,-6.172679392334155,0.4698,0.2449,0.0644,0.1287
2007-09-28,,,0.0,0.27271585603687726,-0.0785,6.5075,0.4843,0,0.0,0.0,0.0,0.0,1.6883,0.8001,6.399329215697713,0.0764,-6.692401468973611,0.374,0.2882,0.0671,0.1365
2007-12-31,,,0.0,0.2631725760123037,-0.3179,6.8366,0.462,0,0.0,0.0,0.0,0.0,1.6802,0.8912,6.362556620276837,0.078,-7.4172262377208735,0.4423,0.261,0.0687,0.1453
