date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-09-30,,,46.49,0.6176502126746971,0.4753,5.6489,0.344,120569490500,21.9896,2.6927,17.4738,7.629,2.8627,0.9322,9.202772614385275,0.17,-6.729260251788158,0.2501,0.1444,0.1164,0.3267
2003-12-31,0.07485480748548068,-0.041564438729674,49.97,0.6376521832268199,0.6944,6.0759,0.3448,129161956300,22.2424,2.7485,18.9692,7.5897,2.9048,0.9748,9.707227498995938,0.1618,-7.01217507031519,0.2414,0.1375,0.1112,0.3231
2004-03-31,0.049429657794676785,0.03657808895211501,52.44,0.5361814988710082,0.892,6.0055,0.3395,134802264000,22.2372,2.7307,18.6422,8.045,2.8846,1.0106,8.85434613014939,0.1642,-7.146969579086594,0.2091,0.1172,0.1125,0.3288
2004-06-30,0.03813882532418002,0.02514834806838135,54.44,0.3661880366548813,0.6483,5.6829,0.3028,138486649600,22.4962,2.6939,18.3159,8.7916,2.8235,0.7727,7.1234925680938606,0.1645,-8.905827410528964,0.1657,0.0809,0.111,0.3461
2004-09-30,-0.005878030859662019,0.017140105384138783,54.12,0.7020715086222479,0.6742,6.0898,0.3101,137285121600,21.664,2.5924,16.9571,8.1499,2.7248,0.8545,10.233888783429181,0.1626,-8.72321301859123,0.2378,0.1412,0.109,0.3556
2004-12-31,0.017738359201773853,-0.06959506839294323,55.08,0.6988573021181717,0.5413,6.4029,0.3154,138943706400,21.1869,2.5641,18.0329,7.5599,2.6603,0.8783,10.247383220527817,0.1581,-8.78148562186333,0.2434,0.141,0.1073,0.3429
2005-03-31,-0.03776325344952793,-0.011911648567239377,53.0,0.5794235065743691,0.7881,6.3132,0.2969,132207440000,19.8987,2.3844,17.9434,7.6699,2.4594,0.8526,9.460104116365375,0.1544,-9.122141688848979,0.2111,0.1129,0.1053,0.3441
2005-06-30,-0.0047169811320754715,-0.013814119465715723,52.75,0.5014443374564848,0.5347,6.2928,0.3002,130447057500,18.6699,2.2989,18.5954,7.6769,2.3827,0.8118,8.789171026901784,0.163,-9.18869519153393,0.1849,0.0976,0.1121,0.3755
2005-09-30,0.12720379146919433,0.09574306780604992,59.46,0.7521606219572027,0.6778,4.9273,0.2347,141375663600,19.9852,2.4463,20.3535,10.8284,2.671,0.9767,9.449622459857888,0.1623,-11.275371583826114,0.2369,0.1371,0.1146,0.4286
2005-12-30,-0.026572485704675384,-0.04242520462776338,57.88,0.707640259374119,0.6371,18.3098,0.4864,190373686800,25.1119,3.0867,24.8789,2.9313,3.4366,1.2887,17.68100159823259,0.1033,-13.28110035845563,0.2509,0.1388,0.0764,0.1873
2006-03-31,-0.004319281271596406,-0.041634291883769776,57.63,0.6198547215496368,0.8018,18.1068,0.4773,189111116100,23.1243,2.9256,22.7433,2.9751,3.2926,1.3278,16.46623254691885,0.0797,-13.586289071666052,0.2367,0.1281,0.0599,0.1244
2006-06-30,-0.035224709352767676,-0.016172569726132936,55.6,0.540233897713388,0.791,17.8789,0.4635,176741280000,20.3525,2.5906,18.4297,2.8758,3.0033,1.2173,15.25652708713605,0.0852,-15.244117276959859,0.2065,0.1063,0.0638,0.1357
2006-09-29,0.11474820143884884,0.06306340618004382,61.98,0.7790115137843143,0.7277,18.2735,0.4656,196399125000,20.9985,2.7196,19.1086,3.1487,3.1069,1.2387,18.449316819042007,0.0923,-15.062721893491124,0.2575,0.1436,0.0685,0.1476
2006-12-29,0.03694740238786704,-0.024773655177764774,64.27,0.8287098194627918,0.5328,18.7676,0.476,202796272600,20.9738,2.7553,20.624,3.172,3.0017,0.7889,19.417384825863184,0.0952,-14.973473876363544,0.2562,0.145,0.0704,0.1497
2007-03-30,-0.01727088843939629,-0.01907582141218484,63.16,0.7282253554293115,1.1229,19.1484,0.4898,198885787200,19.9484,2.6501,18.3592,3.0572,2.877,0.7345,18.37760255488727,0.0989,-14.771731260241607,0.242,0.1343,0.073,0.1512
2007-06-29,-0.03119062697910068,-0.08924700908909763,61.19,0.7072635296363463,0.8453,20.7928,0.4837,190958692500,18.4679,2.4969,17.7289,2.9219,2.7299,0.7823,18.19023790877978,0.1023,-15.131939437635184,0.216,0.1176,0.0755,0.1552
2007-09-28,0.14953423762052634,0.13396898349203093,70.34,0.9054319957068749,0.8836,19.7266,0.4767,218450717600,20.3759,2.8046,19.4161,3.3015,3.0251,0.8156,20.793594852592573,0.1043,-15.76551049059131,0.2559,0.1524,0.0766,0.1596
2007-12-31,0.04378731873756039,0.08203196563354041,73.42,0.9657339518180458,1.188,20.008,0.4725,225950050000,20.3028,2.8527,16.8543,3.3796,3.0735,0.8564,21.637632540697858,0.1066,-15.986352558895208,0.2538,0.1554,0.0777,0.1639
2008-03-31,-0.04562789430672853,0.053571236446492594,70.07,0.8084938810129649,0.956,20.6646,0.4785,213923009300,18.8861,2.6562,16.7822,3.1358,2.8995,0.8234,20.11214761119757,0.1069,-16.401625947022428,0.2386,0.1353,0.0781,0.1643
2008-06-30,-0.13215356072498918,-0.09987114388960332,60.81,0.9071168608740863,0.8009,20.8361,0.4826,184516391100,15.2808,2.2461,14.5185,2.7083,2.4928,0.7918,21.377429443178016,0.1135,-16.472608270084468,0.2217,0.1444,0.0834,0.1736
2008-09-30,0.14602861371484946,0.23480987515894125,69.69,1.018984411174564,0.8473,19.5122,0.4589,208074129900,16.8562,2.5089,16.6592,3.2917,2.6754,0.6555,21.933645561749852,0.1174,-17.09744080972365,0.2476,0.1595,0.0867,0.1841
2008-12-31,-0.11292868417276507,0.11265345912432025,61.82,1.5633278667844077,0.4648,19.2591,0.4514,181183910600,12.87,2.2188,18.1292,2.9669,2.3922,0.6858,26.943927893959216,0.1352,-17.188305019397237,0.2402,0.2532,0.1009,0.2217
2009-03-31,-0.23827240375283074,-0.12160480908600262,47.09,0.8271596985118856,1.1421,19.1477,0.459,137253223000,9.8171,1.7265,13.2177,2.3088,1.928,0.6703,19.465722321638022,0.1372,-17.02130579476447,0.2394,0.1462,0.1033,0.2269
2009-06-30,0.08515608409428749,-0.06706171197560135,51.1,0.7805791393614617,1.2641,20.0335,0.47,149058700000,11.0939,1.9435,12.7607,2.4019,2.1504,0.7088,19.327581123608294,0.1342,-16.985258827562564,0.2341,0.1366,0.1005,0.2164
2009-09-30,0.13346379647749512,-0.016386035608107058,57.92,1.047401595060458,1.3545,21.1342,0.4843,169226601600,12.6335,2.2408,12.8709,2.575,2.4546,0.855,23.026070629240653,0.1317,-16.030570928867487,0.2634,0.1669,0.098,0.2054
2009-12-31,0.04678867403314919,-0.008098394063191072,60.63,1.4779541446208113,1.7322,21.6918,0.5096,176105291700,13.4946,2.2935,10.313,2.6033,2.5303,0.9191,27.768940277181034,0.1291,-15.349842834961217,0.2574,0.2215,0.0953,0.1919
2010-03-31,0.04354280059376547,-0.005179358239079869,63.27,0.8170366313347723,1.357,21.0989,0.5021,182211273000,13.9925,2.3331,10.27,2.7823,2.5641,0.9234,20.381287465524082,0.1325,-15.529358658286746,0.2485,0.1347,0.097,0.1918
2010-06-30,-0.051999367788841566,0.06662259881210117,59.98,0.6896889062805713,0.7519,19.6184,0.4793,170553130000,13.3914,2.1987,10.5723,2.8348,2.437,0.7734,18.04562653565747,0.1349,-16.863372604184985,0.196,0.1244,0.0975,0.1986
2010-09-30,-0.00016672224074688248,-0.10736466775577512,59.97,1.000793231094659,0.6388,20.4723,0.4727,167867424300,13.4186,2.1554,12.1177,2.7101,2.3975,0.7415,22.206208922050717,0.133,-17.860523937281858,0.2579,0.1531,0.0955,0.2007
2010-12-31,0.07270301817575453,-0.02932998958681378,64.33,1.0722618492100526,0.7289,0.0,0.0,180174177400,16.1099,2.3039,16.9368,0.0,2.3039,0.0,0.0,0.2317,0.0,0.2328,0.1561,0.1673,0.3539
2011-03-31,-0.042437431991294836,-0.09665798843988391,61.6,0.9408862067815824,1.0889,22.0688,0.4938,171943464000,14.988,2.1787,17.7407,2.5976,2.4164,0.8333,22.36194416858218,0.2312,-16.94270391109487,0.2215,0.1444,0.168,0.3402
2011-06-30,0.03198051948051946,0.03589500442826787,63.57,0.8196391441411228,0.8847,22.3915,0.4915,175815549000,14.9034,2.1489,17.5394,2.6332,2.3844,0.8049,21.028574946164923,0.1182,-17.493943667064396,0.1913,0.1227,0.0858,0.1742
2011-09-30,-0.006134969325153383,0.1371440231363135,63.18,1.007875619526105,0.4528,21.866,0.4804,173828397600,14.8065,2.0887,18.4433,2.6986,2.3145,0.8268,23.02233146158139,0.1172,-17.39455970225201,0.2319,0.1404,0.0853,0.1757
2011-12-30,0.05587211142766689,-0.0556513959698421,66.71,0.5512424992372106,0.8072,21.5896,0.4832,183746024000,18.198,2.1974,19.1024,2.8853,2.3751,0.7938,16.927271180355437,0.1015,-16.61341853035144,0.2275,0.0777,0.0745,0.1547
