date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,22.54,0.2300002948721729,0.1533,7.0209,0.2957,7650977600,-306.0391,0.9259,11.1693,3.2133,1.1222,1.592,6.027703051829185,-0.0055,-7.586024039594626,0.1352,0.0376,-0.0031,-0.0107
2003-06-30,0.12555456965394862,-0.023376091779968106,25.37,0.445000043914478,0.7465,7.5679,0.3104,8611592800,18.2449,1.0211,12.8339,3.3313,1.2027,1.6209,8.753567106549031,0.1024,-7.123497525335847,0.1727,0.0659,0.0576,0.19
2003-09-30,0.029168309026409083,0.007136527904679991,26.11,0.4149996054581216,0.9264,7.768,0.32,8925781830,19.154,1.0413,11.1294,3.358,1.1665,1.5076,8.516667836775747,0.1013,-6.654907226205416,0.1677,0.0643,0.056,0.1777
2003-12-31,0.2259670624281884,0.10954781621303372,32.01,0.35504232861204643,0.8206,8.8702,0.3618,10942714530,22.1512,1.2497,12.078,3.5901,1.3456,1.6535,8.476242586436255,0.1052,-5.379505225930444,0.1466,0.056,0.059,0.1731
2004-03-31,-0.08934707903780068,-0.10219864788036245,29.15,0.34499953613507744,0.258,8.9525,0.3587,10002909950,18.697,1.1177,10.6075,3.2392,1.2142,1.6532,8.3362874118584,0.1099,-5.286271721360443,0.1431,0.0525,0.0628,0.1743
2004-06-30,0.07204116638078907,0.0590506891249904,31.25,0.5400004620324809,0.5515,9.1713,0.3672,10723531250,18.8132,1.1817,12.1996,3.3764,1.2602,1.631,10.604864612716632,0.1161,-4.6101884582096035,0.17,0.0769,0.066,0.1819
2004-09-30,-0.019519999999999982,0.0034981362438008187,30.64,0.5599993072173519,0.9063,9.7249,0.3917,10540282560,16.9457,1.1361,12.0322,3.1286,1.205,1.7241,11.118800776641667,0.1271,-4.06681317659097,0.1647,0.0805,0.0721,0.19
2004-12-31,0.11227154046997381,0.024938112875256727,34.08,0.5300829304606508,0.6343,10.6248,0.4106,11723656320,17.1649,1.2323,14.4202,3.1961,1.2823,1.8253,11.311098185614677,0.1371,-3.5174009604539482,0.1501,0.0759,0.0779,0.1941
2005-03-31,0.04929577464788732,0.07514737953017588,35.76,0.27499963815837086,0.2373,10.6063,0.4061,12277230480,18.63,1.2602,15.2322,3.3507,1.3074,1.8134,8.101011967617405,0.1293,-3.3467026677501943,0.1636,0.0381,0.0734,0.1797
2005-06-30,-0.12248322147651004,-0.1315803598101503,31.38,0.6700002320347124,0.2262,10.2501,0.402,10662610200,15.1672,1.0695,15.3861,3.0171,1.1415,1.8168,12.476918483210707,0.1394,-3.5286500485594043,0.1765,0.0869,0.0789,0.1953
