date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2020-06-30,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,,,0.0,0.3349306655975359,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4358,0.302,0.0,0.0
2020-12-31,,,0.0,-0.04005422020275301,0.0,1.8545,0.256,0,0.0,0.0,0.0,0.0,2.8602,4.0403,,-0.0514,-4.542297485633555,-0.0122,-0.1127,-0.0442,-0.1727
2021-03-31,,,0.0,-0.11791621324067533,-0.0118,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0568,0.0,0.0474,-0.5461,0.0488,0.1908
2021-06-30,,,0.0,-0.02448818546873111,-0.0774,1.7095,0.2326,0,0.0,0.0,0.0,0.0,1.9386,2.6033,,0.0499,-4.5483558932651125,0.2467,-0.0441,0.0415,0.1783
2021-09-30,,,0.0,0.3309787001151861,0.2627,2.0277,0.2707,0,0.0,0.0,0.0,0.0,1.719,4.1179,3.8859135322379683,0.0237,-4.128200232917773,0.4893,0.2661,0.02,0.0794
2021-12-31,inf,inf,13.89,0.0,0.0,6.894,0.4196,2184021930,73.7048,6.9014,80.0946,2.016,8.2872,3.7312,,0.0215,-7.144075503857235,0.0,0.0,0.0157,0.0422
2022-03-31,-0.12814974802015847,-0.07868245747808329,12.11,0.21633853424649696,-0.4131,6.5299,0.4522,1976775850,22.9932,5.809,-45.8808,1.732,7.3102,4.1461,5.887802476058413,0.0483,-6.432983122492113,0.9607,0.6546,0.0336,0.0772
2022-06-30,-0.10487200660611062,0.059578947665586274,10.84,0.04079408110245115,-0.1194,6.4038,0.452,1762985080,18.167,4.9782,-33.8605,1.5548,6.5008,3.5527,2.527468456939663,0.0538,-6.301395131489144,0.2876,0.0715,0.0385,0.0853
2022-09-30,-0.261070110701107,-0.20829871871162448,8.01,0.44525336863184334,0.2497,6.7806,0.4792,1300151160,10.5066,4.0727,-26.4215,1.0846,5.635,2.2573,8.592799820997946,0.0675,-5.6958155696296116,0.8715,0.4903,0.0494,0.1061
