date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,18.181,0.500998003992016,0.1646,9.2554,0.312,17013543447,7.4916,0.5961,8.4434,1.8345,0.6909,1.4473,10.545733381476676,0.1556,-9.100361513891515,0.1517,0.0749,0.077,0.2493
2003-06-30,0.22584016280732622,0.07690950137340949,22.287,0.624,0.694,10.163,0.3288,20896937523,9.1693,0.7204,10.5753,2.0561,0.7967,1.516,12.346861949499557,0.1496,-8.569487505185952,0.1566,0.0811,0.0751,0.2345
2003-09-30,0.09108448871539468,0.06905270759366558,24.317,0.6259920634920635,0.8888,10.6934,0.3164,22885190723,9.9241,0.7715,10.5122,2.1231,0.8804,1.2193,12.70866459747301,0.1415,-11.835910230268436,0.1572,0.0803,0.0709,0.2202
2003-12-31,0.2263025866677633,0.10988334045260861,29.82,0.5113043478260869,0.513,10.7965,0.3519,30658538400,12.9854,0.9879,13.074,2.4692,1.0727,1.1894,11.144805574990881,0.1336,-9.598101388942926,0.1346,0.0684,0.0681,0.2035
2004-03-31,-0.08936955063715624,-0.10222111947971801,27.155,0.5423228346456693,0.6269,12.6801,0.3585,27912896050,11.5821,0.8464,9.9087,2.1666,0.9231,1.1922,12.563155305692108,0.1298,-9.41035693786421,0.1367,0.0637,0.0676,0.1905
2004-06-30,0.06002577794144721,0.04703530068564854,28.785,0.4044554455445545,0.4683,6.5801,0.3622,29454539100,11.3504,0.8461,9.5974,2.2159,0.9101,1.2422,7.808141953830589,0.1374,-9.027031253053964,0.1526,0.0849,0.0714,0.1982
2004-09-30,0.020739968733715523,0.043758104977516324,29.382,0.3430693069306931,0.3995,6.8688,0.3687,30031048380,11.3367,0.8297,10.0775,2.1643,0.8825,1.2576,7.34729500915901,0.1364,-8.882779402987996,0.1456,0.0742,0.0712,0.195
2004-12-31,0.1068000816826629,0.019466654087945817,32.52,0.5987110104128758,0.402,14.8464,0.3752,33241944000,12.4361,0.8749,11.8678,2.1904,0.9267,1.1966,14.141987864595228,0.1289,-9.386617100371748,0.122,0.0589,0.0684,0.184
2005-03-31,-0.016359163591636024,0.00949244129065253,31.988,0.640748031496063,0.683,15.3809,0.3855,32744516200,11.8083,0.8449,11.4571,2.0953,0.9032,1.2346,15.070122811792212,0.1287,-8.950324818053046,0.1396,0.0692,0.0684,0.18
2005-06-30,0.010222583468800743,0.0011254451351604914,32.315,0.9538310412573674,0.9872,15.9096,0.3615,33115119400,11.3136,0.822,11.3524,2.0446,0.9369,1.219,18.690415838635197,0.128,-11.02697216909325,0.1547,0.087,0.0686,0.1839
2005-09-30,0.009531177471762334,-0.021929546191382078,32.623,0.8088669950738916,0.8926,16.4098,0.3615,33231418950,10.8777,0.794,11.0183,1.9951,0.8959,1.181,17.480692993132774,0.1229,-11.683109998527463,0.1512,0.0752,0.0672,0.1859
2005-12-30,0.07853354994942234,0.06268083102633434,35.185,0.621031746031746,0.7936,17.6279,0.3869,35672312250,11.6234,0.8349,10.4764,2.0075,0.9212,1.1212,15.876713193460766,0.1176,-10.800414262464862,0.1311,0.0555,0.0667,0.1783
2006-03-31,0.03683387807304247,-0.0004811325391309018,36.481,0.7611496531219029,0.767,17.996,0.386,36877548470,11.5748,0.8394,10.5817,2.0309,0.9199,1.133,17.777157170739383,0.1179,-10.636382521986013,0.1456,0.0723,0.0685,0.1773
2006-06-30,0.09402154546202131,0.11307368508865605,39.911,1.0931615460852329,0.5887,19.105,0.392,40367182730,12.1661,0.8961,13.1318,2.094,0.9889,1.2468,21.962196724008482,0.1182,-10.151963062199064,0.1628,0.0899,0.0689,0.1772
2006-09-29,-0.0011024529578312755,-0.0527872482166363,39.867,0.9900596421471173,1.1699,19.666,0.3989,40012514550,11.455,0.8641,11.9618,2.0224,0.9538,1.2907,21.206349164765705,0.1208,-9.869974592736511,0.1561,0.0818,0.0707,0.1788
2006-12-29,-0.013118619409536613,-0.07483967697516843,39.344,0.865,1.304,18.133,0.3846,39174820800,10.497,0.819,10.1779,2.1604,0.9129,1.239,19.064460886635196,0.1337,-10.207893943959023,0.132,0.0676,0.0771,0.1968
2007-03-30,0.0396756811712078,0.03787074819841925,40.905,0.824773413897281,0.2467,19.0936,0.3902,40677159150,10.7526,0.8218,12.2521,2.1454,0.9139,1.2532,19.065115529817522,0.1376,-9.48885291071267,0.1451,0.0667,0.079,0.2039
2007-06-29,0.09123579024569121,0.033179408135694255,44.637,1.1595959595959595,1.2101,20.2828,0.3971,44270262408,11.5648,0.8658,11.2819,2.2046,0.9392,1.2793,23.28828964914789,0.1328,-8.837609802134336,0.154,0.0825,0.0772,0.1961
2007-09-28,0.13464166498644617,0.11907641085795075,50.647,1.210313447927199,1.1577,21.3771,0.3951,50064964676,12.4261,0.9476,12.8635,2.368,1.028,1.2107,24.45116661972227,0.1323,-9.907861140223448,0.1584,0.0863,0.0774,0.1954
2007-12-31,-0.04896637510612666,-0.010721728210146643,48.167,1.0783316378433367,1.6164,22.652,0.408,47374508349,11.2155,0.8651,11.3417,2.1275,0.9584,1.2634,23.747325967473223,0.1327,-10.408246886015615,0.1429,0.072,0.0781,0.1946
2008-03-31,-0.10085743351257093,-0.0016583027593498056,43.309,1.0256410256410255,0.6676,23.1487,0.3955,42148492036,9.5683,0.7467,9.1967,1.8674,0.8331,1.2198,23.39031595024105,0.1336,-10.857949617962936,0.1427,0.0716,0.0789,0.1964
2008-06-30,-0.10346579232953877,-0.0711833754941529,38.828,1.3198757763975155,1.1521,23.6739,0.391,37444053596,8.2621,0.6402,8.3246,1.6373,0.72,1.2084,26.82225324861107,0.133,-11.238576585227255,0.152,0.0799,0.0784,0.1994
2008-09-30,-0.026578757597610064,0.062202503846481724,37.796,1.334384858044164,1.6477,23.1808,0.388,35929482336,7.8039,0.6018,7.3027,1.6298,0.6771,1.2177,26.634555800706806,0.1355,-11.13383321972279,0.1574,0.0841,0.0798,0.205
